Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744960693985,56740.48974609375,2200,2,0.8375,48576.475357055664,2200,2,0.8375,23320.87547302246,2200,2,0.8375,43519.86196899414,2200,2,0.8375,49250.70167541504,2200,2,0.8375,49526.90505981445,2200,2,0.8375,36485.31002807617,2200,2,0.8375,3656.977294921875,2200,2,0.8375,9646.056335449219,2128,3178,2129,2127,2195,2193,2194,2195,2129,2127,2195,2195,2193,2179,2096,3193,0,7.142857551574707,6.6666669845581055,3.4482758045196533,6.6666669845581055,0,3.5714287757873535,3.5714287757873535,6.896551609039307,0,3.5714287757873535,3.4482758045196533,6.896551609039307,3.4482758045196533,0,0,16665841664,4294963200,881856512,283377664
1000,1744960693985,56740.48985290527,2200,2,0.8375,48576.478591918945,2200,2,0.8375,23320.875579833984,2200,2,0.8375,43519.86212158203,2200,2,0.8375,49250.70350646973,2200,2,0.8375,49526.90702819824,2200,2,0.8375,36485.31050109863,2200,2,0.8375,3656.9774475097656,2200,2,0.8375,9646.082794189453,2128,3178,2129,2127,2195,2193,2194,2195,2129,2127,2195,2195,2193,2179,2096,3193,0,7.142857551574707,6.6666669845581055,3.4482758045196533,6.6666669845581055,0,3.5714287757873535,3.5714287757873535,6.896551609039307,0,3.5714287757873535,3.4482758045196533,6.896551609039307,3.4482758045196533,0,0,16665841664,4294963200,881856512,283377664
1000,1744960694985,56740.4914855957,2133.333333333333,2,0.9125,48576.4842376709,3200,1,0.9125,23320.877334594727,2133.333333333333,2,0.9125,43519.863189697266,2133.333333333333,2,0.9125,49250.70819091797,2200,2,0.9125,49526.90956115723,2200,2,0.9125,36485.315521240234,2200,2,0.9125,3656.978988647461,2200,2,0.9125,9652.184631347656,2128,3178,2129,2127,2195,2193,2194,2195,2129,2127,2195,2195,2193,2179,2096,3193,0,0.9900990128517151,0,0,0,0,0,0,0,0,0.9803922176361084,0,0,0,0,0,16665841664,4294963200,881856512,283377664
1000,1744960695986,56740.49467468262,2175,2,0.91875,48576.50117492676,4350,0,0.91875,23320.881774902344,2175,2,0.91875,43519.86700439453,2175,2,0.91875,49250.71388244629,2200,2,0.91875,49526.91485595703,2200,2,0.91875,36485.321533203125,2200,2,0.91875,3656.981658935547,2200,2,0.91875,9658.344940185547,2128,3178,2129,2127,2195,2193,2194,2195,2129,2127,2195,2195,2193,2179,2096,3193,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,881856512,283377664
1000,1744960696986,56740.497146606445,2133.333333333333,2,0.88125,48576.51039123535,3200,1,0.88125,23320.883880615234,2133.333333333333,2,0.88125,43519.868713378906,2133.333333333333,2,0.88125,49250.717025756836,2200,2,0.88125,49526.91648864746,2200,2,0.88125,36485.323669433594,2200,2,0.88125,3656.9835052490234,2200,2,0.88125,9664.403518676758,2128,3178,2129,2127,2195,2193,2194,2195,2129,2127,2195,2195,2193,2179,2096,3193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,881856512,283377664
1000,1744960697987,56740.500549316406,2175,2,0.9125,48576.524017333984,4350,0,0.9125,23320.88983154297,2175,2,1.475,43519.87413024902,2175,2,1.475,49250.72132873535,2200,2,1.475,49526.918548583984,2200,2,1.475,36485.325759887695,2200,2,1.475,3656.985336303711,2200,2,1.475,9670.492172241211,2128,3178,2129,2127,2195,2193,2194,2195,2129,2127,2195,2195,2193,2179,2096,3193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,881856512,283377664
1000,1744960698987,56740.5029296875,2133.333333333333,2,0.88125,48576.53645324707,3200,1,0.88125,23320.892333984375,2133.333333333333,2,0.88125,43519.87635803223,2133.333333333333,2,0.88125,49250.7268371582,2200,2,0.88125,49526.92059326172,2200,2,0.88125,36485.32777404785,2200,2,0.95625,3656.987060546875,2200,2,0.95625,9676.581726074219,2128,3178,2129,2127,2195,2193,2194,2195,2129,2127,2195,2195,2193,2179,2096,3193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,881856512,283377664
1000,1744960699988,56740.50743103027,2133.333333333333,2,0.9375,48576.54879760742,3200,1,0.9375,23320.895874023438,2133.333333333333,2,0.9375,43519.8830871582,2133.333333333333,2,0.9375,49250.73368835449,2200,2,0.9375,49526.925201416016,2200,2,0.9375,36485.332427978516,2200,2,0.9375,3656.992874145508,2200,2,0.9375,9682.751480102539,2128,3178,2129,2127,2195,2193,2194,2195,2129,2127,2195,2195,2193,2179,2096,3193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,882569216,283377664
1000,1744960700988,56740.50987243652,2200,2,0.8375,48576.55876159668,2200,2,0.8375,23320.89859008789,2200,2,0.8375,43519.885482788086,2200,2,0.8375,49250.736572265625,2200,2,0.8375,49526.92735290527,2200,2,0.8375,36485.334533691406,2200,2,0.8375,3656.995101928711,2200,2,0.8375,9688.842239379883,2128,3178,2129,2127,2195,2193,2194,2195,2129,2127,2195,2195,2193,2179,2096,3193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,882569216,283377664
1000,1744960701989,56740.51141357422,2133.333333333333,2,0.88125,48576.56309509277,3200,1,0.88125,23320.901412963867,2133.333333333333,2,0.88125,43519.888092041016,2133.333333333333,2,0.88125,49250.73989868164,2200,2,0.88125,49526.92921447754,2200,2,0.88125,36485.3359375,2200,2,0.88125,3656.9962615966797,2200,2,0.88125,9694.878463745117,2128,3178,2129,2127,2195,2193,2194,2195,2129,2127,2195,2195,2193,2179,2096,3193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,881164288,283377664
1000,1744960702989,56740.51322937012,2133.333333333333,2,0.9125,48576.57160949707,3200,1,0.95625,23320.903381347656,2133.333333333333,2,0.95625,43519.8896484375,2133.333333333333,2,0.95625,49250.7440032959,2200,2,0.95625,49526.931060791016,2200,2,0.95625,36485.33805847168,2200,2,0.95625,3656.9981689453125,2200,2,0.95625,9700.963958740234,2128,3178,2129,2127,2195,2193,2194,2195,2129,2127,2195,2195,2193,2179,2096,3193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,881164288,283377664
