Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744843289121,21391.097457885742,2200,2,0.8375,48168.0227355957,2200,2,0.8375,38915.383209228516,2200,2,0.8375,50100.760177612305,2200,2,0.8375,14044.452758789063,2200,2,0.8375,50698.70747375488,2200,2,0.8375,39748.25671386719,2200,2,0.8375,49024.959701538086,2200,2,0.8375,55741.89974975586,2160,2194,2169,2179,2195,2067,2179,2110,2190,1914,2189,2104,2089,2174,2018,2170,3.125,3.125,0,0,12.5,0,0,3.125,0,3.125,3.125,3.125,6.060606002807617,0,3.125,3.125,16665841664,4294963200,960847872,230948864
1000,1744843289121,21391.098175048828,2200,2,0.8375,48168.022888183594,2200,2,0.8375,38915.38333129883,2200,2,0.8375,50100.76152038574,2200,2,0.8375,14044.454391479492,2200,2,0.8375,50698.707580566406,2200,2,0.8375,39748.25682067871,2200,2,0.8375,49024.95985412598,2200,2,0.8375,55741.9235534668,2160,2194,2169,2179,2195,2067,2179,2110,2190,1914,2189,2104,2089,2174,2018,2170,3.125,3.125,0,0,12.5,0,0,3.125,0,3.125,3.125,3.125,6.060606002807617,0,3.125,3.125,16665841664,4294963200,960847872,230948864
1000,1744843290122,21391.102249145508,2200,2,0.84375,48168.02754211426,2200,2,0.84375,38915.38578796387,2200,2,0.84375,50100.7646484375,2200,2,0.84375,14044.469482421875,2200,2,0.84375,50698.7106628418,2200,2,0.84375,39748.25978088379,2200,2,0.84375,49024.96139526367,2200,2,0.84375,55748.11688232422,2160,2194,2169,2179,2195,2067,2179,2110,2190,1914,2189,2104,2089,2174,2018,2170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,960847872,230948864
1000,1744843291123,21391.105056762695,2200,2,0.8125,48168.03074645996,2200,2,0.85,38915.391357421875,2200,2,0.85,50100.76805114746,2200,2,0.85,14044.475723266602,2200,2,0.85,50698.71252441406,2200,2,0.85,39748.26348876953,2200,2,0.85,49024.963607788086,2200,2,0.85,55754.21449279785,2160,2194,2169,2179,2195,2067,2179,2110,2190,1914,2189,2104,2089,2174,2018,2170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,960847872,230948864
1000,1744843292123,21391.107452392578,2200,2,0.84375,48168.03486633301,2200,2,0.84375,38915.3938293457,2200,2,0.84375,50100.77067565918,2200,2,0.86875,14044.483306884766,2200,2,0.86875,50698.714767456055,2200,2,0.86875,39748.26594543457,2200,2,0.86875,49024.96537780762,2200,2,0.86875,55760.316635131836,2160,2194,2169,2179,2195,2067,2179,2110,2190,1914,2189,2104,2089,2174,2018,2170,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,960847872,230948864
1000,1744843293123,21391.108810424805,2200,2,0.85,48168.03677368164,2200,2,0.85,38915.395599365234,2200,2,0.85,50100.772232055664,2200,2,0.85,14044.487747192383,2200,2,0.85,50698.7159576416,2200,2,0.85,39748.26721191406,2200,2,0.85,49024.96701049805,2200,2,0.85,55766.33966064453,2160,2194,2169,2179,2195,2067,2179,2110,2190,1914,2189,2104,2089,2174,2018,2170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,960847872,230948864
1000,1744843294124,21391.110717773438,2200,2,0.84375,48168.04063415527,2200,2,0.81875,38915.398025512695,2200,2,0.81875,50100.774017333984,2200,2,0.81875,14044.49543762207,2200,2,0.81875,50698.71826171875,2200,2,0.81875,39748.270904541016,2200,2,0.81875,49024.9684753418,2200,2,0.81875,55772.42919921875,2160,2194,2169,2179,2195,2067,2179,2110,2190,1914,2189,2104,2089,2174,2018,2170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,960847872,230948864
1000,1744843295124,21391.112182617188,2200,2,0.85,48168.042572021484,2200,2,0.85,38915.39974975586,2200,2,0.85,50100.77508544922,2200,2,0.85,14044.500106811523,2200,2,0.85,50698.71923828125,2200,2,0.85,39748.27235412598,2200,2,0.85,49024.96977233887,2200,2,0.85,55778.458419799805,2160,2194,2169,2179,2195,2067,2179,2110,2190,1914,2189,2104,2089,2174,2018,2170,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,960847872,230948864
1000,1744843296125,21391.1150970459,2200,2,0.8125,48168.047607421875,2200,2,0.85,38915.40298461914,2200,2,0.85,50100.778564453125,2200,2,0.85,14044.508026123047,2200,2,0.85,50698.721939086914,2200,2,0.85,39748.27540588379,2200,2,0.85,49024.97219848633,2200,2,0.85,55784.58393859863,2160,2194,2169,2179,2195,2067,2179,2110,2190,1914,2189,2104,2089,2174,2018,2170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,960618496,230948864
1000,1744843297125,21391.11639404297,2200,2,0.84375,48168.050537109375,2200,2,0.84375,38915.40476989746,2200,2,0.84375,50100.77981567383,2200,2,0.84375,14044.514358520508,2200,2,0.8875,50698.72294616699,2200,2,0.8875,39748.276611328125,2200,2,0.8875,49024.9734954834,2200,2,0.8875,55790.639419555664,2160,2194,2169,2179,2195,2067,2179,2110,2190,1914,2189,2104,2089,2174,2018,2170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,960618496,230948864
