Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745032448707,864.9947357177734,2200,2,0.8375,59810.62690734863,2200,2,0.8375,39722.76515197754,2200,2,0.8375,62939.31547546387,2200,2,0.8375,57502.605865478516,2200,2,0.8375,545.1414642333984,2200,2,0.8375,49579.27586364746,2200,2,0.8375,21263.840774536133,2200,2,0.8375,33734.28790283203,2142,2188,2195,2152,2192,2181,2176,2100,2193,2175,2143,2093,2130,2172,2169,2189,3.4482758045196533,0,3.4482758045196533,0,3.4482758045196533,3.4482758045196533,3.4482758045196533,3.4482758045196533,0,3.4482758045196533,3.4482758045196533,3.3333334922790527,0,10.344827651977539,0,0,16665841664,4294963200,876453888,290979840
1000,1745032448707,864.9958343505859,2200,2,0.8375,59810.62705993652,2200,2,0.8375,39722.76530456543,2200,2,0.8375,62939.31823730469,2200,2,0.8375,57502.60614013672,2200,2,0.8375,545.1415710449219,2200,2,0.8375,49579.275955200195,2200,2,0.8375,21263.842391967773,2200,2,0.8375,33734.29934692383,2142,2188,2195,2152,2192,2181,2176,2100,2193,2175,2143,2093,2130,2172,2169,2189,3.4482758045196533,0,3.4482758045196533,0,3.4482758045196533,3.4482758045196533,3.4482758045196533,3.4482758045196533,0,3.4482758045196533,3.4482758045196533,3.3333334922790527,0,10.344827651977539,0,0,16665841664,4294963200,876453888,290979840
1000,1745032449708,865.0006103515625,2000,2,1.53125,59810.62983703613,3000,2,1.53125,39722.768463134766,2000,2,1.53125,62939.322692871094,2000,2,1.53125,57502.609298706055,2200,2,1.53125,545.1438140869141,2200,2,1.53125,49579.27781677246,2200,2,1.53125,21263.897705078125,2200,2,1.53125,33740.87762451172,2142,2188,2195,2152,2192,2181,2176,2100,2193,2175,2143,2093,2130,2172,2169,2189,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,16665841664,4294963200,875245568,290979840
1000,1745032450708,865.0066223144531,2175,2,0.88125,59810.634017944336,4350,0,0.88125,39722.77165222168,2175,2,0.88125,62939.32637023926,2175,2,0.88125,57502.612869262695,2200,2,0.88125,545.1468811035156,2200,2,0.88125,49579.282943725586,2200,2,1.53125,21263.9130859375,2200,2,1.53125,33746.969818115234,2142,2188,2195,2152,2192,2181,2176,2100,2193,2175,2143,2093,2130,2172,2169,2189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,875245568,290979840
1000,1745032451709,865.0114593505859,2000,2,0.95625,59810.637130737305,3000,2,0.95625,39722.774475097656,2000,2,0.95625,62939.32957458496,2000,2,0.95625,57502.61560058594,2200,2,0.95625,545.1519317626953,2200,2,0.95625,49579.286056518555,2200,2,0.91875,21263.925216674805,2200,2,0.91875,33753.07188415527,2142,2188,2195,2152,2192,2181,2176,2100,2193,2175,2143,2093,2130,2172,2169,2189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,873869312,290979840
1000,1745032452709,865.0190582275391,2133.333333333333,2,0.88125,59810.639739990234,3200,1,0.88125,39722.776763916016,2133.333333333333,2,0.9625,62939.33135986328,2133.333333333333,2,0.9625,57502.61755371094,2200,2,0.9625,545.1538696289063,2200,2,0.9625,49579.28779602051,2200,2,0.9625,21263.9268951416,2200,2,0.9625,33759.07847595215,2142,2188,2195,2152,2192,2181,2176,2100,2193,2175,2143,2093,2130,2172,2169,2189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,873869312,290979840
1000,1745032453710,865.0244598388672,2200,2,0.8375,59810.643157958984,2200,2,0.8375,39722.77912902832,2200,2,0.8375,62939.33448791504,2200,2,0.8375,57502.62142944336,2200,2,0.8625,545.1584014892578,2200,2,0.8625,49579.29138183594,2200,2,0.8625,21263.930206298828,2200,2,0.8625,33765.17883300781,2142,2188,2195,2152,2192,2181,2176,2100,2193,2175,2143,2093,2130,2172,2169,2189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,872431616,290979840
1000,1745032454710,865.0540466308594,2133.333333333333,2,0.9625,59810.64547729492,3200,1,0.9625,39722.78077697754,2133.333333333333,2,0.9625,62939.336029052734,2133.333333333333,2,0.9625,57502.62324523926,2200,2,0.9625,545.1613922119141,2200,2,0.9625,49579.29429626465,2200,2,0.9625,21263.932907104492,2200,2,0.9625,33771.22607421875,2142,2188,2195,2152,2192,2181,2176,2100,2193,2175,2143,2093,2130,2172,2169,2189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,872263680,290979840
1000,1745032455711,865.0600891113281,2133.333333333333,2,0.9125,59810.64811706543,3200,1,0.9125,39722.78300476074,2133.333333333333,2,0.93125,62939.337966918945,2133.333333333333,2,0.93125,57502.62528991699,2200,2,0.93125,545.1634521484375,2200,2,0.93125,49579.29626464844,2200,2,0.93125,21263.936248779297,2200,2,0.93125,33777.30335998535,2142,2188,2195,2152,2192,2181,2176,2100,2193,2175,2143,2093,2130,2172,2169,2189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,871211008,290979840
1000,1745032456711,865.0677032470703,2133.333333333333,2,0.9625,59810.65083312988,3200,1,0.9625,39722.78610229492,2133.333333333333,2,0.9625,62939.34013366699,2133.333333333333,2,0.9625,57502.62744140625,2200,2,0.9625,545.1654357910156,2200,2,0.9625,49579.298416137695,2200,2,0.9625,21263.93798828125,2200,2,0.95625,33783.27397155762,2142,2188,2195,2152,2192,2181,2176,2100,2193,2175,2143,2093,2130,2172,2169,2189,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,871211008,290979840
