Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744916215352,32252.5770111084,2133.333333333333,2,0.9625,61962.382415771484,3200,1,0.9625,43844.209396362305,2133.333333333333,2,0.9625,58438.810943603516,2133.333333333333,2,0.9625,22158.576553344727,2200,2,0.9625,64556.175033569336,2200,2,0.9625,47171.38154602051,2200,2,0.9625,9248.648040771484,2200,2,0.9625,2019.6828155517578,2159,2186,2193,2165,2182,2139,2184,2162,2183,2131,2004,2175,2128,2182,2178,2191,3.125,0,0,3.125,0,6.060606002807617,0,3.125,3.125,0,3.125,6.060606002807617,3.0303030014038086,6.25,3.125,6.060606002807617,16665841664,4294963200,916811776,255328256
1000,1744916215352,32252.580322265625,2133.333333333333,2,0.95625,61962.38265991211,3200,1,0.95625,43844.21142578125,2133.333333333333,2,0.95625,58438.81115722656,2133.333333333333,2,0.95625,22158.576782226563,2200,2,0.95625,64556.17526245117,2200,2,0.95625,47171.381759643555,2200,2,0.95625,9248.652450561523,2200,2,0.95625,2019.7125091552734,2159,2186,2193,2165,2182,2139,2184,2162,2183,2131,2004,2175,2128,2182,2178,2191,3.125,0,0,3.125,0,6.060606002807617,0,3.125,3.125,0,3.125,6.060606002807617,3.0303030014038086,6.25,3.125,6.060606002807617,16665841664,4294963200,916811776,255328256
1000,1744916216353,32252.585235595703,2133.333333333333,2,0.88125,61962.38589477539,3000,2,0.9625,43844.21807861328,2000,2,0.9625,58438.81491088867,2000,2,0.9625,22158.579818725586,2200,2,0.9625,64556.180252075195,2200,2,0.9625,47171.385818481445,2200,2,0.9625,9248.703216552734,2200,2,0.9625,2026.3200988769531,2159,2186,2193,2165,2182,2139,2184,2162,2183,2131,2004,2175,2128,2182,2178,2191,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,16665841664,4294963200,916811776,255328256
1000,1744916217353,32252.58721923828,2200,2,0.8375,61962.38935852051,2200,2,0.8375,43844.22119140625,2200,2,0.8375,58438.81735229492,2200,2,0.8375,22158.58204650879,2200,2,0.8375,64556.182205200195,2200,2,0.875,47171.38801574707,2200,2,0.875,9248.709075927734,2200,2,0.875,2032.4258270263672,2159,2186,2193,2165,2182,2139,2184,2162,2183,2131,2004,2175,2128,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,916664320,255328256
1000,1744916218354,32252.58918762207,2200,2,0.85,61962.39193725586,2200,2,0.85,43844.223220825195,2200,2,0.85,58438.82015991211,2200,2,0.85,22158.5859375,2200,2,0.85,64556.18569946289,2200,2,0.85,47171.389877319336,2200,2,0.85,9248.714462280273,2200,2,0.85,2038.5335540771484,2159,2186,2193,2165,2182,2139,2184,2162,2183,2131,2004,2175,2128,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,917098496,255328256
1000,1744916219354,32252.591094970703,2133.333333333333,2,0.9125,61962.395248413086,3200,1,0.9125,43844.22579956055,2133.333333333333,2,0.9125,58438.82215881348,2133.333333333333,2,0.9125,22158.587997436523,2200,2,0.975,64556.18901062012,2200,2,0.975,47171.391830444336,2200,2,0.975,9248.724136352539,2200,2,0.975,2044.6699523925781,2159,2186,2193,2165,2182,2139,2184,2162,2183,2131,2004,2175,2128,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,917098496,255328256
1000,1744916220355,32252.593322753906,2000,2,0.9625,61962.39797973633,3000,2,0.9625,43844.22813415527,2000,2,0.9625,58438.824798583984,2000,2,0.9625,22158.590545654297,2200,2,0.9625,64556.19287109375,2200,2,0.9625,47171.39385986328,2200,2,0.9625,9248.732330322266,2200,2,0.9625,2050.7496795654297,2159,2186,2193,2165,2182,2139,2184,2162,2183,2131,2004,2175,2128,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,916996096,255328256
1000,1744916221355,32252.602096557617,2175,2,0.88125,61962.40394592285,4350,0,0.88125,43844.230865478516,2175,2,0.88125,58438.830490112305,2000,2,1.5250000000000001,22158.593139648438,2200,2,1.5250000000000001,64556.19429016113,2200,2,1.5250000000000001,47171.39805603027,2200,2,1.5250000000000001,9248.741470336914,2200,2,1.5250000000000001,2056.8760986328125,2159,2186,2193,2165,2182,2139,2184,2162,2183,2131,2004,2175,2128,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9607844352722168,0,0,16665841664,4294963200,916996096,255328256
1000,1744916222356,32252.605377197266,2200,2,0.8375,61962.40704345703,2200,2,0.8375,43844.234115600586,2200,2,0.8375,58438.83514404297,2200,2,0.8375,22158.59797668457,2200,2,0.8375,64556.20149230957,2200,2,0.8375,47171.40394592285,2200,2,0.84375,9248.753784179688,2200,2,0.84375,2063.0370025634766,2159,2186,2193,2165,2182,2139,2184,2162,2183,2131,2004,2175,2128,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,916996096,255328256
1000,1744916223356,32252.60903930664,2133.333333333333,2,0.88125,61962.41075134277,3000,2,0.9625,43844.236236572266,2000,2,0.9625,58438.83712768555,2000,2,0.9625,22158.600021362305,2200,2,0.9625,64556.20474243164,2200,2,0.9625,47171.405670166016,2200,2,0.9625,9248.758422851563,2200,2,0.9625,2069.139144897461,2159,2186,2193,2165,2182,2139,2184,2162,2183,2131,2004,2175,2128,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,916283392,255328256
1000,1744916224356,32252.61183166504,2200,2,0.84375,61962.41470336914,2200,2,0.84375,43844.240661621094,2200,2,0.84375,58438.84069824219,2200,2,0.84375,22158.603805541992,2200,2,0.84375,64556.20945739746,2200,2,0.84375,47171.40832519531,2200,2,0.85,9248.766235351563,2200,2,0.85,2075.262237548828,2159,2186,2193,2165,2182,2139,2184,2162,2183,2131,2004,2175,2128,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,915660800,255328256
1000,1744916225357,32252.614639282227,2000,2,0.9625,61962.41827392578,3000,2,0.9625,43844.24493408203,2000,2,0.9625,58438.84309387207,2000,2,0.9625,22158.60646057129,2200,2,0.9625,64556.21144104004,2200,2,0.9625,47171.41033935547,2200,2,0.9625,9248.770858764648,2200,2,0.9625,2081.3533782958984,2159,2186,2193,2165,2182,2139,2184,2162,2183,2131,2004,2175,2128,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,915623936,255328256
1000,1744916226357,32252.61978149414,2175,2,0.9125,61962.42085266113,4350,0,0.9125,43844.24792480469,2175,2,0.9125,58438.84686279297,2175,2,0.9125,22158.60986328125,2200,2,0.9125,64556.2155456543,2200,2,0.9125,47171.41566467285,2200,2,0.9125,9248.774291992188,2200,2,1.41875,2087.481185913086,2159,2186,2193,2165,2182,2139,2184,2162,2183,2131,2004,2175,2128,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,915623936,255328256
1000,1744916227358,32252.6328125,2200,2,0.9625,61962.425552368164,2200,2,0.9625,43844.25085449219,2200,2,0.9625,58438.84962463379,2200,2,0.9625,22158.61277770996,2200,2,0.9625,64556.21942138672,2200,2,0.9625,47171.41813659668,2200,2,0.9625,9248.776748657227,2200,2,0.85,2093.5692138671875,2159,2186,2193,2165,2182,2139,2184,2162,2183,2131,2004,2175,2128,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,915623936,255328256
1000,1744916228358,32252.635375976563,2133.333333333333,2,0.88125,61962.42907714844,3200,1,0.88125,43844.25263977051,2133.333333333333,2,0.88125,58438.85185241699,2133.333333333333,2,0.88125,22158.614776611328,2200,2,0.88125,64556.222595214844,2200,2,0.88125,47171.41957092285,2200,2,0.88125,9248.778137207031,2200,2,0.88125,2099.6241607666016,2159,2186,2193,2165,2182,2139,2184,2162,2183,2131,2004,2175,2128,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,915623936,255328256
1000,1744916229359,32252.637100219727,2200,2,0.84375,61962.437927246094,2200,2,0.84375,43844.254791259766,2200,2,0.84375,58438.854400634766,2200,2,0.84375,22158.616744995117,2200,2,0.84375,64556.22415161133,2200,2,0.84375,47171.42105102539,2200,2,0.86875,9248.779556274414,2200,2,0.86875,2105.658477783203,2159,2186,2193,2165,2182,2139,2184,2162,2183,2131,2004,2175,2128,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,915623936,255328256
1000,1744916230359,32252.639694213867,2200,2,0.8125,61962.44526672363,2200,2,0.8125,43844.2589263916,2200,2,0.85,58438.857833862305,2200,2,0.85,22158.619674682617,2200,2,0.85,64556.22807312012,2200,2,0.85,47171.42362976074,2200,2,0.85,9248.782943725586,2200,2,0.85,2111.77392578125,2159,2186,2193,2165,2182,2139,2184,2162,2183,2131,2004,2175,2128,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,915623936,255328256
1000,1744916231360,32252.642211914063,2133.333333333333,2,0.9625,61962.45251464844,3200,1,0.9625,43844.261138916016,2133.333333333333,2,0.9625,58438.86006164551,2133.333333333333,2,0.9625,22158.621826171875,2200,2,0.9625,64556.231521606445,2200,2,0.9625,47171.42567443848,2200,2,0.9625,9248.785140991211,2200,2,0.95625,2117.867965698242,2159,2186,2193,2165,2182,2139,2184,2162,2183,2131,2004,2175,2128,2182,2178,2191,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,915615744,255328256
1000,1744916232360,32252.64778137207,2133.333333333333,2,0.9625,61962.45698547363,3200,1,0.9625,43844.2638092041,2133.333333333333,2,0.9625,58438.86268615723,2133.333333333333,2,0.9625,22158.624221801758,2200,2,0.9625,64556.23571777344,2200,2,0.9625,47171.42771911621,2200,2,0.9625,9248.787246704102,2200,2,0.9625,2123.923873901367,2159,2186,2193,2165,2182,2139,2184,2162,2183,2131,2004,2175,2128,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,915615744,255328256
1000,1744916233361,32252.65264892578,2175,2,0.9125,61962.45944213867,4350,0,0.9125,43844.26596069336,2175,2,1.41875,58438.864685058594,2175,2,1.41875,22158.626220703125,2200,2,1.41875,64556.237365722656,2200,2,1.41875,47171.42950439453,2200,2,1.41875,9248.788772583008,2200,2,1.41875,2129.9612731933594,2159,2186,2193,2165,2182,2139,2184,2162,2183,2131,2004,2175,2128,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,915615744,255328256
1000,1744916234361,32252.669921875,2175,2,1.5250000000000001,61962.465072631836,4350,0,1.5250000000000001,43844.27055358887,2175,2,1.5250000000000001,58438.87266540527,2175,2,1.5250000000000001,22158.630599975586,2200,2,1.5250000000000001,64556.24417114258,2200,2,1.5250000000000001,47171.432708740234,2200,2,1.5250000000000001,9248.794845581055,2200,2,1.50625,2136.1141967773438,2159,2186,2193,2165,2182,2139,2184,2162,2183,2131,2004,2175,2128,2182,2178,2191,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,915615744,255328256
1000,1744916235362,32252.682907104492,2133.333333333333,2,0.88125,61962.46911621094,3200,1,0.88125,43844.27372741699,2133.333333333333,2,0.88125,58438.87585449219,2133.333333333333,2,0.88125,22158.634536743164,2200,2,0.9625,64556.248275756836,2200,2,0.9625,47171.4358215332,2200,2,0.9625,9248.797271728516,2200,2,0.9625,2142.187301635742,2159,2186,2193,2165,2182,2139,2184,2162,2183,2131,2004,2175,2128,2182,2178,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,915615744,255328256
