Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744946858011,33100.53218078613,2200,2,0.8375,34957.34037780762,2200,2,0.8375,11777.863723754883,2200,2,0.8375,30700.7117767334,2200,2,0.8375,19461.766525268555,2200,2,0.8375,38408.82411193848,2200,2,0.8375,21158.568572998047,2200,2,0.8375,50958.78910827637,2200,2,0.8375,1766.595947265625,2116,2012,2186,2163,2171,2607,2171,2555,2184,2169,2153,2277,2134,2690,1966,1924,6.060606002807617,3.0303030014038086,0,3.0303030014038086,3.0303030014038086,3.0303030014038086,3.0303030014038086,11.428571701049805,3.0303030014038086,5.882352828979492,3.0303030014038086,0,3.0303030014038086,3.0303030014038086,2.941176414489746,3.0303030014038086,16665841664,4294963200,882151424,277348352
1000,1744946858011,33100.53239440918,2200,2,0.8375,34957.34211730957,2200,2,0.8375,11777.863891601563,2200,2,0.8375,30700.7140045166,2200,2,0.8375,19461.766693115234,2200,2,0.8375,38408.82426452637,2200,2,0.8375,21158.568740844727,2200,2,0.8375,50958.79237365723,2200,2,0.8375,1766.6211853027344,2116,2012,2186,2163,2171,2607,2171,2555,2184,2169,2153,2277,2134,2690,1966,1924,6.060606002807617,3.0303030014038086,0,3.0303030014038086,3.0303030014038086,3.0303030014038086,3.0303030014038086,11.428571701049805,3.0303030014038086,5.882352828979492,3.0303030014038086,0,3.0303030014038086,3.0303030014038086,2.941176414489746,3.0303030014038086,16665841664,4294963200,882405376,277348352
1000,1744946859012,33100.533752441406,2133.333333333333,2,0.88125,34957.34648132324,3200,1,0.9625,11777.866149902344,2000,2,0.9625,30700.716583251953,2000,2,0.9625,19461.769088745117,2200,2,0.9625,38408.825607299805,2200,2,0.9625,21158.57029724121,2200,2,0.9625,50958.8388671875,2200,2,0.9625,1773.2053985595703,2116,2012,2186,2163,2171,2607,2171,2555,2184,2169,2153,2277,2134,2690,1966,1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,882405376,277348352
1000,1744946860012,33100.54521179199,2175,2,1.425,34957.353271484375,4350,0,1.425,11777.87173461914,2175,2,1.425,30700.7266998291,2175,2,1.425,19461.774795532227,2200,2,1.425,38408.8307800293,2200,2,1.425,21158.578414916992,2200,2,1.425,50958.842864990234,2200,2,1.5,1779.4547119140625,2116,2012,2186,2163,2171,2607,2171,2555,2184,2169,2153,2277,2134,2690,1966,1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,882405376,277348352
1000,1744946861013,33100.562423706055,2175,2,1.5250000000000001,34957.35777282715,4350,0,1.5250000000000001,11777.874694824219,2175,2,1.5250000000000001,30700.728897094727,2175,2,1.5250000000000001,19461.777435302734,2200,2,1.5250000000000001,38408.83282470703,2200,2,1.5250000000000001,21158.5811920166,2200,2,1.5250000000000001,50958.84461975098,2200,2,1.5250000000000001,1785.5479583740234,2116,2012,2186,2163,2171,2607,2171,2555,2184,2169,2153,2277,2134,2690,1966,1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,882405376,277348352
1000,1744946862013,33100.565353393555,2200,2,0.8375,34957.36474609375,2200,2,0.8375,11777.878189086914,2200,2,0.8375,30700.731887817383,2200,2,0.8375,19461.783630371094,2200,2,0.8375,38408.83837890625,2200,2,0.875,21158.585067749023,2200,2,0.875,50958.847900390625,2200,2,0.875,1791.731216430664,2116,2012,2186,2163,2171,2607,2171,2555,2184,2169,2153,2277,2134,2690,1966,1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,882405376,277348352
1000,1744946863014,33100.56718444824,2200,2,0.8375,34957.372146606445,2200,2,0.8375,11777.879989624023,2200,2,0.8375,30700.733596801758,2200,2,0.8375,19461.785430908203,2200,2,0.8375,38408.83996582031,2200,2,0.8375,21158.586700439453,2200,2,0.8375,50958.84941101074,2200,2,0.8375,1797.813003540039,2116,2012,2186,2163,2171,2607,2171,2555,2184,2169,2153,2277,2134,2690,1966,1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,882405376,277348352
1000,1744946864014,33100.569900512695,2200,2,0.8125,34957.37886047363,2200,2,0.8125,11777.882675170898,2200,2,0.8125,30700.736251831055,2200,2,0.8125,19461.789428710938,2200,2,0.8375,38408.84255981445,2200,2,0.8375,21158.589599609375,2200,2,0.8375,50958.85194396973,2200,2,0.8375,1803.9790496826172,2116,2012,2186,2163,2171,2607,2171,2555,2184,2169,2153,2277,2134,2690,1966,1924,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,882405376,277348352
1000,1744946865015,33100.57176208496,2200,2,0.8375,34957.38668823242,2200,2,0.8375,11777.885009765625,2200,2,0.8375,30700.738540649414,2200,2,0.8375,19461.79119873047,2200,2,0.8375,38408.84407043457,2200,2,0.8375,21158.59130859375,2200,2,0.8375,50958.85339355469,2200,2,0.8375,1810.0584259033203,2116,2012,2186,2163,2171,2607,2171,2555,2184,2169,2153,2277,2134,2690,1966,1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,882405376,277348352
1000,1744946866015,33100.574157714844,2200,2,0.88125,34957.393981933594,2200,2,0.88125,11777.88801574707,2200,2,0.88125,30700.74169921875,2200,2,0.84375,19461.79539489746,2200,2,0.84375,38408.847915649414,2200,2,0.84375,21158.59471130371,2200,2,0.84375,50958.85557556152,2200,2,0.84375,1816.2122650146484,2116,2012,2186,2163,2171,2607,2171,2555,2184,2169,2153,2277,2134,2690,1966,1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,882405376,277348352
