Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744935758533,8138.435409545898,2200,2,0.8375,22302.37858581543,2200,2,0.8375,330.7272644042969,2200,2,0.8375,16661.408630371094,2200,2,0.8375,62883.64680480957,2200,2,0.8375,23354.507873535156,2200,2,0.8375,6728.974029541016,2200,2,0.8375,33935.58627319336,2200,2,0.8375,26076.200958251953,2184,2182,2182,2099,2119,2180,2190,1938,1993,2174,2007,2200,2174,1938,2185,2194,0,3.125,3.125,0,3.22580623626709,3.125,6.25,3.125,0,12.121212005615234,3.22580623626709,0,3.22580623626709,3.22580623626709,3.125,3.125,16665841664,4294963200,896647168,270794752
1000,1744935758533,8138.435791015625,2200,2,0.8375,22302.37873840332,2200,2,0.8375,330.7274169921875,2200,2,0.8375,16661.411834716797,2200,2,0.8375,62883.646911621094,2200,2,0.8375,23354.50798034668,2200,2,0.8375,6728.975296020508,2200,2,0.8375,33935.58827209473,2200,2,0.8375,26076.22477722168,2184,2182,2182,2099,2119,2180,2190,1938,1993,2174,2007,2200,2174,1938,2185,2194,0,3.125,3.125,0,3.22580623626709,3.125,6.25,3.125,0,12.121212005615234,3.22580623626709,0,3.22580623626709,3.22580623626709,3.125,3.125,16665841664,4294963200,896647168,270794752
1000,1744935759534,8138.439422607422,2000,2,0.9625,22302.382125854492,3000,2,0.9625,330.7297058105469,2000,2,0.9625,16661.424392700195,2000,2,0.9625,62883.64942932129,2200,2,0.9625,23354.51023864746,2200,2,0.9625,6728.979843139648,2200,2,0.9625,33935.5936126709,2200,2,0.96875,26082.433624267578,2184,2182,2182,2099,2119,2180,2190,1938,1993,2174,2007,2200,2174,1938,2185,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,896901120,270794752
1000,1744935760534,8138.443283081055,2200,2,0.8125,22302.38848876953,2200,2,0.84375,330.73236083984375,2200,2,0.84375,16661.43162536621,2200,2,0.84375,62883.65396118164,2200,2,0.84375,23354.512481689453,2200,2,0.84375,6728.982284545898,2200,2,0.84375,33935.59616088867,2200,2,0.84375,26088.564010620117,2184,2182,2182,2099,2119,2180,2190,1938,1993,2174,2007,2200,2174,1938,2185,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,896901120,270794752
999,1744935761535,8138.445541381836,2200,2,0.8375,22302.392120361328,2200,2,0.8375,330.7340545654297,2200,2,0.8375,16661.438842773438,2200,2,0.8375,62883.65562438965,2200,2,0.8375,23354.513961791992,2200,2,0.88125,6728.983963012695,2200,2,0.88125,33935.59747314453,2200,2,0.88125,26094.64698791504,2184,2182,2182,2099,2119,2180,2190,1938,1993,2174,2007,2200,2174,1938,2185,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,16665841664,4294963200,896901120,270794752
1000,1744935762535,8138.448089599609,2200,2,0.84375,22302.394439697266,2200,2,0.84375,330.7377014160156,2200,2,0.84375,16661.4453125,2200,2,0.84375,62883.65753173828,2200,2,0.8125,23354.5157623291,2200,2,0.8125,6728.985824584961,2200,2,0.8125,33935.59979248047,2200,2,0.8125,26100.731018066406,2184,2182,2182,2099,2119,2180,2190,1938,1993,2174,2007,2200,2174,1938,2185,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,896741376,270794752
1000,1744935763535,8138.457534790039,2200,2,0.8375,22302.397430419922,2200,2,0.8375,330.74072265625,2200,2,0.8375,16661.451568603516,2200,2,0.8375,62883.66046142578,2200,2,0.8375,23354.518005371094,2200,2,0.8375,6728.988327026367,2200,2,0.8375,33935.603256225586,2200,2,0.8375,26106.856643676758,2184,2182,2182,2099,2119,2180,2190,1938,1993,2174,2007,2200,2174,1938,2185,2194,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,16665841664,4294963200,895664128,270794752
1000,1744935764536,8138.460601806641,2200,2,0.81875,22302.400451660156,2200,2,0.81875,330.74334716796875,2200,2,0.81875,16661.45915222168,2200,2,0.81875,62883.66256713867,2200,2,0.8375,23354.520599365234,2200,2,0.8375,6728.990264892578,2200,2,0.8375,33935.605209350586,2200,2,0.8375,26112.93634033203,2184,2182,2182,2099,2119,2180,2190,1938,1993,2174,2007,2200,2174,1938,2185,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,895664128,270794752
1000,1744935765536,8138.463470458984,2200,2,0.8375,22302.403198242188,2200,2,0.8375,330.7459411621094,2200,2,0.8375,16661.464874267578,2200,2,0.8375,62883.66606140137,2200,2,0.8375,23354.523727416992,2200,2,0.8375,6728.992294311523,2200,2,0.8375,33935.60710144043,2200,2,0.8375,26119.0576171875,2184,2182,2182,2099,2119,2180,2190,1938,1993,2174,2007,2200,2174,1938,2185,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,895664128,270794752
1000,1744935766537,8138.467102050781,2200,2,0.8125,22302.407012939453,2200,2,0.8375,330.7508544921875,2200,2,0.8375,16661.47299194336,2200,2,0.8375,62883.66912841797,2200,2,0.8375,23354.527908325195,2200,2,0.8375,6728.995407104492,2200,2,0.8375,33935.61209106445,2200,2,0.8375,26125.20445251465,2184,2182,2182,2099,2119,2180,2190,1938,1993,2174,2007,2200,2174,1938,2185,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,894722048,270794752
