Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745071840122,21993.254852294922,2200,2,0.8375,41195.40751647949,2200,2,0.8375,18365.2869720459,2200,2,0.8375,41124.2957611084,2200,2,0.8375,62844.18768310547,2200,2,0.8375,48303.38006591797,2200,2,0.8375,26079.832153320313,2200,2,0.8375,5721.059600830078,2200,2,0.8375,59774.5369720459,2175,1960,2155,2190,2172,2163,2178,2178,2191,2181,2194,2180,2149,2183,2139,2178,3.3333334922790527,3.3333334922790527,0,3.3333334922790527,3.4482758045196533,3.3333334922790527,0,0,3.3333334922790527,13.333333969116211,0,6.6666669845581055,3.3333334922790527,0,3.4482758045196533,3.3333334922790527,16665841664,4294963200,884318208,295960576
1000,1745071840122,21993.25523376465,2200,2,0.8375,41195.40766906738,2200,2,0.8375,18365.287063598633,2200,2,0.8375,41124.29734802246,2200,2,0.8375,62844.18778991699,2200,2,0.8375,48303.38069152832,2200,2,0.8375,26079.83233642578,2200,2,0.8375,5721.061264038086,2200,2,0.8375,59774.561126708984,2175,1960,2155,2190,2172,2163,2178,2178,2191,2181,2194,2180,2149,2183,2139,2178,3.3333334922790527,3.3333334922790527,0,3.3333334922790527,3.4482758045196533,3.3333334922790527,0,0,3.3333334922790527,13.333333969116211,0,6.6666669845581055,3.3333334922790527,0,3.4482758045196533,3.3333334922790527,16665841664,4294963200,884318208,295960576
1000,1745071841122,21993.2579498291,2000,2,1.51875,41195.40997314453,3000,2,1.51875,18365.28973388672,2000,2,1.51875,41124.31474304199,2000,2,1.51875,62844.190505981445,2200,2,1.51875,48303.385192871094,2200,2,1.51875,26079.836654663086,2200,2,1.51875,5721.070846557617,2200,2,1.51875,59780.70991516113,2175,1960,2155,2190,2172,2163,2178,2178,2191,2181,2194,2180,2149,2183,2139,2178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,883683328,295960576
1000,1745071842123,21993.262817382813,2175,2,0.88125,41195.420837402344,3000,2,1.48125,18365.296325683594,2000,2,1.48125,41124.32861328125,2000,2,1.48125,62844.19770812988,2200,2,1.48125,48303.38948059082,2200,2,1.48125,26079.841918945313,2200,2,1.48125,5721.076477050781,2200,2,1.48125,59786.803634643555,2175,1960,2155,2190,2172,2163,2178,2178,2191,2181,2194,2180,2149,2183,2139,2178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,882384896,295960576
1000,1745071843123,21993.264724731445,2200,2,0.84375,41195.42987060547,2200,2,0.84375,18365.298873901367,2200,2,0.84375,41124.335037231445,2200,2,0.84375,62844.19985961914,2200,2,0.84375,48303.39170837402,2200,2,0.84375,26079.844345092773,2200,2,0.88125,5721.078918457031,2200,2,0.88125,59792.817794799805,2175,1960,2155,2190,2172,2163,2178,2178,2191,2181,2194,2180,2149,2183,2139,2178,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,16665841664,4294963200,881332224,295960576
1000,1745071844124,21993.26808166504,2200,2,0.825,41195.43362426758,2200,2,0.85,18365.303421020508,2200,2,0.85,41124.34259033203,2200,2,0.85,62844.20294189453,2200,2,0.85,48303.39491271973,2200,2,0.85,26079.84733581543,2200,2,0.85,5721.081634521484,2200,2,0.85,59798.82843017578,2175,1960,2155,2190,2172,2163,2178,2178,2191,2181,2194,2180,2149,2183,2139,2178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,880410624,295960576
1000,1745071845124,21993.27003479004,2200,2,0.9125,41195.43650817871,2200,2,0.9125,18365.30516052246,2200,2,0.9125,41124.34956359863,2200,2,0.9125,62844.204681396484,2200,2,0.9125,48303.39645385742,2200,2,0.84375,26079.84928894043,2200,2,0.84375,5721.083419799805,2200,2,0.84375,59804.814712524414,2175,1960,2155,2190,2172,2163,2178,2178,2191,2181,2194,2180,2149,2183,2139,2178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,879603712,295960576
1000,1745071846125,21993.273040771484,2200,2,0.85,41195.440338134766,2200,2,0.85,18365.308486938477,2200,2,0.85,41124.3567199707,2200,2,0.85,62844.20916748047,2200,2,0.85,48303.400131225586,2200,2,0.85,26079.851928710938,2200,2,0.85,5721.087738037109,2200,2,0.85,59810.92170715332,2175,1960,2155,2190,2172,2163,2178,2178,2191,2181,2194,2180,2149,2183,2139,2178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,878034944,295960576
1000,1745071847125,21993.27572631836,2133.333333333333,2,0.88125,41195.443283081055,3200,1,0.88125,18365.310958862305,2133.333333333333,2,0.88125,41124.36462402344,2000,2,0.9625,62844.21174621582,2200,2,0.9625,48303.40203857422,2200,2,0.9625,26079.854705810547,2200,2,0.9625,5721.089767456055,2200,2,0.9625,59816.91133117676,2175,1960,2155,2190,2172,2163,2178,2178,2191,2181,2194,2180,2149,2183,2139,2178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,877416448,295960576
1000,1745071848126,21993.282302856445,2200,2,0.84375,41195.44631958008,2200,2,0.84375,18365.31379699707,2200,2,0.84375,41124.36708068848,2200,2,0.84375,62844.215103149414,2200,2,0.84375,48303.405334472656,2200,2,0.84375,26079.857360839844,2200,2,0.84375,5721.092041015625,2200,2,0.84375,59822.93998718262,2175,1960,2155,2190,2172,2163,2178,2178,2191,2181,2194,2180,2149,2183,2139,2178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,876212224,295960576
