Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744903781688,9072.108840942383,2200,2,0.8375,50804.85369873047,2200,2,0.8375,31235.77554321289,2200,2,0.8375,44247.07012939453,2200,2,0.8375,62504.217681884766,2200,2,0.8375,51084.88604736328,2200,2,0.8375,34752.399505615234,2200,2,0.8375,65419.45724487305,2200,2,0.8375,22090.55682373047,2113,3190,2128,2118,2195,1997,2193,2196,2133,1950,2182,2002,2184,2195,2128,3192,0,10.714285850524902,3.5714287757873535,3.5714287757873535,3.5714287757873535,0,0,0,3.4482758045196533,3.5714287757873535,0,0,0,3.4482758045196533,3.4482758045196533,0,16665841664,4294963200,897589248,253755392
1000,1744903781689,9072.109115600586,2200,2,0.8375,50804.85691833496,2200,2,0.8375,31235.775650024414,2200,2,0.8375,44247.070236206055,2200,2,0.8375,62504.21778869629,2200,2,0.8375,51084.887619018555,2200,2,0.8375,34752.399673461914,2200,2,0.8375,65419.459243774414,2200,2,0.8375,22090.581024169922,2113,3190,2128,2118,2195,1997,2193,2196,2133,1950,2182,2002,2184,2195,2128,3192,0,10.714285850524902,3.5714287757873535,3.5714287757873535,3.5714287757873535,0,0,0,3.4482758045196533,3.5714287757873535,0,0,0,3.4482758045196533,3.4482758045196533,0,16665841664,4294963200,897589248,253755392
1000,1744903782689,9072.112426757813,2133.333333333333,2,0.9125,50804.86602783203,3200,1,0.95625,31235.78155517578,2133.333333333333,2,0.95625,44247.07360839844,2133.333333333333,2,0.95625,62504.22172546387,2200,2,0.95625,51084.89469909668,2200,2,0.95625,34752.40286254883,2200,2,0.95625,65419.46342468262,2200,2,0.95625,22096.766830444336,2113,3190,2128,2118,2195,1997,2193,2196,2133,1950,2182,2002,2184,2195,2128,3192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,897589248,253755392
1000,1744903783690,9072.115173339844,2175,2,0.88125,50804.87480163574,4350,0,0.88125,31235.7850189209,2175,2,0.88125,44247.07695007324,2175,2,0.88125,62504.225509643555,2200,2,0.88125,51084.89727783203,2200,2,0.88125,34752.40733337402,2200,2,0.88125,65419.465896606445,2200,2,0.88125,22102.9188079834,2113,3190,2128,2118,2195,1997,2193,2196,2133,1950,2182,2002,2184,2195,2128,3192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,897589248,253755392
1000,1744903784690,9072.119430541992,2133.333333333333,2,0.9625,50804.89552307129,3200,1,0.9625,31235.790756225586,2133.333333333333,2,0.9625,44247.08297729492,2133.333333333333,2,0.9625,62504.22953796387,2200,2,0.9625,51084.901290893555,2200,2,0.9625,34752.411865234375,2200,2,0.9625,65419.468841552734,2200,2,0.9625,22109.04978942871,2113,3190,2128,2118,2195,1997,2193,2196,2133,1950,2182,2002,2184,2195,2128,3192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,897589248,253755392
1000,1744903785690,9072.121231079102,2175,2,0.9125,50804.90171813965,4350,0,0.9125,31235.79248046875,2175,2,0.9125,44247.08465576172,2175,2,0.9125,62504.23133850098,2200,2,0.9125,51084.902908325195,2200,2,0.9125,34752.41520690918,2200,2,0.9125,65419.47023010254,2200,2,0.9125,22115.17414855957,2113,3190,2128,2118,2195,1997,2193,2196,2133,1950,2182,2002,2184,2195,2128,3192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,897589248,253755392
1000,1744903786691,9072.124618530273,2133.333333333333,2,0.88125,50804.925231933594,3200,1,0.88125,31235.798126220703,2133.333333333333,2,0.88125,44247.09506225586,2133.333333333333,2,0.88125,62504.23547363281,2200,2,0.88125,51084.907775878906,2200,2,0.88125,34752.421447753906,2200,2,0.88125,65419.47657775879,2200,2,0.88125,22121.38264465332,2113,3190,2128,2118,2195,1997,2193,2196,2133,1950,2182,2002,2184,2195,2128,3192,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,897589248,253755392
1000,1744903787692,9072.12759399414,2133.333333333333,2,0.9125,50804.936111450195,3200,1,0.9125,31235.80113220215,2133.333333333333,2,0.9625,44247.0989074707,2133.333333333333,2,0.9625,62504.241302490234,2200,2,0.9625,51084.91018676758,2200,2,0.9625,34752.425354003906,2200,2,0.9625,65419.480545043945,2200,2,0.9625,22127.551513671875,2113,3190,2128,2118,2195,1997,2193,2196,2133,1950,2182,2002,2184,2195,2128,3192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,897589248,253755392
1000,1744903788692,9072.129623413086,2133.333333333333,2,0.88125,50804.94302368164,3200,1,0.88125,31235.803802490234,2133.333333333333,2,0.88125,44247.10105895996,2133.333333333333,2,0.88125,62504.24345397949,2200,2,0.88125,51084.91226196289,2200,2,0.88125,34752.42755126953,2200,2,0.88125,65419.48222351074,2200,2,0.9625,22133.64273071289,2113,3190,2128,2118,2195,1997,2193,2196,2133,1950,2182,2002,2184,2195,2128,3192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,897589248,253755392
1000,1744903789692,9072.132843017578,2175,2,0.9125,50804.95098876953,4350,0,0.9125,31235.80632019043,2175,2,0.9125,44247.1046295166,2175,2,0.9125,62504.24905395508,2200,2,0.9125,51084.91522216797,2200,2,0.9125,34752.432540893555,2200,2,0.9125,65419.483963012695,2200,2,0.9125,22139.778884887695,2113,3190,2128,2118,2195,1997,2193,2196,2133,1950,2182,2002,2184,2195,2128,3192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,897589248,253755392
