Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744822704903,46659.07655334473,2200,2,0.8375,22667.733306884766,2200,2,0.8375,18000.605270385742,2200,2,0.8375,22710.316360473633,2200,2,0.8375,39631.00466918945,2200,2,0.8375,24337.541564941406,2200,2,0.8375,16354.052520751953,2200,2,0.8375,22094.809600830078,2200,2,0.8375,22725.54737854004,2158,2158,4301,2157,2188,1991,2195,2195,4309,2153,2192,2095,2192,2196,2157,2156,3.4482758045196533,10,6.6666669845581055,3.4482758045196533,3.4482758045196533,3.3333334922790527,0,3.4482758045196533,0,3.4482758045196533,6.896551609039307,3.3333334922790527,3.3333334922790527,6.6666669845581055,3.3333334922790527,3.4482758045196533,16665841664,4294963200,1105108992,192413696
1000,1744822704903,46659.079666137695,2200,2,0.8375,22667.73341369629,2200,2,0.8375,18000.605392456055,2200,2,0.8375,22710.316467285156,2200,2,0.8375,39631.00477600098,2200,2,0.8375,24337.54362487793,2200,2,0.8375,16354.052688598633,2200,2,0.8375,22094.81153869629,2200,2,0.8375,22725.57388305664,2158,2158,4301,2157,2188,1991,2195,2195,4309,2153,2192,2095,2192,2196,2157,2156,3.4482758045196533,10,6.6666669845581055,3.4482758045196533,3.4482758045196533,3.3333334922790527,0,3.4482758045196533,0,3.4482758045196533,6.896551609039307,3.3333334922790527,3.3333334922790527,6.6666669845581055,3.3333334922790527,3.4482758045196533,16665841664,4294963200,1105108992,192413696
1000,1744822705904,46659.086502075195,2175,2,0.9125,22667.736557006836,4350,0,0.9125,18000.60986328125,2175,2,0.9125,22710.319915771484,2175,2,0.9125,39631.009368896484,2200,2,0.9125,24337.54852294922,2200,2,0.9125,16354.055419921875,2200,2,0.9125,22094.81512451172,2200,2,0.9125,22731.700576782227,2158,2158,4301,2157,2188,1991,2195,2195,4309,2153,2192,2095,2192,2196,2157,2156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,1105367040,192413696
1000,1744822706904,46659.112731933594,2175,2,1.5250000000000001,22667.74919128418,4350,0,1.5250000000000001,18000.615829467773,2175,2,1.5250000000000001,22710.323516845703,2175,2,1.5250000000000001,39631.01988220215,2200,2,1.5250000000000001,24337.552825927734,2200,2,1.5250000000000001,16354.063507080078,2200,2,1.5250000000000001,22094.819091796875,2200,2,1.5250000000000001,22737.901931762695,2158,2158,4301,2157,2188,1991,2195,2195,4309,2153,2192,2095,2192,2196,2157,2156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,1104605184,192413696
1000,1744822707905,46659.125076293945,2200,2,0.8125,22667.756469726563,2200,2,0.8125,18000.621322631836,2200,2,0.8125,22710.333587646484,2200,2,0.8125,39631.02583312988,2200,2,0.84375,24337.557357788086,2200,2,0.84375,16354.068252563477,2200,2,0.84375,22094.824005126953,2200,2,0.84375,22744.05305480957,2158,2158,4301,2157,2188,1991,2195,2195,4309,2153,2192,2095,2192,2196,2157,2156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,1102462976,192413696
1000,1744822708905,46659.12854003906,2000,2,0.95625,22667.758987426758,3000,2,0.95625,18000.625854492188,2000,2,0.95625,22710.336029052734,2000,2,0.95625,39631.0276184082,2200,2,0.95625,24337.55892944336,2200,2,0.95625,16354.069747924805,2200,2,0.95625,22094.825576782227,2200,2,0.91875,22750.09033203125,2158,2158,4301,2157,2188,1991,2195,2195,4309,2153,2192,2095,2192,2196,2157,2156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,1100447744,192413696
1000,1744822709906,46659.13317871094,2133.333333333333,2,0.88125,22667.765747070313,3000,2,0.9625,18000.63539123535,2000,2,0.9625,22710.340362548828,2000,2,0.9625,39631.033264160156,2200,2,0.9625,24337.562698364258,2200,2,0.9625,16354.170501708984,2200,2,0.9625,22094.829025268555,2200,2,0.9625,22756.43310546875,2158,2158,4301,2157,2188,1991,2195,2195,4309,2153,2192,2095,2192,2196,2157,2156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,1100279808,192413696
1000,1744822710906,46659.13774108887,2000,2,0.9625,22667.76968383789,3000,2,0.9625,18000.638549804688,2000,2,0.9625,22710.342239379883,2000,2,0.9625,39631.035888671875,2200,2,0.9625,24337.564559936523,2200,2,0.93125,16354.17300415039,2200,2,0.93125,22094.831924438477,2200,2,0.93125,22762.507583618164,2158,2158,4301,2157,2188,1991,2195,2195,4309,2153,2192,2095,2192,2196,2157,2156,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,1099472896,192413696
1000,1744822711907,46659.15087890625,2175,2,1.51875,22667.774291992188,4350,0,1.51875,18000.64242553711,2175,2,1.51875,22710.347091674805,2175,2,1.51875,39631.04020690918,2200,2,1.51875,24337.568298339844,2200,2,1.51875,16354.179138183594,2200,2,1.51875,22094.836456298828,2200,2,1.51875,22768.691497802734,2158,2158,4301,2157,2188,1991,2195,2195,4309,2153,2192,2095,2192,2196,2157,2156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,1099472896,192413696
1000,1744822712907,46659.15658569336,2200,2,0.8125,22667.782012939453,2200,2,0.8125,18000.64501953125,2200,2,0.8125,22710.349319458008,2200,2,0.8125,39631.04373168945,2200,2,0.85,24337.570053100586,2200,2,0.85,16354.181579589844,2200,2,0.85,22094.83807373047,2200,2,0.85,22774.762603759766,2158,2158,4301,2157,2188,1991,2195,2195,4309,2153,2192,2095,2192,2196,2157,2156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,1099472896,192413696
