Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744927199930,58816.098556518555,2133.333333333333,2,0.95625,10639.765991210938,3200,1,0.95625,52880.059005737305,2133.333333333333,2,0.95625,6921.056884765625,2133.333333333333,2,0.95625,44316.53846740723,2200,2,0.95625,9944.93276977539,2200,2,0.95625,58712.18876647949,2200,2,0.95625,21779.898468017578,2200,2,0.95625,33256.46937561035,2187,1971,2152,2195,1929,2187,2180,2175,2188,2195,1930,2102,2093,2168,2125,2181,6.896551609039307,0,0,0,0,0,0,0,6.45161247253418,3.22580623626709,6.45161247253418,0,3.3333334922790527,0,3.3333334922790527,0,16665841664,4294963200,900644864,266600448
1000,1744927199930,58816.0989074707,2133.333333333333,2,0.95625,10639.771606445313,3200,1,0.95625,52880.05918884277,2133.333333333333,2,0.95625,6921.057037353516,2133.333333333333,2,0.95625,44316.53861999512,2200,2,0.95625,9944.932922363281,2200,2,0.95625,58712.19108581543,2200,2,0.95625,21779.898696899414,2200,2,0.95625,33256.483825683594,2187,1971,2152,2195,1929,2187,2180,2175,2188,2195,1930,2102,2093,2168,2125,2181,6.896551609039307,0,0,0,0,0,0,0,6.45161247253418,3.22580623626709,6.45161247253418,0,3.3333334922790527,0,3.3333334922790527,0,16665841664,4294963200,900644864,266600448
1000,1744927200931,58816.10108947754,2133.333333333333,2,0.9125,10639.77978515625,3200,1,0.9125,52880.06098937988,2133.333333333333,2,0.9625,6921.059799194336,2133.333333333333,2,0.9625,44316.54136657715,2200,2,0.9625,9944.938827514648,2200,2,0.9625,58712.19543457031,2200,2,0.9625,21779.90071105957,2200,2,0.9625,33262.5525970459,2187,1971,2152,2195,1929,2187,2180,2175,2188,2195,1930,2102,2093,2168,2125,2181,0.9900990128517151,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,901160960,266600448
1000,1744927201931,58816.1072845459,2133.333333333333,2,0.88125,10639.783309936523,3200,1,0.88125,52880.06483459473,2133.333333333333,2,0.88125,6921.061782836914,2133.333333333333,2,0.88125,44316.543869018555,2200,2,0.9625,9944.946640014648,2200,2,0.9625,58712.20121765137,2200,2,0.9625,21779.90689086914,2200,2,0.9625,33268.67936706543,2187,1971,2152,2195,1929,2187,2180,2175,2188,2195,1930,2102,2093,2168,2125,2181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,901066752,266600448
1000,1744927202932,58816.110763549805,2175,2,0.9125,10639.795150756836,4350,0,0.9125,52880.06678771973,2175,2,1.5,6921.064956665039,2175,2,1.5,44316.54554748535,2200,2,1.5,9944.948593139648,2200,2,1.5,58712.20307922363,2200,2,1.5,21779.910415649414,2200,2,1.5,33274.73629760742,2187,1971,2152,2195,1929,2187,2180,2175,2188,2195,1930,2102,2093,2168,2125,2181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,901066752,266600448
1000,1744927203932,58816.51885986328,4250,0,0.9,10640.056701660156,2833.333333333333,2,0.9,52880.83241271973,2125,2,0.9,6921.398361206055,2133.333333333333,2,1.4937500000000001,44317.22737121582,3000,2,1.4937500000000001,9945.40805053711,2000,2,1.4937500000000001,58712.59678649902,2000,2,1.4937500000000001,21780.528747558594,2000,2,1.4937500000000001,33287.776916503906,2187,1971,2152,2195,1929,2187,2180,2175,2188,2195,1930,2102,2093,2168,2125,2181,0,0.9900990128517151,5.94059419631958,1,2.97029709815979,1,1.9607844352722168,0,0,1,1,1.9801980257034302,1,3,3,1,16665841664,4294963200,896958464,266338304
1000,1744927204933,58816.52909851074,2560,2,0.91875,10640.066711425781,3200,1,0.91875,52880.83662414551,2133.333333333333,2,0.91875,6921.402969360352,2133.333333333333,2,0.91875,44317.23208618164,2200,2,0.91875,9945.414367675781,2200,2,0.91875,58712.60316467285,2200,2,0.91875,21780.534133911133,2200,2,0.91875,33293.95687866211,2187,1971,2152,2195,1929,2187,2180,2175,2188,2195,1930,2102,2093,2168,2125,2181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,896434176,266338304
1000,1744927205933,58816.53352355957,4350,0,0.9125,10640.08268737793,2900,2,0.9125,52880.83982849121,2175,2,1.44375,6921.406265258789,2175,2,1.44375,44317.2352142334,2200,2,1.44375,9945.421325683594,2200,2,1.44375,58712.60877990723,2200,2,1.44375,21780.538818359375,2200,2,1.44375,33300.11380004883,2187,1971,2152,2195,1929,2187,2180,2175,2188,2195,1930,2102,2093,2168,2125,2181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,895934464,266338304
1000,1744927206934,58816.5361328125,2175,2,0.88125,10640.094100952148,4350,0,0.88125,52880.845764160156,2175,2,0.88125,6921.412750244141,2175,2,0.88125,44317.23783874512,2200,2,0.88125,9945.424621582031,2200,2,0.88125,58712.611404418945,2200,2,0.88125,21780.54554748535,2200,2,0.88125,33306.222885131836,2187,1971,2152,2195,1929,2187,2180,2175,2188,2195,1930,2102,2093,2168,2125,2181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,895766528,266338304
1000,1744927207934,58816.541915893555,2175,2,0.9125,10640.118515014648,4350,0,0.9125,52880.853271484375,2175,2,1.50625,6921.419250488281,2175,2,1.50625,44317.24671936035,2200,2,1.50625,9945.430572509766,2200,2,1.50625,58712.61738586426,2200,2,1.50625,21780.551864624023,2200,2,1.50625,33312.45457458496,2187,1971,2152,2195,1929,2187,2180,2175,2188,2195,1930,2102,2093,2168,2125,2181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,895401984,266338304
