Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745021818603,44470.356201171875,2200,2,0.8375,49435.073318481445,2200,2,0.8375,26035.647583007813,2200,2,0.8375,52171.23937988281,2200,2,0.8375,37754.475006103516,2200,2,0.8375,54048.57124328613,2200,2,0.8375,39832.01306152344,2200,2,0.8375,9796.734191894531,2200,2,0.8375,17324.236709594727,2178,2154,2195,2191,2195,2189,2175,2191,2194,2133,2180,2191,1988,2193,2186,2193,0,3.4482758045196533,3.4482758045196533,7.142857551574707,3.4482758045196533,3.4482758045196533,6.6666669845581055,3.5714287757873535,3.4482758045196533,3.4482758045196533,3.4482758045196533,0,3.3333334922790527,3.4482758045196533,0,3.5714287757873535,16665841664,4294963200,872869888,290717696
1000,1745021818603,44470.356506347656,2200,2,0.8375,49435.073471069336,2200,2,0.8375,26035.647720336914,2200,2,0.8375,52171.242599487305,2200,2,0.8375,37754.475158691406,2200,2,0.8375,54048.57139587402,2200,2,0.8375,39832.014389038086,2200,2,0.8375,9796.736724853516,2200,2,0.8375,17324.26091003418,2178,2154,2195,2191,2195,2189,2175,2191,2194,2133,2180,2191,1988,2193,2186,2193,0,3.4482758045196533,3.4482758045196533,7.142857551574707,3.4482758045196533,3.4482758045196533,6.6666669845581055,3.5714287757873535,3.4482758045196533,3.4482758045196533,3.4482758045196533,0,3.3333334922790527,3.4482758045196533,0,3.5714287757873535,16665841664,4294963200,872869888,290717696
1000,1745021819603,44470.35877990723,2200,2,0.84375,49435.076919555664,2200,2,0.85,26035.649978637695,2200,2,0.85,52171.24940490723,2200,2,0.85,37754.477310180664,2200,2,0.85,54048.573318481445,2200,2,0.85,39832.0212097168,2200,2,0.85,9796.76644897461,2200,2,0.85,17330.745880126953,2178,2154,2195,2191,2195,2189,2175,2191,2194,2133,2180,2191,1988,2193,2186,2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,871849984,290717696
1000,1745021820604,44470.36143493652,2200,2,0.8375,49435.07971191406,2200,2,0.8375,26035.652450561523,2200,2,0.8375,52171.25654602051,2200,2,0.8375,37754.47967529297,2200,2,0.8625,54048.57583618164,2200,2,0.8625,39832.02424621582,2200,2,0.8625,9796.769470214844,2200,2,0.8625,17336.823272705078,2178,2154,2195,2191,2195,2189,2175,2191,2194,2133,2180,2191,1988,2193,2186,2193,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,870617088,290717696
1000,1745021821604,44470.366287231445,2000,2,1.4875,49435.091552734375,3000,2,1.4875,26035.654983520508,2000,2,1.4875,52171.26560974121,2000,2,1.4875,37754.48272705078,2200,2,1.4875,54048.579528808594,2200,2,1.4875,39832.04258728027,2200,2,1.4875,9796.775283813477,2200,2,1.4875,17342.96812438965,2178,2154,2195,2191,2195,2189,2175,2191,2194,2133,2180,2191,1988,2193,2186,2193,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,16665841664,4294963200,870617088,290717696
1000,1745021822605,44470.38656616211,2200,2,0.8125,49435.09623718262,2200,2,0.8125,26035.66650390625,2200,2,0.8125,52171.284240722656,2200,2,0.8125,37754.487045288086,2200,2,0.85,54048.58767700195,2200,2,0.85,39832.06814575195,2200,2,0.85,9796.785263061523,2200,2,0.85,17349.211029052734,2178,2154,2195,2191,2195,2189,2175,2191,2194,2133,2180,2191,1988,2193,2186,2193,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,1,0,16665841664,4294963200,872153088,290717696
1000,1745021823605,44470.38949584961,2000,2,0.9625,49435.099700927734,3000,2,0.9625,26035.6688079834,2000,2,0.9625,52171.29022216797,2000,2,0.9625,37754.48927307129,2200,2,0.9625,54048.59120178223,2200,2,0.9625,39832.07064819336,2200,2,0.9375,9796.787963867188,2200,2,0.9375,17355.31935119629,2178,2154,2195,2191,2195,2189,2175,2191,2194,2133,2180,2191,1988,2193,2186,2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,871587840,290717696
1000,1745021824606,44470.398178100586,2200,2,0.8125,49435.10270690918,2200,2,0.8125,26035.674026489258,2200,2,0.85,52171.29887390137,2200,2,0.85,37754.49174499512,2200,2,0.85,54048.59437561035,2200,2,0.85,39832.073486328125,2200,2,0.85,9796.790283203125,2200,2,0.85,17361.42855834961,2178,2154,2195,2191,2195,2189,2175,2191,2194,2133,2180,2191,1988,2193,2186,2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,870645760,290717696
1000,1745021825606,44470.40057373047,2200,2,0.8375,49435.10646057129,2200,2,0.8375,26035.675811767578,2200,2,0.8375,52171.30404663086,2200,2,0.8375,37754.4934387207,2200,2,0.8375,54048.59629821777,2200,2,0.875,39832.0750579834,2200,2,0.875,9796.791793823242,2200,2,0.875,17367.49885559082,2178,2154,2195,2191,2195,2189,2175,2191,2194,2133,2180,2191,1988,2193,2186,2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,869818368,290717696
1000,1745021826607,44470.40475463867,2000,2,0.9625,49435.10948181152,3000,2,0.9625,26035.677703857422,2000,2,0.9625,52171.311294555664,2000,2,0.9625,37754.494888305664,2200,2,0.9625,54048.59910583496,2200,2,0.9625,39832.07846069336,2200,2,0.9625,9796.793029785156,2200,2,0.9625,17373.598663330078,2178,2154,2195,2191,2195,2189,2175,2191,2194,2133,2180,2191,1988,2193,2186,2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,869818368,290717696
1000,1745021827607,44470.42655944824,2175,2,0.9125,49435.12106323242,4350,0,0.9125,26035.681838989258,2175,2,0.9125,52171.33026123047,2175,2,0.9125,37754.499084472656,2200,2,0.9125,54048.60447692871,2200,2,0.9125,39832.08590698242,2200,2,1.4875,9796.800643920898,2200,2,1.4875,17379.83073425293,2178,2154,2195,2191,2195,2189,2175,2191,2194,2133,2180,2191,1988,2193,2186,2193,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,868106240,290717696
1000,1745021828608,44470.43241882324,2000,2,1.475,49435.124740600586,3000,2,1.475,26035.686141967773,2000,2,1.475,52171.34489440918,2000,2,1.475,37754.50215148926,2200,2,1.475,54048.60763549805,2200,2,1.475,39832.09043884277,2200,2,1.475,9796.80339050293,2200,2,1.475,17385.914031982422,2178,2154,2195,2191,2195,2189,2175,2191,2194,2133,2180,2191,1988,2193,2186,2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,868089856,290717696
1000,1745021829608,44470.436294555664,2175,2,1.44375,49435.12937927246,3000,2,1.41875,26035.68882751465,2000,2,1.41875,52171.360763549805,2000,2,1.41875,37754.506088256836,2200,2,1.41875,54048.613204956055,2200,2,1.41875,39832.09329223633,2200,2,1.41875,9796.806182861328,2200,2,1.41875,17392.00843811035,2178,2154,2195,2191,2195,2189,2175,2191,2194,2133,2180,2191,1988,2193,2186,2193,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,867119104,290717696
1000,1745021830609,44470.44152832031,2000,2,1.50625,49435.13150024414,3000,2,1.50625,26035.69203186035,2000,2,1.50625,52171.377182006836,2000,2,1.50625,37754.509185791016,2200,2,1.50625,54048.61917114258,2200,2,1.50625,39832.099060058594,2200,2,1.50625,9796.808013916016,2200,2,1.0625,17398.063049316406,2178,2154,2195,2191,2195,2189,2175,2191,2194,2133,2180,2191,1988,2193,2186,2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,867119104,290717696
