Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744921075799,44429.64227294922,2200,2,0.9125,2844.4462890625,2200,2,0.9125,48199.506591796875,2200,2,0.9125,64663.18263244629,2200,2,0.8375,31190.41748046875,2200,2,0.8375,2982.168167114258,2200,2,0.8375,52050.596435546875,2200,2,0.8375,14754.642288208008,2200,2,0.8375,36202.94287109375,2180,2172,2172,2170,2190,2065,1973,2149,2198,2149,2195,2187,2095,2177,2195,2191,3.4482758045196533,3.5714287757873535,3.4482758045196533,3.5714287757873535,0,0,0,6.896551609039307,10.344827651977539,0,6.896551609039307,6.896551609039307,3.4482758045196533,3.4482758045196533,3.5714287757873535,3.5714287757873535,16665841664,4294963200,888709120,264765440
1000,1744921075800,44429.64237976074,2200,2,0.8375,2844.4463958740234,2200,2,0.8375,48199.50981140137,2200,2,0.8375,64663.18273925781,2200,2,0.8375,31190.41764831543,2200,2,0.8375,2982.1699829101563,2200,2,0.8375,52050.598403930664,2200,2,0.8375,14754.642593383789,2200,2,0.8375,36202.967681884766,2180,2172,2172,2170,2190,2065,1973,2149,2198,2149,2195,2187,2095,2177,2195,2191,3.4482758045196533,3.5714287757873535,3.4482758045196533,3.5714287757873535,0,0,0,6.896551609039307,10.344827651977539,0,6.896551609039307,6.896551609039307,3.4482758045196533,3.4482758045196533,3.5714287757873535,3.5714287757873535,16665841664,4294963200,888709120,264765440
999,1744921076800,44429.64515686035,2000,2,0.9625,2844.4490356445313,3000,2,0.9625,48199.51696777344,2000,2,0.9625,64663.1848449707,2000,2,0.9625,31190.41976928711,2200,2,0.9625,2982.1734161376953,2200,2,0.95,52050.60157775879,2200,2,0.95,14754.644897460938,2200,2,0.95,36209.069763183594,2180,2172,2172,2170,2190,2065,1973,2149,2198,2149,2195,2187,2095,2177,2195,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,888709120,264765440
1000,1744921077800,44429.6474609375,2000,2,0.9625,2844.452590942383,3000,2,0.9625,48199.523986816406,2000,2,0.9625,64663.18811035156,2000,2,0.91875,31190.42253112793,2200,2,0.91875,2982.1754455566406,2200,2,0.91875,52050.60340881348,2200,2,0.91875,14754.646194458008,2200,2,0.91875,36215.1716003418,2180,2172,2172,2170,2190,2065,1973,2149,2198,2149,2195,2187,2095,2177,2195,2191,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,16665841664,4294963200,888709120,264765440
1000,1744921078801,44429.65098571777,2200,2,1.475,2844.4569702148438,2200,2,1.475,48199.53358459473,2200,2,1.475,64663.1915435791,2200,2,1.475,31190.42512512207,2200,2,1.475,2982.177459716797,2200,2,1.475,52050.60818481445,2200,2,1.475,14754.649353027344,2200,2,1.475,36221.28367614746,2180,2172,2172,2170,2190,2065,1973,2149,2198,2149,2195,2187,2095,2177,2195,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,888709120,264765440
1000,1744921079801,44429.655349731445,2000,2,0.9625,2844.4612884521484,3000,2,0.9625,48199.54278564453,2000,2,0.9625,64663.19630432129,2000,2,0.9625,31190.428512573242,2200,2,0.9625,2982.180374145508,2200,2,0.9625,52050.61149597168,2200,2,0.9625,14754.651840209961,2200,2,0.9625,36227.431381225586,2180,2172,2172,2170,2190,2065,1973,2149,2198,2149,2195,2187,2095,2177,2195,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,888709120,264765440
1000,1744921080802,44429.65789794922,2000,2,0.95625,2844.4645080566406,3000,2,0.95625,48199.55113220215,2000,2,0.95625,64663.19920349121,2000,2,0.95625,31190.430709838867,2200,2,0.95625,2982.1825103759766,2200,2,0.88125,52050.61358642578,2200,2,0.88125,14754.65380859375,2200,2,0.88125,36233.49891662598,2180,2172,2172,2170,2190,2065,1973,2149,2198,2149,2195,2187,2095,2177,2195,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,888700928,264765440
1000,1744921081802,44429.66069030762,2000,2,0.9625,2844.467041015625,3000,2,0.9625,48199.55743408203,2000,2,0.9625,64663.20169067383,2000,2,0.9625,31190.432907104492,2200,2,0.9625,2982.1884002685547,2200,2,0.9625,52050.61688232422,2200,2,0.9625,14754.663131713867,2200,2,0.9625,36239.59129333496,2180,2172,2172,2170,2190,2065,1973,2149,2198,2149,2195,2187,2095,2177,2195,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,16665841664,4294963200,888700928,264765440
1000,1744921082803,44429.66473388672,2175,2,0.88125,2844.4713745117188,4350,0,0.88125,48199.569915771484,2175,2,0.88125,64663.205322265625,2000,2,1.53125,31190.43571472168,2200,2,1.53125,2982.1903381347656,2200,2,1.53125,52050.620681762695,2200,2,1.53125,14754.666549682617,2200,2,1.53125,36245.70797729492,2180,2172,2172,2170,2190,2065,1973,2149,2198,2149,2195,2187,2095,2177,2195,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,888700928,264765440
1000,1744921083803,44429.667419433594,2000,2,0.95625,2844.4741821289063,3000,2,0.95625,48199.57815551758,2000,2,0.95625,64663.207748413086,2000,2,0.95625,31190.438598632813,2200,2,0.95625,2982.1959533691406,2200,2,0.95625,52050.62422180176,2200,2,0.95,14754.66909790039,2200,2,0.95,36251.848083496094,2180,2172,2172,2170,2190,2065,1973,2149,2198,2149,2195,2187,2095,2177,2195,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,888700928,264765440
