Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745063599802,4972.199462890625,2200,2,0.8375,30138.606384277344,2200,2,0.8375,11126.219818115234,2200,2,0.8375,33164.006286621094,2200,2,0.8375,50271.694259643555,2200,2,0.8375,37065.49020385742,2200,2,0.8375,17124.984649658203,2200,2,0.8375,60025.43771362305,2200,2,0.8375,23563.26788330078,2121,2187,2128,2183,2069,2192,2136,2088,2192,2177,2079,2191,2182,2183,2174,2195,3.125,0,3.125,3.125,0,3.125,0,0,9.67741870880127,3.125,6.060606002807617,3.0303030014038086,0,3.125,3.125,0,16665841664,4294963200,859811840,294387712
1000,1745063599803,4972.1998291015625,2200,2,0.8375,30138.606536865234,2200,2,0.8375,11126.223068237305,2200,2,0.8375,33164.006423950195,2200,2,0.8375,50271.697204589844,2200,2,0.8375,37065.49099731445,2200,2,0.8375,17124.984756469727,2200,2,0.8375,60025.43788146973,2200,2,0.8375,23563.292739868164,2121,2187,2128,2183,2069,2192,2136,2088,2192,2177,2079,2191,2182,2183,2174,2195,3.125,0,3.125,3.125,0,3.125,0,0,9.67741870880127,3.125,6.060606002807617,3.0303030014038086,0,3.125,3.125,0,16665841664,4294963200,859811840,294387712
1000,1745063600803,4972.202606201172,2000,2,0.9625,30138.609619140625,3000,2,0.9625,11126.230682373047,2000,2,0.9625,33164.00857543945,2000,2,0.9625,50271.7020111084,2200,2,0.9625,37065.49726867676,2200,2,0.9625,17124.987213134766,2200,2,0.9625,60025.440338134766,2200,2,0.925,23569.319290161133,2121,2187,2128,2183,2069,2192,2136,2088,2192,2177,2079,2191,2182,2183,2174,2195,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,16665841664,4294963200,860549120,294387712
1000,1745063601804,4972.205825805664,2175,2,0.88125,30138.614486694336,3000,2,1.53125,11126.244888305664,2000,2,1.53125,33164.01206970215,2000,2,1.53125,50271.70600891113,2200,2,1.53125,37065.50144958496,2200,2,1.53125,17124.990966796875,2200,2,1.53125,60025.44256591797,2200,2,1.53125,23575.35679626465,2121,2187,2128,2183,2069,2192,2136,2088,2192,2177,2079,2191,2182,2183,2174,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,859172864,294387712
1000,1745063602804,4972.2081298828125,2200,2,0.9625,30138.61831665039,2200,2,0.9625,11126.250411987305,2200,2,0.9625,33164.01356506348,2200,2,0.9625,50271.708068847656,2200,2,0.9625,37065.50309753418,2200,2,0.9625,17124.993774414063,2200,2,0.9625,60025.446228027344,2200,2,0.85,23581.348739624023,2121,2187,2128,2183,2069,2192,2136,2088,2192,2177,2079,2191,2182,2183,2174,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,859172864,294387712
1000,1745063603805,4972.215866088867,2133.333333333333,2,0.95625,30138.621002197266,3200,1,0.95625,11126.25405883789,2133.333333333333,2,0.95625,33164.01559448242,2133.333333333333,2,0.95625,50271.71006774902,2200,2,0.95625,37065.50619506836,2200,2,0.95625,17124.995986938477,2200,2,0.95625,60025.44822692871,2200,2,0.95625,23587.388961791992,2121,2187,2128,2183,2069,2192,2136,2088,2192,2177,2079,2191,2182,2183,2174,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,857968640,294387712
1000,1745063604805,4972.220504760742,2200,2,0.8375,30138.623947143555,2200,2,0.8375,11126.256546020508,2200,2,0.8375,33164.017669677734,2200,2,0.8375,50271.71226501465,2200,2,0.8375,37065.508239746094,2200,2,0.83125,17124.99803161621,2200,2,0.83125,60025.44987487793,2200,2,0.83125,23593.3369140625,2121,2187,2128,2183,2069,2192,2136,2088,2192,2177,2079,2191,2182,2183,2174,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,857968640,294387712
1000,1745063605806,4972.227478027344,2133.333333333333,2,0.9625,30138.62678527832,3200,1,0.9625,11126.260528564453,2133.333333333333,2,0.9625,33164.01968383789,2133.333333333333,2,0.9625,50271.714584350586,2200,2,0.9625,37065.511154174805,2200,2,0.9625,17125.001953125,2200,2,0.9625,60025.45149230957,2200,2,0.9625,23599.335815429688,2121,2187,2128,2183,2069,2192,2136,2088,2192,2177,2079,2191,2182,2183,2174,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,856915968,294387712
1000,1745063606806,4972.231292724609,2133.333333333333,2,0.88125,30138.633010864258,3200,1,0.88125,11126.263900756836,2133.333333333333,2,0.88125,33164.02110290527,2133.333333333333,2,0.88125,50271.71643066406,2200,2,0.88125,37065.51281738281,2200,2,0.88125,17125.005737304688,2200,2,0.88125,60025.45349121094,2200,2,0.88125,23605.300369262695,2121,2187,2128,2183,2069,2192,2136,2088,2192,2177,2079,2191,2182,2183,2174,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,856915968,294387712
1000,1745063607806,4972.234115600586,2200,2,0.84375,30138.642501831055,2200,2,0.84375,11126.266647338867,2200,2,0.84375,33164.02365112305,2200,2,0.84375,50271.71913146973,2200,2,0.84375,37065.5167388916,2200,2,0.84375,17125.00813293457,2200,2,0.85625,60025.45568847656,2200,2,0.85625,23611.308517456055,2121,2187,2128,2183,2069,2192,2136,2088,2192,2177,2079,2191,2182,2183,2174,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,855994368,294387712
