Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744911533048,26112.16163635254,2200,2,0.8375,58834.51791381836,2200,2,0.8375,39496.7804107666,2200,2,0.8375,54039.97303771973,2200,2,0.8375,11889.193466186523,2200,2,0.8375,58753.79626464844,2200,2,0.8375,43131.72950744629,2200,2,0.8375,6713.995193481445,2200,2,0.8375,46774.78527832031,2110,2195,2189,2194,3192,2128,2038,2128,2191,2192,3140,2107,2121,2130,2194,2063,0,3.4482758045196533,3.3333334922790527,6.6666669845581055,10.344827651977539,3.5714287757873535,0,0,3.5714287757873535,6.6666669845581055,3.4482758045196533,3.3333334922790527,6.6666669845581055,3.4482758045196533,3.4482758045196533,0,16665841664,4294963200,890269696,255328256
1000,1744911533049,26112.16177368164,2200,2,0.8375,58834.5182800293,2200,2,0.8375,39496.781967163086,2200,2,0.8375,54039.97314453125,2200,2,0.8375,11889.196701049805,2200,2,0.8375,58753.79641723633,2200,2,0.8375,43131.72966003418,2200,2,0.8375,6713.995346069336,2200,2,0.8375,46774.81037902832,2110,2195,2189,2194,3192,2128,2038,2128,2191,2192,3140,2107,2121,2130,2194,2063,0,3.4482758045196533,3.3333334922790527,6.6666669845581055,10.344827651977539,3.5714287757873535,0,0,3.5714287757873535,6.6666669845581055,3.4482758045196533,3.3333334922790527,6.6666669845581055,3.4482758045196533,3.4482758045196533,0,16665841664,4294963200,890785792,255328256
1000,1744911534049,26112.164779663086,2000,2,0.9625,58834.52297973633,3000,2,0.9625,39496.78659057617,2000,2,0.9625,54039.97718811035,2000,2,0.9625,11889.212142944336,2200,2,0.9625,58753.79969787598,2200,2,0.9625,43131.731384277344,2200,2,0.9625,6713.996826171875,2200,2,0.9625,46781.0350189209,2110,2195,2189,2194,3192,2128,2038,2128,2191,2192,3140,2107,2121,2130,2194,2063,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,16665841664,4294963200,890642432,255328256
1000,1744911535050,26112.17449951172,2200,2,0.8375,58834.527267456055,2200,2,0.8375,39496.79103088379,2200,2,0.8375,54039.97897338867,2200,2,0.8375,11889.217376708984,2200,2,0.8375,58753.80194091797,2200,2,0.8375,43131.73513793945,2200,2,0.8375,6714.000457763672,2200,2,0.8375,46787.11882019043,2110,2195,2189,2194,3192,2128,2038,2128,2191,2192,3140,2107,2121,2130,2194,2063,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,890642432,255328256
1000,1744911536050,26112.1815032959,2200,2,0.8125,58834.52980041504,2200,2,0.8125,39496.7938079834,2200,2,0.8125,54039.98094177246,2200,2,0.84375,11889.223770141602,2200,2,0.84375,58753.80451965332,2200,2,0.84375,43131.73733520508,2200,2,0.84375,6714.00163269043,2200,2,0.84375,46793.21873474121,2110,2195,2189,2194,3192,2128,2038,2128,2191,2192,3140,2107,2121,2130,2194,2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,890638336,255328256
1000,1744911537051,26112.18359375,2200,2,0.8375,58834.53193664551,2200,2,0.8375,39496.796966552734,2200,2,0.8375,54039.982330322266,2200,2,0.8375,11889.228820800781,2200,2,0.8375,58753.80619812012,2200,2,0.8375,43131.73875427246,2200,2,0.8375,6714.003005981445,2200,2,0.8375,46799.290283203125,2110,2195,2189,2194,3192,2128,2038,2128,2191,2192,3140,2107,2121,2130,2194,2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,890638336,255328256
1000,1744911538051,26112.1863861084,2133.333333333333,2,0.88125,58834.536224365234,3000,2,0.9625,39496.80111694336,2000,2,0.9625,54039.985900878906,2000,2,0.9625,11889.238708496094,2200,2,0.9625,58753.81362915039,2200,2,0.9625,43131.74252319336,2200,2,0.9625,6714.005065917969,2200,2,0.9625,46805.483169555664,2110,2195,2189,2194,3192,2128,2038,2128,2191,2192,3140,2107,2121,2130,2194,2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,890638336,255328256
1000,1744911539052,26112.190231323242,2200,2,0.8375,58834.54530334473,2200,2,0.8375,39496.80340576172,2200,2,0.8375,54039.98806762695,2200,2,0.8375,11889.246475219727,2200,2,0.8375,58753.81645202637,2200,2,0.88125,43131.74507141113,2200,2,0.88125,6714.007217407227,2200,2,0.88125,46811.60723876953,2110,2195,2189,2194,3192,2128,2038,2128,2191,2192,3140,2107,2121,2130,2194,2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,890638336,255328256
1000,1744911540052,26112.193756103516,2000,2,0.9625,58834.54872131348,3000,2,0.9625,39496.80618286133,2000,2,0.9625,54039.99067687988,2000,2,0.9625,11889.253509521484,2200,2,0.9625,58753.81913757324,2200,2,0.9625,43131.747787475586,2200,2,0.9625,6714.009704589844,2200,2,0.9625,46817.72343444824,2110,2195,2189,2194,3192,2128,2038,2128,2191,2192,3140,2107,2121,2130,2194,2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,890638336,255328256
1000,1744911541053,26112.196655273438,2133.333333333333,2,0.88125,58834.55409240723,3200,1,0.88125,39496.80844116211,2133.333333333333,2,0.88125,54040.00146484375,2133.333333333333,2,0.9625,11889.261734008789,2200,2,0.9625,58753.82081604004,2200,2,0.9625,43131.749603271484,2200,2,0.9625,6714.0111083984375,2200,2,0.9625,46823.83288574219,2110,2195,2189,2194,3192,2128,2038,2128,2191,2192,3140,2107,2121,2130,2194,2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,890638336,255328256
