Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744839257162,13862.76742553711,2133.333333333333,2,0.9125,43490.41778564453,3200,1,0.9125,34214.221099853516,2133.333333333333,2,0.9125,43768.99200439453,2133.333333333333,2,0.9125,6407.578460693359,2200,2,0.9125,46047.485122680664,2200,2,0.9125,32983.529052734375,2200,2,0.9125,42071.17820739746,2200,2,0.9125,33900.767974853516,2192,2192,2116,2191,2177,2180,2186,1987,2191,2193,2194,2060,2085,2177,2189,2110,0,3.125,3.125,0,3.125,6.060606002807617,12.121212005615234,0,0,3.125,6.060606002807617,3.125,3.125,3.125,3.125,3.125,16665841664,4294963200,928129024,230948864
1000,1744839257162,13862.770202636719,2133.333333333333,2,0.95625,43490.420669555664,3200,1,0.95625,34214.221588134766,2133.333333333333,2,0.95625,43768.99223327637,2133.333333333333,2,0.95625,6407.578720092773,2200,2,0.95625,46047.48533630371,2200,2,0.95625,32983.533447265625,2200,2,0.95625,42071.17842102051,2200,2,0.95625,33900.79429626465,2192,2192,2116,2191,2177,2180,2186,1987,2191,2193,2194,2060,2085,2177,2189,2110,0,3.125,3.125,0,3.125,6.060606002807617,12.121212005615234,0,0,3.125,6.060606002807617,3.125,3.125,3.125,3.125,3.125,16665841664,4294963200,928129024,230948864
1000,1744839258163,13862.781143188477,2133.333333333333,2,0.88125,43490.42594909668,3200,1,0.88125,34214.224182128906,2133.333333333333,2,0.88125,43768.99540710449,2000,2,0.95625,6407.583465576172,2200,2,0.95625,46047.48751831055,2200,2,0.95625,32983.56840515137,2200,2,0.95625,42071.180587768555,2200,2,0.95625,33907.19140625,2192,2192,2116,2191,2177,2180,2186,1987,2191,2193,2194,2060,2085,2177,2189,2110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,928124928,230948864
1000,1744839259163,13862.784149169922,2000,2,1.4375,43490.42900085449,3000,2,1.4375,34214.22871398926,2000,2,1.4375,43769.0011138916,2000,2,1.4375,6407.586456298828,2200,2,1.4375,46047.49201965332,2200,2,1.4375,32983.58117675781,2200,2,1.4375,42071.18293762207,2200,2,1.05,33913.35382080078,2192,2192,2116,2191,2177,2180,2186,1987,2191,2193,2194,2060,2085,2177,2189,2110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,928124928,230948864
1000,1744839260164,13862.790222167969,2000,2,0.9625,43490.43421936035,3000,2,0.9625,34214.23231506348,2000,2,0.9625,43769.00602722168,2000,2,0.9625,6407.591217041016,2200,2,0.9625,46047.495529174805,2200,2,0.9625,32983.59403991699,2200,2,0.9625,42071.186431884766,2200,2,0.9625,33919.46907043457,2192,2192,2116,2191,2177,2180,2186,1987,2191,2193,2194,2060,2085,2177,2189,2110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,928112640,230948864
1000,1744839261164,13862.7919921875,2175,2,0.9125,43490.43598937988,4350,0,1.41875,34214.234146118164,1500,2,1.41875,43769.00752258301,2000,2,1.41875,6407.592681884766,2200,2,1.41875,46047.49671936035,2200,2,1.41875,32983.60386657715,2200,2,1.41875,42071.18760681152,2200,2,1.41875,33925.49444580078,2192,2192,2116,2191,2177,2180,2186,1987,2191,2193,2194,2060,2085,2177,2189,2110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,928112640,230948864
1000,1744839262165,13862.795364379883,2000,2,0.9625,43490.43978881836,3000,2,0.9625,34214.23693847656,2000,2,0.9625,43769.0107421875,2000,2,0.9625,6407.59928894043,2200,2,0.9625,46047.49940490723,2200,2,0.9625,32983.61817932129,2200,2,0.9625,42071.193908691406,2200,2,0.91875,33931.62754821777,2192,2192,2116,2191,2177,2180,2186,1987,2191,2193,2194,2060,2085,2177,2189,2110,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,16665841664,4294963200,928112640,230948864
1000,1744839263165,13862.797317504883,2175,2,0.88125,43490.44189453125,4350,0,0.88125,34214.239807128906,1500,2,0.88125,43769.01225280762,2000,2,1.475,6407.600402832031,2200,2,1.475,46047.50050354004,2200,2,1.475,32983.62924194336,2200,2,1.475,42071.19549560547,2200,2,1.475,33937.67768859863,2192,2192,2116,2191,2177,2180,2186,1987,2191,2193,2194,2060,2085,2177,2189,2110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16665841664,4294963200,928112640,230948864
1000,1744839264165,13862.801803588867,2200,2,0.8375,43490.44709777832,2200,2,0.8375,34214.244552612305,2200,2,0.8375,43769.01663208008,2200,2,0.8375,6407.604965209961,2200,2,0.8375,46047.50619506836,2200,2,0.8375,32983.63980102539,2200,2,0.8375,42071.19917297363,2200,2,0.84375,33943.855392456055,2192,2192,2116,2191,2177,2180,2186,1987,2191,2193,2194,2060,2085,2177,2189,2110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,928096256,230948864
1000,1744839265166,13862.803619384766,2000,2,0.9625,43490.44902038574,3000,2,0.9625,34214.24629211426,2000,2,0.9625,43769.01838684082,2000,2,0.9625,6407.607498168945,2200,2,0.9625,46047.50750732422,2200,2,0.9625,32983.645736694336,2200,2,0.9625,42071.20054626465,2200,2,0.9625,33949.919342041016,2192,2192,2116,2191,2177,2180,2186,1987,2191,2193,2194,2060,2085,2177,2189,2110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,928096256,230948864
