Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744858019348,46532.226013183594,2133.333333333333,2,0.95625,63799.73388671875,3200,1,0.95625,54505.81588745117,2133.333333333333,2,0.95625,64316.53430175781,2133.333333333333,2,0.95625,43039.99966430664,2200,2,0.95625,2181.7837677001953,2200,2,0.95625,55256.32986450195,2200,2,0.95625,7263.7747802734375,2200,2,0.95625,24666.477081298828,2180,2183,2191,2130,2189,2189,2186,2008,2133,2185,2016,2188,2072,2073,2180,2193,3.5714287757873535,3.5714287757873535,3.4482758045196533,0,0,3.5714287757873535,0,3.5714287757873535,0,10.714285850524902,3.4482758045196533,0,3.4482758045196533,0,0,3.5714287757873535,16665841664,4294963200,897097728,242483200
1000,1744858019348,46532.22653198242,2133.333333333333,2,0.95625,63799.73422241211,3200,1,0.95625,54505.81610107422,2133.333333333333,2,0.95625,64316.53858947754,2133.333333333333,2,0.95625,43039.999908447266,2200,2,0.95625,2181.785629272461,2200,2,0.95625,55256.330078125,2200,2,0.95625,7263.778274536133,2200,2,0.95625,24666.50569152832,2180,2183,2191,2130,2189,2189,2186,2008,2133,2185,2016,2188,2072,2073,2180,2193,3.5714287757873535,3.5714287757873535,3.4482758045196533,0,0,3.5714287757873535,0,3.5714287757873535,0,10.714285850524902,3.4482758045196533,0,3.4482758045196533,0,0,3.5714287757873535,16665841664,4294963200,897097728,242483200
1000,1744858020348,46532.22969055176,2200,2,0.8125,63799.737548828125,2200,2,0.8375,54505.818435668945,2200,2,0.8375,64316.55082702637,2200,2,0.8375,43040.00276184082,2200,2,0.8375,2181.7906188964844,2200,2,0.8375,55256.33233642578,2200,2,0.8375,7263.783432006836,2200,2,0.8375,24672.665130615234,2180,2183,2191,2130,2189,2189,2186,2008,2133,2185,2016,2188,2072,2073,2180,2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9803922176361084,0,0,16665841664,4294963200,897613824,242483200
1000,1744858021349,46532.23210144043,2200,2,0.84375,63799.740463256836,2200,2,0.84375,54505.82063293457,2200,2,0.84375,64316.5578918457,2200,2,0.84375,43040.005294799805,2200,2,0.84375,2181.7924194335938,2200,2,0.89375,55256.33491516113,2200,2,0.89375,7263.790435791016,2200,2,0.89375,24678.737045288086,2180,2183,2191,2130,2189,2189,2186,2008,2133,2185,2016,2188,2072,2073,2180,2193,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,16665841664,4294963200,897613824,242483200
1000,1744858022349,46532.23458862305,2000,2,0.9625,63799.7438659668,3000,2,0.9625,54505.82257080078,2000,2,0.9625,64316.5636138916,2000,2,0.9625,43040.00897216797,2200,2,0.9625,2181.7942657470703,2200,2,0.9625,55256.33673095703,2200,2,0.9625,7263.792266845703,2200,2,0.9625,24684.81526184082,2180,2183,2191,2130,2189,2189,2186,2008,2133,2185,2016,2188,2072,2073,2180,2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,898052096,242483200
1000,1744858023350,46532.23710632324,2133.333333333333,2,0.88125,63799.7470703125,3200,1,0.88125,54505.824935913086,2133.333333333333,2,0.88125,64316.57180786133,2000,2,0.88125,43040.01119995117,2200,2,0.95625,2181.79638671875,2200,2,0.95625,55256.339111328125,2200,2,0.95625,7263.794967651367,2200,2,0.95625,24690.877319335938,2180,2183,2191,2130,2189,2189,2186,2008,2133,2185,2016,2188,2072,2073,2180,2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,898052096,242483200
1000,1744858024350,46532.239837646484,2000,2,0.9625,63799.75021362305,3000,2,0.9625,54505.82858276367,2000,2,0.9625,64316.57872009277,2000,2,0.9625,43040.01399230957,2200,2,0.9625,2181.798843383789,2200,2,0.9625,55256.34214782715,2200,2,0.9625,7263.798980712891,2200,2,0.9625,24696.971481323242,2180,2183,2191,2130,2189,2189,2186,2008,2133,2185,2016,2188,2072,2073,2180,2193,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0.9900990128517151,0,0,16665841664,4294963200,897495040,242483200
1000,1744858025351,46532.243255615234,2200,2,0.8125,63799.75547790527,2200,2,0.85,54505.831970214844,2200,2,0.85,64316.586364746094,2200,2,0.85,43040.017181396484,2200,2,0.85,2181.803268432617,2200,2,0.85,55256.3455657959,2200,2,0.85,7263.803771972656,2200,2,0.85,24703.068084716797,2180,2183,2191,2130,2189,2189,2186,2008,2133,2185,2016,2188,2072,2073,2180,2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,897495040,242483200
1000,1744858026351,46532.24588012695,2000,2,0.95625,63799.759201049805,3000,2,0.95625,54505.8349609375,2000,2,0.95625,64316.59536743164,2000,2,0.95625,43040.01931762695,2200,2,0.95625,2181.805191040039,2200,2,0.8875,55256.34719848633,2200,2,0.8875,7263.805618286133,2200,2,0.8875,24709.158309936523,2180,2183,2191,2130,2189,2189,2186,2008,2133,2185,2016,2188,2072,2073,2180,2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,896679936,242483200
1000,1744858027352,46532.24983215332,2000,2,1.48125,63799.76368713379,3000,2,1.48125,54505.838287353516,2000,2,1.48125,64316.60626220703,2000,2,1.48125,43040.02178955078,2200,2,1.48125,2181.8091888427734,2200,2,1.48125,55256.34999084473,2200,2,1.48125,7263.808441162109,2200,2,1.48125,24715.273071289063,2180,2183,2191,2130,2189,2189,2186,2008,2133,2185,2016,2188,2072,2073,2180,2193,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,16665841664,4294963200,896679936,242483200
