Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744812375880,23792.045623779297,2200,2,0.8375,13099.396087646484,2200,2,0.8375,10053.212265014648,2200,2,0.8375,11082.36833190918,2200,2,0.8375,23093.655700683594,2200,2,0.8375,10497.20590209961,2200,2,0.8375,9522.524795532227,2200,2,0.8375,12336.109130859375,2200,2,0.8375,19272.80500793457,2189,2120,2195,2195,2195,2060,2193,2177,2190,2192,2185,2191,2003,2188,2187,2194,3.4482758045196533,10.714285850524902,3.4482758045196533,3.4482758045196533,6.896551609039307,0,0,3.5714287757873535,3.4482758045196533,6.6666669845581055,0,0,3.4482758045196533,3.4482758045196533,3.4482758045196533,0,16665841664,4294963200,946040832,187170816
1000,1744812375880,23792.045989990234,2200,2,0.8375,13099.399291992188,2200,2,0.8375,10053.212417602539,2200,2,0.8375,11082.36848449707,2200,2,0.8375,23093.658096313477,2200,2,0.8375,10497.2060546875,2200,2,0.8375,9522.526351928711,2200,2,0.8375,12336.109603881836,2200,2,0.8375,19272.83120727539,2189,2120,2195,2195,2195,2060,2193,2177,2190,2192,2185,2191,2003,2188,2187,2194,3.4482758045196533,10.714285850524902,3.4482758045196533,3.4482758045196533,6.896551609039307,0,0,3.5714287757873535,3.4482758045196533,6.6666669845581055,0,0,3.4482758045196533,3.4482758045196533,3.4482758045196533,0,16665841664,4294963200,946040832,187170816
1000,1744812376881,23792.047943115234,2200,2,0.80625,13099.405746459961,2200,2,0.80625,10053.21467590332,2200,2,0.8375,11082.370544433594,2200,2,0.8375,23093.661651611328,2200,2,0.8375,10497.207305908203,2200,2,0.8375,9522.529983520508,2200,2,0.8375,12336.13101196289,2200,2,0.8375,19279.164505004883,2189,2120,2195,2195,2195,2060,2193,2177,2190,2192,2185,2191,2003,2188,2187,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,946040832,187170816
1000,1744812377881,23792.050552368164,2133.333333333333,2,0.95625,13099.411331176758,3200,1,0.95625,10053.218017578125,2133.333333333333,2,0.95625,11082.373718261719,2133.333333333333,2,0.95625,23093.665985107422,2200,2,0.95625,10497.209777832031,2200,2,0.95625,9522.53237915039,2200,2,0.95625,12336.133041381836,2200,2,0.95625,19285.265731811523,2189,2120,2195,2195,2195,2060,2193,2177,2190,2192,2185,2191,2003,2188,2187,2194,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,946040832,187170816
1000,1744812378881,23792.05404663086,2200,2,0.84375,13099.421630859375,2200,2,0.84375,10053.221374511719,2200,2,0.84375,11082.375518798828,2200,2,0.84375,23093.669342041016,2200,2,0.84375,10497.211456298828,2200,2,0.84375,9522.53466796875,2200,2,0.84375,12336.134857177734,2200,2,0.84375,19291.390380859375,2189,2120,2195,2195,2195,2060,2193,2177,2190,2192,2185,2191,2003,2188,2187,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,946040832,187170816
1000,1744812379882,23792.05679321289,2200,2,0.8375,13099.426300048828,2200,2,0.8375,10053.22477722168,2200,2,0.8375,11082.378189086914,2200,2,0.8375,23093.67234802246,2200,2,0.8125,10497.214111328125,2200,2,0.8125,9522.537536621094,2200,2,0.8125,12336.137481689453,2200,2,0.8125,19297.522247314453,2189,2120,2195,2195,2195,2060,2193,2177,2190,2192,2185,2191,2003,2188,2187,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,946450432,187170816
1000,1744812380882,23792.059020996094,2133.333333333333,2,0.9125,13099.43472290039,3200,1,0.9125,10053.227096557617,2133.333333333333,2,0.9625,11082.380157470703,2133.333333333333,2,0.9625,23093.674026489258,2200,2,0.9625,10497.215591430664,2200,2,0.9625,9522.539047241211,2200,2,0.9625,12336.138900756836,2200,2,0.9625,19303.577346801758,2189,2120,2195,2195,2195,2060,2193,2177,2190,2192,2185,2191,2003,2188,2187,2194,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,946216960,187170816
1000,1744812381883,23792.062286376953,2175,2,0.88125,13099.438064575195,4350,0,0.88125,10053.2294921875,2175,2,0.88125,11082.382080078125,2000,2,1.48125,23093.67774963379,2200,2,1.48125,10497.218826293945,2200,2,1.48125,9522.542343139648,2200,2,1.48125,12336.14779663086,2200,2,1.48125,19309.665130615234,2189,2120,2195,2195,2195,2060,2193,2177,2190,2192,2185,2191,2003,2188,2187,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,944476160,187170816
1000,1744812382883,23792.069412231445,2000,2,1.5250000000000001,13099.445236206055,3000,2,1.5250000000000001,10053.231262207031,2000,2,1.5250000000000001,11082.384292602539,2000,2,1.5250000000000001,23093.679397583008,2200,2,1.5250000000000001,10497.220474243164,2200,2,1.5250000000000001,9522.544662475586,2200,2,1.5250000000000001,12336.161392211914,2200,2,1.5250000000000001,19315.804489135742,2189,2120,2195,2195,2195,2060,2193,2177,2190,2192,2185,2191,2003,2188,2187,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,944476160,187170816
1000,1744812383884,23792.074798583984,2175,2,0.88125,13099.448776245117,4350,0,0.88125,10053.237686157227,2000,2,1.5250000000000001,11082.39047241211,2000,2,1.5250000000000001,23093.687377929688,2200,2,1.5250000000000001,10497.225494384766,2200,2,1.5250000000000001,9522.549285888672,2200,2,1.5250000000000001,12336.172592163086,2200,2,1.5250000000000001,19321.94369506836,2189,2120,2195,2195,2195,2060,2193,2177,2190,2192,2185,2191,2003,2188,2187,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,943833088,187170816
1000,1744812384884,23792.07667541504,2000,2,0.95625,13099.450897216797,3000,2,0.95625,10053.243865966797,2000,2,0.95625,11082.392684936523,2000,2,0.95625,23093.689010620117,2200,2,0.95625,10497.227111816406,2200,2,0.95,9522.55094909668,2200,2,0.95,12336.181777954102,2200,2,0.95,19328.043212890625,2189,2120,2195,2195,2195,2060,2193,2177,2190,2192,2185,2191,2003,2188,2187,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,16665841664,4294963200,943833088,187170816
1000,1744812385885,23792.07975769043,2175,2,0.90625,13099.459060668945,3000,2,1.53125,10053.249496459961,2000,2,1.53125,11082.396118164063,2000,2,1.53125,23093.695678710938,2200,2,1.53125,10497.230163574219,2200,2,1.53125,9522.554077148438,2200,2,1.53125,12336.19270324707,2200,2,1.53125,19334.21075439453,2189,2120,2195,2195,2195,2060,2193,2177,2190,2192,2185,2191,2003,2188,2187,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,943665152,187170816
1000,1744812386885,23792.102447509766,2175,2,0.9125,13099.466171264648,4350,0,0.9125,10053.254364013672,2175,2,0.9125,11082.398483276367,2175,2,0.9125,23093.699417114258,2200,2,0.9125,10497.232208251953,2200,2,0.9125,9522.556732177734,2200,2,1.46875,12336.207656860352,2200,2,1.46875,19340.398849487305,2189,2120,2195,2195,2195,2060,2193,2177,2190,2192,2185,2191,2003,2188,2187,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,943665152,187170816
1000,1744812387886,23792.10858154297,2000,2,1.4875,13099.473724365234,3000,2,1.4875,10053.263793945313,2000,2,1.4875,11082.405349731445,2000,2,1.4875,23093.70802307129,2200,2,1.4875,10497.237579345703,2200,2,1.4875,9522.562194824219,2200,2,1.4875,12336.228515625,2200,2,1.4875,19346.630126953125,2189,2120,2195,2195,2195,2060,2193,2177,2190,2192,2185,2191,2003,2188,2187,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,943665152,187170816
1000,1744812388886,23792.110305786133,2175,2,0.88125,13099.479141235352,4350,0,0.88125,10053.265670776367,2175,2,0.88125,11082.406951904297,2175,2,0.88125,23093.709396362305,2200,2,0.88125,10497.238845825195,2200,2,0.88125,9522.563430786133,2200,2,1.53125,12336.23747253418,2200,2,1.53125,19352.717880249023,2189,2120,2195,2195,2195,2060,2193,2177,2190,2192,2185,2191,2003,2188,2187,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,943665152,187170816
1000,1744812389887,23792.11376953125,2000,2,1.48125,13099.487426757813,3000,2,1.48125,10053.269882202148,2000,2,1.48125,11082.40982055664,2000,2,1.48125,23093.714263916016,2200,2,1.48125,10497.243087768555,2200,2,1.48125,9522.566192626953,2200,2,1.48125,12336.253997802734,2200,2,1.48125,19358.834548950195,2189,2120,2195,2195,2195,2060,2193,2177,2190,2192,2185,2191,2003,2188,2187,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,943665152,187170816
1000,1744812390887,23792.121215820313,2175,2,0.88125,13099.494216918945,4350,0,0.88125,10053.274993896484,2000,2,1.48125,11082.412994384766,2000,2,1.48125,23093.716415405273,2200,2,1.48125,10497.245742797852,2200,2,1.48125,9522.569915771484,2200,2,1.48125,12336.267486572266,2200,2,1.48125,19364.99786376953,2189,2120,2195,2195,2195,2060,2193,2177,2190,2192,2185,2191,2003,2188,2187,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,16665841664,4294963200,943665152,187170816
1000,1744812391887,23792.125579833984,2175,2,0.9125,13099.499496459961,4350,0,0.9125,10053.28044128418,2175,2,0.9125,11082.419342041016,2175,2,0.9125,23093.72445678711,2200,2,0.9125,10497.251373291016,2200,2,0.9125,9522.574691772461,2200,2,0.9125,12336.286682128906,2200,2,0.9125,19371.17401123047,2189,2120,2195,2195,2195,2060,2193,2177,2190,2192,2185,2191,2003,2188,2187,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,943665152,187170816
1000,1744812392888,23792.129272460938,2000,2,0.93125,13099.502853393555,3000,2,0.93125,10053.283584594727,2000,2,0.93125,11082.422012329102,2000,2,0.93125,23093.726943969727,2200,2,0.93125,10497.25471496582,2200,2,0.93125,9522.576782226563,2200,2,0.93125,12336.296173095703,2200,2,0.93125,19377.247497558594,2189,2120,2195,2195,2195,2060,2193,2177,2190,2192,2185,2191,2003,2188,2187,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,16665841664,4294963200,943665152,187170816
1000,1744812393889,23792.140731811523,2175,2,0.88125,13099.506530761719,4350,0,0.88125,10053.286254882813,2175,2,0.88125,11082.424926757813,2175,2,0.88125,23093.733016967773,2200,2,0.88125,10497.257522583008,2200,2,0.88125,9522.579818725586,2200,2,0.88125,12336.298355102539,2200,2,1.48125,19383.332290649414,2189,2120,2195,2195,2195,2060,2193,2177,2190,2192,2185,2191,2003,2188,2187,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,943665152,187170816
1000,1744812394889,23792.14991760254,2175,2,0.90625,13099.531173706055,4350,0,0.90625,10053.292694091797,2175,2,1.5125,11082.428924560547,2175,2,1.5125,23093.74104309082,2200,2,1.5125,10497.260818481445,2200,2,1.5125,9522.58413696289,2200,2,1.5125,12336.301330566406,2200,2,1.5125,19389.526779174805,2189,2120,2195,2195,2195,2060,2193,2177,2190,2192,2185,2191,2003,2188,2187,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,943665152,187170816
1000,1744812395889,23792.154174804688,2175,2,0.88125,13099.547393798828,4350,0,0.88125,10053.29866027832,2175,2,0.88125,11082.435470581055,2175,2,0.88125,23093.749435424805,2200,2,0.88125,10497.265914916992,2200,2,0.88125,9522.58969116211,2200,2,0.88125,12336.305450439453,2200,2,0.88125,19395.708251953125,2189,2120,2195,2195,2195,2060,2193,2177,2190,2192,2185,2191,2003,2188,2187,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,943665152,187170816
1000,1744812396890,23792.15721130371,2200,2,0.85,13099.566696166992,2200,2,0.85,10053.305541992188,2200,2,0.85,11082.438522338867,2200,2,0.85,23093.75230407715,2200,2,0.85,10497.268249511719,2200,2,0.88125,9522.592208862305,2200,2,0.88125,12336.307662963867,2200,2,0.88125,19401.80177307129,2189,2120,2195,2195,2195,2060,2193,2177,2190,2192,2185,2191,2003,2188,2187,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,943665152,187170816
1000,1744812397890,23792.159439086914,2133.333333333333,2,0.9125,13099.572494506836,3200,1,0.9125,10053.308029174805,2133.333333333333,2,0.9125,11082.440505981445,2133.333333333333,2,0.9125,23093.75520324707,2200,2,0.9125,10497.27084350586,2200,2,0.9625,9522.594100952148,2200,2,0.9625,12336.309494018555,2200,2,0.9625,19407.85026550293,2189,2120,2195,2195,2195,2060,2193,2177,2190,2192,2185,2191,2003,2188,2187,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,943665152,187170816
1000,1744812398891,23792.162384033203,2175,2,0.88125,13099.582138061523,4350,0,0.88125,10053.309814453125,2175,2,0.88125,11082.442199707031,2175,2,0.88125,23093.756561279297,2200,2,0.88125,10497.272323608398,2200,2,0.88125,9522.596649169922,2200,2,0.88125,12336.312072753906,2200,2,0.88125,19413.894790649414,2189,2120,2195,2195,2195,2060,2193,2177,2190,2192,2185,2191,2003,2188,2187,2194,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,943665152,187170816
1000,1744812399891,23792.168258666992,2175,2,0.9,13099.610092163086,4350,0,0.9,10053.31509399414,2175,2,1.5250000000000001,11082.448257446289,2175,2,1.5250000000000001,23093.764251708984,2200,2,1.5250000000000001,10497.277236938477,2200,2,1.5250000000000001,9522.601058959961,2200,2,1.5250000000000001,12336.316619873047,2200,2,1.5250000000000001,19420.146026611328,2189,2120,2195,2195,2195,2060,2193,2177,2190,2192,2185,2191,2003,2188,2187,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,943665152,187170816
1000,1744812400892,23792.175415039063,2133.333333333333,2,0.88125,13099.612838745117,3200,1,0.88125,10053.318374633789,2133.333333333333,2,0.88125,11082.4501953125,2133.333333333333,2,0.9625,23093.7657623291,2200,2,0.9625,10497.278533935547,2200,2,0.9625,9522.602142333984,2200,2,0.9625,12336.317657470703,2200,2,0.9625,19426.169708251953,2189,2120,2195,2195,2195,2060,2193,2177,2190,2192,2185,2191,2003,2188,2187,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,943665152,187170816
1000,1744812401892,23792.177825927734,2175,2,0.9125,13099.625137329102,4350,0,0.9125,10053.324127197266,2175,2,1.4875,11082.45295715332,2175,2,1.4875,23093.77197265625,2200,2,1.4875,10497.281463623047,2200,2,1.4875,9522.60514831543,2200,2,1.4875,12336.320022583008,2200,2,1.4875,19432.2918548584,2189,2120,2195,2195,2195,2060,2193,2177,2190,2192,2185,2191,2003,2188,2187,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,943665152,187170816
1000,1744812402893,23792.180450439453,2200,2,0.8125,13099.640548706055,2200,2,0.8125,10053.328262329102,2200,2,0.85,11082.455551147461,2200,2,0.85,23093.780303955078,2200,2,0.85,10497.283645629883,2200,2,0.85,9522.607727050781,2200,2,0.85,12336.322082519531,2200,2,0.85,19438.399307250977,2189,2120,2195,2195,2195,2060,2193,2177,2190,2192,2185,2191,2003,2188,2187,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,943665152,187170816
