Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745012487517,30953.680633544922,2200,2,0.8375,40041.47592163086,2200,2,0.8375,14739.919403076172,2200,2,0.8375,43134.51190185547,2200,2,0.8375,19103.805572509766,2200,2,0.8375,46010.204681396484,2200,2,0.8375,30427.213134765625,2200,2,0.8375,356.1457824707031,2200,2,0.8375,33492.93898010254,2182,2193,2182,2191,2192,2093,2179,2191,2147,2177,2193,2189,2178,2188,2126,2180,3.3333334922790527,3.3333334922790527,0,0,3.3333334922790527,3.3333334922790527,3.4482758045196533,6.45161247253418,0,0,0,3.3333334922790527,3.3333334922790527,3.4482758045196533,3.3333334922790527,10,16665841664,4294963200,862523392,295174144
1000,1745012487517,30953.680770874023,2200,2,0.8375,40041.47915649414,2200,2,0.8375,14739.919555664063,2200,2,0.8375,43134.51206970215,2200,2,0.8375,19103.805740356445,2200,2,0.8375,46010.20681762695,2200,2,0.8375,30427.214965820313,2200,2,0.8375,356.1459503173828,2200,2,0.8375,33492.96618652344,2182,2193,2182,2191,2192,2093,2179,2191,2147,2177,2193,2189,2178,2188,2126,2180,3.3333334922790527,3.3333334922790527,0,0,3.3333334922790527,3.3333334922790527,3.4482758045196533,6.45161247253418,0,0,0,3.3333334922790527,3.3333334922790527,3.4482758045196533,3.3333334922790527,10,16665841664,4294963200,862523392,295174144
1000,1745012488518,30953.682815551758,2200,2,0.8125,40041.484313964844,2200,2,0.8125,14739.92172241211,2200,2,0.8125,43134.51399230957,2200,2,0.8125,19103.807708740234,2200,2,0.8375,46010.21253967285,2200,2,0.8375,30427.21795654297,2200,2,0.8375,356.14727783203125,2200,2,0.8375,33499.11131286621,2182,2193,2182,2191,2192,2093,2179,2191,2147,2177,2193,2189,2178,2188,2126,2180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,862957568,295174144
1000,1745012489518,30953.685424804688,2133.333333333333,2,0.90625,40041.49612426758,3200,1,0.90625,14739.92414855957,2200,2,0.95625,43134.516693115234,2200,2,0.95625,19103.809982299805,2200,2,0.95625,46010.216232299805,2200,2,0.95625,30427.22038269043,2200,2,0.95625,356.1490783691406,2200,2,0.95625,33505.27491760254,2182,2193,2182,2191,2192,2093,2179,2191,2147,2177,2193,2189,2178,2188,2126,2180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,862408704,295174144
1000,1745012490519,30953.68768310547,2200,2,0.8125,40041.50233459473,2200,2,0.8125,14739.92626953125,2200,2,0.8375,43134.51860046387,2200,2,0.8375,19103.81329345703,2200,2,0.8375,46010.219970703125,2200,2,0.8375,30427.222564697266,2200,2,0.8375,356.15028381347656,2200,2,0.8375,33511.403091430664,2182,2193,2182,2191,2192,2093,2179,2191,2147,2177,2193,2189,2178,2188,2126,2180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,862408704,295174144
999,1745012491519,30953.69059753418,2133.333333333333,2,0.95625,40041.51043701172,3200,1,0.95625,14739.92855834961,2133.333333333333,2,0.95625,43134.52143859863,2133.333333333333,2,0.95625,19103.815856933594,2200,2,0.95625,46010.22392272949,2200,2,0.95625,30427.225143432617,2200,2,0.95625,356.1526336669922,2200,2,0.95625,33517.56033325195,2182,2193,2182,2191,2192,2093,2179,2191,2147,2177,2193,2189,2178,2188,2126,2180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,862408704,295174144
1000,1745012492520,30953.694229125977,2200,2,0.8375,40041.52183532715,2200,2,0.8375,14739.933609008789,2200,2,0.81875,43134.52458190918,2200,2,0.81875,19103.818893432617,2200,2,0.81875,46010.227279663086,2200,2,0.81875,30427.228225708008,2200,2,0.81875,356.155029296875,2200,2,0.81875,33523.712631225586,2182,2193,2182,2191,2192,2093,2179,2191,2147,2177,2193,2189,2178,2188,2126,2180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,862408704,295174144
1000,1745012493520,30953.696014404297,2200,2,0.8375,40041.52723693848,2200,2,0.8375,14739.935485839844,2200,2,0.8375,43134.52635192871,2200,2,0.8375,19103.821731567383,2200,2,0.8375,46010.23043823242,2200,2,0.8375,30427.230926513672,2200,2,0.8375,356.1576690673828,2200,2,0.85,33529.8211517334,2182,2193,2182,2191,2192,2093,2179,2191,2147,2177,2193,2189,2178,2188,2126,2180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9801980257034302,16665841664,4294963200,862408704,295174144
1000,1745012494520,30953.69886779785,2200,2,0.8125,40041.53547668457,2200,2,0.8125,14739.93832397461,2200,2,0.8375,43134.52848815918,2200,2,0.8375,19103.82371520996,2200,2,0.8375,46010.234802246094,2200,2,0.8375,30427.23260498047,2200,2,0.8375,356.15911865234375,2200,2,0.8375,33535.94813537598,2182,2193,2182,2191,2192,2093,2179,2191,2147,2177,2193,2189,2178,2188,2126,2180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,862408704,295174144
1000,1745012495521,30953.706832885742,2200,2,0.95625,40041.543060302734,2200,2,0.95625,14739.94091796875,2200,2,0.95625,43134.53153991699,2200,2,0.95625,19103.826385498047,2200,2,0.95625,46010.23890686035,2200,2,0.95625,30427.237670898438,2200,2,0.95625,356.1618347167969,2200,2,0.95625,33542.12461853027,2182,2193,2182,2191,2192,2093,2179,2191,2147,2177,2193,2189,2178,2188,2126,2180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,862400512,295174144
