Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744945615408,30750.821395874023,2200,2,0.8375,33261.54209899902,2200,2,0.8375,10413.699615478516,2200,2,0.8375,29761.668899536133,2200,2,0.8375,16257.61050415039,2200,2,0.8375,37060.414947509766,2200,2,0.8375,19706.36328125,2200,2,0.8375,48659.34548950195,2200,2,0.8375,40472.70568847656,2193,2195,2193,2193,3191,2119,2102,2127,2193,2191,3189,2128,2127,2129,2175,1990,3.3333334922790527,3.3333334922790527,0,0,3.22580623626709,0,3.3333334922790527,10,0,0,3.22580623626709,0,3.22580623626709,0,3.22580623626709,3.22580623626709,16665841664,4294963200,907923456,275251200
1000,1744945615408,30750.821563720703,2200,2,0.8375,33261.54362487793,2200,2,0.8375,10413.70198059082,2200,2,0.8375,29761.669052124023,2200,2,0.8375,16257.610656738281,2200,2,0.8375,37060.415100097656,2200,2,0.8375,19706.36343383789,2200,2,0.8375,48659.34873962402,2200,2,0.8375,40472.730560302734,2193,2195,2193,2193,3191,2119,2102,2127,2193,2191,3189,2128,2127,2129,2175,1990,3.3333334922790527,3.3333334922790527,0,0,3.22580623626709,0,3.3333334922790527,10,0,0,3.22580623626709,0,3.22580623626709,0,3.22580623626709,3.22580623626709,16665841664,4294963200,907923456,275251200
1000,1744945616409,30750.824005126953,2200,2,0.8125,33261.55000305176,2200,2,0.84375,10413.70590209961,2200,2,0.84375,29761.67140197754,2200,2,0.84375,16257.612686157227,2200,2,0.84375,37060.41763305664,2200,2,0.84375,19706.365356445313,2200,2,0.84375,48659.39418029785,2200,2,0.84375,40479.35258483887,2193,2195,2193,2193,3191,2119,2102,2127,2193,2191,3189,2128,2127,2129,2175,1990,0,0.9803922176361084,0,0,0,0,0,0.9900990128517151,0.9900990128517151,0,0,0,0,0,0,0,16665841664,4294963200,908181504,275251200
1000,1744945617409,30750.82713317871,2000,2,0.95625,33261.554122924805,3000,2,0.95625,10413.708801269531,2000,2,0.95625,29761.673568725586,2000,2,0.95625,16257.614685058594,2200,2,0.95625,37060.419692993164,2200,2,0.95625,19706.367111206055,2200,2,0.95625,48659.40249633789,2200,2,0.95625,40485.46546936035,2193,2195,2193,2193,3191,2119,2102,2127,2193,2191,3189,2128,2127,2129,2175,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,908173312,275251200
1000,1744945618410,30750.83024597168,2000,2,1.48125,33261.55700683594,3000,2,1.48125,10413.711944580078,2000,2,1.48125,29761.678253173828,2000,2,1.48125,16257.617599487305,2200,2,1.48125,37060.4255065918,2200,2,1.48125,19706.369705200195,2200,2,1.48125,48659.4128112793,2200,2,1.48125,40491.55226135254,2193,2195,2193,2193,3191,2119,2102,2127,2193,2191,3189,2128,2127,2129,2175,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,907866112,275251200
1000,1744945619410,30750.835571289063,2175,2,0.88125,33261.562744140625,4350,0,0.88125,10413.715850830078,2175,2,0.88125,29761.683563232422,2175,2,0.88125,16257.620956420898,2200,2,0.88125,37060.428466796875,2200,2,0.88125,19706.374221801758,2200,2,1.48125,48659.426528930664,2200,2,1.48125,40497.67532348633,2193,2195,2193,2193,3191,2119,2102,2127,2193,2191,3189,2128,2127,2129,2175,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,907866112,275251200
1000,1744945620411,30750.840713500977,2200,2,0.85,33261.567321777344,2200,2,0.85,10413.721420288086,2200,2,0.85,29761.688217163086,2200,2,0.85,16257.625961303711,2200,2,0.85,37060.43461608887,2200,2,0.85,19706.37907409668,2200,2,0.85,48659.43981933594,2200,2,0.85,40503.79801940918,2193,2195,2193,2193,3191,2119,2102,2127,2193,2191,3189,2128,2127,2129,2175,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,906399744,275251200
1000,1744945621411,30750.844345092773,2200,2,0.8125,33261.576263427734,2200,2,0.84375,10413.727416992188,2200,2,0.84375,29761.69302368164,2200,2,0.84375,16257.627792358398,2200,2,0.84375,37060.43598937988,2200,2,0.84375,19706.382247924805,2200,2,0.84375,48659.44403076172,2200,2,0.84375,40509.879150390625,2193,2195,2193,2193,3191,2119,2102,2127,2193,2191,3189,2128,2127,2129,2175,1990,0,1,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,16665841664,4294963200,905666560,275251200
1000,1744945622412,30750.846939086914,2000,2,0.95625,33261.57914733887,3000,2,0.95625,10413.730850219727,2000,2,0.95625,29761.697799682617,2000,2,0.95625,16257.63069152832,2200,2,0.95625,37060.44174194336,2200,2,0.95625,19706.386505126953,2200,2,0.95625,48659.45162963867,2200,2,0.9125,40515.9787902832,2193,2195,2193,2193,3191,2119,2102,2127,2193,2191,3189,2128,2127,2129,2175,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,905023488,275251200
1000,1744945623412,30750.853469848633,2000,2,1.4875,33261.58493041992,3000,2,1.4875,10413.734802246094,2000,2,1.4875,29761.7029876709,2000,2,1.4875,16257.634353637695,2200,2,1.4875,37060.4454498291,2200,2,1.4875,19706.39129638672,2200,2,1.4875,48659.46488952637,2200,2,1.4875,40522.11166381836,2193,2195,2193,2193,3191,2119,2102,2127,2193,2191,3189,2128,2127,2129,2175,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,904134656,275251200
