Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744968854898,10957.776977539063,2200,2,0.8375,55616.370193481445,2200,2,0.8375,28262.342056274414,2200,2,0.8375,53295.21334838867,2200,2,0.8375,62767.85078430176,2200,2,0.8375,58946.43174743652,2200,2,0.8375,43472.34194946289,2200,2,0.8375,10761.735748291016,2200,2,0.8375,36413.77462768555,2042,2053,2168,2194,2177,2191,2179,2167,2190,2196,2193,2164,2166,2182,2160,2192,0,3.125,0,3.0303030014038086,3.0303030014038086,3.0303030014038086,0,0,3.0303030014038086,0,0,0,11.764705657958984,3.0303030014038086,0,3.0303030014038086,16665841664,4294963200,866164736,285736960
1000,1744968854898,10957.778015136719,2200,2,0.8375,55616.37062072754,2200,2,0.8375,28262.342224121094,2200,2,0.8375,53295.21553039551,2200,2,0.8375,62767.85107421875,2200,2,0.8375,58946.431900024414,2200,2,0.8375,43472.34519958496,2200,2,0.8375,10761.736022949219,2200,2,0.8375,36413.79985046387,2042,2053,2168,2194,2177,2191,2179,2167,2190,2196,2193,2164,2166,2182,2160,2192,0,3.125,0,3.0303030014038086,3.0303030014038086,3.0303030014038086,0,0,3.0303030014038086,0,0,0,11.764705657958984,3.0303030014038086,0,3.0303030014038086,16665841664,4294963200,866938880,285736960
1000,1744968855899,10957.788604736328,2133.333333333333,2,0.88125,55616.37440490723,3200,1,0.88125,28262.34703063965,2000,2,0.9625,53295.222244262695,2000,2,0.9625,62767.85562133789,2200,2,0.9625,58946.4354095459,2200,2,0.9625,43472.37677001953,2200,2,0.9625,10761.739135742188,2200,2,0.9625,36420.3221282959,2042,2053,2168,2194,2177,2191,2179,2167,2190,2196,2193,2164,2166,2182,2160,2192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,868311040,285736960
999,1744968856899,10957.792404174805,2000,2,0.95625,55616.378158569336,3000,2,0.95625,28262.34962463379,2000,2,0.95625,53295.22525024414,2000,2,0.95625,62767.8592376709,2200,2,0.95625,58946.439041137695,2200,2,0.95625,43472.386459350586,2200,2,0.95625,10761.741073608398,2200,2,0.95625,36426.48873901367,2042,2053,2168,2194,2177,2191,2179,2167,2190,2196,2193,2164,2166,2182,2160,2192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,868311040,285736960
1000,1744968857899,10957.794357299805,2200,2,0.8375,55616.38064575195,2200,2,0.8375,28262.35171508789,2200,2,0.8375,53295.22967529297,2200,2,0.8375,62767.86137390137,2200,2,0.8375,58946.44111633301,2200,2,0.8375,43472.39189147949,2200,2,0.8375,10761.74349975586,2200,2,0.8375,36432.58415222168,2042,2053,2168,2194,2177,2191,2179,2167,2190,2196,2193,2164,2166,2182,2160,2192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,868311040,285736960
1000,1744968858900,10957.797973632813,2200,2,0.8375,55616.383041381836,2200,2,0.8375,28262.354461669922,2200,2,0.8375,53295.23245239258,2200,2,0.8375,62767.86456298828,2200,2,0.8375,58946.44305419922,2200,2,0.8375,43472.39872741699,2200,2,0.8375,10761.7451171875,2200,2,0.8375,36438.736267089844,2042,2053,2168,2194,2177,2191,2179,2167,2190,2196,2193,2164,2166,2182,2160,2192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,868311040,285736960
1000,1744968859900,10957.805313110352,2200,2,0.8125,55616.38558959961,2200,2,0.8125,28262.356735229492,2200,2,0.84375,53295.234939575195,2200,2,0.84375,62767.86637878418,2200,2,0.84375,58946.44471740723,2200,2,0.84375,43472.40266418457,2200,2,0.84375,10761.748428344727,2200,2,0.84375,36444.849609375,2042,2053,2168,2194,2177,2191,2179,2167,2190,2196,2193,2164,2166,2182,2160,2192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,868311040,285736960
1000,1744968860901,10957.810195922852,2200,2,0.8375,55616.38845825195,2200,2,0.8375,28262.359085083008,2200,2,0.8375,53295.237869262695,2200,2,0.8375,62767.86853027344,2200,2,0.8375,58946.446868896484,2200,2,0.8375,43472.4090423584,2200,2,0.8375,10761.750427246094,2200,2,0.8375,36450.963317871094,2042,2053,2168,2194,2177,2191,2179,2167,2190,2196,2193,2164,2166,2182,2160,2192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,868311040,285736960
1000,1744968861901,10957.813766479492,2133.333333333333,2,0.88125,55616.39245605469,3000,2,0.9625,28262.361694335938,2000,2,0.9625,53295.24108886719,2000,2,0.9625,62767.87097167969,2200,2,0.9625,58946.44906616211,2200,2,0.9625,43472.41436767578,2200,2,0.9625,10761.752838134766,2200,2,0.9625,36457.07113647461,2042,2053,2168,2194,2177,2191,2179,2167,2190,2196,2193,2164,2166,2182,2160,2192,0,0,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,16665841664,4294963200,868311040,285736960
1000,1744968862901,10957.81706237793,2200,2,0.8375,55616.3963470459,2200,2,0.8375,28262.365142822266,2200,2,0.8375,53295.243560791016,2200,2,0.8375,62767.872802734375,2200,2,0.8875,58946.45086669922,2200,2,0.8875,43472.42013549805,2200,2,0.8875,10761.754959106445,2200,2,0.8875,36463.171951293945,2042,2053,2168,2194,2177,2191,2179,2167,2190,2196,2193,2164,2166,2182,2160,2192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,868311040,285736960
