Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744835394692,7545.695281982422,2200,2,0.8375,39081.08192443848,2200,2,0.8375,28961.256637573242,2200,2,0.8375,39858.933532714844,2200,2,0.8375,63354.92492675781,2200,2,0.8375,39994.589294433594,2200,2,0.8375,28626.483505249023,2200,2,0.8375,37641.15663146973,2200,2,0.8375,19716.172134399414,2116,2191,2068,1945,2195,2149,2128,2160,2183,2167,2187,2181,2184,2181,2173,2195,3.4482758045196533,0,3.4482758045196533,0,3.4482758045196533,3.4482758045196533,0,0,3.4482758045196533,3.4482758045196533,3.4482758045196533,3.4482758045196533,3.4482758045196533,0,10.714285850524902,6.6666669845581055,16665841664,4294963200,914354176,229900288
1000,1744835394693,7545.698516845703,2200,2,0.8375,39081.08207702637,2200,2,0.8375,28961.256790161133,2200,2,0.8375,39858.933685302734,2200,2,0.8375,63354.92509460449,2200,2,0.8375,39994.589447021484,2200,2,0.8375,28626.484985351563,2200,2,0.8375,37641.15905761719,2200,2,0.8375,19716.198272705078,2116,2191,2068,1945,2195,2149,2128,2160,2183,2167,2187,2181,2184,2181,2173,2195,3.4482758045196533,0,3.4482758045196533,0,3.4482758045196533,3.4482758045196533,0,0,3.4482758045196533,3.4482758045196533,3.4482758045196533,3.4482758045196533,3.4482758045196533,0,10.714285850524902,6.6666669845581055,16665841664,4294963200,914866176,229900288
1000,1744835395693,7545.707382202148,2133.333333333333,2,0.88125,39081.08583068848,3000,2,0.9625,28961.26010131836,2000,2,0.9625,39858.936950683594,2000,2,0.9625,63354.92953491211,2200,2,0.9625,39994.593505859375,2200,2,0.9625,28626.4900970459,2200,2,0.9625,37641.163146972656,2200,2,0.9625,19722.351806640625,2116,2191,2068,1945,2195,2149,2128,2160,2183,2167,2187,2181,2184,2181,2173,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,16665841664,4294963200,914862080,229900288
1000,1744835396693,7545.712432861328,2200,2,0.85,39081.088775634766,2200,2,0.85,28961.263397216797,2200,2,0.85,39858.939193725586,2200,2,0.85,63354.93374633789,2200,2,0.88125,39994.59719848633,2200,2,0.88125,28626.492111206055,2200,2,0.88125,37641.164779663086,2200,2,0.88125,19728.455825805664,2116,2191,2068,1945,2195,2149,2128,2160,2183,2167,2187,2181,2184,2181,2173,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,914862080,229900288
1000,1744835397694,7545.718948364258,2200,2,0.84375,39081.09214782715,2200,2,0.84375,28961.26609802246,2200,2,0.84375,39858.94137573242,2200,2,0.84375,63354.936264038086,2200,2,0.84375,39994.60076904297,2200,2,0.84375,28626.49594116211,2200,2,0.84375,37641.16664123535,2200,2,0.84375,19734.526916503906,2116,2191,2068,1945,2195,2149,2128,2160,2183,2167,2187,2181,2184,2181,2173,2195,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,914862080,229900288
1000,1744835398695,7545.723693847656,2200,2,0.84375,39081.09428405762,2200,2,0.84375,28961.26905822754,2200,2,0.84375,39858.94290161133,2200,2,0.84375,63354.94027709961,2200,2,0.85,39994.60404968262,2200,2,0.85,28626.497604370117,2200,2,0.85,37641.16815185547,2200,2,0.85,19740.58413696289,2116,2191,2068,1945,2195,2149,2128,2160,2183,2167,2187,2181,2184,2181,2173,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,914862080,229900288
1000,1744835399695,7545.731628417969,2200,2,0.85,39081.097732543945,2200,2,0.85,28961.271911621094,2200,2,0.85,39858.948822021484,2200,2,0.85,63354.94337463379,2200,2,0.85,39994.60696411133,2200,2,0.85,28626.50035095215,2200,2,0.85,37641.170974731445,2200,2,0.85,19746.70053100586,2116,2191,2068,1945,2195,2149,2128,2160,2183,2167,2187,2181,2184,2181,2173,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,914862080,229900288
1000,1744835400695,7545.735305786133,2200,2,0.8125,39081.104415893555,2200,2,0.8125,28961.274291992188,2200,2,0.8125,39858.95069885254,2200,2,0.8125,63354.94532775879,2200,2,0.85,39994.61054992676,2200,2,0.85,28626.502166748047,2200,2,0.85,37641.1745300293,2200,2,0.85,19752.782165527344,2116,2191,2068,1945,2195,2149,2128,2160,2183,2167,2187,2181,2184,2181,2173,2195,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,16665841664,4294963200,914857984,229900288
1000,1744835401696,7545.746063232422,2200,2,0.8375,39081.13009643555,2200,2,0.8375,28961.279510498047,2200,2,0.8375,39858.95933532715,2200,2,0.8375,63354.94747924805,2200,2,0.8375,39994.620513916016,2200,2,0.8375,28626.50944519043,2200,2,0.8625,37641.178314208984,2200,2,0.8625,19759.012435913086,2116,2191,2068,1945,2195,2149,2128,2160,2183,2167,2187,2181,2184,2181,2173,2195,0,1,0,0,0,0,0,0.9803922176361084,0,0,0,0.9900990128517151,0,0,0,0,16665841664,4294963200,914857984,229900288
1000,1744835402696,7545.747970581055,2200,2,0.8125,39081.13723754883,2200,2,0.8125,28961.282958984375,2200,2,0.85,39858.96090698242,2200,2,0.85,63354.94970703125,2200,2,0.85,39994.62269592285,2200,2,0.85,28626.51139831543,2200,2,0.85,37641.1798248291,2200,2,0.85,19765.065216064453,2116,2191,2068,1945,2195,2149,2128,2160,2183,2167,2187,2181,2184,2181,2173,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,915103744,229900288
