Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744946979663,33980.75875854492,2200,2,0.8375,34968.198791503906,2200,2,0.8375,11785.419250488281,2200,2,0.8375,30707.71711730957,2200,2,0.8375,19489.43148803711,2200,2,0.8375,38416.38040161133,2200,2,0.8375,21172.410125732422,2200,2,0.8375,50977.60746765137,2200,2,0.8375,3938.7152252197266,2154,2194,2161,2162,2191,2162,2168,2134,2195,2189,2195,2079,2104,2189,2156,2192,3.125,3.125,0,0,3.0303030014038086,9.375,3.125,3.0303030014038086,3.22580623626709,3.125,3.125,3.125,3.125,3.125,3.125,3.125,16665841664,4294963200,874319872,277348352
1000,1744946979663,33980.76042175293,2200,2,0.8375,34968.200744628906,2200,2,0.8375,11785.419357299805,2200,2,0.8375,30707.71726989746,2200,2,0.8375,19489.43165588379,2200,2,0.8375,38416.38362121582,2200,2,0.8375,21172.410278320313,2200,2,0.8375,50977.60762023926,2200,2,0.8375,3938.7413940429688,2154,2194,2161,2162,2191,2162,2168,2134,2195,2189,2195,2079,2104,2189,2156,2192,3.125,3.125,0,0,3.0303030014038086,9.375,3.125,3.0303030014038086,3.22580623626709,3.125,3.125,3.125,3.125,3.125,3.125,3.125,16665841664,4294963200,874831872,277348352
1000,1744946980663,33980.77099609375,2200,2,0.8375,34968.205001831055,2200,2,0.8375,11785.421783447266,2200,2,0.8375,30707.72003173828,2200,2,0.83125,19489.434127807617,2200,2,0.83125,38416.40446472168,2200,2,0.83125,21172.412643432617,2200,2,0.83125,50977.60935974121,2200,2,0.83125,3945.07080078125,2154,2194,2161,2162,2191,2162,2168,2134,2195,2189,2195,2079,2104,2189,2156,2192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,875343872,277348352
1000,1744946981664,33980.7734375,2133.333333333333,2,0.9625,34968.20930480957,3200,1,0.9625,11785.424392700195,2133.333333333333,2,0.9625,30707.72264099121,2133.333333333333,2,0.9625,19489.437423706055,2200,2,0.9625,38416.40921020508,2200,2,0.9625,21172.414627075195,2200,2,0.9625,50977.61097717285,2200,2,0.9625,3951.1597747802734,2154,2194,2161,2162,2191,2162,2168,2134,2195,2189,2195,2079,2104,2189,2156,2192,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,875343872,277348352
1000,1744946982664,33980.77491760254,2133.333333333333,2,0.88125,34968.211517333984,3200,1,0.88125,11785.426071166992,2133.333333333333,2,0.88125,30707.725555419922,2133.333333333333,2,0.88125,19489.439071655273,2200,2,0.9625,38416.418045043945,2200,2,0.9625,21172.417419433594,2200,2,0.9625,50977.61329650879,2200,2,0.9625,3957.25146484375,2154,2194,2161,2162,2191,2162,2168,2134,2195,2189,2195,2079,2104,2189,2156,2192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,875343872,277348352
1000,1744946983665,33980.77919006348,2000,2,1.51875,34968.21551513672,3000,2,1.51875,11785.430389404297,2000,2,1.51875,30707.728088378906,2000,2,1.51875,19489.441864013672,2200,2,1.51875,38416.431716918945,2200,2,1.51875,21172.42007446289,2200,2,1.51875,50977.61557006836,2200,2,1.51875,3963.3858032226563,2154,2194,2161,2162,2191,2162,2168,2134,2195,2189,2195,2079,2104,2189,2156,2192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,875343872,277348352
1000,1744946984665,33980.781494140625,2133.333333333333,2,0.88125,34968.21954345703,3200,1,0.9625,11785.433502197266,2000,2,0.9625,30707.73078918457,2000,2,0.9625,19489.444381713867,2200,2,0.9625,38416.44027709961,2200,2,0.9625,21172.422592163086,2200,2,0.9625,50977.61817932129,2200,2,0.9625,3969.4732055664063,2154,2194,2161,2162,2191,2162,2168,2134,2195,2189,2195,2079,2104,2189,2156,2192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,875343872,277348352
1000,1744946985666,33980.78421020508,2000,2,0.95625,34968.22216796875,3000,2,0.95625,11785.435958862305,2000,2,0.95625,30707.733963012695,2000,2,0.95625,19489.44659423828,2200,2,0.95625,38416.45016479492,2200,2,0.9625,21172.424560546875,2200,2,0.9625,50977.62124633789,2200,2,0.9625,3975.5921783447266,2154,2194,2161,2162,2191,2162,2168,2134,2195,2189,2195,2079,2104,2189,2156,2192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,875335680,277348352
1000,1744946986666,33980.78665161133,2000,2,0.9625,34968.22511291504,3000,2,0.9625,11785.438735961914,2000,2,0.9625,30707.737594604492,2000,2,0.9625,19489.448928833008,2200,2,0.9625,38416.45706176758,2200,2,0.9625,21172.428115844727,2200,2,0.9625,50977.62403869629,2200,2,0.9625,3981.680679321289,2154,2194,2161,2162,2191,2162,2168,2134,2195,2189,2195,2079,2104,2189,2156,2192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,875335680,277348352
1000,1744946987667,33980.792556762695,2175,2,0.95625,34968.22959899902,4350,0,0.95625,11785.44223022461,2175,2,0.95625,30707.74476623535,2175,2,0.95625,19489.45231628418,2200,2,0.95625,38416.47212219238,2200,2,0.95625,21172.431579589844,2200,2,0.95625,50977.62693786621,2200,2,0.95625,3987.888397216797,2154,2194,2161,2162,2191,2162,2168,2134,2195,2189,2195,2079,2104,2189,2156,2192,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,875335680,277348352
