Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744924717556,53991.746170043945,2200,2,0.8375,7625.757369995117,2200,2,0.8375,52014.307037353516,2200,2,0.8375,4503.394134521484,2200,2,0.8375,38343.3278503418,2200,2,0.8375,8183.2777099609375,2200,2,0.8375,56399.506271362305,2200,2,0.8375,20540.040405273438,2200,2,0.8375,51961.036209106445,2184,2194,2189,2041,2173,1938,2190,1994,2163,2158,2191,1951,2156,2174,2157,2166,3.0303030014038086,3.0303030014038086,9.375,3.125,0,0,3.125,0,3.125,0,5.882352828979492,6.060606002807617,0,3.0303030014038086,3.125,0,16665841664,4294963200,889491456,266862592
1000,1744924717556,53991.74784851074,2200,2,0.8375,7625.757476806641,2200,2,0.8375,52014.310302734375,2200,2,0.8375,4503.394287109375,2200,2,0.8375,38343.329833984375,2200,2,0.8375,8183.277862548828,2200,2,0.8375,56399.506423950195,2200,2,0.8375,20540.040557861328,2200,2,0.8375,51961.06172180176,2184,2194,2189,2041,2173,1938,2190,1994,2163,2158,2191,1951,2156,2174,2157,2166,3.0303030014038086,3.0303030014038086,9.375,3.125,0,0,3.125,0,3.125,0,5.882352828979492,6.060606002807617,0,3.0303030014038086,3.125,0,16665841664,4294963200,889491456,266862592
1000,1744924718557,53991.75424194336,2133.333333333333,2,0.9125,7625.760498046875,3200,1,0.9125,52014.32035827637,2133.333333333333,2,0.9125,4503.397888183594,2133.333333333333,2,0.9125,38343.336837768555,2200,2,0.925,8183.281402587891,2200,2,0.925,56399.510650634766,2200,2,0.925,20540.04412841797,2200,2,0.925,51967.238677978516,2184,2194,2189,2041,2173,1938,2190,1994,2163,2158,2191,1951,2156,2174,2157,2166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,889741312,266862592
1000,1744924719557,53991.768157958984,2200,2,0.84375,7625.769546508789,2200,2,0.84375,52014.32913208008,2200,2,0.84375,4503.404220581055,2200,2,0.84375,38343.342193603516,2200,2,0.84375,8183.286285400391,2200,2,0.84375,56399.516204833984,2200,2,0.84375,20540.052322387695,2200,2,0.8375,51973.4489440918,2184,2194,2189,2041,2173,1938,2190,1994,2163,2158,2191,1951,2156,2174,2157,2166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,888651776,266862592
1000,1744924720558,53991.769607543945,2200,2,0.8125,7625.771636962891,2200,2,0.8125,52014.335510253906,2200,2,0.8125,4503.406188964844,2200,2,0.8375,38343.343688964844,2200,2,0.8375,8183.288009643555,2200,2,0.8375,56399.51789855957,2200,2,0.8375,20540.053680419922,2200,2,0.8375,51979.49028015137,2184,2194,2189,2041,2173,1938,2190,1994,2163,2158,2191,1951,2156,2174,2157,2166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,887275520,266862592
1000,1744924721558,53991.771575927734,2000,2,0.9625,7625.7735595703125,3000,2,0.9625,52014.341537475586,2000,2,0.9625,4503.4078369140625,2000,2,0.9625,38343.345153808594,2200,2,0.9625,8183.289337158203,2200,2,0.9375,56399.51924133301,2200,2,0.9375,20540.055755615234,2200,2,0.9375,51985.53764343262,2184,2194,2189,2041,2173,1938,2190,1994,2163,2158,2191,1951,2156,2174,2157,2166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,887275520,266862592
1000,1744924722558,53991.77439880371,2200,2,0.8125,7625.778381347656,2200,2,0.85,52014.35176086426,2200,2,0.85,4503.410873413086,2200,2,0.85,38343.351501464844,2200,2,0.85,8183.293258666992,2200,2,0.85,56399.52235412598,2200,2,0.85,20540.060836791992,2200,2,0.85,51991.64781188965,2184,2194,2189,2041,2173,1938,2190,1994,2163,2158,2191,1951,2156,2174,2157,2166,0,0,1.9607844352722168,0,0,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,16665841664,4294963200,886071296,266862592
1000,1744924723559,53991.77812194824,2200,2,0.8375,7625.782379150391,2200,2,0.8375,52014.359436035156,2200,2,0.8375,4503.413436889648,2200,2,0.8375,38343.355728149414,2200,2,0.88125,8183.295608520508,2200,2,0.88125,56399.52476501465,2200,2,0.88125,20540.063095092773,2200,2,0.88125,51997.790451049805,2184,2194,2189,2041,2173,1938,2190,1994,2163,2158,2191,1951,2156,2174,2157,2166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,886071296,266862592
1000,1744924724559,53991.77995300293,2000,2,0.9625,7625.784851074219,3000,2,0.9625,52014.36553955078,2000,2,0.9625,4503.415466308594,2000,2,0.9625,38343.35775756836,2200,2,0.9625,8183.297668457031,2200,2,0.9625,56399.526611328125,2200,2,0.9625,20540.064712524414,2200,2,0.9625,52003.847076416016,2184,2194,2189,2041,2173,1938,2190,1994,2163,2158,2191,1951,2156,2174,2157,2166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,885018624,266862592
1000,1744924725560,53991.78283691406,2200,2,0.8125,7625.78727722168,2200,2,0.8125,52014.372131347656,2200,2,0.8125,4503.417236328125,2200,2,0.8125,38343.36032104492,2200,2,0.85,8183.300064086914,2200,2,0.85,56399.52793884277,2200,2,0.85,20540.066207885742,2200,2,0.85,52009.8956451416,2184,2194,2189,2041,2173,1938,2190,1994,2163,2158,2191,1951,2156,2174,2157,2166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,884097024,266862592
