Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745023724176,47822.07597351074,2200,2,0.8375,51167.52850341797,2200,2,0.8375,30339.14387512207,2200,2,0.8375,54447.97741699219,2200,2,0.8375,40554.14762878418,2200,2,0.8375,55935.839935302734,2200,2,0.8375,41517.959899902344,2200,2,0.8375,11676.812591552734,2200,2,0.8375,55764.73654174805,2144,2188,2192,2189,2194,2137,2185,2196,2183,2185,2195,2175,2185,2174,1992,2159,3.125,0,3.125,0,0,0,3.22580623626709,3.125,6.6666669845581055,0,6.25,0,6.060606002807617,3.22580623626709,3.22580623626709,6.060606002807617,16665841664,4294963200,857280512,290717696
1000,1745023724176,47822.07632446289,2200,2,0.84375,51167.52865600586,2200,2,0.84375,30339.14710998535,2200,2,0.84375,54447.97792053223,2200,2,0.84375,40554.14778137207,2200,2,0.84375,55935.84101867676,2200,2,0.84375,41517.96000671387,2200,2,0.84375,11676.813674926758,2200,2,0.84375,55764.74998474121,2144,2188,2192,2189,2194,2137,2185,2196,2183,2185,2195,2175,2185,2174,1992,2159,3.125,0,3.125,0,0,0,3.22580623626709,3.125,6.6666669845581055,0,6.25,0,6.060606002807617,3.22580623626709,3.22580623626709,6.060606002807617,16665841664,4294963200,857280512,290717696
1000,1745023725176,47822.07797241211,2000,2,1.51875,51167.53201293945,3000,2,1.51875,30339.160705566406,2000,2,1.51875,54447.9803314209,2000,2,1.51875,40554.150787353516,2200,2,1.51875,55935.846099853516,2200,2,1.51875,41517.961349487305,2200,2,1.51875,11676.816619873047,2200,2,1.51875,55770.884521484375,2144,2188,2192,2189,2194,2137,2185,2196,2183,2185,2195,2175,2185,2174,1992,2159,0,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,16665841664,4294963200,857280512,290717696
1000,1745023726177,47822.08525085449,2175,2,0.88125,51167.53559875488,4350,0,0.88125,30339.173065185547,2175,2,0.88125,54447.986389160156,2000,2,1.4937500000000001,40554.15481567383,2200,2,1.4937500000000001,55935.85411071777,2200,2,1.4937500000000001,41517.96829223633,2200,2,1.4937500000000001,11676.818786621094,2200,2,1.4937500000000001,55777.00108337402,2144,2188,2192,2189,2194,2137,2185,2196,2183,2185,2195,2175,2185,2174,1992,2159,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,16665841664,4294963200,857280512,290717696
1000,1745023727177,47822.0885925293,2000,2,0.9625,51167.53868103027,3000,2,0.9625,30339.181228637695,2000,2,0.9625,54447.98986816406,2000,2,0.9625,40554.158615112305,2200,2,0.9625,55935.85662841797,2200,2,0.9625,41517.97087097168,2200,2,0.95625,11676.82160949707,2200,2,0.95625,55783.08183288574,2144,2188,2192,2189,2194,2137,2185,2196,2183,2185,2195,2175,2185,2174,1992,2159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,856772608,290717696
1000,1745023728178,47822.091567993164,2200,2,0.8125,51167.54194641113,2200,2,0.85,30339.1905670166,2200,2,0.85,54447.993408203125,2200,2,0.85,40554.1612701416,2200,2,0.85,55935.859298706055,2200,2,0.85,41517.97329711914,2200,2,0.85,11676.824096679688,2200,2,0.85,55789.17124938965,2144,2188,2192,2189,2194,2137,2185,2196,2183,2185,2195,2175,2185,2174,1992,2159,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,16665841664,4294963200,856772608,290717696
1000,1745023729178,47822.09346008301,2200,2,0.84375,51167.54653930664,2200,2,0.84375,30339.19664001465,2200,2,0.84375,54447.99531555176,2200,2,0.84375,40554.1651763916,2200,2,0.84375,55935.860778808594,2200,2,0.8875,41517.97479248047,2200,2,0.8875,11676.825622558594,2200,2,0.8875,55795.22579956055,2144,2188,2192,2189,2194,2137,2185,2196,2183,2185,2195,2175,2185,2174,1992,2159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,856088576,290717696
1000,1745023730179,47822.09672546387,2000,2,0.9625,51167.54852294922,3000,2,0.9625,30339.20460510254,2000,2,0.9625,54447.999938964844,2000,2,0.9625,40554.16670227051,2200,2,0.9625,55935.86361694336,2200,2,0.9625,41517.97625732422,2200,2,0.9625,11676.827072143555,2200,2,0.9625,55801.30499267578,2144,2188,2192,2189,2194,2137,2185,2196,2183,2185,2195,2175,2185,2174,1992,2159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,855445504,290717696
1000,1745023731179,47822.09873962402,2133.333333333333,2,0.9125,51167.55062866211,3200,1,0.9125,30339.21095275879,2133.333333333333,2,0.9125,54448.00288391113,2133.333333333333,2,0.9125,40554.16845703125,2200,2,0.9812500000000001,55935.86489868164,2200,2,0.9812500000000001,41517.97758483887,2200,2,0.9812500000000001,11676.830200195313,2200,2,0.9812500000000001,55807.3359375,2144,2188,2192,2189,2194,2137,2185,2196,2183,2185,2195,2175,2185,2174,1992,2159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,855445504,290717696
1000,1745023732180,47822.108657836914,2175,2,1.50625,51167.55400085449,4350,0,1.50625,30339.21551513672,2175,2,1.50625,54448.00662231445,2175,2,1.50625,40554.17306518555,2200,2,1.50625,55935.86882019043,2200,2,1.50625,41517.981521606445,2200,2,1.50625,11676.832305908203,2200,2,1.50625,55813.415954589844,2144,2188,2192,2189,2194,2137,2185,2196,2183,2185,2195,2175,2185,2174,1992,2159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,855277568,290717696
