Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744903293523,8216.676452636719,2133.333333333333,2,0.9625,49656.85008239746,3200,1,0.9625,31124.918029785156,2133.333333333333,2,0.9625,43340.02503967285,2133.333333333333,2,0.9625,62395.157958984375,2200,2,0.95625,50955.66101074219,2200,2,0.95625,33901.38423156738,2200,2,0.95625,65237.721740722656,2200,2,0.95625,12989.313903808594,2122,2200,2153,2195,2194,2178,2134,2175,2050,2190,2141,2195,2183,2147,2184,2194,0,6.6666669845581055,3.4482758045196533,10.344827651977539,3.4482758045196533,0,3.4482758045196533,3.4482758045196533,0,3.4482758045196533,0,3.4482758045196533,3.5714287757873535,0,3.4482758045196533,6.6666669845581055,16665841664,4294963200,890650624,253755392
1000,1744903293523,8216.676742553711,2133.333333333333,2,0.95625,49656.85025024414,3200,1,0.95625,31124.918182373047,2133.333333333333,2,0.95625,43340.029388427734,2133.333333333333,2,0.95625,62395.158126831055,2200,2,0.95625,50955.66123962402,2200,2,0.95625,33901.38659667969,2200,2,0.95625,65237.724517822266,2200,2,0.95625,12989.341354370117,2122,2200,2153,2195,2194,2178,2134,2175,2050,2190,2141,2195,2183,2147,2184,2194,0,6.6666669845581055,3.4482758045196533,10.344827651977539,3.4482758045196533,0,3.4482758045196533,3.4482758045196533,0,3.4482758045196533,0,3.4482758045196533,3.5714287757873535,0,3.4482758045196533,6.6666669845581055,16665841664,4294963200,890650624,253755392
1000,1744903294524,8216.679946899414,2175,2,0.9125,49656.85464477539,4350,0,0.9125,31124.921630859375,2175,2,0.9125,43340.04431152344,2175,2,0.9125,62395.16069030762,2200,2,0.9125,50955.663986206055,2200,2,0.9125,33901.39695739746,2200,2,0.9125,65237.7311706543,2200,2,0.9125,12995.625503540039,2122,2200,2153,2195,2194,2178,2134,2175,2050,2190,2141,2195,2183,2147,2184,2194,0,0,0,1.9607844352722168,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,890650624,253755392
1000,1744903295524,8216.684112548828,2200,2,0.8375,49656.861557006836,2200,2,0.8375,31124.92691040039,2200,2,0.8375,43340.07049560547,2200,2,0.8375,62395.16487121582,2200,2,0.8375,50955.66758728027,2200,2,0.8375,33901.40084838867,2200,2,0.8375,65237.73532104492,2200,2,0.8375,13001.889938354492,2122,2200,2153,2195,2194,2178,2134,2175,2050,2190,2141,2195,2183,2147,2184,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,890617856,253755392
1000,1744903296525,8216.6865234375,2200,2,0.8375,49656.8642578125,2200,2,0.8375,31124.929412841797,2200,2,0.8375,43340.07632446289,2200,2,0.8375,62395.16688537598,2200,2,0.83125,50955.66970825195,2200,2,0.83125,33901.40328979492,2200,2,0.83125,65237.736907958984,2200,2,0.83125,13008.022659301758,2122,2200,2153,2195,2194,2178,2134,2175,2050,2190,2141,2195,2183,2147,2184,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,890617856,253755392
1000,1744903297525,8216.688125610352,2000,2,0.9625,49656.866439819336,3000,2,0.9625,31124.93132019043,2000,2,0.9625,43340.081939697266,2000,2,0.9625,62395.168685913086,2200,2,0.9625,50955.67124938965,2200,2,0.9625,33901.40640258789,2200,2,0.9625,65237.73847961426,2200,2,0.9125,13014.145065307617,2122,2200,2153,2195,2194,2178,2134,2175,2050,2190,2141,2195,2183,2147,2184,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,890617856,253755392
1000,1744903298526,8216.691390991211,2200,2,0.8125,49656.86964416504,2200,2,0.8125,31124.934829711914,2200,2,0.8125,43340.0910949707,2200,2,0.8375,62395.173416137695,2200,2,0.8375,50955.67596435547,2200,2,0.8375,33901.412506103516,2200,2,0.8375,65237.742111206055,2200,2,0.8375,13020.352432250977,2122,2200,2153,2195,2194,2178,2134,2175,2050,2190,2141,2195,2183,2147,2184,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,890847232,253755392
1000,1744903299526,8216.693954467773,2000,2,0.9625,49656.87405395508,3000,2,0.9625,31124.937423706055,2000,2,0.9625,43340.102111816406,2000,2,0.9625,62395.17573547363,2200,2,0.9625,50955.67808532715,2200,2,0.95625,33901.41648864746,2200,2,0.95625,65237.74462890625,2200,2,0.95625,13026.582611083984,2122,2200,2153,2195,2194,2178,2134,2175,2050,2190,2141,2195,2183,2147,2184,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,890847232,253755392
1000,1744903300527,8216.696487426758,2200,2,0.81875,49656.876861572266,2200,2,0.8375,31124.939682006836,2200,2,0.8375,43340.1071472168,2200,2,0.8375,62395.17752075195,2200,2,0.8375,50955.6799621582,2200,2,0.8375,33901.419021606445,2200,2,0.8375,65237.74598693848,2200,2,0.8375,13032.70085144043,2122,2200,2153,2195,2194,2178,2134,2175,2050,2190,2141,2195,2183,2147,2184,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,890847232,253755392
1000,1744903301527,8216.698120117188,2133.333333333333,2,0.9125,49656.8791809082,3200,1,0.9125,31124.94172668457,2133.333333333333,2,0.9125,43340.1134185791,2133.333333333333,2,0.9125,62395.179428100586,2200,2,0.9375,50955.68165588379,2200,2,0.9375,33901.421813964844,2200,2,0.9375,65237.74726867676,2200,2,0.9375,13038.841400146484,2122,2200,2153,2195,2194,2178,2134,2175,2050,2190,2141,2195,2183,2147,2184,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,890847232,253755392
