Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744907794206,19085.679946899414,2200,2,0.8375,55269.68260192871,2200,2,0.8375,36208.15449523926,2200,2,0.8375,51452.05682373047,2200,2,0.8375,5010.055160522461,2200,2,0.8375,56295.57945251465,2200,2,0.8375,39061.894454956055,2200,2,0.8375,3292.188018798828,2200,2,0.8375,42528.03381347656,2180,2193,2085,2121,2162,2109,2121,2075,2190,2178,2162,2188,2183,2057,2136,2166,0,3.22580623626709,3.125,3.22580623626709,0,0,3.22580623626709,3.22580623626709,3.125,9.67741870880127,0,3.3333334922790527,3.22580623626709,3.125,3.22580623626709,3.22580623626709,16665841664,4294963200,892506112,255590400
1000,1744907794206,19085.68031311035,2200,2,0.8375,55269.6827545166,2200,2,0.8375,36208.15464782715,2200,2,0.8375,51452.06001281738,2200,2,0.8375,5010.055328369141,2200,2,0.8375,56295.57960510254,2200,2,0.8375,39061.89695739746,2200,2,0.8375,3292.1893768310547,2200,2,0.8375,42528.059982299805,2180,2193,2085,2121,2162,2109,2121,2075,2190,2178,2162,2188,2183,2057,2136,2166,0,3.22580623626709,3.125,3.22580623626709,0,0,3.22580623626709,3.22580623626709,3.125,9.67741870880127,0,3.3333334922790527,3.22580623626709,3.125,3.22580623626709,3.22580623626709,16665841664,4294963200,892506112,255590400
1000,1744907795207,19085.68243408203,2200,2,0.8125,55269.68608093262,2200,2,0.8125,36208.156677246094,2200,2,0.8375,51452.06837463379,2200,2,0.8375,5010.057556152344,2200,2,0.8375,56295.58267211914,2200,2,0.8375,39061.90182495117,2200,2,0.8375,3292.19287109375,2200,2,0.8375,42534.229583740234,2180,2193,2085,2121,2162,2109,2121,2075,2190,2178,2162,2188,2183,2057,2136,2166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,893018112,255590400
1000,1744907796207,19085.689575195313,2200,2,0.8375,55269.69076538086,2200,2,0.8375,36208.15985107422,2200,2,0.8375,51452.07307434082,2200,2,0.8375,5010.060729980469,2200,2,0.8375,56295.58589172363,2200,2,0.86875,39061.90505981445,2200,2,0.86875,3292.1962127685547,2200,2,0.86875,42540.412994384766,2180,2193,2085,2121,2162,2109,2121,2075,2190,2178,2162,2188,2183,2057,2136,2166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,893775872,255590400
1000,1744907797208,19085.695388793945,2200,2,0.8375,55269.69398498535,2200,2,0.8375,36208.16145324707,2200,2,0.8375,51452.07498168945,2200,2,0.8375,5010.062561035156,2200,2,0.8375,56295.58737182617,2200,2,0.8375,39061.90657043457,2200,2,0.8375,3292.197799682617,2200,2,0.8375,42546.461654663086,2180,2193,2085,2121,2162,2109,2121,2075,2190,2178,2162,2188,2183,2057,2136,2166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,893775872,255590400
1000,1744907798208,19085.698471069336,2200,2,0.84375,55269.69966125488,2200,2,0.84375,36208.16307067871,2200,2,0.81875,51452.07693481445,2200,2,0.81875,5010.065231323242,2200,2,0.81875,56295.58930969238,2200,2,0.81875,39061.90946960449,2200,2,0.81875,3292.198944091797,2200,2,0.81875,42552.54685974121,2180,2193,2085,2121,2162,2109,2121,2075,2190,2178,2162,2188,2183,2057,2136,2166,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,893775872,255590400
1000,1744907799209,19085.69953918457,2200,2,0.8375,55269.70567321777,2200,2,0.8375,36208.164321899414,2200,2,0.8375,51452.07800292969,2200,2,0.8375,5010.066253662109,2200,2,0.8375,56295.59030151367,2200,2,0.8375,39061.910552978516,2200,2,0.84375,3292.2000579833984,2200,2,0.84375,42558.61045837402,2180,2193,2085,2121,2162,2109,2121,2075,2190,2178,2162,2188,2183,2057,2136,2166,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,893775872,255590400
1000,1744907800209,19085.7021484375,2200,2,0.8125,55269.71292114258,2200,2,0.8125,36208.167388916016,2200,2,0.8125,51452.080154418945,2200,2,0.84375,5010.068557739258,2200,2,0.84375,56295.592208862305,2200,2,0.84375,39061.91270446777,2200,2,0.84375,3292.2017364501953,2200,2,0.84375,42564.71887207031,2180,2193,2085,2121,2162,2109,2121,2075,2190,2178,2162,2188,2183,2057,2136,2166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,893775872,255590400
1000,1744907801209,19085.704879760742,2200,2,0.84375,55269.71885681152,2200,2,0.84375,36208.1690826416,2200,2,0.84375,51452.08190917969,2200,2,0.84375,5010.070068359375,2200,2,0.84375,56295.59362792969,2200,2,0.84375,39061.914123535156,2200,2,0.85625,3292.2031860351563,2200,2,0.85625,42570.80097961426,2180,2193,2085,2121,2162,2109,2121,2075,2190,2178,2162,2188,2183,2057,2136,2166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,893775872,255590400
1000,1744907802210,19085.707763671875,2200,2,0.85,55269.72573852539,2200,2,0.85,36208.17286682129,2200,2,0.85,51452.08416748047,2200,2,0.85,5010.074508666992,2200,2,0.85,56295.59617614746,2200,2,0.85,39061.917053222656,2200,2,0.85,3292.2050018310547,2200,2,0.85,42576.88293457031,2180,2193,2085,2121,2162,2109,2121,2075,2190,2178,2162,2188,2183,2057,2136,2166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,893775872,255590400
