Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744991536665,57072.42979431152,2200,2,0.84375,15298.783584594727,2200,2,0.84375,55815.3434753418,2200,2,0.84375,15277.604537963867,2200,2,0.84375,41270.69338989258,2200,2,0.84375,18069.64158630371,2200,2,0.84375,4658.4420166015625,2200,2,0.84375,37152.13491821289,2200,2,0.84375,45924.21615600586,2128,3193,2186,2131,2193,2194,2156,2195,2194,2125,2195,2158,2008,2195,2188,2350,7.407407283782959,0,6.896551609039307,0,3.5714287757873535,0,3.4482758045196533,0,6.896551609039307,3.5714287757873535,3.5714287757873535,3.5714287757873535,0,0,0,3.5714287757873535,16665841664,4294963200,865013760,292814848
999,1744991536665,57072.43296813965,2200,2,0.85,15298.783721923828,2200,2,0.85,55815.34356689453,2200,2,0.85,15277.60464477539,2200,2,0.85,41270.6934967041,2200,2,0.85,18069.6417388916,2200,2,0.84375,4658.445510864258,2200,2,0.84375,37152.13507080078,2200,2,0.84375,45924.24168395996,2128,3193,2186,2131,2193,2194,2156,2195,2194,2125,2195,2158,2008,2195,2188,2350,7.407407283782959,0,6.896551609039307,0,3.5714287757873535,0,3.4482758045196533,0,6.896551609039307,3.5714287757873535,3.5714287757873535,3.5714287757873535,0,0,0,3.5714287757873535,16665841664,4294963200,865013760,292814848
999,1744991537665,57084.897857666016,4275,0,1.425,15299.555526733398,2850,2,1.425,55817.66963195801,2137.5,2,1.425,15279.268508911133,2850,2,1.425,41274.42126464844,2200,2,1.425,18070.992782592773,2200,2,1.425,4661.723922729492,2200,2,1.425,37154.75752258301,2200,2,1.41875,45965.701919555664,2128,3193,2186,2131,2193,2194,2156,2195,2194,2125,2195,2158,2008,2195,2188,2350,98.98989868164063,3.0303030014038086,7,14.851485252380371,32,8.91089153289795,13,1.9801980257034302,18.18181800842285,0,2,2,16.1616153717041,22,0,0,16665841664,4294963200,974684160,292814848
999,1744991538665,57095.48092651367,4125,0,1.375,15306.96598815918,2750,2,1.375,55825.36683654785,4125,0,1.375,15287.995346069336,4125,0,1.375,41281.904541015625,2062.5,2,1.375,18078.141540527344,2750,2,1.375,4667.848587036133,2062.5,2,1.375,37161.68960571289,4125,0,1.38125,46039.06034851074,2128,3193,2186,2131,2193,2194,2156,2195,2194,2125,2195,2158,2008,2195,2188,2350,99,27.272727966308594,10.1010103225708,87,73.73737335205078,70.70706939697266,71.71717071533203,29,72.7272720336914,19.387754440307617,42.85714340209961,27.272727966308594,10.30927848815918,71.71717071533203,23.232322692871094,60.60606384277344,16665841664,4294963200,1242750976,292814848
999,1744991539665,57102.34114074707,4000,0,1.325,15316.065963745117,4000,0,1.325,55832.484298706055,4000,0,1.325,15295.929214477539,4000,0,1.325,41290.08966064453,4000,0,1.325,18084.188735961914,4000,0,1.325,4674.488418579102,4000,0,1.325,37168.612243652344,3975,0,1.325,46109.347259521484,2128,3193,2186,2131,2193,2194,2156,2195,2194,2125,2195,2158,2008,2195,2188,2350,54.000003814697266,26.530611038208008,3.0303030014038086,76.7676773071289,69,15.841584205627441,61,9,72.7272720336914,2,21.212121963500977,48,24,63.366336822509766,14.141413688659668,67,16665841664,4294963200,1330221056,292814848
999,1744991540666,57109.528869628906,2133.333333333333,2,1.4312500000000001,15323.750457763672,2133.333333333333,2,1.4312500000000001,55839.5393371582,3200,1,1.4312500000000001,15303.240661621094,2133.333333333333,2,1.4312500000000001,41296.897872924805,2100,2,1.4312500000000001,18089.623138427734,2100,2,1.4312500000000001,4680.156219482422,2100,2,1.4312500000000001,37174.202896118164,4200,0,1.4312500000000001,46174.70805358887,2128,3193,2186,2131,2193,2194,2156,2195,2194,2125,2195,2158,2008,2195,2188,2350,61.61616516113281,4.040403842926025,74.25743103027344,68,48,0,55.55555725097656,4.081632614135742,1.9801980257034302,2.97029709815979,23,55,4,48.48484802246094,3.9603960514068604,73,16665841664,4294963200,1433899008,292814848
998,1744991541667,57111.41319274902,2100,2,1.4375,15326.196060180664,2100,2,1.4375,55844.22660827637,4200,0,1.4375,15306.525512695313,2100,2,1.4375,41300.30076599121,2100,2,1.4375,18093.867950439453,2100,2,1.4375,4682.014739990234,2100,2,1.4375,37187.45454406738,4200,0,1.4375,46224.5135345459,2128,3193,2186,2131,2193,2194,2156,2195,2194,2125,2195,2158,2008,2195,2188,2350,8.163265228271484,4,30.000001907348633,24.75247573852539,30.000001907348633,1,10,3.0303030014038086,12,2.0202019214630127,1.9801980257034302,33.67346954345703,3.0303030014038086,100,2.0202019214630127,19,16665841664,4294963200,1528586240,292814848
999,1744991542666,57111.94128417969,2087.5,2,1.425,15326.764724731445,2087.5,2,1.425,55849.826889038086,4175,0,1.425,15306.716323852539,2087.5,2,1.425,41304.04846191406,4175,0,1.425,18094.462768554688,2087.5,2,1.425,4682.201126098633,2087.5,2,1.425,37201.04264831543,4175,0,1.425,46264.22007751465,2128,3193,2186,2131,2193,2194,2156,2195,2194,2125,2195,2158,2008,2195,2188,2350,3,4,35.35353469848633,0,33.333335876464844,1,1,2.97029709815979,17.171716690063477,1,0,1,1,99,1,0,16665841664,4294963200,1522954240,292814848
999,1744991543666,57113.66438293457,2133.333333333333,2,1.4312500000000001,15328.105773925781,2133.333333333333,2,1.4312500000000001,55855.58460998535,3200,1,1.4312500000000001,15306.869110107422,2133.333333333333,2,1.4312500000000001,41309.76454162598,4125,0,1.4312500000000001,18094.628005981445,2062.5,2,1.4312500000000001,4692.632308959961,4125,0,1.4312500000000001,37203.56851196289,2062.5,2,1.4312500000000001,46306.910095214844,2128,3193,2186,2131,2193,2194,2156,2195,2194,2125,2195,2158,2008,2195,2188,2350,8.163265228271484,9.090909004211426,42.42424392700195,0,44,0,0,2,1,0,5,0,77,11,1,1,16665841664,4294963200,1521721344,292814848
999,1744991544666,57118.98098754883,4175,0,1.425,15328.453979492188,2087.5,2,1.425,55858.3444519043,2087.5,2,1.425,15309.297485351563,2087.5,2,1.425,41314.84812927246,4175,0,1.425,18096.586029052734,4175,0,1.425,4701.743942260742,2087.5,2,1.425,37204.762115478516,2087.5,2,1.425,46350.164459228516,2128,3193,2186,2131,2193,2194,2156,2195,2194,2125,2195,2158,2008,2195,2188,2350,38,1.0101009607315063,21.782176971435547,17.171716690063477,37,13,1,2,1,1,1,1,63,1,1,1,16665841664,4294963200,1520578560,292814848
