Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744917008801,34331.810119628906,2200,2,0.84375,62833.98652648926,2200,2,0.84375,44665.955337524414,2200,2,0.84375,59171.22023010254,2200,2,0.84375,23710.958419799805,2200,2,0.84375,65355.672286987305,2200,2,0.84375,48000.25314331055,2200,2,0.84375,11229.959869384766,2200,2,0.84375,19169.538696289063,2164,4341,2033,2170,2193,2187,2195,2192,2168,2172,2195,2195,2166,2195,2170,3285,2.941176414489746,0,5.555555820465088,0,5.714285850524902,0,2.941176414489746,0,2.941176414489746,2.941176414489746,11.428571701049805,0,0,0,5.714285850524902,2.941176414489746,16665841664,4294963200,892276736,260046848
999,1744917008801,34331.81022644043,2200,2,0.85,62833.98667907715,2200,2,0.85,44665.95713806152,2200,2,0.85,59171.22038269043,2200,2,0.85,23710.96173095703,2200,2,0.85,65355.672424316406,2200,2,0.85,48000.25325012207,2200,2,0.85,11229.959976196289,2200,2,0.85,19169.548080444336,2164,4341,2033,2170,2193,2187,2195,2192,2168,2172,2195,2195,2166,2195,2170,3285,2.941176414489746,0,5.555555820465088,0,5.714285850524902,0,2.941176414489746,0,2.941176414489746,2.941176414489746,11.428571701049805,0,0,0,5.714285850524902,2.941176414489746,16665841664,4294963200,892276736,260046848
999,1744917009801,34333.076080322266,4150,0,1.4125,62836.71286010742,2075,2,1.4125,44666.741638183594,2075,2,1.4125,59172.5505065918,2075,2,1.4125,23722.969497680664,4150,0,1.4125,65355.88414001465,2075,2,1.4125,48000.37782287598,2075,2,1.4125,11231.520095825195,2087.5,2,1.4125,19202.02703857422,2164,4341,2033,2170,2193,2187,2195,2192,2168,2172,2195,2195,2166,2195,2170,3285,0,23.76237678527832,0,0,0,1,0.9900990128517151,0,8,11.88118839263916,96.96969604492188,0,0,12,10.1010103225708,0,16665841664,4294963200,988454912,260046848
999,1744917010801,34341.19175720215,3975,0,1.3125,62844.87026977539,3975,0,1.3125,44673.618881225586,3975,0,1.3125,59179.710525512695,3975,0,1.3125,23732.087203979492,3975,0,1.3125,65363.4280090332,3975,0,1.3125,48007.54963684082,3975,0,1.3125,11237.884231567383,3975,0,1.3125,19273.475036621094,2164,4341,2033,2170,2193,2187,2195,2192,2168,2172,2195,2195,2166,2195,2170,3285,19.191919326782227,77.55101776123047,21.428571701049805,61.386138916015625,8.08080768585205,83.83838653564453,85.85858154296875,16,76,39.17525863647461,89,46.53465270996094,1.9607844352722168,58.58585739135742,75,29.702970504760742,16665841664,4294963200,1239207936,260046848
999,1744917011802,34349.456451416016,4075,0,1.4,62851.11410522461,4075,0,1.4,44681.1544342041,4075,0,1.4,59189.88217163086,4075,0,1.4,23738.61344909668,4075,0,1.4,65368.12373352051,2037.5,2,1.4,48014.42491149902,2716.666666666667,2,1.4,11246.766403198242,4075,0,1.4,19344.219436645508,2164,4341,2033,2170,2193,2187,2195,2192,2168,2172,2195,2195,2166,2195,2170,3285,39.79591751098633,42,29.29292869567871,53.061222076416016,25.25252342224121,20.2020206451416,54.000003814697266,55,57,54.000003814697266,40.4040412902832,34,12.244897842407227,48.48484802246094,45,22,16665841664,4294963200,1388294144,260046848
999,1744917012802,34356.96047973633,4100,0,1.4125,62852.971252441406,2050,2,1.4125,44686.71545410156,2050,2,1.4125,59197.84428405762,4100,0,1.4125,23747.690628051758,4100,0,1.4125,65374.730880737305,2050,2,1.4125,48023.65966796875,4100,0,1.4125,11255.064086914063,4100,0,1.4125,19412.30255126953,2164,4341,2033,2170,2193,2187,2195,2192,2168,2172,2195,2195,2166,2195,2170,3285,62.626258850097656,5.102040767669678,15.000000953674316,47,76,23,2.0202019214630127,68.6868667602539,39.39393997192383,48.48484802246094,21.782176971435547,40.4040412902832,86,27.000001907348633,12.121212005615234,7.070706844329834,16665841664,4294963200,1449295872,260046848
999,1744917013802,34369.71878051758,4250,0,1.4312500000000001,62854.19723510742,2125,2,1.4312500000000001,44690.54237365723,2125,2,1.4312500000000001,59204.403228759766,2833.333333333333,2,1.40625,23753.780822753906,2200,2,1.40625,65379.87355041504,2200,2,1.40625,48025.13391113281,2200,2,1.40625,11259.928100585938,2200,2,1.40625,19468.28598022461,2164,4341,2033,2170,2193,2187,2195,2192,2168,2172,2195,2195,2166,2195,2170,3285,100,2.040816307067871,3,38,54.000003814697266,2,3,42,33.333335876464844,23,2.0202019214630127,45.45454788208008,0,4,1,3.0303030014038086,16665841664,4294963200,1484861440,260046848
999,1744917014802,34370.70869445801,2137.5,2,1.4312500000000001,62854.720947265625,2137.5,2,1.4312500000000001,44703.717529296875,4275,0,1.4312500000000001,59207.20788574219,2137.5,2,1.4312500000000001,23758.027114868164,3200,1,1.4312500000000001,65382.10577392578,2133.333333333333,2,1.4312500000000001,48025.47967529297,2133.333333333333,2,1.4312500000000001,11263.348648071289,2133.333333333333,2,1.4312500000000001,19510.691772460938,2164,4341,2033,2170,2193,2187,2195,2192,2168,2172,2195,2195,2166,2195,2170,3285,5,2.97029709815979,96,19,34,1,1.0101009607315063,25,1,3,1.9801980257034302,15.841584205627441,0,3,1.9801980257034302,1.9801980257034302,16665841664,4294963200,1578737664,260046848
999,1744917015802,34377.459899902344,4250,0,1.41875,62855.12094116211,2125,2,1.41875,44710.07615661621,2125,2,1.41875,59211.8575592041,2125,2,1.41875,23763.968185424805,2200,2,1.41875,65384.65446472168,2200,2,1.41875,48026.58168029785,2200,2,1.4125,11265.329498291016,2200,2,1.4125,19555.29052734375,2164,4341,2033,2170,2193,2187,2195,2192,2168,2172,2195,2195,2166,2195,2170,3285,50,0,44,39,44,1,1,12,1,1.0101009607315063,5,19.191919326782227,4,1.9801980257034302,1,1.0101009607315063,16665841664,4294963200,1578221568,260046848
1000,1744917016802,34390.98976135254,4150,0,1.4,62855.637115478516,2075,2,1.4,44710.344497680664,2075,2,1.4,59214.62431335449,4150,0,1.4,23768.672790527344,4150,0,1.4,65389.77284240723,4150,0,1.4,48027.2626953125,2075,2,1.4,11267.169830322266,2766.666666666667,2,1.4,19599.610900878906,2164,4341,2033,2170,2193,2187,2195,2192,2168,2172,2195,2195,2166,2195,2170,3285,100,1.0204081535339355,1.0101009607315063,23.232322692871094,42,1.0101009607315063,1,11,1.9801980257034302,2,4,44.5544548034668,1.9801980257034302,1.0204081535339355,1,0,16665841664,4294963200,1589239808,260046848
