Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744998645526,5128.703720092773,2200,2,0.85,24726.96371459961,2200,2,0.85,64520.406341552734,2200,2,0.85,25518.917037963867,2200,2,0.85,56129.938735961914,2200,2,0.85,27861.61343383789,3200,1,0.85,11740.48324584961,2133.333333333333,2,0.85,46474.07116699219,2133.333333333333,2,0.85,677.8949127197266,2127,2064,2120,2058,2189,3150,2127,2169,2058,2128,2014,2103,2175,2050,2187,3191,6.896551609039307,10.344827651977539,0,3.5714287757873535,0,3.5714287757873535,0,3.4482758045196533,0,3.5714287757873535,3.5714287757873535,3.5714287757873535,0,3.5714287757873535,0,3.4482758045196533,16665841664,4294963200,872992768,293076992
999,1744998645526,5128.703903198242,2200,2,0.9625,24726.967559814453,2200,2,0.9625,64520.406478881836,2200,2,0.9625,25518.91717529297,2200,2,0.9625,56129.93893432617,2175,2,0.9625,27861.62289428711,4350,0,0.9625,11740.483520507813,2175,2,0.9625,46474.07147216797,2175,2,0.9625,677.9390106201172,2127,2064,2120,2058,2189,3150,2127,2169,2058,2128,2014,2103,2175,2050,2187,3191,6.896551609039307,10.344827651977539,0,3.5714287757873535,0,3.5714287757873535,0,3.4482758045196533,0,3.5714287757873535,3.5714287757873535,3.5714287757873535,0,3.5714287757873535,0,3.4482758045196533,16665841664,4294963200,872992768,293076992
999,1744998646526,5129.603607177734,2125,2,1.4375,24736.115005493164,4250,0,1.4312500000000001,64524.05403137207,2125,2,1.4312500000000001,25519.779754638672,2125,2,1.4312500000000001,56130.17251586914,2000,2,1.4312500000000001,27861.857315063477,2000,2,1.4312500000000001,11741.88607788086,2000,2,1.4312500000000001,46476.72280883789,3000,2,1.4312500000000001,710.0138549804688,2127,2064,2120,2058,2189,3150,2127,2169,2058,2128,2014,2103,2175,2050,2187,3191,0,68.31682586669922,5,6,2.941176414489746,1.9801980257034302,0.9900990128517151,0,18,0,0,0,9.90099048614502,19.80198097229004,6,6,16665841664,4294963200,947863552,293076992
999,1744998647526,5136.409439086914,2716.666666666667,2,1.3875,24743.114639282227,4075,0,1.3875,64530.165267944336,4075,0,1.3875,25525.380584716797,4075,0,1.3875,56138.65614318848,4075,0,1.3875,27867.297332763672,4075,0,1.3875,11749.512222290039,4075,0,1.3875,46483.90077209473,2716.666666666667,2,1.3875,775.7704467773438,2127,2064,2120,2058,2189,3150,2127,2169,2058,2128,2014,2103,2175,2050,2187,3191,57.57575607299805,19.587629318237305,14.141413688659668,63.6363639831543,78.57142639160156,59.5959587097168,33.333335876464844,45.45454788208008,67,15.306122779846191,15.15151596069336,0,64.28571319580078,31.632652282714844,30.612245559692383,70.40816497802734,16665841664,4294963200,1159467008,293076992
999,1744998648526,5140.109100341797,2050,2,1.4,24747.871795654297,4100,0,1.4,64537.78956604004,4100,0,1.4,25533.174682617188,2733.333333333333,2,1.4,56147.62924194336,4100,0,1.4,27874.649627685547,2050,2,1.4,11758.695983886719,4100,0,1.4,46489.842361450195,4100,0,1.4,843.3419189453125,2127,2064,2120,2058,2189,3150,2127,2169,2058,2128,2014,2103,2175,2050,2187,3191,21.428571701049805,35.35353469848633,32.3232307434082,56.56565475463867,75.51020050048828,56.56565475463867,48.48484802246094,47.52475357055664,55.55555725097656,36.3636360168457,4.040403842926025,25,41,21.428571701049805,14.141413688659668,21,16665841664,4294963200,1265586176,293076992
999,1744998649526,5148.264923095703,4125,0,1.4375,24754.42677307129,4125,0,1.4375,64544.442153930664,2062.5,2,1.4375,25540.518157958984,4125,0,1.4375,56154.13368225098,4125,0,1.4375,27880.5645904541,2062.5,2,1.4312500000000001,11767.056900024414,4125,0,1.4312500000000001,46496.66667175293,2062.5,2,1.4312500000000001,912.2456817626953,2127,2064,2120,2058,2189,3150,2127,2169,2058,2128,2014,2103,2175,2050,2187,3191,38.775508880615234,14.285715103149414,35.6435661315918,51.48514938354492,26,36,40.594058990478516,65,42,55.4455451965332,41.58415985107422,26,41.41414260864258,16.831682205200195,43,55.55555725097656,16665841664,4294963200,1349554176,293076992
999,1744998650526,5160.079147338867,4250,0,1.4312500000000001,24759.477294921875,2125,2,1.4312500000000001,64547.6424407959,4250,0,1.4312500000000001,25546.439346313477,4250,0,1.4312500000000001,56157.9384765625,2133.333333333333,2,1.4312500000000001,27885.312744140625,2133.333333333333,2,1.4312500000000001,11773.216873168945,2133.333333333333,2,1.4312500000000001,46498.95654296875,3200,1,1.4312500000000001,969.5603942871094,2127,2064,2120,2058,2189,3150,2127,2169,2058,2128,2014,2103,2175,2050,2187,3191,1.0101009607315063,3.9603960514068604,11.111111640930176,21.212121963500977,2,0,52.999996185302734,12.121212005615234,17.346939086914063,39.39393997192383,32,43,3,9,94,41.41414260864258,16665841664,4294963200,1437155328,293076992
999,1744998651526,5173.050445556641,4250,0,1.4125,24760.398071289063,2125,2,1.4125,64548.29357910156,2125,2,1.4125,25550.116333007813,2833.333333333333,2,1.4125,56160.13917541504,2200,2,1.4125,27886.030853271484,2200,2,1.4125,11776.494873046875,2200,2,1.4125,46501.35545349121,2200,2,1.4125,1011.0879516601563,2127,2064,2120,2058,2189,3150,2127,2169,2058,2128,2014,2103,2175,2050,2187,3191,2.0202019214630127,3,1.0101009607315063,0,2.0202019214630127,2,23.232322692871094,1.0101009607315063,1.9801980257034302,33,14,2,2,18,94,3,16665841664,4294963200,1534799872,293076992
999,1744998652526,5177.391021728516,2075,2,1.425,24765.426025390625,4150,0,1.425,64548.471130371094,2075,2,1.425,25550.648010253906,2075,2,1.425,56167.640625,4150,0,1.425,27886.298568725586,2075,2,1.425,11780.62841796875,4150,0,1.425,46505.9188079834,4150,0,1.425,1052.258529663086,2127,2064,2120,2058,2189,3150,2127,2169,2058,2128,2014,2103,2175,2050,2187,3191,1.0101009607315063,0,1,1.0101009607315063,1,1,1,1,0,0,54.6391716003418,0,25.510204315185547,34.34343338012695,28.571430206298828,43,16665841664,4294963200,1532219392,293076992
999,1744998653527,5178.852340698242,2200,2,1.4312500000000001,24770.071380615234,2200,2,1.4312500000000001,64548.78358459473,2200,2,1.4312500000000001,25553.1817779541,2200,2,1.4312500000000001,56168.100173950195,2112.5,2,1.4312500000000001,27886.611541748047,2112.5,2,1.4312500000000001,11793.759384155273,4225,0,1.4312500000000001,46507.63591003418,2112.5,2,1.4312500000000001,1091.3134002685547,2127,2064,2120,2058,2189,3150,2127,2169,2058,2128,2014,2103,2175,2050,2187,3191,11.111111640930176,1,3,1,1,1,1,2,0,20,1,2,95,7,1.9801980257034302,37.62376403808594,16665841664,4294963200,1532866560,293076992
