Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744927753979,59047.56803894043,2133.333333333333,2,0.95625,10789.068817138672,3200,1,0.95625,52979.90432739258,2133.333333333333,2,0.95625,7015.748321533203,2133.333333333333,2,0.95625,45598.08851623535,2200,2,0.95625,11786.9384765625,2200,2,0.95625,58832.324462890625,2200,2,0.95625,21919.929290771484,2200,2,0.95625,42629.51463317871,2120,3192,2122,2122,2188,2169,2189,2184,2095,2128,2195,2194,2192,2195,1949,3168,3.4482758045196533,3.4482758045196533,0,0,6.6666669845581055,0,10.344827651977539,0,0,0,3.4482758045196533,3.4482758045196533,0,3.4482758045196533,3.4482758045196533,0,16665841664,4294963200,897409024,266338304
999,1744927753980,59047.56825256348,2133.333333333333,2,0.95625,10789.069046020508,3200,1,0.95625,52979.904541015625,2133.333333333333,2,0.95625,7015.7529296875,2133.333333333333,2,0.95625,45598.0887298584,2200,2,0.95625,11786.938674926758,2200,2,0.95625,58832.32888793945,2200,2,0.95625,21919.929611206055,2200,2,0.95625,42629.52795410156,2120,3192,2122,2122,2188,2169,2189,2184,2095,2128,2195,2194,2192,2195,1949,3168,3.4482758045196533,3.4482758045196533,0,0,6.6666669845581055,0,10.344827651977539,0,0,0,3.4482758045196533,3.4482758045196533,0,3.4482758045196533,3.4482758045196533,0,16665841664,4294963200,897409024,266338304
999,1744927754980,59058.814208984375,4275,0,1.4125,10792.1728515625,2137.5,2,1.425,52981.23774719238,2137.5,2,1.425,7016.605529785156,2137.5,2,1.425,45600.453704833984,2200,2,1.425,11788.986938476563,2200,2,1.425,58834.45837402344,2200,2,1.425,21924.385681152344,2200,2,1.425,42670.65718078613,2120,3192,2122,2122,2188,2169,2189,2184,2095,2128,2195,2194,2192,2195,1949,3168,88,1,13.13131332397461,0,12.121212005615234,0,11,36,1,6,6.93069314956665,18.18181800842285,2.0202019214630127,0,0,27.000001907348633,16665841664,4294963200,1010270208,266338304
999,1744927755980,59067.62580871582,2075,2,1.4,10800.419235229492,4150,0,1.4,52988.922134399414,4150,0,1.4,7025.039123535156,4150,0,1.4,45606.891342163086,2766.666666666667,2,1.4,11797.491088867188,4150,0,1.4,58843.680755615234,4175,0,1.4,21931.68101501465,2087.5,2,1.4,42746.27996826172,2120,3192,2122,2122,2188,2169,2189,2184,2095,2128,2195,2194,2192,2195,1949,3168,78,94,76.23762512207031,57,70,77,36.3636360168457,73,11.111111640930176,41,11,35.71428680419922,93.06930541992188,23.232322692871094,45.918365478515625,34.34343338012695,16665841664,4294963200,1262899200,266338304
999,1744927756980,59073.83984375,4025,0,1.3375,10810.250915527344,4025,0,1.3375,52995.98210144043,2012.5,2,1.3375,7034.511566162109,4025,0,1.3375,45616.90855407715,4025,0,1.3375,11804.061599731445,4025,0,1.3375,58849.06948852539,4025,0,1.3375,21940.372482299805,4025,0,1.3375,42820.8923034668,2120,3192,2122,2122,2188,2169,2189,2184,2095,2128,2195,2194,2192,2195,1949,3168,17.525772094726563,61,23.232322692871094,51.51515197753906,73,24.75247573852539,23.76237678527832,70.40816497802734,53.53535461425781,47,58.58585739135742,47.47474670410156,46.46464538574219,29,59.5959587097168,40.594058990478516,16665841664,4294963200,1425985536,266338304
999,1744927757980,59083.68280029297,4075,0,1.34375,10818.44076538086,4075,0,1.34375,53001.21333312988,4075,0,1.34375,7039.538192749023,4075,0,1.34375,45624.22326660156,2037.5,2,1.34375,11809.503936767578,4075,0,1.34375,58855.655334472656,4075,0,1.34375,21946.096466064453,4075,0,1.34375,42887.15986633301,2120,3192,2122,2122,2188,2169,2189,2184,2095,2128,2195,2194,2192,2195,1949,3168,22.22222328186035,25.25252342224121,6,11,39.39393997192383,11.224489212036133,3,56.435646057128906,52.999996185302734,44.4444465637207,29.29292869567871,49.50495147705078,69,3.0303030014038086,76.23762512207031,62.626258850097656,16665841664,4294963200,1518366720,266338304
999,1744927758980,59091.34826660156,2133.333333333333,2,1.425,10823.386108398438,3200,1,1.425,53005.60868835449,2133.333333333333,2,1.425,7042.663162231445,2133.333333333333,2,1.425,45631.541427612305,4150,0,1.425,11812.295593261719,2075,2,1.425,58859.543212890625,2075,2,1.425,21949.017608642578,2075,2,1.425,42938.66078186035,2120,3192,2122,2122,2188,2169,2189,2184,2095,2128,2195,2194,2192,2195,1949,3168,50.50504684448242,3.0303030014038086,9.090909004211426,4,1,1.9607844352722168,5,22.22222328186035,32.67326736450195,23,53.46534729003906,23,33,1.0101009607315063,16,45,16665841664,4294963200,1609424896,266338304
999,1744927759980,59096.436767578125,4250,0,1.39375,10826.0078125,2833.333333333333,2,1.39375,53007.48355102539,2125,2,1.39375,7043.492599487305,2125,2,1.39375,45640.5905456543,2200,2,1.39375,11814.625762939453,2200,2,1.39375,58865.34979248047,2200,2,1.39375,21950.114471435547,2200,2,1.39375,42981.6600189209,2120,3192,2122,2122,2188,2169,2189,2184,2095,2128,2195,2194,2192,2195,1949,3168,35.35353469848633,2,15.000000953674316,0,2,2.0202019214630127,50,0.9900990128517151,0,5,65,14.141413688659668,3.9603960514068604,0.9900990128517151,1.0101009607315063,21,16665841664,4294963200,1605668864,266338304
999,1744927760980,59110.119888305664,4200,0,1.425,10826.345794677734,2100,2,1.425,53007.69007873535,2100,2,1.425,7045.378555297852,2100,2,1.425,45641.71435546875,2100,2,1.425,11814.970901489258,2112.5,2,1.41875,58872.19747924805,4225,0,1.41875,21952.34828186035,2112.5,2,1.41875,43023.26084899902,2120,3192,2122,2122,2188,2169,2189,2184,2095,2128,2195,2194,2192,2195,1949,3168,100,1.0101009607315063,1,0,6,2.0202019214630127,52.475250244140625,3.0303030014038086,1.0101009607315063,13.265305519104004,0,0,0,10.204081535339355,2,1,16665841664,4294963200,1602252800,266338304
999,1744927761980,59121.125564575195,4250,0,1.41875,10828.343139648438,2833.333333333333,2,1.41875,53007.87449645996,2125,2,1.41875,7047.179306030273,2125,2,1.41875,45644.931396484375,2200,2,1.41875,11815.150604248047,2200,2,1.41875,58877.02001953125,2200,2,1.41875,21956.627960205078,2200,2,1.41875,43065.68908691406,2120,3192,2122,2122,2188,2169,2189,2184,2095,2128,2195,2194,2192,2195,1949,3168,79,2.0202019214630127,1,0,1,1,37,0,1,14.851485252380371,22,0,0,33,1,15.000000953674316,16665841664,4294963200,1601380352,266338304
999,1744927762980,59134.43771362305,2112.5,2,1.4125,10828.770431518555,2816.666666666667,2,1.4125,53008.562072753906,4225,0,1.4125,7047.411102294922,2112.5,2,1.4125,45645.26835632324,2112.5,2,1.4125,11815.306655883789,2112.5,2,1.4125,58879.5276184082,4225,0,1.4125,21958.61363220215,2112.5,2,1.4125,43099.68153381348,2120,3192,2122,2122,2188,2169,2189,2184,2095,2128,2195,2194,2192,2195,1949,3168,96,2.0202019214630127,4.040403842926025,1,2,1,21.212121963500977,1,1,1.0101009607315063,1,0,0,14.851485252380371,1,1,16665841664,4294963200,1596403712,266338304
999,1744927763980,59134.89779663086,2125,2,1.41875,10828.974960327148,2833.333333333333,2,1.41875,53022.63052368164,4250,0,1.41875,7047.969696044922,2125,2,1.41875,45645.50828552246,2133.333333333333,2,1.41875,11815.498626708984,2133.333333333333,2,1.4125,58883.144775390625,2133.333333333333,2,1.4125,21959.983932495117,3200,1,1.4125,43135.24932861328,2120,3192,2122,2122,2188,2169,2189,2184,2095,2128,2195,2194,2192,2195,1949,3168,0,1,100,1,1,1,26.73267364501953,10,2,3.9603960514068604,1,0,0,0,1.0101009607315063,2,16665841664,4294963200,1594773504,266338304
999,1744927764980,59137.97927856445,4250,0,1.4375,10829.262161254883,2833.333333333333,2,1.4375,53033.86421203613,2125,2,1.4375,7049.906402587891,2125,2,1.4375,45645.75747680664,2125,2,1.4375,11815.673400878906,2125,2,1.4375,58888.3387298584,2125,2,1.4375,21964.52912902832,4250,0,1.4375,43177.010665893555,2120,3192,2122,2122,2188,2169,2189,2184,2095,2128,2195,2194,2192,2195,1949,3168,21,1.0101009607315063,79,0,0,1,41.41414260864258,34,1,15.000000953674316,1,1.9607844352722168,0,0,1,1,16665841664,4294963200,1604816896,266338304
