Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744906516678,15846.947296142578,2200,2,0.85,53471.47410583496,2200,2,0.85,34376.77256774902,2200,2,0.85,49334.90512084961,2200,2,0.85,2204.7796783447266,2200,2,0.85,54919.74575805664,2200,2,0.85,37579.55955505371,2200,2,0.85,2306.255661010742,2200,2,0.85,14495.274597167969,2122,3192,2125,2122,2082,2087,2117,3171,2130,2087,2126,2127,2125,2968,2038,3194,0,0,0,0,0,6.6666669845581055,3.3333334922790527,3.4482758045196533,3.4482758045196533,3.5714287757873535,0,10.714285850524902,0,0,0,6.45161247253418,16665841664,4294963200,898596864,255328256
999,1744906516678,15846.947448730469,2200,2,0.84375,53471.474365234375,2200,2,0.84375,34376.772720336914,2200,2,0.84375,49334.908599853516,2200,2,0.84375,2204.77978515625,2200,2,0.84375,54919.74740600586,2200,2,0.84375,37579.559661865234,2200,2,0.84375,2306.2557678222656,2200,2,0.84375,14495.300247192383,2122,3192,2125,2122,2082,2087,2117,3171,2130,2087,2126,2127,2125,2968,2038,3194,0,0,0,0,0,6.6666669845581055,3.3333334922790527,3.4482758045196533,3.4482758045196533,3.5714287757873535,0,10.714285850524902,0,0,0,6.45161247253418,16665841664,4294963200,898596864,255328256
999,1744906517679,15854.626281738281,2087.5,2,1.4375,53473.353515625,2087.5,2,1.4375,34380.5372467041,4175,0,1.4375,49336.02587890625,4175,0,1.4375,2206.154541015625,4175,0,1.4375,54924.63847351074,2087.5,2,1.4375,37581.78634643555,2087.5,2,1.4375,2310.499221801758,4175,0,1.4375,14536.124938964844,2122,3192,2125,2122,2082,2087,2117,3171,2130,2087,2126,2127,2125,2968,2038,3194,49,2,9.90099048614502,5.94059419631958,12,0,0,0.9900990128517151,19.80198097229004,2,0,36,19.80198097229004,37,20.79207992553711,13.265305519104004,16665841664,4294963200,1001353216,255328256
999,1744906518679,15863.02555847168,2087.5,2,1.44375,53480.9365234375,4175,0,1.44375,34389.61088562012,2087.5,2,1.44375,49343.87438964844,2087.5,2,1.44375,2214.575729370117,4175,0,1.44375,54931.457290649414,2087.5,2,1.44375,37588.21147155762,2100,2,1.44375,2319.0068969726563,4200,0,1.44375,14610.297241210938,2122,3192,2125,2122,2082,2087,2117,3171,2130,2087,2126,2127,2125,2968,2038,3194,22.448978424072266,6,20.61855697631836,86,72,76,6.060606002807617,79.7979736328125,87,4,44.4444465637207,15.15151596069336,74,56.56565475463867,89.1089096069336,82.17821502685547,16665841664,4294963200,1289105408,255328256
999,1744906519679,15871.0244140625,4050,0,1.36875,53488.31687927246,4050,0,1.36875,34396.288970947266,4050,0,1.36875,49353.99447631836,4050,0,1.36875,2220.879913330078,4050,0,1.35625,54938.44502258301,2025,2,1.35625,37593.64195251465,4050,0,1.35625,2326.033905029297,4050,0,1.35625,14680.317916870117,2122,3192,2125,2122,2082,2087,2117,3171,2130,2087,2126,2127,2125,2968,2038,3194,18.367347717285156,30.612245559692383,41.41414260864258,67,43.43434143066406,63.6363639831543,9.090909004211426,38,31.632652282714844,34.34343338012695,22.22222328186035,27.000001907348633,55,34,68.6868667602539,40,16665841664,4294963200,1369358336,255328256
999,1744906520679,15876.262557983398,4125,0,1.4312500000000001,53499.33094787598,4125,0,1.4312500000000001,34402.588287353516,2075,2,1.4312500000000001,49361.55760192871,2075,2,1.425,2226.6143341064453,4150,0,1.425,54942.393814086914,2075,2,1.425,37601.89024353027,2075,2,1.425,2331.84814453125,2766.666666666667,2,1.425,14747.09602355957,2122,3192,2125,2122,2082,2087,2117,3171,2130,2087,2126,2127,2125,2968,2038,3194,14.583333015441895,89,12.87128734588623,72.7272720336914,48.48484802246094,2,78.21781921386719,1,52.999996185302734,8,17.8217830657959,35.35353469848633,1,55.55555725097656,39.39393997192383,18.367347717285156,16665841664,4294963200,1487028224,255328256
999,1744906521679,15885.71597290039,2050,2,1.39375,53504.55923461914,2050,2,1.39375,34407.086196899414,4100,0,1.39375,49364.99513244629,2050,2,1.39375,2231.8628845214844,4100,0,1.39375,54943.59326171875,2050,2,1.39375,37604.64826965332,2050,2,1.39375,2336.2154998779297,4100,0,1.39375,14797.673156738281,2122,3192,2125,2122,2082,2087,2117,3171,2130,2087,2126,2127,2125,2968,2038,3194,70,12.121212005615234,3,5,3.9603960514068604,1,14.141413688659668,38,44,24.24242401123047,34.34343338012695,3,18,3,5.94059419631958,40.19607925415039,16665841664,4294963200,1521598464,255328256
999,1744906522679,15886.283889770508,2200,2,1.4312500000000001,53504.97660827637,2200,2,1.4312500000000001,34412.12934875488,2200,2,1.4312500000000001,49366.35470581055,2200,2,1.4312500000000001,2245.063705444336,4150,0,1.4312500000000001,54944.69886779785,2075,2,1.4312500000000001,37606.28895568848,2075,2,1.4312500000000001,2339.2058868408203,2075,2,1.4312500000000001,14838.774841308594,2122,3192,2125,2122,2082,2087,2117,3171,2130,2087,2126,2127,2125,2968,2038,3194,3,2.97029709815979,2.0202019214630127,1.0101009607315063,0,0,8,24,42,10,99,2,1.0101009607315063,1,1,0,16665841664,4294963200,1579655168,255328256
999,1744906523679,15887.137115478516,2075,2,1.4312500000000001,53505.4997253418,2075,2,1.4312500000000001,34418.654235839844,4150,0,1.4312500000000001,49366.615463256836,2075,2,1.4312500000000001,2258.5034942626953,4150,0,1.475,54946.925537109375,2075,2,1.475,37607.4157409668,2075,2,1.475,2342.0162200927734,2075,2,1.475,14881.185806274414,2122,3192,2125,2122,2082,2087,2117,3171,2130,2087,2126,2127,2125,2968,2038,3194,3.0303030014038086,0,1.0101009607315063,2.97029709815979,1,0,0.9900990128517151,19,52,1.0101009607315063,100,15.15151596069336,2.97029709815979,0,2.0202019214630127,3.0303030014038086,16665841664,4294963200,1580765184,255328256
999,1744906524679,15887.56430053711,2062.5,2,1.425,53505.75810241699,2062.5,2,1.425,34424.797454833984,4125,0,1.425,49368.38911437988,2062.5,2,1.425,2271.931350708008,4125,0,1.425,54949.166580200195,2062.5,2,1.425,37607.895767211914,2062.5,2,1.425,2345.3492126464844,4125,0,1.425,14923.909210205078,2122,3192,2125,2122,2082,2087,2117,3171,2130,2087,2126,2127,2125,2968,2038,3194,2.0202019214630127,1.9801980257034302,2.97029709815979,12,1,0,1,20.2020206451416,49.49494934082031,1.9801980257034302,100,13.8613862991333,1,0,2,0.9900990128517151,16665841664,4294963200,1579323392,255328256
