Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745063292179,4244.92121887207,2200,2,0.85,29264.953994750977,2200,2,0.85,10983.803848266602,2200,2,0.85,32855.155700683594,2200,2,0.85,50153.377212524414,2200,2,0.85,36449.67794799805,2200,2,0.85,17052.71418762207,2200,2,0.85,59922.03927612305,2200,2,0.85,17337.115997314453,2128,3192,2080,2191,2194,2128,2191,2195,2192,2124,2195,1958,2182,2195,2080,3178,7.142857551574707,0,3.3333334922790527,0,3.4482758045196533,6.45161247253418,3.3333334922790527,0,0,0,0,3.3333334922790527,3.3333334922790527,3.3333334922790527,3.4482758045196533,3.3333334922790527,16665841664,4294963200,859377664,294387712
999,1745063292179,4244.92448425293,2200,2,0.85,29264.9542388916,2200,2,0.85,10983.804000854492,2200,2,0.85,32855.155853271484,2200,2,0.85,50153.38069152832,2200,2,0.85,36449.67810058594,2200,2,0.85,17052.714324951172,2200,2,0.85,59922.039474487305,2200,2,0.85,17337.139221191406,2128,3192,2080,2191,2194,2128,2191,2195,2192,2124,2195,1958,2182,2195,2080,3178,7.142857551574707,0,3.3333334922790527,0,3.4482758045196533,6.45161247253418,3.3333334922790527,0,0,0,0,3.3333334922790527,3.3333334922790527,3.3333334922790527,3.4482758045196533,3.3333334922790527,16665841664,4294963200,859377664,294387712
999,1745063293180,4253.215042114258,4025,0,1.33125,29268.637619018555,4025,0,1.33125,10986.376663208008,4025,0,1.33125,32860.44319152832,4025,0,1.33125,50158.454986572266,4025,0,1.33125,36452.3956451416,4025,0,1.33125,17055.708984375,4025,0,1.33125,59925.232849121094,4025,0,1.33125,17383.98097229004,2128,3192,2080,2191,2194,2128,2191,2195,2192,2124,2195,1958,2182,2195,2080,3178,47.52475357055664,17.171716690063477,14.285715103149414,17.171716690063477,18.81188201904297,1,15.306122779846191,20.2020206451416,17,30.30303192138672,27.000001907348633,26.26262664794922,14.141413688659668,10,26.73267364501953,25.510204315185547,16665841664,4294963200,1100210176,294387712
999,1745063294180,4253.637100219727,2100,2,1.4125,29269.117446899414,2100,2,1.4125,10987.26333618164,2100,2,1.4125,32872.0157623291,4200,0,1.4125,50159.44059753418,2100,2,1.4125,36454.50407409668,4200,0,1.4125,17056.455001831055,2100,2,1.4125,59925.954345703125,2100,2,1.4125,17416.37222290039,2128,3192,2080,2191,2194,2128,2191,2195,2192,2124,2195,1958,2182,2195,2080,3178,1.0101009607315063,2,6.93069314956665,1,5,14.141413688659668,1,1.0101009607315063,0,98,2,1,2,2,0,0,16665841664,4294963200,1494241280,294387712
999,1745063295180,4253.927841186523,2112.5,2,1.45625,29269.592895507813,2816.666666666667,2,1.45625,10988.336853027344,2112.5,2,1.4375,32884.6047668457,4225,0,1.4375,50160.15238952637,2200,2,1.4375,36455.06742858887,2200,2,1.4375,17056.71466064453,2200,2,1.4375,59926.64128112793,2200,2,1.4375,17447.127655029297,2128,3192,2080,2191,2194,2128,2191,2195,2192,2124,2195,1958,2182,2195,2080,3178,3,4,9,2,4.040403842926025,2,2,3,1,99,2.0202019214630127,1.0101009607315063,2.0202019214630127,3,2,0,16665841664,4294963200,1496563712,294387712
1000,1745063296180,4254.098846435547,2112.5,2,1.425,29269.73764038086,2112.5,2,1.425,10988.912399291992,2112.5,2,1.425,32896.78959655762,4225,0,1.425,50160.34651184082,2200,2,1.425,36455.25503540039,2200,2,1.425,17056.95703125,2200,2,1.425,59926.78422546387,2200,2,1.425,17474.777252197266,2128,3192,2080,2191,2194,2128,2191,2195,2192,2124,2195,1958,2182,2195,2080,3178,1,0,5,1,1,1.9801980257034302,1,1,0,100,1,2,2,1,1,0.9900990128517151,16665841664,4294963200,1603911680,294387712
1000,1745063297181,4254.384368896484,2125,2,1.44375,29269.92855834961,2125,2,1.44375,10990.04020690918,2125,2,1.45625,32909.22700500488,4250,0,1.45625,50160.91209411621,2200,2,1.45625,36455.73342895508,2200,2,1.45625,17057.939987182617,2200,2,1.45625,59927.269943237305,2200,2,1.45625,17505.607650756836,2128,3192,2080,2191,2194,2128,2191,2195,2192,2124,2195,1958,2182,2195,2080,3178,2.0202019214630127,0,10,1.0101009607315063,4.95049524307251,2,2.0202019214630127,3,0,100,2,3.9603960514068604,6,2,2,2,16665841664,4294963200,1603911680,294387712
999,1745063298181,4254.676422119141,2125,2,1.45,29270.16488647461,2125,2,1.45,10990.428634643555,2125,2,1.45,32921.95854187012,4250,0,1.45,50161.231033325195,2200,2,1.45,36456.02745056152,2200,2,1.45,17058.21189880371,2200,2,1.45,59928.05204772949,2200,2,1.45,17534.903717041016,2128,3192,2080,2191,2194,2128,2191,2195,2192,2124,2195,1958,2182,2195,2080,3178,3,0,3,1,3.0303030014038086,2.0202019214630127,2.97029709815979,3,3,99,2.97029709815979,2,3,2,2.0202019214630127,2.0202019214630127,16665841664,4294963200,1655717888,294387712
998,1745063299182,4254.838134765625,2112.5,2,1.4312500000000001,29270.249267578125,2112.5,2,1.4312500000000001,10990.616256713867,2112.5,2,1.4312500000000001,32934.256286621094,4225,0,1.4312500000000001,50161.380599975586,2200,2,1.4312500000000001,36456.12094116211,2200,2,1.4312500000000001,17058.3175201416,2200,2,1.4312500000000001,59928.35952758789,2200,2,1.4312500000000001,17562.29624938965,2128,3192,2080,2191,2194,2128,2191,2195,2192,2124,2195,1958,2182,2195,2080,3178,1,0,2,1,1,1,0,2,0.9900990128517151,100,0,1,0,0,1,0.9900990128517151,16665841664,4294963200,1738293248,294387712
1000,1745063300181,4255.156494140625,2125,2,1.4937500000000001,29270.505325317383,2125,2,1.4937500000000001,10991.223281860352,2125,2,1.4937500000000001,32946.60850524902,4250,0,1.4937500000000001,50161.98210144043,2200,2,1.4937500000000001,36456.40103149414,2200,2,1.4937500000000001,17058.592025756836,2200,2,1.4937500000000001,59929.27798461914,2200,2,1.4937500000000001,17591.936279296875,2128,3192,2080,2191,2194,2128,2191,2195,2192,2124,2195,1958,2182,2195,2080,3178,2.97029709815979,1,5,1.0101009607315063,4,3,3,4,3,100,3,2.0202019214630127,3,0,2.97029709815979,3,16665841664,4294963200,1737494528,294387712
