Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744846152457,27338.820388793945,2133.333333333333,2,0.9625,50758.94934082031,3200,1,0.9625,40622.17338562012,2133.333333333333,2,0.9625,52590.99841308594,2000,2,0.9625,19492.307739257813,2200,2,0.9625,54066.348403930664,2200,2,0.9625,45577.834228515625,2200,2,0.9625,52752.41961669922,2200,2,0.9625,48431.33627319336,2124,3193,1968,2128,2077,2183,2138,2199,2127,2128,2170,2195,2189,2187,2071,3193,7.692307949066162,0,3.846153974533081,3.846153974533081,7.407407283782959,7.407407283782959,3.7037036418914795,7.142857551574707,3.7037036418914795,0,3.7037036418914795,0,0,3.7037036418914795,0,3.7037036418914795,16665841664,4294963200,939315200,240910336
999,1744846152457,27338.8243560791,2133.333333333333,2,0.9125,50758.949462890625,3200,1,0.9125,40622.17350769043,2133.333333333333,2,0.9125,52590.99853515625,2000,2,0.9625,19492.30793762207,2200,2,0.9625,54066.35057067871,2200,2,0.9625,45577.83444213867,2200,2,0.9625,52752.41981506348,2200,2,0.9625,48431.36080932617,2124,3193,1968,2128,2077,2183,2138,2199,2127,2128,2170,2195,2189,2187,2071,3193,7.692307949066162,0,3.846153974533081,3.846153974533081,7.407407283782959,7.407407283782959,3.7037036418914795,7.142857551574707,3.7037036418914795,0,3.7037036418914795,0,0,3.7037036418914795,0,3.7037036418914795,16665841664,4294963200,939315200,240910336
999,1744846153457,27347.801345825195,4050,0,1.39375,50761.76431274414,4050,0,1.39375,40624.88995361328,2025,2,1.39375,52596.24722290039,4050,0,1.39375,19497.098907470703,4050,0,1.39375,54070.27798461914,4050,0,1.39375,45581.014099121094,4050,0,1.39375,52755.37397766113,4050,0,1.39375,48478.5818939209,2124,3193,1968,2128,2077,2183,2138,2199,2127,2128,2170,2195,2189,2187,2071,3193,55,20,21.212121963500977,0,8.91089153289795,14.851485252380371,26.26262664794922,25.510204315185547,5.0505051612854,44.5544548034668,35,35,14.705883026123047,3,25.25252342224121,8.08080768585205,16665841664,4294963200,1229717504,240910336
999,1744846154457,27348.41082763672,2112.5,2,1.45,50762.828125,2816.666666666667,2,1.45,40625.422439575195,2112.5,2,1.45,52597.93585205078,4225,0,1.45,19506.34194946289,2112.5,2,1.45,54073.610107421875,4225,0,1.45,45582.27626037598,2112.5,2,1.45,52756.47401428223,2112.5,2,1.45,48511.42118835449,2124,3193,1968,2128,2077,2183,2138,2199,2127,2128,2170,2195,2189,2187,2071,3193,3,9,0,0,2.0202019214630127,2.0202019214630127,1.0101009607315063,3.9603960514068604,3,11,75.75757598876953,25.25252342224121,6,4.95049524307251,1.9801980257034302,0,16665841664,4294963200,1581694976,240910336
999,1744846155458,27348.65087890625,2000,2,1.44375,50763.539779663086,3000,2,1.44375,40625.861251831055,2000,2,1.44375,52598.24775695801,2000,2,1.44375,19506.68113708496,2112.5,2,1.44375,54076.83874511719,2112.5,2,1.48125,45584.127685546875,2112.5,2,1.48125,52765.06530761719,4225,0,1.48125,48540.839904785156,2124,3193,1968,2128,2077,2183,2138,2199,2127,2128,2170,2195,2189,2187,2071,3193,2,4.040403842926025,2,0,1.9801980257034302,3,1,1.0101009607315063,3,0,2,20,11.111111640930176,73.46939086914063,1.0101009607315063,0,16665841664,4294963200,1831743488,240910336
1000,1744846156458,27348.756072998047,2000,2,1.425,50764.03379821777,3000,2,1.425,40626.006744384766,2000,2,1.425,52598.33882141113,2000,2,1.425,19506.823974609375,2100,2,1.425,54077.03730773926,2100,2,1.425,45584.227478027344,2100,2,1.425,52777.119552612305,4200,0,1.425,48567.88166809082,2124,3193,1968,2128,2077,2183,2138,2199,2127,2128,2170,2195,2189,2187,2071,3193,0,3.0303030014038086,0,0,1.0101009607315063,1,0,0,1,0,0,0,0,100,0,0,16665841664,4294963200,1972121600,240910336
989,1744846157468,27348.994079589844,2133.333333333333,2,1.46875,50765.41311645508,3200,1,1.46875,40626.327560424805,2133.333333333333,2,1.4625000000000001,52598.68534851074,2133.333333333333,2,1.4625000000000001,19507.014617919922,2112.5,2,1.4625000000000001,54077.38461303711,2112.5,2,1.4625000000000001,45584.67350769043,2112.5,2,1.4625000000000001,52789.23611450195,4225,0,1.4625000000000001,48597.215270996094,2124,3193,1968,2128,2077,2183,2138,2199,2127,2128,2170,2195,2189,2187,2071,3193,1,13.592232704162598,0.9900990128517151,2.97029709815979,1.9607844352722168,1.9801980257034302,1.9801980257034302,0,2.97029709815979,1.9801980257034302,0.9900990128517151,0,2.97029709815979,99.01960754394531,1.9607844352722168,0.9900990128517151,16665841664,4294963200,1972637696,240910336
1000,1744846158458,27349.19059753418,2000,2,1.425,50765.736389160156,3000,2,1.425,40626.52243041992,2000,2,1.425,52598.8885345459,2000,2,1.425,19507.151092529297,2100,2,1.425,54077.49020385742,2100,2,1.425,45584.89474487305,2100,2,1.45625,52801.42317199707,4200,0,1.45625,48624.52130126953,2124,3193,1968,2128,2077,2183,2138,2199,2127,2128,2170,2195,2189,2187,2071,3193,1.0101009607315063,1.0101009607315063,1.0204081535339355,2.0202019214630127,1.0204081535339355,0,1.0101009607315063,1.0101009607315063,1.0204081535339355,1.0101009607315063,1.0101009607315063,0,2.0202019214630127,100,1.0204081535339355,1.0101009607315063,16665841664,4294963200,1966882816,240910336
999,1744846159459,27349.38185119629,2000,2,1.45625,50765.98712158203,3200,1,1.425,40626.75552368164,2133.333333333333,2,1.425,52599.14389038086,2133.333333333333,2,1.425,19507.325897216797,2100,2,1.425,54077.68566894531,2100,2,1.425,45585.08726501465,2100,2,1.425,52813.58923339844,4200,0,1.425,48651.966796875,2124,3193,1968,2128,2077,2183,2138,2199,2127,2128,2170,2195,2189,2187,2071,3193,2,1.0101009607315063,1,2,1,2,1,1,2.0202019214630127,1,2,0,2,100,1,2,16665841664,4294963200,1967656960,240910336
999,1744846160459,27349.600830078125,2000,2,1.45625,50766.241149902344,3000,2,1.45625,40626.93901062012,2000,2,1.45625,52599.39779663086,2000,2,1.45625,19507.46711730957,2100,2,1.45625,54077.774154663086,2100,2,1.45625,45585.32797241211,2100,2,1.4625000000000001,52825.7158203125,4200,0,1.4625000000000001,48679.33905029297,2124,3193,1968,2128,2077,2183,2138,2199,2127,2128,2170,2195,2189,2187,2071,3193,2,1,1.9801980257034302,2.0202019214630127,1,1.9801980257034302,1,1,1.9801980257034302,1.0101009607315063,1,0,2.0202019214630127,100,1.9801980257034302,1,16665841664,4294963200,1965780992,240910336
