Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744814402786,27248.09083557129,2200,2,0.8375,15938.553146362305,2200,2,0.8375,11560.309600830078,2200,2,0.8375,13742.045043945313,2200,2,0.8375,26934.605590820313,2200,2,0.8375,11931.078369140625,2200,2,0.8375,11222.247924804688,2200,2,0.8375,14885.358917236328,2200,2,0.8375,58933.21286010742,2125,3192,2127,1964,2195,2158,2191,2192,1979,2102,2192,2193,2194,2145,2132,3193,3.4482758045196533,0,0,6.6666669845581055,0,3.5714287757873535,0,3.4482758045196533,3.4482758045196533,6.896551609039307,0,3.3333334922790527,3.4482758045196533,0,6.6666669845581055,0,16665841664,4294963200,949604352,187170816
999,1744814402786,27248.091110229492,2200,2,0.8375,15938.553298950195,2200,2,0.8375,11560.309753417969,2200,2,0.8375,13742.048263549805,2200,2,0.8375,26934.607223510742,2200,2,0.8375,11931.078521728516,2200,2,0.8375,11222.248046875,2200,2,0.8375,14885.359024047852,2200,2,0.8375,58933.224609375,2125,3192,2127,1964,2195,2158,2191,2192,1979,2102,2192,2193,2194,2145,2132,3193,3.4482758045196533,0,0,6.6666669845581055,0,3.5714287757873535,0,3.4482758045196533,3.4482758045196533,6.896551609039307,0,3.3333334922790527,3.4482758045196533,0,6.6666669845581055,0,16665841664,4294963200,949604352,187170816
999,1744814403786,27251.102157592773,3975,0,1.3,15941.994171142578,3975,0,1.3,11564.737335205078,3975,0,1.3,13744.412490844727,3975,0,1.3,26945.207290649414,3975,0,1.3,11934.917907714844,3975,0,1.3,11224.066925048828,3975,0,1.3,14888.257598876953,3975,0,1.3,58978.56509399414,2125,3192,2127,1964,2195,2158,2191,2192,1979,2102,2192,2193,2194,2145,2132,3193,8.08080768585205,26,18,20.2020206451416,28,14.141413688659668,4,0.9900990128517151,21.782176971435547,3.9215688705444336,70,21,11,31,29.59183692932129,0.9900990128517151,16665841664,4294963200,1212825600,187170816
1000,1744814404787,27253.071701049805,4175,0,1.4312500000000001,15942.606704711914,2087.5,2,1.4312500000000001,11565.388687133789,2087.5,2,1.4312500000000001,13745.032653808594,2087.5,2,1.4312500000000001,26955.643188476563,4175,0,1.4312500000000001,11935.69123840332,2087.5,2,1.4312500000000001,11224.658142089844,2087.5,2,1.4312500000000001,14890.893096923828,4175,0,1.4312500000000001,59010.50752258301,2125,3192,2127,1964,2195,2158,2191,2192,1979,2102,2192,2193,2194,2145,2132,3193,8,2.97029709815979,1,2.0202019214630127,1,1,1,0,1,0,93,2,2,18.18181800842285,8.91089153289795,1.0101009607315063,16665841664,4294963200,1486090240,187170816
999,1744814405787,27265.516220092773,4300,0,1.48125,15943.02700805664,2150,2,1.48125,11565.765060424805,2150,2,1.48125,13745.416900634766,2150,2,1.48125,26956.181747436523,2200,2,1.48125,11936.216552734375,2200,2,1.48125,11224.880615234375,2200,2,1.48125,14892.697143554688,2200,2,1.48125,59041.7274017334,2125,3192,2127,1964,2195,2158,2191,2192,1979,2102,2192,2193,2194,2145,2132,3193,100,1.0204081535339355,4,3,2,2,1,2,0,0,1.0101009607315063,3.0303030014038086,2.0202019214630127,7.920792102813721,3,1,16665841664,4294963200,1540280320,187170816
1000,1744814406787,27271.272064208984,4300,0,1.41875,15943.353088378906,2125,2,1.4125,11566.048461914063,2125,2,1.4125,13752.628890991211,2125,2,1.4125,26956.362518310547,2200,2,1.4125,11936.530578613281,2200,2,1.4125,11225.072692871094,2200,2,1.4125,14893.212219238281,2200,2,1.4125,59070.86756896973,2125,3192,2127,1964,2195,2158,2191,2192,1979,2102,2192,2193,2194,2145,2132,3193,42,2,2.0202019214630127,3,2,2,2,2,2,57,2,3,0,2,5.0505051612854,1,16665841664,4294963200,1684271104,187170816
999,1744814407788,27283.369354248047,4200,0,1.44375,15943.622680664063,2800,2,1.44375,11566.320724487305,2100,2,1.44375,13753.37272644043,2100,2,1.44375,26957.48828125,4200,0,1.44375,11936.810592651367,2100,2,1.44375,11225.20932006836,2100,2,1.44375,14893.342010498047,2100,2,1.44375,59100.09828186035,2125,3192,2127,1964,2195,2158,2191,2192,1979,2102,2192,2193,2194,2145,2132,3193,1,1,2.97029709815979,2,1,1,1,1,1,4,11,2.97029709815979,0,1,99,1.0101009607315063,16665841664,4294963200,1684529152,187170816
999,1744814408788,27295.614379882813,4300,0,1.46875,15943.834030151367,2150,2,1.46875,11566.56396484375,2150,2,1.46875,13753.543640136719,2150,2,1.46875,26958.066299438477,2200,2,1.46875,11937.060012817383,2200,2,1.46875,11225.387420654297,2200,2,1.46875,14893.518676757813,2200,2,1.475,59128.299880981445,2125,3192,2127,1964,2195,2158,2191,2192,1979,2102,2192,2193,2194,2145,2132,3193,2,2,2.0202019214630127,1,2,2,2,2,1.0101009607315063,0.9900990128517151,2,2.0202019214630127,0,1.0101009607315063,100,0.9900990128517151,16665841664,4294963200,1684516864,187170816
999,1744814409788,27307.842864990234,4325,0,1.44375,15944.072021484375,2162.5,2,1.4375,11566.80891418457,2125,2,1.4375,13753.7060546875,2125,2,1.4375,26958.306411743164,2200,2,1.4375,11937.300720214844,2200,2,1.4375,11225.564910888672,2200,2,1.4375,14893.694793701172,2200,2,1.4375,59156.23220825195,2125,3192,2127,1964,2195,2158,2191,2192,1979,2102,2192,2193,2194,2145,2132,3193,2,1,2,2,1,1.0101009607315063,2,1,2,0,3,2,0.9900990128517151,1.9801980257034302,99.00990295410156,1,16665841664,4294963200,1685032960,187170816
999,1744814410788,27320.015594482422,4350,0,1.4625000000000001,15944.410903930664,2175,2,1.46875,11567.225189208984,2150,2,1.46875,13753.878936767578,2150,2,1.46875,26958.92366027832,2200,2,1.46875,11938.606384277344,2200,2,1.46875,11225.791732788086,2200,2,1.46875,14893.881469726563,2200,2,1.46875,59186.128494262695,2125,3192,2127,1964,2195,2158,2191,2192,1979,2102,2192,2193,2194,2145,2132,3193,2,2,4,2,2,2.941176414489746,2,2,2,0,4.040403842926025,10,1,1.0101009607315063,100,2,16665841664,4294963200,1685032960,187170816
