Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745062199149,1310.7056121826172,2133.333333333333,2,0.9625,27814.352310180664,3200,1,0.9625,10217.008117675781,2133.333333333333,2,0.9625,31358.238891601563,2133.333333333333,2,0.9625,48087.42091369629,2200,2,0.9625,34295.85534667969,2200,2,0.95625,16196.115463256836,2200,2,0.95625,59085.79719543457,2200,2,0.95625,59670.35221862793,2128,3197,2129,2087,2194,2194,2195,2195,2132,2126,2183,2155,2191,2193,2105,3190,3.5714287757873535,0,0,0,7.692307949066162,3.7037036418914795,0,7.142857551574707,3.5714287757873535,3.846153974533081,7.142857551574707,3.7037036418914795,3.7037036418914795,3.5714287757873535,0,0,16665841664,4294963200,861888512,294387712
999,1745062199150,1310.7084197998047,2133.333333333333,2,0.9625,27814.35252380371,3200,1,0.9625,10217.008422851563,2133.333333333333,2,0.9625,31358.239028930664,2133.333333333333,2,0.9625,48087.42315673828,2200,2,0.9625,34295.85549926758,2200,2,0.9625,16196.115615844727,2200,2,0.9625,59085.79740905762,2200,2,0.95625,59670.375747680664,2128,3197,2129,2087,2194,2194,2195,2195,2132,2126,2183,2155,2191,2193,2105,3190,3.5714287757873535,0,0,0,7.692307949066162,3.7037036418914795,0,7.142857551574707,3.5714287757873535,3.846153974533081,7.142857551574707,3.7037036418914795,3.7037036418914795,3.5714287757873535,0,0,16665841664,4294963200,861888512,294387712
999,1745062200150,1313.8282318115234,4225,0,1.4312500000000001,27817.606674194336,4225,0,1.4312500000000001,10220.072982788086,2112.5,2,1.4312500000000001,31361.944076538086,2112.5,2,1.4312500000000001,48098.72172546387,2112.5,2,1.4312500000000001,34298.38537597656,4225,0,1.4312500000000001,16198.879959106445,4225,0,1.4312500000000001,59090.18006896973,4225,0,1.4312500000000001,59716.576110839844,2128,3197,2129,2087,2194,2194,2195,2195,2132,2126,2183,2155,2191,2193,2105,3190,22.68041229248047,11.111111640930176,0.9900990128517151,31.313129425048828,88.11881256103516,0,27.000001907348633,37,28.571430206298828,12,0,22.448978424072266,0.9900990128517151,10.1010103225708,8.247422218322754,27.000001907348633,16665841664,4294963200,1159929856,294387712
1000,1745062201150,1325.71044921875,4250,0,1.41875,27818.212448120117,2125,2,1.41875,10220.411315917969,2125,2,1.41875,31363.041107177734,2125,2,1.41875,48099.4412689209,2200,2,1.41875,34300.14147949219,2200,2,1.41875,16200.140686035156,2200,2,1.41875,59090.90589904785,2200,2,1.41875,59749.511291503906,2128,3197,2129,2087,2194,2194,2195,2195,2132,2126,2183,2155,2191,2193,2105,3190,100,3,1.0101009607315063,9,1.0101009607315063,1,5.94059419631958,0,1,2.97029709815979,1.0101009607315063,9.90099048614502,0,0.9900990128517151,3,1,16665841664,4294963200,1502871552,294387712
999,1745062202151,1338.183349609375,4300,0,1.46875,27818.569747924805,2150,2,1.46875,10220.632537841797,2150,2,1.46875,31363.737258911133,2150,2,1.46875,48099.79197692871,2200,2,1.46875,34300.48516845703,2200,2,1.4625000000000001,16200.973571777344,2200,2,1.4625000000000001,59091.65185546875,2200,2,1.4625000000000001,59779.95637512207,2128,3197,2129,2087,2194,2194,2195,2195,2132,2126,2183,2155,2191,2193,2105,3190,99.00990295410156,3,0.9900990128517151,4,1,2,3.0303030014038086,3.9603960514068604,2,1.0101009607315063,2.0202019214630127,0,0,0,3,1.0101009607315063,16665841664,4294963200,1503129600,294387712
999,1745062203151,1350.2869720458984,4250,0,1.44375,27818.954376220703,2833.333333333333,2,1.425,10221.21566772461,4250,0,1.425,31364.915908813477,2125,2,1.425,48100.19917297363,2200,2,1.425,34300.61376953125,2200,2,1.425,16201.18244934082,2200,2,1.425,59092.02751159668,2200,2,1.425,59809.36459350586,2128,3197,2129,2087,2194,2194,2195,2195,2132,2126,2183,2155,2191,2193,2105,3190,24,3,1,9,1.0101009607315063,1,2,3,6,1,3,0,0,0,78.21781921386719,1,16665841664,4294963200,1619251200,294387712
999,1745062204151,1359.5392608642578,2112.5,2,1.45625,27822.33787536621,4225,0,1.45625,10222.359375,2112.5,2,1.45625,31365.82827758789,4225,0,1.45625,48100.5311126709,2112.5,2,1.45625,34301.42329406738,4225,0,1.45625,16201.430053710938,2112.5,2,1.45625,59092.753814697266,2112.5,2,1.45625,59840.676361083984,2128,3197,2129,2087,2194,2194,2195,2195,2132,2126,2183,2155,2191,2193,2105,3190,0,3,8,7.070706844329834,2.97029709815979,7,3,2.0202019214630127,5,2.97029709815979,3.9603960514068604,2,0,3,74,28,16665841664,4294963200,1453334528,294387712
999,1745062205151,1359.7947845458984,2112.5,2,1.41875,27834.402542114258,4225,0,1.41875,10222.793502807617,2112.5,2,1.41875,31366.143646240234,2112.5,2,1.41875,48100.68714904785,2200,2,1.45625,34301.80618286133,2200,2,1.45625,16201.600479125977,2200,2,1.45625,59093.29455566406,2200,2,1.45625,59869.221603393555,2128,3197,2129,2087,2194,2194,2195,2195,2132,2126,2183,2155,2191,2193,2105,3190,0,2,1.0101009607315063,1,0,1,1.0101009607315063,1.9801980257034302,2,1,1.9801980257034302,1.0101009607315063,0,0,1.0101009607315063,99.00990295410156,16665841664,4294963200,1644032000,294387712
999,1745062206151,1359.9628295898438,2112.5,2,1.425,27846.488311767578,4225,0,1.425,10222.993408203125,2112.5,2,1.425,31366.28060913086,2112.5,2,1.425,48100.89259338379,2200,2,1.46875,34301.9518737793,2200,2,1.46875,16201.714767456055,2200,2,1.46875,59093.41459655762,2200,2,1.46875,59896.488540649414,2128,3197,2129,2087,2194,2194,2195,2195,2132,2126,2183,2155,2191,2193,2105,3190,1.0101009607315063,1,1.9801980257034302,1,1.9801980257034302,1.0101009607315063,1,1.0101009607315063,2,1,1.0101009607315063,1.9801980257034302,0,0,1,100,16665841664,4294963200,1875243008,294387712
999,1745062207151,1360.132308959961,2125,2,1.44375,27858.48356628418,4250,0,1.44375,10223.389450073242,2125,2,1.44375,31366.411178588867,2125,2,1.44375,48101.30798339844,2200,2,1.44375,34302.12112426758,2200,2,1.44375,16201.925796508789,2200,2,1.44375,59093.657806396484,2200,2,1.44375,59924.59225463867,2128,3197,2129,2087,2194,2194,2195,2195,2132,2126,2183,2155,2191,2193,2105,3190,1,0,1,1.9801980257034302,1,1,2,1,4,1.0101009607315063,4,1,0,0,1,100,16665841664,4294963200,1875501056,294387712
999,1745062208151,1360.2857360839844,2112.5,2,1.4312500000000001,27870.664138793945,4225,0,1.4312500000000001,10223.535293579102,2112.5,2,1.4312500000000001,31366.541946411133,2112.5,2,1.4312500000000001,48101.47987365723,2200,2,1.4312500000000001,34302.27638244629,2200,2,1.4312500000000001,16202.087692260742,2200,2,1.4312500000000001,59093.819595336914,2200,2,1.4312500000000001,59952.28047180176,2128,3197,2129,2087,2194,2194,2195,2195,2132,2126,2183,2155,2191,2193,2105,3190,1.9801980257034302,0,1,1.0101009607315063,1.0101009607315063,2,2,1,1,1,1,1.0101009607315063,0,0.9900990128517151,1,100,16665841664,4294963200,1875501056,294387712
1000,1745062209151,1360.4493255615234,2112.5,2,1.4375,27882.708877563477,4225,0,1.4375,10223.740539550781,2112.5,2,1.4375,31366.6710357666,2112.5,2,1.4375,48101.73768615723,2200,2,1.4375,34302.41796875,2200,2,1.4375,16202.221389770508,2200,2,1.4375,59094.07481384277,2200,2,1.4375,59979.77500915527,2128,3197,2129,2087,2194,2194,2195,2195,2132,2126,2183,2155,2191,2193,2105,3190,1,0,1.0101009607315063,1,1,1,1,1.9801980257034302,2,1,2.0202019214630127,1,0,1.0101009607315063,1,99,16665841664,4294963200,1876017152,294387712
999,1745062210151,1360.6623077392578,2112.5,2,1.425,27894.91893005371,4225,0,1.425,10224.030700683594,2112.5,2,1.425,31366.801177978516,2112.5,2,1.425,48101.985107421875,2200,2,1.4312500000000001,34302.56398010254,2200,2,1.4312500000000001,16202.367919921875,2200,2,1.4312500000000001,59094.45008850098,2200,2,1.4312500000000001,60007.62826538086,2128,3197,2129,2087,2194,2194,2195,2195,2132,2126,2183,2155,2191,2193,2105,3190,1.0101009607315063,1,1,1,1,1,1,1,3,1,2,1,0,2,1,100,16665841664,4294963200,1876017152,294387712
999,1745062211152,1360.8631286621094,2112.5,2,1.4375,27907.19989013672,4225,0,1.4375,10224.235397338867,2112.5,2,1.4375,31366.98745727539,2112.5,2,1.4375,48102.61297607422,2000,2,1.4375,34302.75328063965,2000,2,1.4375,16202.580810546875,2000,2,1.4375,59096.08624267578,3000,2,1.4375,60037.32392883301,2128,3197,2129,2087,2194,2194,2195,2195,2132,2126,2183,2155,2191,2193,2105,3190,1.0101009607315063,2,2,2,2,2,3,2,2,1,5,2,0,7.070706844329834,0,100,16665841664,4294963200,1883758592,294387712
999,1745062212152,1361.0251007080078,2125,2,1.45625,27919.297439575195,4250,0,1.45625,10224.685195922852,2125,2,1.45625,31367.136154174805,2125,2,1.45625,48102.79893493652,2200,2,1.45625,34303.053298950195,2200,2,1.45625,16202.755569458008,2200,2,1.45625,59096.260665893555,2200,2,1.4937500000000001,60065.284729003906,2128,3197,2129,2087,2194,2194,2195,2195,2132,2126,2183,2155,2191,2193,2105,3190,1.9801980257034302,0,1,1,1,2,2,0.9900990128517151,4,1.9801980257034302,2,2.97029709815979,0,1,2,100,16665841664,4294963200,1883758592,294387712
999,1745062213152,1361.1724548339844,2112.5,2,1.425,27931.37828063965,4225,0,1.425,10224.829666137695,2112.5,2,1.425,31367.276123046875,2112.5,2,1.425,48102.9560546875,2200,2,1.425,34303.20036315918,2200,2,1.45625,16202.871017456055,2200,2,1.45625,59096.40953063965,2200,2,1.45625,60092.36293029785,2128,3197,2129,2087,2194,2194,2195,2195,2132,2126,2183,2155,2191,2193,2105,3190,1,0,1,1,1.9801980257034302,1,1.9801980257034302,0,1,1.0101009607315063,1,1,0,2,1,100,16665841664,4294963200,1883758592,294387712
