Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745029269154,61025.35688781738,2200,2,0.84375,55903.70951843262,2200,2,0.84375,35976.42475891113,2200,2,0.84375,58574.22587585449,2200,2,0.84375,52679.24662780762,2200,2,0.84375,62556.06816101074,2200,2,0.84375,46826.05696105957,2200,2,0.84375,18645.202926635742,2200,2,0.84375,37289.48564147949,2128,3192,2129,2127,2186,2191,2194,2194,2190,2196,2195,2191,2193,2171,2168,3135,3.846153974533081,7.692307949066162,0,7.407407283782959,0,3.846153974533081,0,4,0,0,3.846153974533081,3.846153974533081,0,0,3.846153974533081,3.846153974533081,16665841664,4294963200,864276480,290717696
999,1745029269154,61025.35704040527,2200,2,0.84375,55903.71278381348,2200,2,0.85,35976.424896240234,2200,2,0.85,58574.22602844238,2200,2,0.85,52679.24678039551,2200,2,0.85,62556.068298339844,2200,2,0.85,46826.05874633789,2200,2,0.85,18645.203384399414,2200,2,0.85,37289.509704589844,2128,3192,2129,2127,2186,2191,2194,2194,2190,2196,2195,2191,2193,2171,2168,3135,3.846153974533081,7.692307949066162,0,7.407407283782959,0,3.846153974533081,0,4,0,0,3.846153974533081,3.846153974533081,0,0,3.846153974533081,3.846153974533081,16665841664,4294963200,864276480,290717696
999,1745029270154,61029.81866455078,4025,0,1.325,55912.2248840332,4025,0,1.325,35979.235290527344,4025,0,1.325,58581.45822143555,4025,0,1.325,52682.52003479004,4025,0,1.325,62559.16728210449,4025,0,1.325,46828.507080078125,4025,0,1.325,18648.394271850586,4025,0,1.325,37337.60623168945,2128,3192,2129,2127,2186,2191,2194,2194,2190,2196,2195,2191,2193,2171,2168,3135,24.742267608642578,50.50504684448242,8,25.25252342224121,15.841584205627441,2.0202019214630127,1,2.97029709815979,22,55,16.32653045654297,28.282827377319336,22.22222328186035,27.000001907348633,20.2020206451416,24.75247573852539,16665841664,4294963200,1103986688,290717696
999,1745029271154,61031.238372802734,4200,0,1.4375,55912.92803955078,2100,2,1.4375,35980.33164978027,2100,2,1.4375,58582.02420043945,2800,2,1.4375,52683.4189453125,2100,2,1.4375,62566.04878234863,4200,0,1.4375,46835.0206451416,2100,2,1.4375,18649.544158935547,2100,2,1.4375,37370.935791015625,2128,3192,2129,2127,2186,2191,2194,2194,2190,2196,2195,2191,2193,2171,2168,3135,0,4,2,0,2.0202019214630127,4.95049524307251,3.9215688705444336,2.0202019214630127,8.08080768585205,2,3,55,51.48514938354492,3.0303030014038086,9.90099048614502,0,16665841664,4294963200,1503440896,290717696
1000,1745029272154,61031.82096862793,3000,2,1.4375,55912.98622131348,2000,2,1.4375,35980.85397338867,2000,2,1.4375,58582.078369140625,2000,2,1.4375,52683.71273803711,2112.5,2,1.4375,62578.24156188965,4225,0,1.4375,46835.34373474121,2112.5,2,1.4375,18650.16473388672,2112.5,2,1.4375,37399.89031982422,2128,3192,2129,2127,2186,2191,2194,2194,2190,2196,2195,2191,2193,2171,2168,3135,0,0,1,0,1.9607844352722168,1,0,2.97029709815979,3,0,1,100,0,0,3.0303030014038086,0,16665841664,4294963200,1653108736,290717696
1000,1745029273155,61032.05424499512,2200,2,1.4375,55913.19528198242,2200,2,1.4375,35981.16339111328,2200,2,1.4375,58582.30358886719,2200,2,1.4375,52684.01170349121,2112.5,2,1.4375,62590.74067687988,4225,0,1.4375,46835.53105163574,2112.5,2,1.4375,18650.391311645508,2112.5,2,1.4375,37428.56399536133,2128,3192,2129,2127,2186,2191,2194,2194,2190,2196,2195,2191,2193,2171,2168,3135,0,2,3,0,2,1.0101009607315063,2.0202019214630127,2,3,2,3,100,2,2,2,2,16665841664,4294963200,1653108736,290717696
989,1745029274166,61032.223541259766,2200,2,1.45,55913.354400634766,2200,2,1.45,35983.03073120117,2200,2,1.45,58582.59802246094,2200,2,1.45,52684.186111450195,2112.5,2,1.45,62603.172760009766,4225,0,1.45,46835.91670227051,2112.5,2,1.45,18650.70767211914,2112.5,2,1.45,37458.91307067871,2128,3192,2129,2127,2186,2191,2194,2194,2190,2196,2195,2191,2193,2171,2168,3135,0.9803922176361084,1.9607844352722168,2.97029709815979,0,0.9900990128517151,2.97029709815979,0.9900990128517151,0.9900990128517151,13.8613862991333,2.97029709815979,0.9900990128517151,100,2,1.9801980257034302,1.9607844352722168,0,16665841664,4294963200,1653366784,290717696
999,1745029275156,61032.507720947266,2200,2,1.45625,55913.61247253418,2200,2,1.45625,35983.45658874512,2200,2,1.45625,58582.81153869629,2200,2,1.45625,52684.40284729004,2112.5,2,1.45625,62615.43078613281,4225,0,1.45625,46836.35289001465,2112.5,2,1.45625,18650.945083618164,2112.5,2,1.45625,37487.40934753418,2128,3192,2129,2127,2186,2191,2194,2194,2190,2196,2195,2191,2193,2171,2168,3135,2.040816307067871,2.040816307067871,2.040816307067871,0,2.0202019214630127,1.0101009607315063,2.0202019214630127,2.040816307067871,3.0303030014038086,2.0202019214630127,2.0202019214630127,100,4.040403842926025,2.040816307067871,0,3.0303030014038086,16665841664,4294963200,1649999872,290717696
999,1745029276156,61033.503356933594,2200,2,1.40625,55913.914291381836,2200,2,1.40625,35984.4090423584,2200,2,1.40625,58583.04733276367,2200,2,1.40625,52684.74710083008,2112.5,2,1.40625,62627.529693603516,4225,0,1.40625,46837.22689819336,2112.5,2,1.40625,18651.39712524414,2112.5,2,1.40625,37518.14907836914,2128,3192,2129,2127,2186,2191,2194,2194,2190,2196,2195,2191,2193,2171,2168,3135,6.93069314956665,2,2,0,0,0,1,2,6.060606002807617,2,2.97029709815979,99,6,1.9801980257034302,2,0,16665841664,4294963200,1563004928,290717696
999,1745029277156,61033.722259521484,2200,2,1.45,55914.162109375,2200,2,1.45,35984.676208496094,2200,2,1.45,58583.28926086426,2200,2,1.45,52685.01329040527,2112.5,2,1.45,62639.54035949707,4225,0,1.45,46837.5535736084,2112.5,2,1.45,18651.663635253906,2112.5,2,1.45,37546.42906188965,2128,3192,2129,2127,2186,2191,2194,2194,2190,2196,2195,2191,2193,2171,2168,3135,2,1,2,2,2,0,2,2.97029709815979,3.9603960514068604,2,3,100,3,2,0,2,16665841664,4294963200,1563004928,290717696
