Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744807189118,11968.122360229492,2200,2,0.85,6360.628372192383,2200,2,0.85,5262.656005859375,2200,2,0.85,6599.843246459961,2200,2,0.85,12333.5517578125,2200,2,0.85,4075.5660400390625,2200,2,0.85,4460.894927978516,2200,2,0.85,4653.338928222656,2200,2,0.85,42603.894790649414,2128,2337,1949,2191,3192,2128,2128,2080,2161,2128,2163,2152,2126,2141,2189,3193,3.4482758045196533,3.4482758045196533,3.4482758045196533,0,3.4482758045196533,0,3.4482758045196533,0,0,3.5714287757873535,3.4482758045196533,7.407407283782959,0,0,3.5714287757873535,0,16665841664,4294963200,1117454336,0
999,1744807189119,11968.122604370117,2200,2,0.84375,6360.631805419922,2200,2,0.84375,5262.656097412109,2200,2,0.84375,6599.843353271484,2200,2,0.84375,12333.551864624023,2200,2,0.84375,4075.569290161133,2200,2,0.84375,4460.895095825195,2200,2,0.84375,4653.339065551758,2200,2,0.85,42603.920318603516,2128,2337,1949,2191,3192,2128,2128,2080,2161,2128,2163,2152,2126,2141,2189,3193,3.4482758045196533,3.4482758045196533,3.4482758045196533,0,3.4482758045196533,0,3.4482758045196533,0,0,3.5714287757873535,3.4482758045196533,7.407407283782959,0,0,3.5714287757873535,0,16665841664,4294963200,1117454336,0
1000,1744807190119,11972.106704711914,2133.333333333333,2,1.4625000000000001,6363.601425170898,2133.333333333333,2,1.4625000000000001,5268.0638427734375,3200,1,1.4625000000000001,6604.116546630859,2133.333333333333,2,1.44375,12337.23257446289,2112.5,2,1.44375,4087.9476623535156,4225,0,1.44375,4464.125061035156,2112.5,2,1.44375,4655.773956298828,2112.5,2,1.44375,42656.2176361084,2128,2337,1949,2191,3192,2128,2128,2080,2161,2128,2163,2152,2126,2141,2189,3193,15.15151596069336,16,39.39393997192383,21.782176971435547,5,2.97029709815979,0,0,21.568628311157227,29,29.702970504760742,96.03960418701172,31.313129425048828,19,27.7227725982666,19,16665841664,4294963200,1556013056,0
998,1744807191120,11976.94319152832,2112.5,2,1.45625,6371.047714233398,4225,0,1.45625,5269.170257568359,2816.666666666667,2,1.45625,6606.545211791992,2112.5,2,1.45625,12338.11538696289,2200,2,1.45625,4089.4679260253906,2200,2,1.45625,4465.337005615234,2200,2,1.45625,4657.686172485352,2200,2,1.45625,42692.45610046387,2128,2337,1949,2191,3192,2128,2128,2080,2161,2128,2163,2152,2126,2141,2189,3193,34.34343338012695,53.53535461425781,4,3.0303030014038086,4.95049524307251,0,0,0,8,16,1,9,6.93069314956665,12.121212005615234,7,4,16665841664,4294963200,1845747712,0
999,1744807192119,11977.576721191406,2137.5,2,1.46875,6385.4122314453125,4275,0,1.46875,5269.870178222656,2137.5,2,1.46875,6606.623062133789,2137.5,2,1.46875,12339.366104125977,2200,2,1.46875,4090.220489501953,2200,2,1.46875,4465.701248168945,2200,2,1.46875,4658.672012329102,2200,2,1.46875,42724.584411621094,2128,2337,1949,2191,3192,2128,2128,2080,2161,2128,2163,2152,2126,2141,2189,3193,4,100,5,0,10.1010103225708,0,0,0,0,0,1.0101009607315063,5,2,5,0,2,16665841664,4294963200,1937891328,0
1000,1744807193119,11982.200942993164,2100,2,1.4375,6397.620315551758,4200,0,1.4375,5274.733383178711,4200,0,1.4375,6612.178909301758,4200,0,1.4375,12343.315780639648,2133.333333333333,2,1.4375,4094.107940673828,2133.333333333333,2,1.4375,4469.663726806641,3200,1,1.4375,4664.364883422852,3200,1,1.4375,42782.98750305176,2128,2337,1949,2191,3192,2128,2128,2080,2161,2128,2163,2152,2126,2141,2189,3193,37.75510025024414,93.93939208984375,42.42424392700195,34.34343338012695,32.67326736450195,9.090909004211426,16,7,7,35.35353469848633,10,35.35353469848633,27.5510196685791,54.000003814697266,13.13131332397461,16,16665841664,4294963200,2135724032,0
999,1744807194120,11982.507278442383,2112.5,2,1.4375,6399.20881652832,2112.5,2,1.4375,5276.369491577148,2112.5,2,1.4375,6626.858901977539,4225,0,1.4375,12343.60873413086,2200,2,1.4375,4096.970169067383,2200,2,1.4375,4471.499450683594,2200,2,1.4375,4665.318771362305,2200,2,1.4375,42822.179122924805,2128,2337,1949,2191,3192,2128,2128,2080,2161,2128,2163,2152,2126,2141,2189,3193,1,0,9.90099048614502,1,0,0.9900990128517151,9.090909004211426,1,0,100,1,24,0.9900990128517151,4,1.9801980257034302,9,16665841664,4294963200,2137788416,0
999,1744807195120,11982.825592041016,2062.5,2,1.4375,6401.948486328125,4125,0,1.4375,5279.191101074219,4125,0,1.4375,6639.231094360352,2062.5,2,1.4375,12346.195678710938,4125,0,1.4375,4099.118789672852,2750,2,1.4375,4474.462829589844,2062.5,2,1.4375,4665.470458984375,2062.5,2,1.4375,42863.16036987305,2128,2337,1949,2191,3192,2128,2128,2080,2161,2128,2163,2152,2126,2141,2189,3193,1,0,18.18181800842285,1,1,7,19.80198097229004,0,1.9801980257034302,82.17821502685547,17,6.060606002807617,5,1,0,19,16665841664,4294963200,2137784320,0
999,1744807196120,11982.95637512207,2200,2,1.4375,6402.122848510742,2200,2,1.4375,5279.39665222168,2200,2,1.4375,6639.471893310547,2200,2,1.4375,12360.95881652832,4125,0,1.4312500000000001,4099.222442626953,2062.5,2,1.4312500000000001,4474.882034301758,2062.5,2,1.4312500000000001,4665.594314575195,2062.5,2,1.4312500000000001,42892.73077392578,2128,2337,1949,2191,3192,2128,2128,2080,2161,2128,2163,2152,2126,2141,2189,3193,1,1.9607844352722168,0.9900990128517151,1,2,0,0,0.9900990128517151,0,0,100,0.9900990128517151,1,0,1,1,16665841664,4294963200,2137784320,0
999,1744807197120,11983.053146362305,2200,2,1.425,6402.2064208984375,2200,2,1.425,5279.483673095703,2200,2,1.425,6639.600662231445,2200,2,1.425,12375.762588500977,4125,0,1.425,4099.2806396484375,2062.5,2,1.425,4474.9732666015625,2062.5,2,1.425,4665.675643920898,2062.5,2,1.425,42921.20983886719,2128,2337,1949,2191,3192,2128,2128,2080,2161,2128,2163,2152,2126,2141,2189,3193,0,0,0,1,2.0202019214630127,0,1,0,1,0.9900990128517151,100,0,1,0.9900990128517151,0,1,16665841664,4294963200,2137632768,0
