Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744949252040,36157.89375305176,2133.333333333333,2,0.95625,37019.70544433594,3200,1,0.95625,13979.264602661133,2133.333333333333,2,0.95625,32221.317153930664,2133.333333333333,2,0.95625,23650.282196044922,2200,2,0.95625,40657.36170959473,2200,2,0.95625,25527.700592041016,2200,2,0.95625,52507.66679382324,2200,2,0.95625,46238.324951171875,2124,3192,2129,2127,2195,2193,2196,2192,2123,1961,2150,2181,2194,2192,2073,3158,3.3333334922790527,3.3333334922790527,3.3333334922790527,3.4482758045196533,3.3333334922790527,3.3333334922790527,3.4482758045196533,0,10.344827651977539,3.3333334922790527,0,0,3.4482758045196533,3.3333334922790527,0,0,16665841664,4294963200,877367296,277348352
999,1744949252040,36157.893951416016,2200,2,0.85,37019.705825805664,2200,2,0.85,13979.268371582031,2200,2,0.85,32221.317337036133,2200,2,0.85,23650.28237915039,2200,2,0.85,40657.36181640625,2200,2,0.85,25527.70069885254,2200,2,0.85,52507.66857910156,2200,2,0.85,46238.33671569824,2124,3192,2129,2127,2195,2193,2196,2192,2123,1961,2150,2181,2194,2192,2073,3158,3.3333334922790527,3.3333334922790527,3.3333334922790527,3.4482758045196533,3.3333334922790527,3.3333334922790527,3.4482758045196533,0,10.344827651977539,3.3333334922790527,0,0,3.4482758045196533,3.3333334922790527,0,0,16665841664,4294963200,878395392,277348352
999,1744949253041,36161.98767089844,2150,2,1.45,37022.6350402832,2866.666666666667,2,1.45,13991.903717041016,4300,0,1.45,32224.66520690918,2150,2,1.45,23653.785705566406,2200,2,1.45,40660.89074707031,2200,2,1.45,25531.434524536133,2200,2,1.45,52511.143951416016,2200,2,1.45,46289.868392944336,2124,3192,2129,2127,2195,2193,2196,2192,2123,1961,2150,2181,2194,2192,2073,3158,7.070706844329834,7,46.53465270996094,14,15.15151596069336,17.171716690063477,18,23.76237678527832,57,23.232322692871094,23,27.7227725982666,18,13.13131332397461,30.000001907348633,21,16665841664,4294963200,1305645056,277348352
999,1744949254041,36162.94093322754,2137.5,2,1.4312500000000001,37022.850814819336,2137.5,2,1.4312500000000001,14005.241439819336,4275,0,1.4375,32226.38052368164,2137.5,2,1.4375,23654.951431274414,3000,2,1.4375,40662.25959777832,2000,2,1.4375,25532.135696411133,3000,2,1.4375,52512.67677307129,2000,2,1.4375,46325.76672363281,2124,3192,2129,2127,2195,2193,2196,2192,2123,1961,2150,2181,2194,2192,2073,3158,1.0101009607315063,0,75.75757598876953,0,4,8.91089153289795,4.95049524307251,6.93069314956665,28,14.851485252380371,8.08080768585205,5,5.94059419631958,5,5.0505051612854,0,16665841664,4294963200,1602842624,277348352
999,1744949255041,36163.94136047363,2150,2,1.44375,37023.23947143555,2150,2,1.44375,14018.952850341797,4300,0,1.44375,32227.019149780273,2162.5,2,1.44375,23655.389572143555,2200,2,1.44375,40663.13229370117,2200,2,1.44375,25533.064361572266,2200,2,1.44375,52513.22393798828,2200,2,1.44375,46357.25614929199,2124,3192,2129,2127,2195,2193,2196,2192,2123,1961,2150,2181,2194,2192,2073,3158,6,2,0,4,0,1.0101009607315063,7.070706844329834,0,100,0,3.9603960514068604,8,0,1.0101009607315063,0,0,16665841664,4294963200,1653096448,277348352
999,1744949256041,36166.58680725098,2062.5,2,1.40625,37026.013610839844,4125,0,1.40625,14028.665740966797,4125,0,1.40625,32230.833755493164,2062.5,2,1.40625,23659.047317504883,4125,0,1.40625,40668.330642700195,4125,0,1.40625,25540.774368286133,4125,0,1.40625,52515.64115905762,2062.5,2,1.40625,46408.57731628418,2124,3192,2129,2127,2195,2193,2196,2192,2123,1961,2150,2181,2194,2192,2073,3158,23,8,29,35,22.77227783203125,11,62.626258850097656,5.0505051612854,62,6.060606002807617,26,44,6.060606002807617,24,8.91089153289795,27.000001907348633,16665841664,4294963200,1844297728,277348352
999,1744949257041,36167.655029296875,2200,2,1.4125,37026.51696777344,2200,2,1.4125,14031.011367797852,2200,2,1.4125,32232.536193847656,2200,2,1.4125,23661.309463500977,2087.5,2,1.4125,40671.43615722656,2087.5,2,1.4125,25555.36456298828,4175,0,1.4125,52518.08290100098,2087.5,2,1.4125,46450.989318847656,2124,3192,2129,2127,2195,2193,2196,2192,2123,1961,2150,2181,2194,2192,2073,3158,6.060606002807617,1.0101009607315063,15.000000953674316,14,4.040403842926025,7,99.00990295410156,1,0,1,13,13,4,14,1,1.9801980257034302,16665841664,4294963200,1864339456,277348352
999,1744949258041,36169.71571350098,2200,2,1.4625000000000001,37026.66859436035,2200,2,1.4625000000000001,14032.731094360352,2200,2,1.4625000000000001,32233.70344543457,2200,2,1.4625000000000001,23661.522827148438,2100,2,1.4625000000000001,40671.58465576172,2100,2,1.44375,25570.143280029297,4200,0,1.44375,52520.02392578125,2100,2,1.44375,46487.373931884766,2124,3192,2129,2127,2195,2193,2196,2192,2123,1961,2150,2181,2194,2192,2073,3158,17.647058486938477,1,11,0,0,0,100,0.9900990128517151,4.95049524307251,7.920792102813721,0,0,0,11.88118839263916,0,1.0101009607315063,16665841664,4294963200,1873358848,277348352
999,1744949259041,36171.576232910156,2000,2,1.4375,37026.89707946777,3000,2,1.4375,14034.230499267578,2000,2,1.4375,32233.83851623535,2000,2,1.4375,23676.076126098633,4125,0,1.4375,40671.70455932617,2062.5,2,1.4375,25570.938385009766,2062.5,2,1.4375,52521.85144042969,2062.5,2,1.4375,46522.10679626465,2124,3192,2129,2127,2195,2193,2196,2192,2123,1961,2150,2181,2194,2192,2073,3158,14.141413688659668,1,10.891088485717773,1,1,0.9900990128517151,1.0101009607315063,0,0,1,99,1,0,10,0,1,16665841664,4294963200,1874132992,277348352
999,1744949260041,36171.97283935547,2200,2,1.425,37027.06913757324,2200,2,1.425,14034.334457397461,2200,2,1.425,32233.946563720703,2200,2,1.425,23690.698120117188,4150,0,1.425,40671.79264831543,2075,2,1.425,25571.0457611084,2075,2,1.425,52521.939682006836,2075,2,1.425,46550.515380859375,2124,3192,2129,2127,2195,2193,2196,2192,2123,1961,2150,2181,2194,2192,2073,3158,3,0,0,0,1,1,1,1,0.9900990128517151,0,100,0,0.9900990128517151,1,0,2,16665841664,4294963200,1873653760,277348352
999,1744949261041,36172.13536071777,2200,2,1.45,37027.20617675781,2200,2,1.45,14034.431015014648,2200,2,1.45,32234.050827026367,2200,2,1.45,23705.353469848633,4150,0,1.45,40671.8790435791,2075,2,1.45,25571.118774414063,2062.5,2,1.45,52522.02046203613,2062.5,2,1.4625000000000001,46578.44380187988,2124,3192,2129,2127,2195,2193,2196,2192,2123,1961,2150,2181,2194,2192,2073,3158,1,0,0.9900990128517151,0,0,0,0,0,0,1,99,0.9900990128517151,0,0,0.9900990128517151,1,16665841664,4294963200,1873653760,277348352
999,1744949262042,36172.255126953125,2133.333333333333,2,1.425,37027.39872741699,3200,1,1.425,14034.545700073242,2133.333333333333,2,1.425,32234.191772460938,2133.333333333333,2,1.425,23719.992706298828,4125,0,1.425,40671.97569274902,2062.5,2,1.425,25571.211135864258,2062.5,2,1.4312500000000001,52522.115982055664,2062.5,2,1.4312500000000001,46606.50358581543,2124,3192,2129,2127,2195,2193,2196,2192,2123,1961,2150,2181,2194,2192,2073,3158,1,0.9900990128517151,0,0,1,0.9900990128517151,1,1,1.9801980257034302,1,100,0,0.9900990128517151,0,0,2,16665841664,4294963200,1873653760,277348352
