Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744949006747,36072.343032836914,2200,2,0.85,36932.22203063965,2200,2,0.85,13880.591186523438,2200,2,0.85,32110.063278198242,2200,2,0.85,22524.914337158203,2200,2,0.85,40329.41493225098,2200,2,0.85,25154.74429321289,2200,2,0.85,52446.98661804199,2200,2,0.85,41661.67283630371,2015,2024,1993,2089,2195,2193,2064,2166,1996,1995,2194,2192,2110,2194,1812,2361,0,0,0,0,0,0,0,0,0,0,3.4482758045196533,3.4482758045196533,0,10.714285850524902,3.4482758045196533,0,16665841664,4294963200,881479680,277348352
999,1744949006747,36072.34652709961,3200,1,0.85,36932.22227478027,2175,2,0.9625,13880.591354370117,2175,2,0.9625,32110.063446044922,2175,2,0.9625,22524.914520263672,2200,2,0.9625,40329.415100097656,2200,2,0.9625,25154.74447631836,2200,2,0.9625,52446.990478515625,2200,2,0.9625,41661.69841003418,2015,2024,1993,2089,2195,2193,2064,2166,1996,1995,2194,2192,2110,2194,1812,2361,0,0,0,0,0,0,0,0,0,0,3.4482758045196533,3.4482758045196533,0,10.714285850524902,3.4482758045196533,0,16665841664,4294963200,881479680,277348352
999,1744949007747,36074.86325073242,2087.5,2,1.425,36935.33940124512,2087.5,2,1.425,13884.80891418457,4175,0,1.4312500000000001,32114.487045288086,2087.5,2,1.4312500000000001,22527.47230529785,2087.5,2,1.4312500000000001,40339.15919494629,4175,0,1.4312500000000001,25159.678421020508,4175,0,1.4312500000000001,52454.414474487305,4175,0,1.4312500000000001,41714.597106933594,2015,2024,1993,2089,2195,2193,2064,2166,1996,1995,2194,2192,2110,2194,1812,2361,16,12,6.93069314956665,11,14,73.73737335205078,2.97029709815979,28.712871551513672,36.633663177490234,32,10.1010103225708,10,42.574256896972656,32.3232307434082,12.121212005615234,23.52941131591797,16665841664,4294963200,1226690560,277348352
999,1744949008748,36076.41688537598,2200,2,1.4375,36936.485900878906,2200,2,1.4375,13887.14126586914,2200,2,1.4375,32115.514099121094,2200,2,1.4375,22528.919647216797,2100,2,1.4375,40351.997329711914,4200,0,1.4375,25161.358840942383,4200,0,1.4375,52456.40151977539,2100,2,1.4375,41753.59477233887,2015,2024,1993,2089,2195,2193,2064,2166,1996,1995,2194,2192,2110,2194,1812,2361,4.081632614135742,9.090909004211426,15.000000953674316,9.90099048614502,1.9801980257034302,99.00990295410156,9,13.13131332397461,11,8.08080768585205,11.88118839263916,7,0,8,10,10.1010103225708,16665841664,4294963200,1590099968,277348352
999,1744949009748,36077.12548828125,2133.333333333333,2,1.44375,36937.1169128418,3200,1,1.44375,13887.92155456543,2133.333333333333,2,1.44375,32115.98439025879,2133.333333333333,2,1.44375,22529.789764404297,2112.5,2,1.44375,40366.66731262207,4225,0,1.44375,25161.89566040039,2112.5,2,1.44375,52456.96145629883,2112.5,2,1.44375,41785.899002075195,2015,2024,1993,2089,2195,2193,2064,2166,1996,1995,2194,2192,2110,2194,1812,2361,0,4,0,2.0202019214630127,0,100,0,1.9801980257034302,7,0,6,0,3.9603960514068604,0.9900990128517151,6,0,16665841664,4294963200,1647276032,277348352
1000,1744949010748,36081.88722229004,2133.333333333333,2,1.41875,36939.82731628418,3200,1,1.41875,13890.712478637695,2133.333333333333,2,1.41875,32118.306747436523,2133.333333333333,2,1.41875,22534.53611755371,4125,0,1.41875,40379.27751159668,4125,0,1.41875,25165.495635986328,2062.5,2,1.41875,52460.94743347168,2062.5,2,1.41875,41836.74282836914,2015,2024,1993,2089,2195,2193,2064,2166,1996,1995,2194,2192,2110,2194,1812,2361,10,27.000001907348633,7,20,3.9603960514068604,99,18.81188201904297,4.081632614135742,27.000001907348633,8,44,3.9603960514068604,24,33.333335876464844,39,3.9603960514068604,16665841664,4294963200,1904361472,277348352
999,1744949011748,36083.466384887695,2133.333333333333,2,1.45625,36942.394760131836,2133.333333333333,2,1.45625,13893.024200439453,2133.333333333333,2,1.45625,32120.078643798828,3200,1,1.45625,22536.512725830078,2112.5,2,1.45625,40394.17240905762,4225,0,1.45625,25165.988739013672,2112.5,2,1.45625,52461.60974121094,2100,2,1.45625,41877.699798583984,2015,2024,1993,2089,2195,2193,2064,2166,1996,1995,2194,2192,2110,2194,1812,2361,3.0303030014038086,7,5,2,1.0101009607315063,99.00990295410156,1,2.941176414489746,15.841584205627441,13,11.111111640930176,1.0101009607315063,0,0,9,13,16665841664,4294963200,1944875008,277348352
999,1744949012748,36083.62596130371,2200,2,1.45,36943.849380493164,2200,2,1.45,13894.414794921875,2200,2,1.45,32122.152740478516,2200,2,1.45,22538.10693359375,2100,2,1.4375,40409.45251464844,4200,0,1.4375,25166.097946166992,2100,2,1.4375,52461.7301940918,2100,2,1.4375,41913.80633544922,2015,2024,1993,2089,2195,2193,2064,2166,1996,1995,2194,2192,2110,2194,1812,2361,1,1,9.090909004211426,1,2,100,0.9900990128517151,0,0,13,9,0.9900990128517151,0,0,0.9900990128517151,10,16665841664,4294963200,1954156544,277348352
999,1744949013748,36083.826736450195,2062.5,2,1.4125,36945.50975036621,4125,0,1.4125,13896.020965576172,4125,0,1.4125,32122.92820739746,2062.5,2,1.4125,22539.932571411133,4125,0,1.4125,40424.64009094238,4125,0,1.4125,25166.243087768555,2062.5,2,1.4125,52461.888092041016,2062.5,2,1.4125,41949.230728149414,2015,2024,1993,2089,2195,2193,2064,2166,1996,1995,2194,2192,2110,2194,1812,2361,0,0,12.87128734588623,0.9900990128517151,1,99,0,1,0.9900990128517151,5,13,0,1,1,0,12,16665841664,4294963200,1954414592,277348352
999,1744949014748,36083.96092224121,2200,2,1.44375,36946.74026489258,2200,2,1.44375,13897.233306884766,2200,2,1.44375,32123.360321044922,2200,2,1.44375,22541.303253173828,2100,2,1.4375,40439.78062438965,4200,0,1.4375,25166.334762573242,2100,2,1.4375,52462.002044677734,2100,2,1.4375,41982.7717590332,2015,2024,1993,2089,2195,2193,2064,2166,1996,1995,2194,2192,2110,2194,1812,2361,0,0,9,0,0,100,1,0,0,4,8.91089153289795,1,0,0,0,9,16665841664,4294963200,1953808384,277348352
