Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744962709175,61351.8317565918,2133.333333333333,2,0.95625,50321.74597167969,3200,1,0.95625,23856.662231445313,2133.333333333333,2,0.95625,44826.326080322266,2133.333333333333,2,0.95625,52744.959533691406,2200,2,0.95625,51536.09295654297,2200,2,0.95625,38199.69541931152,2200,2,0.95625,5302.6146240234375,2200,2,0.95625,46091.600158691406,2127,2815,2128,2125,2186,2169,2194,2186,2157,2128,2195,2192,2191,2195,2062,2188,3.125,3.125,3.22580623626709,3.125,3.125,3.125,3.125,0,0,3.125,3.125,3.22580623626709,0,12.5,3.22580623626709,6.25,16665841664,4294963200,872886272,283377664
999,1744962709175,61351.831939697266,2133.333333333333,2,0.95625,50321.75210571289,3200,1,0.95625,23856.66244506836,2133.333333333333,2,0.95625,44826.32650756836,2133.333333333333,2,0.95625,52744.95974731445,2200,2,0.95625,51536.093170166016,2200,2,0.95625,38199.695724487305,2200,2,0.95625,5302.618988037109,2200,2,0.95625,46091.63026428223,2127,2815,2128,2125,2186,2169,2194,2186,2157,2128,2195,2192,2191,2195,2062,2188,3.125,3.125,3.22580623626709,3.125,3.125,3.125,3.125,0,0,3.125,3.125,3.22580623626709,0,12.5,3.22580623626709,6.25,16665841664,4294963200,872886272,283377664
1000,1744962710176,61356.12399291992,2125,2,1.4375,50324.20031738281,2125,2,1.4375,23859.54263305664,2125,2,1.4375,44839.12615966797,4250,0,1.4375,52750.68768310547,2200,2,1.4375,51540.84913635254,2200,2,1.4375,38202.063217163086,2200,2,1.4375,5305.869766235352,2200,2,1.4375,46144.479400634766,2127,2815,2128,2125,2186,2169,2194,2186,2157,2128,2195,2192,2191,2195,2062,2188,17,12.121212005615234,16.1616153717041,98.98989868164063,39,33,14,11,9.90099048614502,9,15.15151596069336,13,9.090909004211426,18,19.80198097229004,9,16665841664,4294963200,1317982208,283377664
999,1744962711176,61356.99255371094,2112.5,2,1.45,50334.795150756836,4225,0,1.45,23860.181854248047,2112.5,2,1.45,44843.16600036621,2112.5,2,1.45,52751.73123168945,2200,2,1.45,51541.85224914551,2200,2,1.45625,38203.25144958496,2200,2,1.45625,5307.615936279297,2200,2,1.45625,46180.09800720215,2127,2815,2128,2125,2186,2169,2194,2186,2157,2128,2195,2192,2191,2195,2062,2188,2,6.93069314956665,5.94059419631958,28,6,6,0,0,3,3.0303030014038086,2.97029709815979,3,7,11,5.0505051612854,75,16665841664,4294963200,1555894272,283377664
999,1744962712176,61357.1344909668,2137.5,2,1.46875,50349.04130554199,4275,0,1.46875,23861.341278076172,2137.5,2,1.46875,44844.100814819336,2137.5,2,1.46875,52751.85334777832,2200,2,1.46875,51542.93687438965,2200,2,1.46875,38204.11250305176,2200,2,1.46875,5308.664031982422,2200,2,1.46875,46212.78462219238,2127,2815,2128,2125,2186,2169,2194,2186,2157,2128,2195,2192,2191,2195,2062,2188,0,3,10.1010103225708,0,0.9900990128517151,7,6,0,0,6.060606002807617,0,1,0,6,0,100,16665841664,4294963200,1704013824,283377664
999,1744962713176,61361.83915710449,4175,0,1.45,50357.45893859863,2087.5,2,1.45,23866.525619506836,2783.333333333333,2,1.45,44849.028564453125,2783.333333333333,2,1.45,52757.82334899902,4175,0,1.45,51548.24563598633,2087.5,2,1.45,38206.99446105957,2087.5,2,1.45,5314.433700561523,2783.333333333333,2,1.45,46269.30235290527,2127,2815,2128,2125,2186,2169,2194,2186,2157,2128,2195,2192,2191,2195,2062,2188,15.306122779846191,29,51,24,7.070706844329834,49.49494934082031,25.74257469177246,30.000001907348633,8.91089153289795,23.76237678527832,51,9,10,49.49494934082031,33.66336441040039,47,16665841664,4294963200,1838714880,283377664
999,1744962714176,61376.70835876465,4225,0,1.41875,50358.457443237305,2112.5,2,1.41875,23868.556091308594,2816.666666666667,2,1.41875,44849.287017822266,2112.5,2,1.41875,52759.54460144043,2112.5,2,1.41875,51551.048095703125,2816.666666666667,2,1.41875,38210.072814941406,4225,0,1.41875,5315.308975219727,4225,0,1.41875,46310.47721862793,2127,2815,2128,2125,2186,2169,2194,2186,2157,2128,2195,2192,2191,2195,2062,2188,99,6.060606002807617,6,0,12,13,19.191919326782227,6,9.090909004211426,0.9900990128517151,0.9900990128517151,6,0.9900990128517151,0,0,0.9900990128517151,16665841664,4294963200,1851617280,283377664
1000,1744962715176,61391.55647277832,4300,0,1.46875,50358.703704833984,2150,2,1.46875,23870.16342163086,2150,2,1.46875,44849.41555786133,2150,2,1.46875,52759.69973754883,2200,2,1.46875,51552.949768066406,2200,2,1.46875,38211.856216430664,2200,2,1.46875,5317.503753662109,2200,2,1.4625000000000001,46347.601821899414,2127,2815,2128,2125,2186,2169,2194,2186,2157,2128,2195,2192,2191,2195,2062,2188,100,2,2,0.9900990128517151,1,9.90099048614502,10.891088485717773,10.891088485717773,9.090909004211426,1,1.0101009607315063,1,1,0,1,0,16665841664,4294963200,1851613184,283377664
999,1744962716177,61406.777572631836,4250,0,1.4375,50358.91502380371,2833.333333333333,2,1.4312500000000001,23871.680130004883,2125,2,1.4312500000000001,44849.51820373535,2125,2,1.4312500000000001,52759.820709228516,2200,2,1.4312500000000001,51554.456451416016,2200,2,1.4312500000000001,38213.63119506836,2200,2,1.4312500000000001,5318.568176269531,2200,2,1.4312500000000001,46383.352600097656,2127,2815,2128,2125,2186,2169,2194,2186,2157,2128,2195,2192,2191,2195,2062,2188,100,1.0101009607315063,1,0,0,9.090909004211426,10,5.0505051612854,11.764705657958984,0,0.9900990128517151,0,1,1.9801980257034302,1,0,16665841664,4294963200,1851613184,283377664
999,1744962717177,61421.82209777832,4300,0,1.4375,50359.08982849121,2125,2,1.4375,23871.80209350586,2125,2,1.4375,44849.61640930176,2125,2,1.4375,52759.93046569824,2200,2,1.4375,51554.54536437988,2200,2,1.4375,38213.724685668945,2200,2,1.4375,5318.941223144531,2200,2,1.44375,46412.84043884277,2127,2815,2128,2125,2186,2169,2194,2186,2157,2128,2195,2192,2191,2195,2062,2188,99.00990295410156,1.9801980257034302,0.9900990128517151,1,1,1,1,0,0,0,0,1,0,0,0.9900990128517151,0,16665841664,4294963200,1849700352,283377664
