Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745029391838,61051.3854675293,2200,2,0.85,55925.08480834961,2200,2,0.85,35993.08905029297,2200,2,0.85,58595.17785644531,2200,2,0.85,52692.92085266113,2200,2,0.85,63278.965240478516,2200,2,0.85,46847.96844482422,2200,2,0.85,18661.064422607422,2200,2,0.84375,39391.8634185791,2129,2793,2129,2120,2152,4307,2117,2158,2128,2122,2151,4321,2013,2160,2126,3152,3.4482758045196533,3.4482758045196533,3.3333334922790527,0,3.3333334922790527,6.6666669845581055,3.4482758045196533,3.3333334922790527,6.6666669845581055,10,0,3.3333334922790527,0,0,3.4482758045196533,3.3333334922790527,16665841664,4294963200,858562560,290717696
999,1745029391838,61051.385681152344,2200,2,0.84375,55925.08494567871,2200,2,0.84375,35993.08923339844,2200,2,0.84375,58595.18110656738,2200,2,0.84375,52692.92094421387,2200,2,0.84375,63278.96533203125,2200,2,0.84375,46847.97021484375,2200,2,0.84375,18661.064514160156,2200,2,0.84375,39391.88864135742,2129,2793,2129,2120,2152,4307,2117,2158,2128,2122,2151,4321,2013,2160,2126,3152,3.4482758045196533,3.4482758045196533,3.3333334922790527,0,3.3333334922790527,6.6666669845581055,3.4482758045196533,3.3333334922790527,6.6666669845581055,10,0,3.3333334922790527,0,0,3.4482758045196533,3.3333334922790527,16665841664,4294963200,858562560,290717696
1000,1745029392838,61054.18930053711,2200,2,1.44375,55929.07809448242,2200,2,1.44375,35996.33403015137,2200,2,1.44375,58599.2116394043,2200,2,1.44375,52699.77406311035,2112.5,2,1.44375,63283.60205078125,2112.5,2,1.44375,46851.32196044922,2112.5,2,1.44375,18669.74363708496,4225,0,1.44375,39443.04573059082,2129,2793,2129,2120,2152,4307,2117,2158,2128,2122,2151,4321,2013,2160,2126,3152,11.111111640930176,19,21.212121963500977,20.79207992553711,31.632652282714844,12.121212005615234,12,4.040403842926025,11.88118839263916,17.171716690063477,23,31,25.74257469177246,72,19,24.24242401123047,16665841664,4294963200,1286397952,290717696
999,1745029393839,61054.71711730957,2200,2,1.44375,55929.60615539551,2200,2,1.44375,35996.78044128418,2200,2,1.44375,58600.49571228027,2200,2,1.44375,52704.57177734375,2100,2,1.44375,63284.37545776367,2100,2,1.44375,46860.69354248047,4200,0,1.44375,18672.427520751953,2100,2,1.44375,39477.7131652832,2129,2793,2129,2120,2152,4307,2117,2158,2128,2122,2151,4321,2013,2160,2126,3152,4.040403842926025,4.95049524307251,0,5,15.841584205627441,4,4.040403842926025,4,4,5,24,4.040403842926025,65,16.831682205200195,1,1.9801980257034302,16665841664,4294963200,1580912640,290717696
999,1745029394839,61055.26203918457,2200,2,1.4375,55930.438385009766,2200,2,1.4375,35997.80001831055,2200,2,1.4375,58601.683990478516,2200,2,1.4375,52705.25566101074,2112.5,2,1.4375,63284.53186035156,2112.5,2,1.4375,46875.06266784668,4225,0,1.4375,18673.182495117188,2112.5,2,1.4375,39509.58576965332,2129,2793,2129,2120,2152,4307,2117,2158,2128,2122,2151,4321,2013,2160,2126,3152,0,0,9,9.090909004211426,0,0,0,0,0,0,5,1,100,3.0303030014038086,3.9603960514068604,7.070706844329834,16665841664,4294963200,1678819328,290717696
999,1745029395839,61059.8268737793,2200,2,1.4312500000000001,55935.078353881836,2200,2,1.4312500000000001,36002.76788330078,2200,2,1.4312500000000001,58605.47929382324,2200,2,1.4312500000000001,52709.226638793945,2100,2,1.4312500000000001,63288.04251098633,2100,2,1.4312500000000001,46885.759033203125,4200,0,1.4312500000000001,18681.081176757813,2800,2,1.4312500000000001,39566.89155578613,2129,2793,2129,2120,2152,4307,2117,2158,2128,2122,2151,4321,2013,2160,2126,3152,25.25252342224121,13.13131332397461,46,27.7227725982666,39,31.313129425048828,7.070706844329834,15.841584205627441,10.204081535339355,12,3,9.090909004211426,85,65.3465347290039,30.612245559692383,41,16665841664,4294963200,1824530432,290717696
1000,1745029396839,61060.066146850586,2100,2,1.41875,55938.2374420166,4200,0,1.41875,36005.63052368164,2100,2,1.41875,58608.14193725586,2100,2,1.41875,52709.51856994629,2100,2,1.41875,63290.999435424805,2100,2,1.41875,46888.626205444336,2100,2,1.41875,18693.29002380371,4200,0,1.41875,39608.73277282715,2129,2793,2129,2120,2152,4307,2117,2158,2128,2122,2151,4321,2013,2160,2126,3152,2,25,19,1,0.9900990128517151,19.80198097229004,0.9900990128517151,0,0.9900990128517151,19.191919326782227,1,1,17,83,1,0,16665841664,4294963200,1832521728,290717696
999,1745029397839,61060.244064331055,2200,2,1.4312500000000001,55940.1067199707,2200,2,1.4312500000000001,36007.081130981445,2200,2,1.4312500000000001,58609.74281311035,2200,2,1.4312500000000001,52709.657974243164,2100,2,1.4312500000000001,63292.75732421875,2100,2,1.4312500000000001,46888.732360839844,2100,2,1.4312500000000001,18707.76644897461,4200,0,1.4312500000000001,39644.261795043945,2129,2793,2129,2120,2152,4307,2117,2158,2128,2122,2151,4321,2013,2160,2126,3152,0,13,10,0,0,10,0,0,0,10,0,0.9900990128517151,0.9900990128517151,100,1,1.9801980257034302,16665841664,4294963200,1970577408,290717696
999,1745029398839,61060.35028076172,2200,2,1.44375,55940.57667541504,2200,2,1.44375,36007.140686035156,2200,2,1.44375,58609.82354736328,2200,2,1.44375,52709.75291442871,2100,2,1.44375,63292.82948303223,2100,2,1.4625000000000001,46888.79650878906,2100,2,1.4625000000000001,18722.505737304688,4200,0,1.4625000000000001,39672.77639770508,2129,2793,2129,2120,2152,4307,2117,2158,2128,2122,2151,4321,2013,2160,2126,3152,0.9900990128517151,2.0202019214630127,0,0.9900990128517151,1,0,0,0,0,0,0,1,0,100,0.9900990128517151,1,16665841664,4294963200,1970577408,290717696
1000,1745029399839,61060.45805358887,2200,2,1.425,55941.0506439209,2200,2,1.425,36007.216567993164,2200,2,1.425,58609.91247558594,2200,2,1.425,52709.870376586914,2100,2,1.425,63292.91372680664,2100,2,1.425,46888.88447570801,2100,2,1.425,18737.277877807617,4200,0,1.425,39701.5964050293,2129,2793,2129,2120,2152,4307,2117,2158,2128,2122,2151,4321,2013,2160,2126,3152,0,4.901960849761963,1,0,0.9900990128517151,0.9900990128517151,1,0,0,0.9900990128517151,1.9801980257034302,0,0,100,0,1.0101009607315063,16665841664,4294963200,1970577408,290717696
