Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744860921526,50365.10011291504,2000,2,0.875,2915.339889526367,2000,2,0.875,57887.1632232666,3000,2,0.875,1804.4639434814453,2000,2,0.875,48797.17051696777,3200,1,0.875,6142.306579589844,2133.333333333333,2,0.875,58085.51435852051,2133.333333333333,2,0.975,11761.440444946289,2133.333333333333,2,0.975,17990.874237060547,1952,2200,2200,2062,2200,2037,2200,1993,4206,2008,4161,2200,2011,2200,2200,2088,2.6315789222717285,0,28.205129623413086,7.692307949066162,0,2.6315789222717285,2.6315789222717285,0,0,0,0,5.128205299377441,0,0,0,2.6315789222717285,16665841664,4294963200,952172544,244842496
999,1744860921526,50365.10070800781,2112.5,2,1.4312500000000001,2915.3404235839844,2112.5,2,1.4312500000000001,57887.16377258301,4225,0,1.4312500000000001,1804.4695892333984,2112.5,2,1.4312500000000001,48797.18946838379,4225,0,1.4312500000000001,6142.307159423828,2112.5,2,1.4312500000000001,58085.51518249512,2112.5,2,1.45,11761.441223144531,2112.5,2,1.45,17990.938522338867,1952,2200,2200,2062,2200,2037,2200,1993,4206,2008,4161,2200,2011,2200,2200,2088,2.6315789222717285,0,28.205129623413086,7.692307949066162,0,2.6315789222717285,2.6315789222717285,0,0,0,0,5.128205299377441,0,0,0,2.6315789222717285,16665841664,4294963200,952688640,244842496
999,1744860922526,50375.17710876465,4325,0,1.44375,2918.1577758789063,2162.5,2,1.4375,57889.3483581543,2162.5,2,1.4375,1806.8279571533203,2162.5,2,1.4375,48803.745025634766,2200,2,1.4375,6145.299987792969,2200,2,1.4375,58087.4669342041,2200,2,1.4375,11763.43637084961,2200,2,1.4375,18034.461822509766,1952,2200,2200,2062,2200,2037,2200,1993,4206,2008,4161,2200,2011,2200,2200,2088,0,11.65048599243164,6.93069314956665,15.841584205627441,1.9607844352722168,23.76237678527832,7.843137741088867,0,11.88118839263916,8.73786449432373,32.352943420410156,7.843137741088867,9.803921699523926,17.647058486938477,77.45098114013672,14.705883026123047,16665841664,4294963200,1055903744,244842496
999,1744860923526,50386.132263183594,3975,0,1.3,2925.786666870117,3975,0,1.3,57896.6014251709,3975,0,1.3,1815.9092712402344,3975,0,1.3,48810.2899017334,3975,0,1.3,6154.096588134766,3975,0,1.3,58096.27354431152,3975,0,1.3,11768.200744628906,3975,0,1.3,18108.492401123047,1952,2200,2200,2062,2200,2037,2200,1993,4206,2008,4161,2200,2011,2200,2200,2088,12.371133804321289,14.141413688659668,30.30303192138672,72.7272720336914,41.41414260864258,32,73,38.613861083984375,56.435646057128906,43.43434143066406,38,75,39.39393997192383,17.171716690063477,89,75,16665841664,4294963200,1384398848,244842496
999,1744860924526,50393.884185791016,2062.5,2,1.425,2931.700881958008,2062.5,2,1.425,57899.97471618652,2062.5,2,1.425,1823.7138977050781,4125,0,1.425,48819.4192199707,4125,0,1.425,6158.672378540039,2062.5,2,1.425,58101.80046081543,2750,2,1.425,11771.283782958984,2750,2,1.425,18168.059295654297,1952,2200,2200,2062,2200,2037,2200,1993,4206,2008,4161,2200,2011,2200,2200,2088,9.183673858642578,37.37373733520508,4,55,12.87128734588623,39.39393997192383,8.08080768585205,25.25252342224121,31.313129425048828,27.272727966308594,75.75757598876953,9.090909004211426,57,10.891088485717773,62,26.73267364501953,16665841664,4294963200,1755213824,244842496
999,1744860925526,50400.46176147461,2037.5,2,1.39375,2938.7286529541016,4075,0,1.39375,57901.87324523926,4075,0,1.39375,1829.1507110595703,4075,0,1.39375,48826.89422607422,4075,0,1.39375,6165.053436279297,4100,0,1.39375,58106.70181274414,4100,0,1.39375,11775.71371459961,2050,2,1.39375,18225.155227661133,1952,2200,2200,2062,2200,2037,2200,1993,4206,2008,4161,2200,2011,2200,2200,2088,50,7,6,45.45454788208008,9,55.4455451965332,4,12.121212005615234,13.72549057006836,5,51.48514938354492,13,42,31,6,67,16665841664,4294963200,2071322624,244842496
999,1744860926527,50414.00473022461,4175,0,1.4375,2940.1118774414063,4175,0,1.4375,57902.90367126465,2087.5,2,1.4375,1830.4171295166016,2087.5,2,1.4375,48828.72187805176,2087.5,2,1.4375,6168.509857177734,4175,0,1.4375,58108.36349487305,2087.5,2,1.4375,11782.242752075195,4200,0,1.425,18270.24737548828,1952,2200,2200,2062,2200,2037,2200,1993,4206,2008,4161,2200,2011,2200,2200,2088,98,10,8.08080768585205,7.920792102813721,4.040403842926025,27.000001907348633,9.90099048614502,8.91089153289795,7.070706844329834,8.91089153289795,9.090909004211426,7,9,50.50504684448242,8,2,16665841664,4294963200,2138152960,244842496
999,1744860927527,50427.8410949707,4300,0,1.425,2942.463882446289,2150,2,1.425,57903.90269470215,2137.5,2,1.425,1831.6705780029297,2137.5,2,1.425,48830.1923828125,2200,2,1.425,6170.930587768555,2200,2,1.425,58109.933990478516,2200,2,1.425,11784.07145690918,2200,2,1.425,18310.133010864258,1952,2200,2200,2062,2200,2037,2200,1993,4206,2008,4161,2200,2011,2200,2200,2088,98.98989868164063,18.18181800842285,7.920792102813721,8,1,16,10.1010103225708,7,7.070706844329834,7.070706844329834,9.90099048614502,7,8,5.94059419631958,7,0,16665841664,4294963200,2335293440,244842496
999,1744860928527,50439.58418273926,4150,0,1.4312500000000001,2948.9778900146484,2075,2,1.4312500000000001,57911.40733337402,4150,0,1.4312500000000001,1839.7786712646484,2075,2,1.4312500000000001,48836.86714172363,4150,0,1.425,6178.531799316406,4150,0,1.425,58117.082427978516,2075,2,1.425,11792.261154174805,4150,0,1.425,18384.079391479492,1952,2200,2200,2062,2200,2037,2200,1993,4206,2008,4161,2200,2011,2200,2200,2088,64,19.387754440307617,57,87,43,83,18.18181800842285,14,75.75757598876953,23,48,16,65.65657043457031,85.85858154296875,52.999996185302734,64,16665841664,4294963200,2609082368,244842496
999,1744860929527,50446.683349609375,2062.5,2,1.41875,2951.7603607177734,4125,0,1.41875,57914.59315490723,2062.5,2,1.41875,1844.9362030029297,2062.5,2,1.41875,48847.56965637207,4125,0,1.41875,6180.251510620117,2062.5,2,1.41875,58119.74771118164,2062.5,2,1.4125,11795.003829956055,2062.5,2,1.4125,18433.6036529541,1952,2200,2200,2062,2200,2037,2200,1993,4206,2008,4161,2200,2011,2200,2200,2088,4.081632614135742,4.95049524307251,23.232322692871094,46,12.121212005615234,9,2.941176414489746,1.0101009607315063,8,3.0303030014038086,69,4,22.77227783203125,21.428571701049805,44.4444465637207,23.232322692871094,16665841664,4294963200,2617339904,244842496
