Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744810491566,19064.269744873047,2000,2,0.8875,11022.078704833984,3000,2,0.8875,7622.7872314453125,2000,2,0.8875,9326.579208374023,3000,2,0.8875,17480.163650512695,2133.333333333333,2,0.8875,8706.085586547852,2133.333333333333,2,0.8875,7011.782150268555,2133.333333333333,2,0.8875,8853.553985595703,3200,1,0.8875,42540.109466552734,2200,2200,2200,2108,4216,2200,2200,2200,2200,2057,2200,1975,1994,3200,3700,2679,7.692307949066162,2.5641026496887207,2.5641026496887207,0,2.6315789222717285,2.5641026496887207,0,2.5641026496887207,2.5641026496887207,0,2.5641026496887207,2.6315789222717285,0,0,0,26.3157901763916,16665841664,4294963200,1190350848,1310720
999,1744810491566,19064.277252197266,2162.5,2,1.45,11022.079223632813,2883.333333333333,2,1.45,7622.78776550293,2162.5,2,1.45,9326.579803466797,4325,0,1.45,17480.16423034668,2133.333333333333,2,1.45,8706.086181640625,2133.333333333333,2,1.45,7011.78337097168,2133.333333333333,2,1.45,8853.572067260742,3200,1,1.45,42540.172760009766,2200,2200,2200,2108,4216,2200,2200,2200,2200,2057,2200,1975,1994,3200,3700,2679,7.692307949066162,2.5641026496887207,2.5641026496887207,0,2.6315789222717285,2.5641026496887207,0,2.5641026496887207,2.5641026496887207,0,2.5641026496887207,2.6315789222717285,0,0,0,26.3157901763916,16665841664,4294963200,1190350848,1310720
999,1744810492566,19066.10205078125,2112.5,2,1.4125,11032.265914916992,4225,0,1.4125,7625.706298828125,2112.5,2,1.4125,9327.728927612305,2112.5,2,1.4125,17483.09440612793,2200,2,1.41875,8708.391967773438,2200,2,1.41875,7013.996520996094,2200,2,1.41875,8860.935241699219,2200,2,1.41875,42583.94985961914,2200,2200,2200,2108,4216,2200,2200,2200,2200,2057,2200,1975,1994,3200,3700,2679,5.882352828979492,0.9803922176361084,19,10.784314155578613,6.796116352081299,11.88118839263916,14.851485252380371,18.81188201904297,11,0,23.52941131591797,6,0.9900990128517151,23.76237678527832,10.784314155578613,77.6698989868164,16665841664,4294963200,1288650752,1310720
999,1744810493566,19075.327239990234,3975,0,1.31875,11044.479476928711,3975,0,1.31875,7629.329055786133,3975,0,1.31875,9336.944290161133,3975,0,1.31875,17491.754928588867,3975,0,1.31875,8714.616149902344,3975,0,1.31875,7020.142028808594,3975,0,1.31875,8869.620071411133,3975,0,1.31875,42658.221420288086,2200,2200,2200,2108,4216,2200,2200,2200,2200,2057,2200,1975,1994,3200,3700,2679,90,19.191919326782227,7.920792102813721,95,88.8888931274414,50,11,4.95049524307251,38.613861083984375,19.387754440307617,11.111111640930176,17.8217830657959,65.3465347290039,89.1089096069336,28,97,16665841664,4294963200,1626427392,1310720
999,1744810494566,19079.847702026367,2037.5,2,1.4,11056.785232543945,4075,0,1.40625,7633.635406494141,2037.5,2,1.40625,9344.421859741211,4075,0,1.40625,17497.95231628418,4075,0,1.40625,8721.112258911133,4075,0,1.40625,7027.318115234375,4075,0,1.40625,8872.384826660156,4075,0,1.40625,42721.03332519531,2200,2200,2200,2108,4216,2200,2200,2200,2200,2057,2200,1975,1994,3200,3700,2679,13.265305519104004,20.2020206451416,9.090909004211426,53.46534729003906,33,41.41414260864258,29.29292869567871,6.060606002807617,35.35353469848633,27.272727966308594,38,30.000001907348633,49,22.22222328186035,47.47474670410156,98.98989868164063,16665841664,4294963200,1936965632,1310720
999,1744810495566,19081.72738647461,2112.5,2,1.4312500000000001,11069.932800292969,4225,0,1.4312500000000001,7636.716705322266,2112.5,2,1.4312500000000001,9351.818878173828,2816.666666666667,2,1.4312500000000001,17501.892501831055,2133.333333333333,2,1.4312500000000001,8722.893264770508,2133.333333333333,2,1.4312500000000001,7032.94987487793,3200,1,1.4312500000000001,8876.41130065918,3200,1,1.4312500000000001,42775.45732116699,2200,2200,2200,2108,4216,2200,2200,2200,2200,2057,2200,1975,1994,3200,3700,2679,11.224489212036133,8,8,57.57575607299805,7.920792102813721,9.90099048614502,48.48484802246094,28,19,10.891088485717773,28,5.0505051612854,7,15.000000953674316,13,99.00990295410156,16665841664,4294963200,2182111232,1310720
999,1744810496566,19082.42121887207,2087.5,2,1.4125,11083.409713745117,4175,0,1.4125,7637.790100097656,2087.5,2,1.4125,9354.079116821289,4175,0,1.4125,17503.078643798828,2087.5,2,1.4125,8724.35417175293,2783.333333333333,2,1.4125,7035.851425170898,2087.5,2,1.4125,8882.014633178711,4175,0,1.4125,42818.262603759766,2200,2200,2200,2108,4216,2200,2200,2200,2200,2057,2200,1975,1994,3200,3700,2679,6,7,8,3,7.070706844329834,6.060606002807617,21,44.4444465637207,7,16,0,10.1010103225708,7.920792102813721,6.060606002807617,6,100,16665841664,4294963200,2438348800,1310720
999,1744810497566,19083.405853271484,2075,2,1.39375,11096.845031738281,4150,0,1.39375,7639.203720092773,2075,2,1.39375,9356.832778930664,4150,0,1.39375,17504.843048095703,2075,2,1.39375,8726.250122070313,2075,2,1.39375,7038.077407836914,2075,2,1.39375,8887.803634643555,4150,0,1.39375,42862.668395996094,2200,2200,2200,2108,4216,2200,2200,2200,2200,2057,2200,1975,1994,3200,3700,2679,8.91089153289795,88.8888931274414,11,6.060606002807617,12,13.13131332397461,7,38,7,13.13131332397461,8,6.93069314956665,14.141413688659668,10.891088485717773,8,17.8217830657959,16665841664,4294963200,2473304064,1310720
999,1744810498566,19093.114669799805,4225,0,1.45625,11105.681945800781,2112.5,2,1.45625,7647.401107788086,2112.5,2,1.45625,9364.824462890625,4225,0,1.45625,17512.305953979492,2112.5,2,1.45625,8733.555953979492,2112.5,2,1.45,7044.651062011719,4225,0,1.45,8896.687713623047,4225,0,1.45,42937.558670043945,2200,2200,2200,2108,4216,2200,2200,2200,2200,2057,2200,1975,1994,3200,3700,2679,91.919189453125,73,71,20,85,23.232322692871094,13,24.24242401123047,65,84,15.306122779846191,70,75.75757598876953,92,18,20,16665841664,4294963200,2602586112,1310720
999,1744810499566,19098.534774780273,2200,2,1.4375,11109.894027709961,2200,2,1.4375,7650.044372558594,2200,2,1.4375,9368.942916870117,2200,2,1.4375,17522.90199279785,4150,0,1.4375,8736.031539916992,2075,2,1.4375,7046.267807006836,2075,2,1.4375,8898.727798461914,2075,2,1.4375,42984.559997558594,2200,2200,2200,2108,4216,2200,2200,2200,2200,2057,2200,1975,1994,3200,3700,2679,25.25252342224121,2.0202019214630127,2.0202019214630127,26,4,4.040403842926025,6,3,23.469388961791992,9,72,17.171716690063477,7,11.111111640930176,22.22222328186035,36,16665841664,4294963200,2610835456,1310720
