Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744881744423,28822.311614990234,2000,2,0.9125,27523.020919799805,3000,2,0.9125,13257.803009033203,2000,2,0.9125,20818.922119140625,2000,2,0.9125,23984.731079101563,2200,2,0.9125,28598.93536376953,2200,2,0.9125,11740.649642944336,2200,2,0.9125,38751.85134887695,2200,2,0.9125,42407.80220031738,3700,2200,2009,1972,2200,2200,4277,2044,2200,2200,1982,2041,4181,2200,2200,2648,0,2.4390242099761963,2.3809523582458496,4.761904716491699,2.4390242099761963,0,2.4390242099761963,0,0,4.761904716491699,2.4390242099761963,2.4390242099761963,7.317072868347168,0,2.4390242099761963,26.829269409179688,16665841664,4294963200,957526016,248774656
999,1744881744423,28822.312133789063,2162.5,2,1.45,27523.021484375,4325,0,1.45,13257.80355834961,2162.5,2,1.45,20818.92269897461,2162.5,2,1.45,23984.731689453125,2200,2,1.45,28598.935974121094,2200,2,1.45,11740.662002563477,2200,2,1.45,38751.86016845703,2200,2,1.45,42407.85675048828,3700,2200,2009,1972,2200,2200,4277,2044,2200,2200,1982,2041,4181,2200,2200,2648,0,2.4390242099761963,2.3809523582458496,4.761904716491699,2.4390242099761963,0,2.4390242099761963,0,0,4.761904716491699,2.4390242099761963,2.4390242099761963,7.317072868347168,0,2.4390242099761963,26.829269409179688,16665841664,4294963200,957526016,248774656
999,1744881745423,28823.890075683594,2075,2,1.45625,27526.770126342773,2766.666666666667,2,1.45625,13262.110824584961,4150,0,1.45625,20820.594940185547,2075,2,1.45625,23990.933670043945,4150,0,1.45625,28601.410430908203,2075,2,1.45625,11743.365997314453,4150,0,1.45625,38758.32814025879,4150,0,1.45625,42449.79991149902,3700,2200,2009,1972,2200,2200,4277,2044,2200,2200,1982,2041,4181,2200,2200,2648,0,26.213592529296875,11.764705657958984,1.9607844352722168,14.851485252380371,19.4174747467041,14.56310749053955,7.7669901847839355,26.213592529296875,9,38.235294342041016,8.73786449432373,10.784314155578613,34.31372833251953,11.764705657958984,0,16665841664,4294963200,1070186496,248774656
999,1744881746423,28829.321334838867,3975,0,1.30625,27533.565887451172,3975,0,1.30625,13268.554412841797,3975,0,1.30625,20827.052658081055,3975,0,1.30625,23999.666534423828,3975,0,1.30625,28610.336196899414,3975,0,1.30625,11752.813613891602,3975,0,1.30625,38766.33724975586,3975,0,1.30625,42520.570709228516,3700,2200,2009,1972,2200,2200,4277,2044,2200,2200,1982,2041,4181,2200,2200,2648,15.306122779846191,45,10.1010103225708,10,18.18181800842285,43.564353942871094,47,83.83838653564453,57.57575607299805,62.37623596191406,80.1980209350586,55,51,12.121212005615234,51,36,16665841664,4294963200,1332269056,248774656
999,1744881747424,28835.299255371094,4150,0,1.38125,27538.32164001465,4150,0,1.38125,13272.423034667969,2075,2,1.38125,20835.568069458008,4150,0,1.38125,24004.3016204834,2766.666666666667,2,1.38125,28621.06852722168,2075,2,1.38125,11759.509185791016,4150,0,1.38125,38772.126205444336,2766.666666666667,2,1.38125,42584.11358642578,3700,2200,2009,1972,2200,2200,4277,2044,2200,2200,1982,2041,4181,2200,2200,2648,21.212121963500977,17.171716690063477,1.9801980257034302,40.4040412902832,45,30.30303192138672,54.54545593261719,50,40,45.45454788208008,31,73,16.1616153717041,16,44,32,16665841664,4294963200,1584123904,248774656
999,1744881748424,28836.903732299805,2087.5,2,1.4,27547.52749633789,4175,0,1.4,13275.920288085938,2087.5,2,1.4,20841.665725708008,2087.5,2,1.4,24009.926834106445,2783.333333333333,2,1.4,28627.181228637695,4175,0,1.4,11761.449401855469,2087.5,2,1.4,38778.7537689209,2087.5,2,1.4,42637.880950927734,3700,2200,2009,1972,2200,2200,4277,2044,2200,2200,1982,2041,4181,2200,2200,2648,12.121212005615234,13.8613862991333,5.0505051612854,55,5,11,5.94059419631958,55,24.24242401123047,1,42,39,12,7,1.0101009607315063,72.44898223876953,16665841664,4294963200,1955168256,248774656
999,1744881749424,28838.25489807129,2200,2,1.41875,27553.399612426758,2200,2,1.41875,13277.064010620117,2200,2,1.41875,20846.128021240234,2200,2,1.41875,24010.992568969727,2100,2,1.41875,28640.51106262207,4200,0,1.41875,11762.831848144531,2100,2,1.41875,38780.28268432617,2100,2,1.41875,42682.72538757324,3700,2200,2009,1972,2200,2200,4277,2044,2200,2200,1982,2041,4181,2200,2200,2648,11,7,7.070706844329834,25,6,7,6.060606002807617,6.060606002807617,7,19.80198097229004,6.060606002807617,99,7,3,3,44.5544548034668,16665841664,4294963200,2131927040,248774656
999,1744881750424,28840.259246826172,2200,2,1.44375,27558.400177001953,2200,2,1.44375,13279.448486328125,2200,2,1.44375,20850.084106445313,2200,2,1.44375,24013.544921875,2112.5,2,1.44375,28653.325729370117,4225,0,1.44375,11764.004150390625,2112.5,2,1.44375,38783.77626037598,2112.5,2,1.44375,42729.90530395508,3700,2200,2009,1972,2200,2200,4277,2044,2200,2200,1982,2041,4181,2200,2200,2648,18.18181800842285,6.060606002807617,6.93069314956665,7,5,5.94059419631958,5,6.93069314956665,21,36.3636360168457,22,99.00990295410156,6.93069314956665,22.22222328186035,0.9900990128517151,41,16665841664,4294963200,2428682240,248774656
999,1744881751424,28846.62791442871,3975,0,1.3125,27566.97804260254,3975,0,1.3125,13285.413970947266,3975,0,1.3125,20857.64126586914,3975,0,1.3125,24020.135650634766,3975,0,1.3125,28663.362884521484,3975,0,1.3125,11772.419692993164,3975,0,1.3125,38789.78790283203,3975,0,1.3125,42800.40660095215,3700,2200,2009,1972,2200,2200,4277,2044,2200,2200,1982,2041,4181,2200,2200,2648,18,17.171716690063477,65,66,26.26262664794922,71.71717071533203,28.282827377319336,9.090909004211426,22.68041229248047,59.405941009521484,62.37623596191406,39.79591751098633,62,64,68.36734771728516,85.85858154296875,16665841664,4294963200,2486575104,248774656
999,1744881752424,28850.565155029297,2100,2,1.45,27572.649703979492,4200,0,1.45,13289.325286865234,2100,2,1.44375,20861.469314575195,2100,2,1.44375,24023.5352935791,2100,2,1.44375,28667.127380371094,2800,2,1.44375,11786.445709228516,4200,0,1.44375,38794.185958862305,2100,2,1.44375,42855.06692504883,3700,2200,2009,1972,2200,2200,4277,2044,2200,2200,1982,2041,4181,2200,2200,2648,20.2020206451416,26,38.613861083984375,37.37373733520508,6.060606002807617,33,100,5,6.93069314956665,33.333335876464844,29.59183692932129,6.93069314956665,4.040403842926025,40.594058990478516,24.75247573852539,35,16665841664,4294963200,2569142272,248774656
