Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744897887042,63328.24362182617,2200,2,0.85,43350.674224853516,2200,2,0.85,27374.73631286621,2133.333333333333,2,0.84375,34937.85388183594,3200,1,0.84375,52217.116455078125,2200,2,0.84375,46066.17088317871,2200,2,0.84375,29229.93864440918,2200,2,0.84375,58383.218505859375,2200,2,0.84375,35142.03518676758,2200,2200,3200,2015,4190,2200,2200,2200,4147,2200,2200,2046,2200,2200,1996,2860,0,2.857142925262451,0,0,2.777777910232544,2.777777910232544,2.857142925262451,2.777777910232544,27.77777862548828,2.857142925262451,0,2.857142925262451,0,0,0,0,16665841664,4294963200,961085440,249823232
999,1744897887042,63328.24377441406,2150,2,0.95,43350.674392700195,2150,2,0.95,27374.737594604492,2150,2,0.95,34937.86604309082,4300,0,0.95,52217.116760253906,2200,2,1.425,46066.17123413086,2200,2,1.425,29229.946807861328,2200,2,1.425,58383.2188873291,2200,2,1.425,35142.081787109375,2200,2200,3200,2015,4190,2200,2200,2200,4147,2200,2200,2046,2200,2200,1996,2860,0,2.857142925262451,0,0,2.777777910232544,2.777777910232544,2.857142925262451,2.777777910232544,27.77777862548828,2.857142925262451,0,2.857142925262451,0,0,0,0,16665841664,4294963200,961085440,249823232
999,1744897888042,63332.56335449219,4300,0,1.44375,43353.132553100586,2150,2,1.44375,27376.7352142334,2150,2,1.44375,34944.0887298584,2150,2,1.44375,52219.315673828125,2133.333333333333,2,1.44375,46068.616607666016,3200,1,1.44375,29237.66729736328,2133.333333333333,2,1.44375,58385.373107910156,2133.333333333333,2,1.44375,35184.88430786133,2200,2200,3200,2015,4190,2200,2200,2200,4147,2200,2200,2046,2200,2200,1996,2860,31.37255096435547,0.9803922176361084,5.882352828979492,7.7669901847839355,12,18.81188201904297,10.784314155578613,4.95049524307251,10.891088485717773,22.77227783203125,6.93069314956665,3.9215688705444336,50.98039627075195,14.705883026123047,5.882352828979492,22.54901885986328,16665841664,4294963200,1068711936,249823232
999,1744897889042,63344.087646484375,3975,0,1.3,43363.0997467041,3975,0,1.3,27385.2559967041,3975,0,1.3,34952.659118652344,3975,0,1.3,52228.94883728027,3975,0,1.3,46077.07954406738,3975,0,1.3,29242.50648498535,3975,0,1.3,58389.95602416992,3975,0,1.3,35260.956771850586,2200,2200,3200,2015,4190,2200,2200,2200,4147,2200,2200,2046,2200,2200,1996,2860,39.39393997192383,67,4,85.85858154296875,39.60396194458008,70,25.25252342224121,21.212121963500977,92,9.090909004211426,91.919189453125,30.000001907348633,37,42,62,72,16665841664,4294963200,1350987776,249823232
999,1744897890042,63348.66516113281,2075,2,1.3875,43367.28739929199,2087.5,2,1.3875,27390.02491760254,4175,0,1.3875,34965.03628540039,4175,0,1.3875,52233.611099243164,2087.5,2,1.3875,46082.28373718262,4175,0,1.3875,29247.814041137695,2087.5,2,1.3875,58396.27949523926,2087.5,2,1.3875,35321.96748352051,2200,2200,3200,2015,4190,2200,2200,2200,4147,2200,2200,2046,2200,2200,1996,2860,41.41414260864258,12.121212005615234,8.08080768585205,93,7,6.060606002807617,46.46464538574219,22,36.3636360168457,5,39.60396194458008,47,16,40,8,36,16665841664,4294963200,1790701568,249823232
999,1744897891042,63352.81196594238,4225,0,1.4375,43370.47169494629,2112.5,2,1.4375,27391.638305664063,2112.5,2,1.4375,34978.30488586426,4225,0,1.4375,52240.01713562012,2200,2,1.4375,46085.96447753906,2200,2,1.4312500000000001,29250.603088378906,2200,2,1.4312500000000001,58397.78762817383,2200,2,1.4312500000000001,35373.051208496094,2200,2200,3200,2015,4190,2200,2200,2200,4147,2200,2200,2046,2200,2200,1996,2860,5.0505051612854,1,6.060606002807617,100,7.070706844329834,6,21,6.060606002807617,10.891088485717773,6,53.53535461425781,30.000001907348633,8,7,36,29,16665841664,4294963200,1995333632,249823232
999,1744897892042,63353.995376586914,2087.5,2,1.4,43371.513763427734,2087.5,2,1.4,27394.990829467773,4175,0,1.40625,34991.75520324707,4175,0,1.40625,52242.45785522461,2087.5,2,1.40625,46092.52828979492,4175,0,1.40625,29253.794982910156,2087.5,2,1.40625,58399.44902038574,2087.5,2,1.40625,35420.7840423584,2200,2200,3200,2015,4190,2200,2200,2200,4147,2200,2200,2046,2200,2200,1996,2860,8.08080768585205,0,8.91089153289795,80,10,10.1010103225708,10.1010103225708,10,28.282827377319336,30.000001907348633,18,52.999996185302734,17,8,8.08080768585205,8.08080768585205,16665841664,4294963200,2211315712,249823232
999,1744897893042,63356.34001159668,3975,0,1.30625,43373.133056640625,3975,0,1.30625,27397.40397644043,3975,0,1.30625,35005.4150390625,3975,0,1.30625,52244.323974609375,3975,0,1.30625,46097.55772399902,3975,0,1.30625,29256.732955932617,3975,0,1.30625,58401.81335449219,3975,0,1.30625,35466.87609863281,2200,2200,3200,2015,4190,2200,2200,2200,4147,2200,2200,2046,2200,2200,1996,2860,16,10,8.08080768585205,17.171716690063477,16,14,23.76237678527832,12,17,91.919189453125,7.920792102813721,33,5.0505051612854,18,13.8613862991333,7.920792102813721,16665841664,4294963200,2255220736,249823232
999,1744897894042,63364.077407836914,2075,2,1.40625,43379.79071044922,2075,2,1.40625,27405.374618530273,4150,0,1.40625,35016.82942199707,4150,0,1.40625,52251.83808898926,4150,0,1.40625,46104.49575805664,2075,2,1.40625,29265.679428100586,2075,2,1.40625,58408.13917541504,2075,2,1.40625,35541.572982788086,2200,2200,3200,2015,4190,2200,2200,2200,4147,2200,2200,2046,2200,2200,1996,2860,13.265305519104004,74,9,17.171716690063477,70,83,76,11,93,95,26.26262664794922,12.121212005615234,79,79.7979736328125,78.78787994384766,12.244897842407227,16665841664,4294963200,2412675072,249823232
999,1744897895043,63371.81155395508,4250,0,1.425,43381.428619384766,2125,2,1.425,27406.7003326416,2125,2,1.425,35019.71846008301,2125,2,1.425,52260.97911071777,2200,2,1.425,46106.69374084473,2200,2,1.425,29268.36033630371,2200,2,1.425,58409.98937988281,2200,2,1.425,35585.225845336914,2200,2200,3200,2015,4190,2200,2200,2200,4147,2200,2200,2046,2200,2200,1996,2860,27.5510196685791,11.111111640930176,3.0303030014038086,4.040403842926025,2.97029709815979,3,23.232322692871094,3,8.08080768585205,15.15151596069336,63.6363639831543,16,0,12,36.633663177490234,4,16665841664,4294963200,2426392576,249823232
