Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744842622142,19792.60386657715,2200,2,1.4312500000000001,47734.93672180176,2200,2,1.4312500000000001,38696.39253234863,2200,2,1.4312500000000001,48906.55992126465,2200,2,1.4312500000000001,13134.806106567383,2137.5,2,1.4312500000000001,50463.25395202637,4275,0,1.4312500000000001,39441.790115356445,2137.5,2,1.4312500000000001,47277.76086425781,2137.5,2,1.4312500000000001,42583.00799560547,1916,3700,2200,2010,2200,2200,2195,2200,4280,2200,2200,2139,2200,2200,2200,2200,0,2.5641026496887207,0,2.5641026496887207,0,28.205129623413086,2.5641026496887207,2.5641026496887207,0,7.894736289978027,2.5641026496887207,2.6315789222717285,2.5641026496887207,0,0,2.5641026496887207,16665841664,4294963200,1002221568,230948864
999,1744842622142,19792.604461669922,2200,2,1.4312500000000001,47734.93748474121,2200,2,1.4312500000000001,38696.39326477051,2200,2,1.4312500000000001,48906.57205200195,2200,2,1.4312500000000001,13134.806869506836,2137.5,2,1.4312500000000001,50463.25650024414,4275,0,1.4312500000000001,39441.7908782959,2137.5,2,1.4312500000000001,47277.77160644531,2850,2,1.4312500000000001,42583.06694030762,1916,3700,2200,2010,2200,2200,2195,2200,4280,2200,2200,2139,2200,2200,2200,2200,0,2.5641026496887207,0,2.5641026496887207,0,28.205129623413086,2.5641026496887207,2.5641026496887207,0,7.894736289978027,2.5641026496887207,2.6315789222717285,2.5641026496887207,0,0,2.5641026496887207,16665841664,4294963200,1002221568,230948864
999,1744842623142,19794.520706176758,2200,2,1.425,47744.78628540039,2200,2,1.425,38699.180725097656,2200,2,1.425,48909.09326171875,2200,2,1.425,13136.718566894531,4175,0,1.425,50465.53887939453,2087.5,2,1.425,39444.24819946289,2087.5,2,1.425,47284.72431945801,2087.5,2,1.425,42626.49104309082,1916,3700,2200,2010,2200,2200,2195,2200,4280,2200,2200,2139,2200,2200,2200,2200,15.686275482177734,76.23762512207031,0,21.359222412109375,6.796116352081299,8.73786449432373,9.803921699523926,14.851485252380371,26.47058868408203,1.9417475461959839,7.7669901847839355,11.764705657958984,14,30.39215850830078,0.9708737730979919,0,16665841664,4294963200,1090564096,230948864
999,1744842624142,19802.56561279297,2025,2,1.3625,47747.504638671875,4050,0,1.3625,38707.86697387695,4050,0,1.3625,48917.6134185791,4050,0,1.3625,13146.228408813477,4050,0,1.35625,50469.34150695801,4050,0,1.35625,39452.59167480469,4050,0,1.35625,47294.84909057617,4050,0,1.35625,42696.71235656738,1916,3700,2200,2010,2200,2200,2195,2200,4280,2200,2200,2139,2200,2200,2200,2200,23.469388961791992,5.0505051612854,2,10.1010103225708,32,8.163265228271484,79,54.000003814697266,83,77.77777862548828,57.731956481933594,31.632652282714844,9.90099048614502,45.36082458496094,63,19,16665841664,4294963200,1365299200,230948864
999,1744842625142,19805.03352355957,2087.5,2,1.41875,47751.3409576416,2087.5,2,1.41875,38714.117279052734,4175,0,1.41875,48924.94485473633,4175,0,1.41875,13150.8291015625,2087.5,2,1.41875,50473.6672668457,4175,0,1.41875,39458.28298950195,2087.5,2,1.41875,47305.460388183594,4175,0,1.41875,42754.82861328125,1916,3700,2200,2010,2200,2200,2195,2200,4280,2200,2200,2139,2200,2200,2200,2200,10.204081535339355,25,1,10,14.141413688659668,3,49,5.0505051612854,63,68.6868667602539,27.000001907348633,43,6.060606002807617,76.53060913085938,13.13131332397461,15.000000953674316,16665841664,4294963200,1559048192,230948864
999,1744842626142,19812.745727539063,2766.666666666667,2,1.4312500000000001,47752.795349121094,4150,0,1.4312500000000001,38715.44721984863,2075,2,1.4312500000000001,48931.39279174805,4150,0,1.4312500000000001,13152.99203491211,4150,0,1.4312500000000001,50479.73634338379,4150,0,1.4312500000000001,39464.84718322754,2766.666666666667,2,1.4312500000000001,47309.28388977051,4150,0,1.4312500000000001,42803.849380493164,1916,3700,2200,2010,2200,2200,2195,2200,4280,2200,2200,2139,2200,2200,2200,2200,56.12244415283203,7.070706844329834,3.0303030014038086,14,4.040403842926025,22,48.48484802246094,11,10.891088485717773,46.53465270996094,10,30.000001907348633,7.070706844329834,19.191919326782227,5.0505051612854,8,16665841664,4294963200,1928015872,230948864
999,1744842627142,19813.557723999023,2137.5,2,1.45625,47763.74562072754,4275,0,1.45,38716.12713623047,2137.5,2,1.45,48938.32095336914,2137.5,2,1.45,13154.104125976563,2200,2,1.45,50483.05519104004,2200,2,1.45,39466.40180969238,2200,2,1.45,47310.45277404785,2200,2,1.45,42844.278060913086,1916,3700,2200,2010,2200,2200,2195,2200,4280,2200,2200,2139,2200,2200,2200,2200,2,6,4,3.0303030014038086,5.882352828979492,22,7,3,3,54.000003814697266,2.97029709815979,3,4,2.0202019214630127,3.9603960514068604,72.91667175292969,16665841664,4294963200,1965363200,230948864
1000,1744842628143,19814.246185302734,2125,2,1.4312500000000001,47775.116149902344,4250,0,1.4312500000000001,38716.83154296875,2125,2,1.4312500000000001,48939.87286376953,2125,2,1.4312500000000001,13158.897354125977,2200,2,1.4312500000000001,50483.895263671875,2200,2,1.4312500000000001,39467.910400390625,2200,2,1.4312500000000001,47311.79525756836,2200,2,1.4312500000000001,42880.874282836914,1916,3700,2200,2010,2200,2200,2195,2200,4280,2200,2200,2139,2200,2200,2200,2200,0,7,6.93069314956665,6,6.060606002807617,0,6,6,6.060606002807617,10,35,6.93069314956665,9,6.93069314956665,6,78.35051727294922,16665841664,4294963200,1989668864,230948864
999,1744842629143,19821.585403442383,2125,2,1.45625,47780.02780151367,4250,0,1.45625,38719.838638305664,2833.333333333333,2,1.45625,48940.177185058594,2125,2,1.45625,13164.047866821289,2200,2,1.4312500000000001,50484.32945251465,2200,2,1.4312500000000001,39468.73571777344,2200,2,1.4312500000000001,47312.57791137695,2200,2,1.4312500000000001,42917.1794128418,1916,3700,2200,2010,2200,2200,2195,2200,4280,2200,2200,2139,2200,2200,2200,2200,51.51515197753906,4,20.2020206451416,2,3,0,2.0202019214630127,1,2.97029709815979,3,37,2.0202019214630127,3,2.0202019214630127,3,29.59183692932129,16665841664,4294963200,2271412224,230948864
999,1744842630143,19824.749450683594,4125,0,1.425,47791.457092285156,4125,0,1.425,38721.660736083984,2062.5,2,1.425,48943.13948059082,4125,0,1.425,13169.49136352539,4125,0,1.425,50487.002182006836,2750,2,1.425,39472.61865234375,4125,0,1.425,47314.89579772949,2062.5,2,1.425,42962.407150268555,1916,3700,2200,2010,2200,2200,2195,2200,4280,2200,2200,2139,2200,2200,2200,2200,13.13131332397461,6,10.891088485717773,16,17.8217830657959,10,8.91089153289795,5.94059419631958,15.000000953674316,21,44,22,33.66336441040039,21,23.232322692871094,80.85106658935547,16665841664,4294963200,2316845056,230948864
