Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744881123882,27361.261840820313,2133.333333333333,2,0.91875,27340.240768432617,3200,1,0.91875,13116.652099609375,2133.333333333333,2,0.91875,19288.125274658203,2000,2,0.95625,23724.715209960938,2200,2,0.95625,28222.16990661621,2200,2,0.95625,11600.358993530273,2200,2,0.95625,37365.86769104004,2200,2,0.95625,30889.292205810547,1887,3188,2129,2129,2161,2194,2123,2007,2128,2126,2192,2195,2023,2190,2086,3193,3.7037036418914795,3.5714287757873535,3.7037036418914795,3.7037036418914795,3.7037036418914795,3.7037036418914795,0,0,0,0,0,7.407407283782959,3.7037036418914795,0,0,3.5714287757873535,16665841664,4294963200,892825600,248774656
999,1744881123882,27361.262145996094,2133.333333333333,2,0.9125,27340.24089050293,3200,1,0.9125,13116.652221679688,2133.333333333333,2,0.9125,19288.129486083984,2133.333333333333,2,0.9125,23724.715408325195,2200,2,0.9125,28222.174057006836,2200,2,0.95625,11600.359176635742,2200,2,0.95625,37365.86787414551,2200,2,0.95625,30889.319396972656,1887,3188,2129,2129,2161,2194,2123,2007,2128,2126,2192,2195,2023,2190,2086,3193,3.7037036418914795,3.5714287757873535,3.7037036418914795,3.7037036418914795,3.7037036418914795,3.7037036418914795,0,0,0,0,0,7.407407283782959,3.7037036418914795,0,0,3.5714287757873535,16665841664,4294963200,892825600,248774656
999,1744881124882,27368.488708496094,3975,0,1.3125,27349.767349243164,4025,0,1.3125,13122.497604370117,4025,0,1.30625,19292.948440551758,4025,0,1.30625,23732.334426879883,4025,0,1.30625,28225.430389404297,2012.5,2,1.30625,11607.473510742188,4025,0,1.30625,37371.988693237305,4025,0,1.30625,30952.284912109375,1887,3188,2129,2129,2161,2194,2123,2007,2128,2126,2192,2195,2023,2190,2086,3193,27.000001907348633,83.83838653564453,26.26262664794922,26.26262664794922,63.6363639831543,0,0,60.60606384277344,51,28.282827377319336,26,18,68.36734771728516,0,44,1.0101009607315063,16665841664,4294963200,1149820928,248774656
999,1744881125882,27374.71450805664,2087.5,2,1.41875,27356.11981201172,2783.333333333333,2,1.41875,13127.23258972168,2087.5,2,1.41875,19304.645126342773,4175,0,1.41875,23737.305068969727,2087.5,2,1.41875,28227.40023803711,2087.5,2,1.41875,11614.628631591797,4175,0,1.41875,37379.0126953125,2087.5,2,1.41875,31015.2970123291,1887,3188,2129,2129,2161,2194,2123,2007,2128,2126,2192,2195,2023,2190,2086,3193,11.340206146240234,46.46464538574219,12.121212005615234,87.8787841796875,33.333335876464844,7,0,65.3465347290039,32.3232307434082,16,21.428571701049805,9,66.33663177490234,1,52.999996185302734,12.121212005615234,16665841664,4294963200,1248653312,248774656
999,1744881126882,27376.31121826172,2075,2,1.39375,27362.56867980957,2075,2,1.39375,13128.60498046875,2075,2,1.39375,19316.722686767578,4150,0,1.39375,23743.697875976563,2766.666666666667,2,1.39375,28229.48666381836,2075,2,1.39375,11621.863586425781,4150,0,1.39375,37387.09895324707,4150,0,1.39375,31073.90219116211,1887,3188,2129,2129,2161,2194,2123,2007,2128,2126,2192,2195,2023,2190,2086,3193,6.122448921203613,62.37623596191406,7.920792102813721,100,58,3.0303030014038086,1.9801980257034302,72,1,0,5.94059419631958,11,65,0.9900990128517151,5,1.9801980257034302,16665841664,4294963200,1364766720,248774656
999,1744881127882,27381.134063720703,2100,2,1.4,27368.01055908203,2100,2,1.4,13129.676559448242,2100,2,1.4,19328.574310302734,4200,0,1.4,23748.149490356445,2200,2,1.4,28233.547134399414,2200,2,1.4,11626.179885864258,2200,2,1.4,37392.71464538574,2200,2,1.4,31129.353271484375,1887,3188,2129,2129,2161,2194,2123,2007,2128,2126,2192,2195,2023,2190,2086,3193,47.47474670410156,47,4,99.00990295410156,41,36,20.2020206451416,50,1,1,4,3.0303030014038086,10.1010103225708,2,0.9900990128517151,5,16665841664,4294963200,1375604736,248774656
999,1744881128882,27386.233673095703,2125,2,1.4375,27368.490127563477,2125,2,1.4375,13129.874298095703,2125,2,1.4375,19340.983108520508,4250,0,1.4375,23751.04266357422,2200,2,1.4375,28238.676818847656,2200,2,1.4375,11627.810546875,2200,2,1.4375,37399.74696350098,2200,2,1.4375,31178.454818725586,1887,3188,2129,2129,2161,2194,2123,2007,2128,2126,2192,2195,2023,2190,2086,3193,42,0,1,100,22,1,2,62.626258850097656,1,0.9900990128517151,2.0202019214630127,43,8,5.0505051612854,0,2.0202019214630127,16665841664,4294963200,1391599616,248774656
1000,1744881129882,27387.051498413086,2112.5,2,1.40625,27368.966049194336,2112.5,2,1.40625,13130.011947631836,2112.5,2,1.40625,19353.80242919922,4225,0,1.40625,23751.61312866211,2200,2,1.40625,28242.865158081055,2200,2,1.40625,11629.145141601563,2200,2,1.40625,37404.7940826416,2200,2,1.40625,31217.85235595703,1887,3188,2129,2129,2161,2194,2123,2007,2128,2126,2192,2195,2023,2190,2086,3193,5,3,0,99.00990295410156,0,0,0,43,0,0,2,36,7.920792102813721,0.9900990128517151,0,1,16665841664,4294963200,1399599104,248774656
999,1744881130883,27387.257919311523,2112.5,2,1.4312500000000001,27369.12239074707,2112.5,2,1.4312500000000001,13130.130249023438,2112.5,2,1.4312500000000001,19366.896408081055,4225,0,1.4312500000000001,23751.67153930664,2112.5,2,1.4312500000000001,28245.433319091797,2816.666666666667,2,1.4312500000000001,11629.248611450195,2112.5,2,1.4312500000000001,37408.82894897461,4225,0,1.4312500000000001,31252.04554748535,1887,3188,2129,2129,2161,2194,2123,2007,2128,2126,2192,2195,2023,2190,2086,3193,0,0,1,98.98989868164063,0,0,0,29,0,0,0,19,0,0,1,2,16665841664,4294963200,1399599104,248774656
999,1744881131883,27387.621185302734,2125,2,1.4375,27369.289825439453,2125,2,1.4375,13130.541458129883,2125,2,1.4375,19379.966400146484,4250,0,1.4375,23751.925827026367,2200,2,1.4375,28248.32598876953,2200,2,1.4375,11629.345809936523,2200,2,1.4375,37411.756423950195,2200,2,1.4375,31286.097763061523,1887,3188,2129,2129,2161,2194,2123,2007,2128,2126,2192,2195,2023,2190,2086,3193,1.0101009607315063,0,2.97029709815979,100,1.0101009607315063,0.9900990128517151,0.9900990128517151,19.80198097229004,0.9900990128517151,1,0,27.7227725982666,0,1,0,1,16665841664,4294963200,1399619584,248774656
