Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744925141861,54433.280181884766,2200,2,0.84375,8155.854782104492,2200,2,0.84375,52061.62353515625,2200,2,0.84375,5426.52717590332,2200,2,0.84375,39241.54962158203,2200,2,0.84375,8304.402099609375,2200,2,0.84375,56488.61471557617,2200,2,0.84375,20616.961013793945,2200,2,0.84375,58904.39486694336,2129,3190,2119,2127,2195,2194,2194,2019,2059,2127,2150,2136,2165,1997,2142,3193,3.3333334922790527,0,6.25,3.3333334922790527,3.22580623626709,6.25,6.45161247253418,0,3.3333334922790527,10,3.3333334922790527,3.22580623626709,0,0,3.3333334922790527,3.3333334922790527,16665841664,4294963200,880926720,266600448
999,1744925141861,54433.2804107666,2200,2,0.84375,8155.855010986328,2200,2,0.84375,52061.62365722656,2200,2,0.84375,5426.530426025391,2200,2,0.84375,39241.55137634277,2200,2,0.84375,8304.40219116211,2200,2,0.84375,56488.614822387695,2200,2,0.84375,20616.961166381836,2200,2,0.85,58904.42010498047,2129,3190,2119,2127,2195,2194,2194,2019,2059,2127,2150,2136,2165,1997,2142,3193,3.3333334922790527,0,6.25,3.3333334922790527,3.22580623626709,6.25,6.45161247253418,0,3.3333334922790527,10,3.3333334922790527,3.22580623626709,0,0,3.3333334922790527,3.3333334922790527,16665841664,4294963200,881442816,266600448
999,1744925142861,54439.68151855469,4025,0,1.34375,8162.724960327148,4025,0,1.34375,52064.635986328125,4025,0,1.34375,5430.586227416992,4025,0,1.34375,39248.37210083008,4025,0,1.34375,8315.686706542969,4025,0,1.34375,56495.83721923828,4025,0,1.34375,20620.304763793945,2012.5,2,1.34375,58964.73667907715,2129,3190,2119,2127,2195,2194,2194,2019,2059,2127,2150,2136,2165,1997,2142,3193,4,0,27.835050582885742,3,54.000003814697266,31.95876121520996,67.67676544189453,9,4,31,16.1616153717041,80,0.9900990128517151,31.313129425048828,58.58585739135742,63.6363639831543,16665841664,4294963200,1143840768,266600448
999,1744925143861,54443.95854187012,2112.5,2,1.425,8169.409042358398,4200,0,1.425,52072.62803649902,2100,2,1.425,5436.102386474609,2100,2,1.425,39253.0721282959,2100,2,1.425,8322.489456176758,2100,2,1.425,56500.380935668945,2100,2,1.425,20629.531478881836,4200,0,1.425,59027.60220336914,2129,3190,2119,2127,2195,2194,2194,2019,2059,2127,2150,2136,2165,1997,2142,3193,42.85714340209961,3,69,8.08080768585205,39.39393997192383,18.18181800842285,42,28.282827377319336,9,51.51515197753906,12,45.45454788208008,7,61.386138916015625,1.0101009607315063,61.61616516113281,16665841664,4294963200,1256607744,266600448
989,1744925144871,54446.198989868164,2012.5,2,1.34375,8174.826309204102,4025,0,1.34375,52079.85516357422,4025,0,1.34375,5443.025665283203,4025,0,1.34375,39259.62892150879,4025,0,1.34375,8325.449630737305,4050,0,1.34375,56504.604904174805,4050,0,1.34375,20641.4228515625,4050,0,1.34375,59088.981704711914,2129,3190,2119,2127,2195,2194,2194,2019,2059,2127,2150,2136,2165,1997,2142,3193,15.000000953674316,24,57.843135833740234,0.9900990128517151,13,27.45098114013672,40.594058990478516,8.91089153289795,15.000000953674316,68.62745666503906,54.000003814697266,1.9607844352722168,5.94059419631958,93,6.93069314956665,28.712871551513672,16665841664,4294963200,1461239808,266600448
999,1744925145861,54447.14178466797,2112.5,2,1.41875,8178.644378662109,4225,0,1.41875,52084.071853637695,2112.5,2,1.41875,5446.958267211914,2112.5,2,1.41875,39263.68754577637,2112.5,2,1.41875,8329.197738647461,2112.5,2,1.41875,56510.184341430664,2112.5,2,1.41875,20653.234329223633,4225,0,1.41875,59140.81979370117,2129,3190,2119,2127,2195,2194,2194,2019,2059,2127,2150,2136,2165,1997,2142,3193,4.081632614135742,36.3636360168457,35.71428680419922,0,35.6435661315918,33,51.020408630371094,31.632652282714844,2.040816307067871,34.34343338012695,4,0,3.0612244606018066,68.36734771728516,1,0,16665841664,4294963200,1475432448,266600448
999,1744925146861,54453.60919189453,4225,0,1.4125,8182.530563354492,2112.5,2,1.4125,52089.79844665527,2112.5,2,1.4125,5447.3365478515625,2112.5,2,1.4125,39268.43811035156,2112.5,2,1.4125,8335.140411376953,2112.5,2,1.4125,56514.1604309082,4225,0,1.4125,20660.07699584961,2112.5,2,1.4125,59193.43272399902,2129,3190,2119,2127,2195,2194,2194,2019,2059,2127,2150,2136,2165,1997,2142,3193,51.020408630371094,33,49.50495147705078,0,44,53.53535461425781,35,1.0101009607315063,2,0,1.0101009607315063,2,1,51.48514938354492,1.0101009607315063,0,16665841664,4294963200,1476980736,266600448
999,1744925147861,54467.02291870117,4300,0,1.45625,8183.44026184082,2866.666666666667,2,1.45625,52090.14581298828,2150,2,1.45625,5447.5025634765625,2150,2,1.45625,39269.18127441406,2200,2,1.45625,8336.392120361328,2200,2,1.45625,56516.80142211914,2200,2,1.45625,20660.6456451416,2200,2,1.45625,59227.86030578613,2129,3190,2119,2127,2195,2194,2194,2019,2059,2127,2150,2136,2165,1997,2142,3193,99,6.060606002807617,1.0101009607315063,0,0,7,20.79207992553711,1.9801980257034302,0,0,4,1,1.9801980257034302,0,0.9900990128517151,0,16665841664,4294963200,1476575232,266600448
999,1744925148861,54480.14274597168,4350,0,1.44375,8183.607131958008,2866.666666666667,2,1.44375,52091.63609313965,2150,2,1.44375,5447.6439208984375,2150,2,1.44375,39270.519454956055,2200,2,1.44375,8339.424713134766,2200,2,1.44375,56520.17677307129,2200,2,1.44375,20660.809112548828,2200,2,1.4875,59265.25518798828,2129,3190,2119,2127,2195,2194,2194,2019,2059,2127,2150,2136,2165,1997,2142,3193,100,0,12,0.9900990128517151,0.9900990128517151,25,27.272727966308594,0,0,1,10,0,0,1,0,0,16665841664,4294963200,1477922816,266600448
999,1744925149861,54493.3025970459,4275,0,1.41875,8183.709091186523,2850,2,1.41875,52092.12925720215,2137.5,2,1.41875,5447.769088745117,2137.5,2,1.41875,39272.633728027344,3200,1,1.41875,8341.427322387695,2133.333333333333,2,1.425,56521.939025878906,2133.333333333333,2,1.425,20660.945999145508,2133.333333333333,2,1.425,59299.13069152832,2129,3190,2119,2127,2195,2194,2194,2019,2059,2127,2150,2136,2165,1997,2142,3193,99.00990295410156,0,4,0,0,16,12.87128734588623,0,0,0,20,0.9900990128517151,1.9801980257034302,1,1,0,16665841664,4294963200,1476341760,266600448
