Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744898621149,65488.38131713867,2200,2,0.85,44152.662521362305,2200,2,0.85,28256.298934936523,2200,2,0.85,36221.31687927246,2200,2,0.85,53885.2801361084,2200,2,0.85,46848.033950805664,2200,2,0.85,30242.096145629883,2200,2,0.85,59991.4548034668,2200,2,0.85,52326.87309265137,2127,3193,2175,2156,2195,2070,2079,1994,2129,2008,2195,2158,2193,1952,2192,2168,3.846153974533081,8,3.7037036418914795,0,3.846153974533081,0,3.846153974533081,3.846153974533081,0,7.142857551574707,0,3.846153974533081,3.846153974533081,3.846153974533081,0,3.846153974533081,16665841664,4294963200,895070208,252182528
999,1744898621149,65488.38145446777,2200,2,0.85,44152.66584777832,2200,2,0.85,28256.299102783203,2200,2,0.85,36221.31703186035,2200,2,0.85,53885.28353881836,2200,2,0.85,46848.034118652344,2200,2,0.85,30242.096389770508,2200,2,0.85,59991.45495605469,2200,2,0.85,52326.90057373047,2127,3193,2175,2156,2195,2070,2079,1994,2129,2008,2195,2158,2193,1952,2192,2168,3.846153974533081,8,3.7037036418914795,0,3.846153974533081,0,3.846153974533081,3.846153974533081,0,7.142857551574707,0,3.846153974533081,3.846153974533081,3.846153974533081,0,3.846153974533081,16665841664,4294963200,895070208,252182528
999,1744898622150,65493.45608520508,4050,0,1.3625,44157.26921081543,2025,2,1.3625,28259.222106933594,2025,2,1.3625,36227.82336425781,4050,0,1.3625,53891.192642211914,4050,0,1.3625,46854.36137390137,4050,0,1.3625,30252.47120666504,4050,0,1.3625,59997.38851928711,4050,0,1.3625,52387.31690979004,2127,3193,2175,2156,2195,2070,2079,1994,2129,2008,2195,2158,2193,1952,2192,2168,28,35,0,0,36.08247375488281,49.50495147705078,77,0,28.125,59.5959587097168,27.000001907348633,16.1616153717041,21,52.04081726074219,17.346939086914063,0,16665841664,4294963200,1112576000,252182528
999,1744898623150,65500.10494995117,4175,0,1.4312500000000001,44162.308654785156,2087.5,2,1.4312500000000001,28266.041397094727,4175,0,1.4312500000000001,36232.38122558594,2087.5,2,1.4312500000000001,53898.93795776367,2783.333333333333,2,1.4312500000000001,46860.316833496094,2087.5,2,1.4312500000000001,30264.10499572754,4175,0,1.4312500000000001,60001.133712768555,2087.5,2,1.4312500000000001,52451.98188781738,2127,3193,2175,2156,2195,2070,2079,1994,2129,2008,2195,2158,2193,1952,2192,2168,44.4444465637207,29.59183692932129,45,10,73,56.56565475463867,98,10,32,37.37373733520508,1.9801980257034302,6.060606002807617,5.0505051612854,27.272727966308594,31.683168411254883,25,16665841664,4294963200,1267847168,252182528
999,1744898624150,65505.84510803223,4025,0,1.34375,44167.42288208008,4025,0,1.34375,28270.088790893555,4025,0,1.34375,36238.09718322754,4025,0,1.34375,53905.48449707031,4025,0,1.34375,46866.10823059082,4025,0,1.34375,30275.939239501953,4025,0,1.34375,60002.687728881836,2012.5,2,1.34375,52511.9383392334,2127,3193,2175,2156,2195,2070,2079,1994,2129,2008,2195,2158,2193,1952,2192,2168,22.22222328186035,4.040403842926025,40,53.53535461425781,61.61616516113281,38.613861083984375,99,7.070706844329834,5,3,1,18,1.0101009607315063,1.9801980257034302,43,52.475250244140625,16665841664,4294963200,1452871680,252182528
999,1744898625150,65510.955642700195,4200,0,1.41875,44171.54069519043,2100,2,1.41875,28275.01075744629,2100,2,1.41875,36242.34233093262,2100,2,1.41875,53910.490478515625,2100,2,1.41875,46871.05879211426,2100,2,1.41875,30283.299224853516,2100,2,1.41875,60008.25053405762,4200,0,1.41875,52566.845138549805,2127,3193,2175,2156,2195,2070,2079,1994,2129,2008,2195,2158,2193,1952,2192,2168,0,3.9215688705444336,48.48484802246094,37.62376403808594,40.4040412902832,0,59.5959587097168,4,3,2,9.090909004211426,51.48514938354492,3.9603960514068604,38,55.55555725097656,40.4040412902832,16665841664,4294963200,1465257984,252182528
999,1744898626150,65516.24168395996,2200,2,1.425,44171.86805725098,2200,2,1.425,28279.35659790039,2200,2,1.425,36247.63693237305,2200,2,1.425,53913.92155456543,2100,2,1.425,46875.51251220703,2100,2,1.425,30284.408157348633,2100,2,1.425,60020.65977478027,4200,0,1.425,52617.73306274414,2127,3193,2175,2156,2195,2070,2079,1994,2129,2008,2195,2158,2193,1952,2192,2168,0,2.0202019214630127,41,48.979591369628906,2.97029709815979,0,0.9900990128517151,2,2,3,30.000001907348633,40.4040412902832,1,100,48.51485061645508,0,16665841664,4294963200,1474543616,252182528
999,1744898627150,65518.56896972656,4200,0,1.4312500000000001,44172.001892089844,2800,2,1.4312500000000001,28279.633270263672,2100,2,1.4312500000000001,36247.94731140137,2100,2,1.4312500000000001,53914.66264343262,2100,2,1.4312500000000001,46877.447677612305,2100,2,1.4312500000000001,30285.555450439453,2100,2,1.4312500000000001,60033.85333251953,4200,0,1.4312500000000001,52652.11196899414,2127,3193,2175,2156,2195,2070,2079,1994,2129,2008,2195,2158,2193,1952,2192,2168,10,0,0,1,1,1,0,70.29703521728516,0,0,4,12,1,30.000001907348633,16,0,16665841664,4294963200,1449484288,252182528
999,1744898628150,65519.31002807617,2000,2,1.45,44175.91563415527,3000,2,1.45,28279.787078857422,2000,2,1.45,36249.051177978516,2000,2,1.45,53914.841537475586,2112.5,2,1.45,46878.601974487305,2112.5,2,1.45,30286.65870666504,2112.5,2,1.45,60046.82273864746,4225,0,1.45,52687.67958068848,2127,3193,2175,2156,2195,2070,2079,1994,2129,2008,2195,2158,2193,1952,2192,2168,4.040403842926025,27.272727966308594,0,0,2,1,1,67.67676544189453,1.9801980257034302,8,0,0,0,32,2.97029709815979,0,16665841664,4294963200,1449484288,252182528
990,1744898629160,65519.9998626709,2200,2,1.4125,44178.30293273926,2200,2,1.4125,28280.13279724121,2200,2,1.4125,36250.65515136719,2200,2,1.4125,53915.035873413086,2100,2,1.4125,46879.776626586914,2100,2,1.4125,30288.332748413086,2100,2,1.4125,60059.91807556152,4200,0,1.4125,52723.24978637695,2127,3193,2175,2156,2195,2070,2079,1994,2129,2008,2195,2158,2193,1952,2192,2168,5.94059419631958,15.841584205627441,0,6.86274528503418,0.9900990128517151,0,0,99.00990295410156,1.9801980257034302,7.920792102813721,0.9900990128517151,0.9900990128517151,9.90099048614502,0,0,0,16665841664,4294963200,1449484288,252182528
999,1744898630150,65522.58233642578,2075,2,1.40625,44178.45979309082,2075,2,1.40625,28280.241439819336,2075,2,1.40625,36253.603271484375,4150,0,1.40625,53915.21144104004,2075,2,1.40625,46882.34864807129,4150,0,1.40625,30289.542190551758,2075,2,1.40625,60072.879653930664,4150,0,1.40625,52760.225189208984,2127,3193,2175,2156,2195,2070,2079,1994,2129,2008,2195,2158,2193,1952,2192,2168,20.2020206451416,0,0,26.26262664794922,1.0204081535339355,15.15151596069336,1.0101009607315063,100,1.0101009607315063,0,0,1,2.0202019214630127,1.0101009607315063,1,0,16665841664,4294963200,1448513536,252182528
999,1744898631150,65524.97538757324,2112.5,2,1.45625,44178.6242980957,2112.5,2,1.45625,28280.379928588867,2112.5,2,1.45625,36256.0309753418,4225,0,1.45625,53915.37777709961,2112.5,2,1.4625000000000001,46883.323013305664,2112.5,2,1.4625000000000001,30290.649932861328,2112.5,2,1.4625000000000001,60085.82989501953,4225,0,1.4625000000000001,52794.584228515625,2127,3193,2175,2156,2195,2070,2079,1994,2129,2008,2195,2158,2193,1952,2192,2168,22,0.9900990128517151,0,19.80198097229004,1.9801980257034302,2.97029709815979,1,99.00990295410156,0,0,1,0,0.9900990128517151,0,0,0.9900990128517151,16665841664,4294963200,1446895616,252182528
1000,1744898632150,65525.092849731445,2200,2,1.4375,44178.72607421875,2200,2,1.4375,28280.512115478516,2200,2,1.4375,36256.84468078613,2200,2,1.4375,53915.54556274414,2112.5,2,1.4375,46883.42922973633,2112.5,2,1.4375,30291.823822021484,2112.5,2,1.4375,60099.38276672363,4225,0,1.4375,52824.643463134766,2127,3193,2175,2156,2195,2070,2079,1994,2129,2008,2195,2158,2193,1952,2192,2168,0.9900990128517151,1,0,5.0505051612854,1.0101009607315063,0,0.9900990128517151,100,1,0,0,0,0,0.9900990128517151,0,0,16665841664,4294963200,1444065280,252182528
999,1744898633151,65527.857345581055,2000,2,1.425,44178.822326660156,3000,2,1.425,28280.654220581055,2000,2,1.425,36258.33517456055,2000,2,1.4312500000000001,53916.26541137695,2100,2,1.4312500000000001,46883.53414916992,2100,2,1.4312500000000001,30292.949188232422,2100,2,1.4312500000000001,60112.58856201172,4200,0,1.4312500000000001,52858.488540649414,2127,3193,2175,2156,2195,2070,2079,1994,2129,2008,2195,2158,2193,1952,2192,2168,0,0,0,12,3,0,0,99,1,0,1,0.9900990128517151,0,1.0101009607315063,19.191919326782227,0.9900990128517151,16665841664,4294963200,1441497088,252182528
999,1744898634151,65528.00390625,2133.333333333333,2,1.4625000000000001,44178.884841918945,2133.333333333333,2,1.4375,28280.79473876953,2133.333333333333,2,1.4375,36259.857177734375,3200,1,1.4375,53916.408203125,2112.5,2,1.4375,46883.683502197266,2112.5,2,1.4375,30294.1142578125,2112.5,2,1.4375,60126.09294128418,4225,0,1.4375,52889.353454589844,2127,3193,2175,2156,2195,2070,2079,1994,2129,2008,2195,2158,2193,1952,2192,2168,0,0,1.9607844352722168,13,1,0,1,100,0,0,0.9900990128517151,1,0.9900990128517151,1,0.9900990128517151,0,16665841664,4294963200,1438666752,252182528
999,1744898635151,65528.144607543945,2100,2,1.4312500000000001,44179.02488708496,2100,2,1.4312500000000001,28280.926071166992,2100,2,1.4312500000000001,36263.717697143555,4200,0,1.4312500000000001,53916.53338623047,2100,2,1.4312500000000001,46883.82467651367,2100,2,1.4312500000000001,30295.275299072266,2100,2,1.4312500000000001,60139.57618713379,4200,0,1.4312500000000001,52922.98114013672,2127,3193,2175,2156,2195,2070,2079,1994,2129,2008,2195,2158,2193,1952,2192,2168,0,1,0,27.000001907348633,0,0.9900990128517151,0.9900990128517151,99.00990295410156,1,0.9900990128517151,0,0,1,2.97029709815979,0,0,16665841664,4294963200,1435848704,252182528
999,1744898636151,65528.24020385742,2200,2,1.4312500000000001,44179.15684509277,2200,2,1.4312500000000001,28281.031341552734,2200,2,1.4312500000000001,36264.59358215332,2200,2,1.4312500000000001,53916.64294433594,2100,2,1.4312500000000001,46883.937759399414,2100,2,1.4312500000000001,30296.415405273438,2100,2,1.4312500000000001,60153.00094604492,4200,0,1.4312500000000001,52952.85087585449,2127,3193,2175,2156,2195,2070,2079,1994,2129,2008,2195,2158,2193,1952,2192,2168,0,0,0,4.040403842926025,1,0,0,100,0,0,0,1,0.9900990128517151,1,0,0,16665841664,4294963200,1432383488,252182528
