Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744917613201,36080.24745178223,2200,2,0.91875,64762.32450866699,2200,2,0.91875,45956.90118408203,2200,2,0.91875,60008.230697631836,2200,2,0.91875,24662.21240234375,2000,2,1.45625,556.8579711914063,3000,2,1.45625,48736.502700805664,2000,2,1.45625,12004.952896118164,2000,2,1.45625,33872.7190246582,2128,2867,2128,2127,2195,2195,2080,2195,2125,2125,2192,2195,2164,2170,2125,3190,0,3.4482758045196533,7.142857551574707,0,3.5714287757873535,3.7037036418914795,3.5714287757873535,0,3.5714287757873535,3.5714287757873535,3.5714287757873535,0,0,7.692307949066162,3.5714287757873535,3.5714287757873535,16665841664,4294963200,888573952,264765440
999,1744917613201,36080.248443603516,2200,2,0.925,64762.32482910156,2200,2,0.925,45956.90637207031,2200,2,0.925,60008.230865478516,2200,2,0.925,24662.21258544922,2000,2,1.4625000000000001,556.8582458496094,3000,2,1.4625000000000001,48736.502990722656,2000,2,1.4625000000000001,12004.960647583008,2000,2,1.4625000000000001,33872.75842285156,2128,2867,2128,2127,2195,2195,2080,2195,2125,2125,2192,2195,2164,2170,2125,3190,0,3.4482758045196533,7.142857551574707,0,3.5714287757873535,3.7037036418914795,3.5714287757873535,0,3.5714287757873535,3.5714287757873535,3.5714287757873535,0,0,7.692307949066162,3.5714287757873535,3.5714287757873535,16665841664,4294963200,888573952,264765440
999,1744917614201,36086.93307495117,3950,0,1.3,64770.158630371094,3950,0,1.3,45960.684646606445,3950,0,1.3,60018.7195892334,3950,0,1.3,24665.56756591797,3950,0,1.3,564.4654693603516,3950,0,1.3,48743.639907836914,3950,0,1.3,12010.877182006836,3950,0,1.3,33936.88690185547,2128,2867,2128,2127,2195,2195,2080,2195,2125,2125,2192,2195,2164,2170,2125,3190,61.61616516113281,62.626258850097656,22.22222328186035,41.58415985107422,31.313129425048828,29.29292869567871,68.6868667602539,27.7227725982666,23,54.000003814697266,5,58.999996185302734,0,18,0,27.272727966308594,16665841664,4294963200,1162174464,264765440
999,1744917615201,36092.62303161621,2100,2,1.4,64773.7381439209,2100,2,1.4,45966.3839263916,2100,2,1.4,60030.04786682129,4200,0,1.4,24672.313735961914,2200,2,1.4,571.7072601318359,2200,2,1.4,48747.890716552734,2200,2,1.4,12015.801651000977,2200,2,1.4,33999.127517700195,2128,2867,2128,2127,2195,2195,2080,2195,2125,2125,2192,2195,2164,2170,2125,3190,62,25.25252342224121,43.43434143066406,1.0101009607315063,26,37.75510025024414,29.29292869567871,47.47474670410156,43.43434143066406,99,46.53465270996094,43,18.18181800842285,8,4,14,16665841664,4294963200,1308323840,264765440
999,1744917616201,36099.72016906738,2062.5,2,1.4375,64775.32823181152,2062.5,2,1.4312500000000001,45972.70413208008,4125,0,1.4312500000000001,60041.57661437988,4125,0,1.4312500000000001,24676.37922668457,4125,0,1.4312500000000001,577.9367065429688,2062.5,2,1.4312500000000001,48754.146560668945,4125,0,1.4312500000000001,12021.937545776367,2062.5,2,1.4312500000000001,34062.016357421875,2128,2867,2128,2127,2195,2195,2080,2195,2125,2125,2192,2195,2164,2170,2125,3190,68.6868667602539,2.040816307067871,1,1,24,55.4455451965332,4,58,66,100,16,6,60.39603805541992,7,1,7.070706844329834,16665841664,4294963200,1370206208,264765440
999,1744917617201,36102.816162109375,2087.5,2,1.4,64776.31733703613,2087.5,2,1.4,45976.545349121094,2087.5,2,1.4,60053.85859680176,4175,0,1.4,24679.978729248047,2783.333333333333,2,1.4,582.8984375,4175,0,1.4,48758.97993469238,2087.5,2,1.4,12024.762908935547,2087.5,2,1.4,34112.98622131348,2128,2867,2128,2127,2195,2195,2080,2195,2125,2125,2192,2195,2164,2170,2125,3190,26.26262664794922,0,0,0,8.08080768585205,42.42424392700195,6,18.367347717285156,36,99.00990295410156,26,3,38.38383865356445,6.060606002807617,2,3.0303030014038086,16665841664,4294963200,1370464256,264765440
999,1744917618201,36107.631286621094,2125,2,1.4312500000000001,64776.73530578613,2125,2,1.4312500000000001,45976.852310180664,2125,2,1.4312500000000001,60066.44802856445,4250,0,1.4312500000000001,24683.979736328125,2200,2,1.4312500000000001,585.9854736328125,2200,2,1.44375,48762.55435180664,2200,2,1.44375,12028.540008544922,2200,2,1.44375,34159.69761657715,2128,2867,2128,2127,2195,2195,2080,2195,2125,2125,2192,2195,2164,2170,2125,3190,43,1.0101009607315063,1,0.9900990128517151,30.693069458007813,22.54901885986328,31,1,0,100,3,1.0101009607315063,0,31,1.9801980257034302,1,16665841664,4294963200,1371009024,264765440
999,1744917619201,36108.089263916016,2087.5,2,1.4375,64776.87080383301,2087.5,2,1.4375,45976.97315979004,2087.5,2,1.4375,60079.762619018555,4175,0,1.4375,24686.185989379883,4175,0,1.4375,586.1639709472656,2087.5,2,1.4375,48762.77900695801,2087.5,2,1.4375,12033.345108032227,4175,0,1.4375,34194.89799499512,2128,2867,2128,2127,2195,2195,2080,2195,2125,2125,2192,2195,2164,2170,2125,3190,1,0,0,1,0,0,0,0,1,99,17.171716690063477,1,0,37,1.0101009607315063,1,16665841664,4294963200,1377828864,264765440
999,1744917620201,36108.361251831055,2125,2,1.4312500000000001,64777.540130615234,2125,2,1.4312500000000001,45977.11280822754,2125,2,1.4312500000000001,60092.92344665527,4250,0,1.4312500000000001,24689.527221679688,2200,2,1.4312500000000001,586.3660278320313,2200,2,1.4312500000000001,48762.896575927734,2200,2,1.48125,12036.2294921875,2200,2,1.48125,34229.872787475586,2128,2867,2128,2127,2195,2195,2080,2195,2125,2125,2192,2195,2164,2170,2125,3190,0,4,1,0,0,0,0,0,0,100,23.232322692871094,0.9900990128517151,0.9900990128517151,20,2,0.9900990128517151,16665841664,4294963200,1377824768,264765440
999,1744917621202,36108.60127258301,2112.5,2,1.4375,64777.904556274414,2112.5,2,1.4375,45977.40663146973,2112.5,2,1.4375,60106.11715698242,4225,0,1.4375,24690.529174804688,2200,2,1.4375,586.5342254638672,2200,2,1.4375,48763.114654541016,2200,2,1.4375,12040.284454345703,2200,2,1.4375,34262.74824523926,2128,2867,2128,2127,2195,2195,2080,2195,2125,2125,2192,2195,2164,2170,2125,3190,0,0,2,0,7,0,0,0,0.9900990128517151,99,0.9900990128517151,0,1.0101009607315063,31.683168411254883,1,2,16665841664,4294963200,1376985088,264765440
999,1744917622202,36108.96060180664,2100,2,1.4312500000000001,64781.16879272461,4200,0,1.4312500000000001,45977.54071044922,2100,2,1.4312500000000001,60115.248947143555,2100,2,1.4312500000000001,24692.514190673828,2100,2,1.4312500000000001,586.7370300292969,2100,2,1.4312500000000001,48768.75866699219,4200,0,1.4312500000000001,12043.06005859375,2100,2,1.4312500000000001,34300.6120300293,2128,2867,2128,2127,2195,2195,2080,2195,2125,2125,2192,2195,2164,2170,2125,3190,0,5,0,0,6.060606002807617,1,1,0,1,67,6.060606002807617,1,43,21.212121963500977,2,20,16665841664,4294963200,1378738176,264765440
999,1744917623202,36118.4405670166,4325,0,1.425,64781.38235473633,2125,2,1.425,45977.675857543945,2125,2,1.425,60115.37414550781,2125,2,1.425,24694.2255859375,2200,2,1.425,586.9216918945313,2200,2,1.425,48772.958404541016,2200,2,1.425,12045.695022583008,2200,2,1.425,34333.01658630371,2128,2867,2128,2127,2195,2195,2080,2195,2125,2125,2192,2195,2164,2170,2125,3190,69.69696807861328,0,0.9900990128517151,0.9900990128517151,13,0.9900990128517151,1,0,0,0,0,0,29,19.191919326782227,1.9801980257034302,0,16665841664,4294963200,1375911936,264765440
