Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744891308526,48245.28742980957,2200,2,0.85,36098.127838134766,2200,2,0.85,21310.820251464844,2200,2,0.85,26792.299850463867,2200,2,0.85,39660.03364562988,2200,2,0.85,39449.67074584961,2200,2,0.85,22766.234146118164,2200,2,0.85,49548.82872009277,2200,2,0.85,30230.345947265625,2152,3193,2142,2155,2183,2140,2195,2195,2127,2120,2195,2193,2195,2197,2127,2189,3.7037036418914795,0,7.142857551574707,3.7037036418914795,3.7037036418914795,0,0,0,0,11.111111640930176,7.142857551574707,3.7037036418914795,3.5714287757873535,6.896551609039307,3.7037036418914795,0,16665841664,4294963200,894271488,249298944
999,1744891308526,48245.287536621094,2200,2,0.84375,36098.12794494629,2200,2,0.84375,21310.820343017578,2200,2,0.84375,26792.30308532715,2200,2,0.84375,39660.03381347656,2200,2,0.84375,39449.674224853516,2200,2,0.84375,22766.234298706055,2200,2,0.84375,49548.828872680664,2200,2,0.84375,30230.371520996094,2152,3193,2142,2155,2183,2140,2195,2195,2127,2120,2195,2193,2195,2197,2127,2189,3.7037036418914795,0,7.142857551574707,3.7037036418914795,3.7037036418914795,0,0,0,0,11.111111640930176,7.142857551574707,3.7037036418914795,3.5714287757873535,6.896551609039307,3.7037036418914795,0,16665841664,4294963200,894787584,249298944
999,1744891309526,48248.61848449707,4025,0,1.3375,36105.32345581055,4025,0,1.3375,21314.337661743164,2012.5,2,1.3375,26798.739517211914,4025,0,1.3375,39670.092041015625,4025,0,1.3375,39458.23880004883,4025,0,1.3375,22772.0870513916,4025,0,1.3375,49556.984146118164,4025,0,1.3375,30295.0283203125,2152,3193,2142,2155,2183,2140,2195,2195,2127,2120,2195,2193,2195,2197,2127,2189,5.0505051612854,0,0,0,52,23.76237678527832,27.272727966308594,20.2020206451416,35.35353469848633,52.475250244140625,44,50,42,65.97937774658203,30.612245559692383,65,16665841664,4294963200,1166372864,249298944
999,1744891310526,48255.468322753906,2100,2,1.41875,36113.544494628906,4200,0,1.41875,21317.33755493164,2100,2,1.425,26807.42332458496,4200,0,1.425,39678.088455200195,3200,1,1.425,39461.785385131836,2133.333333333333,2,1.425,22777.549850463867,2133.333333333333,2,1.425,49563.113525390625,2133.333333333333,2,1.425,30358.298873901367,2152,3193,2142,2155,2183,2140,2195,2195,2127,2120,2195,2193,2195,2197,2127,2189,50.50504684448242,26,5.0505051612854,1,73.73737335205078,0,11.111111640930176,12.121212005615234,28.712871551513672,78,1,26,46.938777923583984,50.495052337646484,19.191919326782227,56.56565475463867,16665841664,4294963200,1252560896,249298944
999,1744891311526,48261.3454284668,4025,0,1.35,36120.18949890137,4025,0,1.35,21320.734375,2012.5,2,1.35,26818.899490356445,4050,0,1.34375,39685.32971191406,4050,0,1.34375,39466.440856933594,4050,0,1.34375,22782.122589111328,4050,0,1.34375,49567.32832336426,4050,0,1.34375,30420.40754699707,2152,3193,2142,2155,2183,2140,2195,2195,2127,2120,2195,2193,2195,2197,2127,2189,10.204081535339355,12.121212005615234,7.070706844329834,0,70.70706939697266,3.0303030014038086,4.040403842926025,6,24,99,7,47,45.5445556640625,42.42424392700195,50,52,16665841664,4294963200,1476546560,249298944
999,1744891312526,48266.2393951416,2112.5,2,1.3875,36121.711349487305,2112.5,2,1.3875,21325.70979309082,2112.5,2,1.3875,26830.88459777832,4225,0,1.3875,39688.099029541016,2133.333333333333,2,1.3875,39470.25128173828,3200,1,1.3875,22786.98211669922,2133.333333333333,2,1.3875,49572.19960021973,2133.333333333333,2,1.3875,30474.72528076172,2152,3193,2142,2155,2183,2140,2195,2195,2127,2120,2195,2193,2195,2197,2127,2189,42,7.070706844329834,4,0.9900990128517151,19.80198097229004,0.9900990128517151,2.97029709815979,5,39.39393997192383,100,5.0505051612854,35,41.41414260864258,39.39393997192383,5.0505051612854,3,16665841664,4294963200,1477062656,249298944
999,1744891313526,48271.57971191406,2200,2,1.4312500000000001,36126.74621582031,2200,2,1.4312500000000001,21327.574661254883,2200,2,1.4312500000000001,26836.521453857422,2200,2,1.4375,39693.280197143555,2112.5,2,1.4375,39474.172943115234,2112.5,2,1.4375,22792.525299072266,4225,0,1.4375,49576.28106689453,2112.5,2,1.4375,30526.026489257813,2152,3193,2142,2155,2183,2140,2195,2195,2127,2120,2195,2193,2195,2197,2127,2189,11.224489212036133,44,1.9801980257034302,0,23.232322692871094,29,2.0202019214630127,0,14,43,21.212121963500977,14.141413688659668,39,36.633663177490234,38,1.0101009607315063,16665841664,4294963200,1477320704,249298944
1000,1744891314527,48277.217376708984,4275,0,1.41875,36127.09257507324,2137.5,2,1.41875,21328.397994995117,2137.5,2,1.41875,26836.651458740234,2137.5,2,1.41875,39694.816955566406,2200,2,1.41875,39481.63204956055,2200,2,1.41875,22794.55909729004,2200,2,1.41875,49578.6057434082,2200,2,1.41875,30560.793884277344,2152,3193,2142,2155,2183,2140,2195,2195,2127,2120,2195,2193,2195,2197,2127,2189,34.34343338012695,0,0,1,9,6,0,1,5,0,0.9900990128517151,51.48514938354492,10,17,9,0,16665841664,4294963200,1469562880,249298944
999,1744891315527,48290.424224853516,4300,0,1.4625000000000001,36127.248794555664,2150,2,1.4625000000000001,21328.493240356445,2150,2,1.4625000000000001,26836.783905029297,2150,2,1.4625000000000001,39696.0086517334,2200,2,1.4625000000000001,39485.719985961914,2200,2,1.4625000000000001,22794.67022705078,2200,2,1.4625000000000001,49580.839416503906,2200,2,1.4625000000000001,30596.715744018555,2152,3193,2142,2155,2183,2140,2195,2195,2127,2120,2195,2193,2195,2197,2127,2189,0,0,0,0.9900990128517151,9,31.313129425048828,1.9801980257034302,0,0.9900990128517151,0.9900990128517151,1,0,1,14,99,1,16665841664,4294963200,1470025728,249298944
999,1744891316527,48303.544677734375,4250,0,1.4125,36127.67253112793,2125,2,1.4125,21328.61231994629,2125,2,1.4125,26836.912170410156,2125,2,1.4125,39696.15753173828,2133.333333333333,2,1.4125,39490.30458068848,3200,1,1.4125,22795.901580810547,2133.333333333333,2,1.4125,49581.563720703125,2133.333333333333,2,1.4125,30631.536209106445,2152,3193,2142,2155,2183,2140,2195,2195,2127,2120,2195,2193,2195,2197,2127,2189,0,1.9801980257034302,0,1,0,36.3636360168457,6.060606002807617,2,0,0,1.0101009607315063,1,0,0,100,2.0202019214630127,16665841664,4294963200,1472901120,249298944
1000,1744891317527,48316.74435424805,4225,0,1.44375,36128.298904418945,2112.5,2,1.44375,21329.508895874023,4225,0,1.44375,26837.03436279297,2112.5,2,1.44375,39696.3194732666,2112.5,2,1.44375,39492.990295410156,4225,0,1.44375,22797.88734436035,4225,0,1.44375,49583.67608642578,4225,0,1.44375,30667.990997314453,2152,3193,2142,2155,2183,2140,2195,2195,2127,2120,2195,2193,2195,2197,2127,2189,0,0,9,0,0,22.77227783203125,14,14,1,0.9900990128517151,1,0,0,1,99,3.9603960514068604,16665841664,4294963200,1472004096,249298944
999,1744891318528,48330.12448120117,4325,0,1.44375,36128.45184326172,2162.5,2,1.44375,21330.059783935547,2162.5,2,1.44375,26837.170654296875,2162.5,2,1.44375,39696.50541687012,2200,2,1.44375,39496.47296142578,2200,2,1.44375,22798.54995727539,2200,2,1.475,49584.53176879883,2200,2,1.475,30701.95230102539,2152,3193,2142,2155,2183,2140,2195,2195,2127,2120,2195,2193,2195,2197,2127,2189,0,0,2,1,0,27.000001907348633,3,2,0.9900990128517151,0,1.0101009607315063,0.9900990128517151,1,0,98.98989868164063,0,16665841664,4294963200,1471172608,249298944
1000,1744891319528,48343.53532409668,4175,0,1.40625,36128.56196594238,2087.5,2,1.40625,21330.15492248535,2087.5,2,1.40625,26837.470092773438,4175,0,1.40625,39696.694747924805,2087.5,2,1.40625,39498.38929748535,4175,0,1.40625,22798.822067260742,4175,0,1.40625,49584.63398742676,2087.5,2,1.40625,30732.483001708984,2152,3193,2142,2155,2183,2140,2195,2195,2127,2120,2195,2193,2195,2197,2127,2189,1,0,0,1,1,15.841584205627441,0,1,0,3,2.941176414489746,0,2.97029709815979,0,100,1,16665841664,4294963200,1465761792,249298944
1000,1744891320528,48356.92219543457,4300,0,1.44375,36128.71430969238,2150,2,1.44375,21330.252700805664,2150,2,1.44375,26838.522247314453,2150,2,1.44375,39696.865478515625,2200,2,1.44375,39499.26954650879,2200,2,1.44375,22802.301971435547,2200,2,1.44375,49584.715881347656,2200,2,1.44375,30766.22950744629,2152,3193,2142,2155,2183,2140,2195,2195,2127,2120,2195,2193,2195,2197,2127,2189,0.9900990128517151,1.9607844352722168,0,0,0,3.0303030014038086,0,0,0.9900990128517151,6,1.0101009607315063,0,22.22222328186035,0,99,0,16665841664,4294963200,1466744832,249298944
1000,1744891321529,48370.417739868164,4275,0,1.4375,36128.88577270508,2137.5,2,1.4375,21330.36688232422,2137.5,2,1.4375,26838.631729125977,2137.5,2,1.4375,39697.056869506836,2200,2,1.4375,39500.07353210449,2200,2,1.4375,22802.476028442383,2200,2,1.4375,49585.802978515625,2200,2,1.4375,30796.365325927734,2152,3193,2142,2155,2183,2140,2195,2195,2127,2120,2195,2193,2195,2197,2127,2189,1,0,0,1,0,5,1,8.08080768585205,0,0,2,1,0,0,99,1,16665841664,4294963200,1465335808,249298944
999,1744891322529,48383.9910736084,4250,0,1.425,36129.04878234863,2125,2,1.425,21330.48747253418,2125,2,1.425,26838.74575805664,2137.5,2,1.425,39697.21354675293,2137.5,2,1.425,39502.4315032959,4275,0,1.425,22802.57438659668,2137.5,2,1.425,49586.9052734375,2137.5,2,1.425,30828.729385375977,2152,3193,2142,2155,2183,2140,2195,2195,2127,2120,2195,2193,2195,2197,2127,2189,0,0,0,0,0.9900990128517151,16.831682205200195,0,4.95049524307251,1,0.9900990128517151,1,0,0,0.9900990128517151,99.00990295410156,0,16665841664,4294963200,1464139776,249298944
999,1744891323529,48397.51971435547,4350,0,1.4375,36129.18458557129,2137.5,2,1.4375,21330.58154296875,2137.5,2,1.4375,26838.829833984375,2137.5,2,1.4375,39697.340744018555,2200,2,1.4375,39502.90148925781,2200,2,1.4375,22802.646896362305,2200,2,1.4375,49586.98942565918,2200,2,1.4375,30857.51091003418,2152,3193,2142,2155,2183,2140,2195,2195,2127,2120,2195,2193,2195,2197,2127,2189,0,0.9900990128517151,0.9900990128517151,0.9900990128517151,1,1.0101009607315063,0,0,0,0,1,1,0,0,100,0,16665841664,4294963200,1462378496,249298944
999,1744891324530,48410.860290527344,4225,0,1.4125,36129.4981842041,2112.5,2,1.4125,21331.341400146484,2112.5,2,1.4125,26838.941467285156,2112.5,2,1.4125,39697.518814086914,2112.5,2,1.4125,39504.71195983887,2112.5,2,1.4125,22805.826202392578,4225,0,1.4125,49587.09979248047,2112.5,2,1.4125,30891.94903564453,2152,3193,2142,2155,2183,2140,2195,2195,2127,2120,2195,2193,2195,2197,2127,2189,0.9900990128517151,1,5,1,1,13.8613862991333,26.73267364501953,0,1,0,1,0,0.9900990128517151,0,99,2,16665841664,4294963200,1468833792,249298944
999,1744891325530,48424.432693481445,4350,0,1.45,36129.66354370117,2137.5,2,1.45,21331.437744140625,2137.5,2,1.45,26839.047088623047,2137.5,2,1.45,39697.835220336914,2000,2,1.45,39504.827880859375,2000,2,1.45,22806.446548461914,3000,2,1.45,49587.21138000488,2000,2,1.45,30921.122955322266,2152,3193,2142,2155,2183,2140,2195,2195,2127,2120,2195,2193,2195,2197,2127,2189,0,0,0,1,2,0,1,0,0,0,1,1,0,1,99,1,16665841664,4294963200,1467637760,249298944
999,1744891326530,48437.72895812988,4200,0,1.45,36130.69877624512,2100,2,1.45,21331.5440826416,2100,2,1.45,26839.774154663086,2100,2,1.45,39700.21691894531,4200,0,1.45,39505.23524475098,2100,2,1.45,22808.468505859375,4175,0,1.44375,49588.262954711914,2087.5,2,1.44375,30956.70246887207,2152,3193,2142,2155,2183,2140,2195,2195,2127,2120,2195,2193,2195,2197,2127,2189,1.0101009607315063,0,0,4,19,0,14,6,0.9900990128517151,1,0,2,3.9603960514068604,0,100,7.070706844329834,16665841664,4294963200,1466966016,249298944
999,1744891327530,48451.37255859375,4350,0,1.44375,36130.82043457031,2137.5,2,1.44375,21331.638702392578,2137.5,2,1.44375,26839.923278808594,2137.5,2,1.44375,39700.52648925781,2000,2,1.44375,39505.31864929199,2000,2,1.44375,22808.699951171875,3000,2,1.44375,49588.44248962402,2000,2,1.44375,30985.637817382813,2152,3193,2142,2155,2183,2140,2195,2195,2127,2120,2195,2193,2195,2197,2127,2189,1,0,0,0,1,0.9900990128517151,0,1,0,1,0.9900990128517151,0,1,1,99.00990295410156,0.9900990128517151,16665841664,4294963200,1466966016,249298944
999,1744891328530,48464.955627441406,4350,0,1.4312500000000001,36130.9434967041,2850,2,1.4312500000000001,21331.739791870117,2137.5,2,1.4312500000000001,26840.077377319336,2137.5,2,1.4312500000000001,39701.722244262695,3000,2,1.4312500000000001,39505.41485595703,2000,2,1.4312500000000001,22808.821563720703,2000,2,1.4312500000000001,49588.56610107422,2000,2,1.4312500000000001,31015.334075927734,2152,3193,2142,2155,2183,2140,2195,2195,2127,2120,2195,2193,2195,2197,2127,2189,0,0.9900990128517151,0,0.9900990128517151,9,0,0,0,0.9900990128517151,2,0,0,0,0,99.00990295410156,0,16665841664,4294963200,1466638336,249298944
999,1744891329530,48478.45651245117,4350,0,1.44375,36131.081314086914,2850,2,1.44375,21331.859176635742,2137.5,2,1.44375,26840.271255493164,2137.5,2,1.44375,39703.025802612305,2200,2,1.44375,39505.571029663086,2200,2,1.44375,22808.880340576172,2200,2,1.44375,49588.72262573242,2200,2,1.44375,31044.97608947754,2152,3193,2142,2155,2183,2140,2195,2195,2127,2120,2195,2193,2195,2197,2127,2189,1,1,0,1,9.090909004211426,0,0,1,1,1,0.9900990128517151,0,0,1,100,0,16665841664,4294963200,1466638336,249298944
1000,1744891330530,48492.05815124512,4350,0,1.44375,36131.21226501465,2850,2,1.44375,21331.957412719727,2137.5,2,1.44375,26840.4500579834,2137.5,2,1.44375,39704.03825378418,2200,2,1.44375,39505.7208404541,2200,2,1.45,22808.929641723633,2200,2,1.45,49588.87013244629,2200,2,1.45,31074.50650024414,2152,3193,2142,2155,2183,2140,2195,2195,2127,2120,2195,2193,2195,2197,2127,2189,1,0,0,1,7.920792102813721,1,0,0,0,1.0101009607315063,0,1.9801980257034302,0,0,99.00990295410156,0,16665841664,4294963200,1465659392,249298944
