Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745037742656,11530.90249633789,2200,2,0.85,65274.29704284668,2200,2,0.85,46450.93229675293,2200,2,0.85,5006.252395629883,2200,2,0.85,3961.038787841797,2200,2,0.85,6959.24055480957,2200,2,0.85,55422.97294616699,2200,2,0.85,27128.57342529297,2200,2,0.85,14444.667449951172,2128,2798,2127,2128,2043,2140,2194,2152,2061,2127,2122,2193,2192,2194,2126,3147,3.3333334922790527,3.3333334922790527,3.4482758045196533,7.142857551574707,6.45161247253418,3.3333334922790527,0,3.3333334922790527,3.4482758045196533,0,3.4482758045196533,3.3333334922790527,3.4482758045196533,6.6666669845581055,3.3333334922790527,0,16665841664,4294963200,852566016,291241984
1000,1745037742656,11530.90266418457,2200,2,0.85,65274.29719543457,2200,2,0.85,46450.93243408203,2200,2,0.85,5006.25569152832,2200,2,0.85,3961.0420684814453,3200,1,0.85,6959.240707397461,2133.333333333333,2,0.85,55422.97309875488,2133.333333333333,2,0.85,27128.573852539063,2133.333333333333,2,0.85,14444.69155883789,2128,2798,2127,2128,2043,2140,2194,2152,2061,2127,2122,2193,2192,2194,2126,3147,3.3333334922790527,3.3333334922790527,3.4482758045196533,7.142857551574707,6.45161247253418,3.3333334922790527,0,3.3333334922790527,3.4482758045196533,0,3.4482758045196533,3.3333334922790527,3.4482758045196533,6.6666669845581055,3.3333334922790527,0,16665841664,4294963200,852566016,291241984
1000,1745037743657,11537.360794067383,3975,0,1.33125,65279.23225402832,3975,0,1.325,46457.01611328125,3975,0,1.325,5014.209701538086,3975,0,1.325,3966.6039276123047,3975,0,1.325,6963.826385498047,3975,0,1.325,55428.85395812988,3975,0,1.325,27133.646560668945,3975,0,1.325,14503.957092285156,2128,2798,2127,2128,2043,2140,2194,2152,2061,2127,2122,2193,2192,2194,2126,3147,57.142860412597656,51.51515197753906,64,58.999996185302734,61.61616516113281,54.54545593261719,52.999996185302734,48,41.41414260864258,58.999996185302734,45,40.4040412902832,60.000003814697266,52,56.435646057128906,40,16665841664,4294963200,1840218112,291241984
999,1745037744658,11545.770629882813,3975,0,1.3125,65287.001876831055,3975,0,1.3125,46465.16552734375,3975,0,1.3125,5021.963836669922,3975,0,1.3125,3974.638900756836,3975,0,1.3125,6972.187652587891,3975,0,1.3125,55436.940826416016,3975,0,1.3125,27141.793579101563,3975,0,1.3125,14578.080947875977,2128,2798,2127,2128,2043,2140,2194,2152,2061,2127,2122,2193,2192,2194,2126,3147,95,95,94.94949340820313,95,98,95,94.94949340820313,100,96.07843017578125,97,96,97,95,98,100,95.04950714111328,16665841664,4294963200,2221699072,291241984
999,1745037745658,11554.408828735352,3975,0,1.30625,65295.45576477051,3975,0,1.30625,46474.17370605469,3975,0,1.30625,5030.877410888672,3975,0,1.30625,3983.929901123047,3975,0,1.30625,6981.442596435547,3975,0,1.30625,55445.104904174805,3975,0,1.30625,27150.594772338867,3975,0,1.30625,14657.673583984375,2128,2798,2127,2128,2043,2140,2194,2152,2061,2127,2122,2193,2192,2194,2126,3147,94,97,95,95.9595947265625,100,96,94,96.96969604492188,96.93877410888672,99,97.97979736328125,97,95,93.93939208984375,98.98989868164063,96.96969604492188,16665841664,4294963200,2554961920,291241984
999,1745037746658,11562.974487304688,3975,0,1.31875,65304.37648010254,3975,0,1.3125,46482.891052246094,3975,0,1.30625,5039.061279296875,3975,0,1.30625,3992.457550048828,3975,0,1.30625,6990.064453125,3975,0,1.30625,55453.87532043457,3975,0,1.30625,27159.15284729004,3975,0,1.30625,14736.208312988281,2128,2798,2127,2128,2043,2140,2194,2152,2061,2127,2122,2193,2192,2194,2126,3147,98.98989868164063,97.02970123291016,98,99.00990295410156,98.01980590820313,98.98989868164063,99,98.01980590820313,99,99,99,99,98.98989868164063,98.98989868164063,99.00990295410156,99,16665841664,4294963200,2938630144,291241984
999,1745037747658,11572.53579711914,3950,0,1.2875,65314.47219848633,3950,0,1.2875,46492.4140625,3950,0,1.2875,5048.913818359375,3950,0,1.2875,4001.7069702148438,3950,0,1.2875,6998.730667114258,3950,0,1.2875,55463.48829650879,3950,0,1.2875,27168.157135009766,3950,0,1.2875,14820.277282714844,2128,2798,2127,2128,2043,2140,2194,2152,2061,2127,2122,2193,2192,2194,2126,3147,100,98.98989868164063,99,98,100,99.00990295410156,98,98.98989868164063,99,98.98989868164063,98.01980590820313,100,99.00990295410156,99.00990295410156,98.98989868164063,97.02970123291016,16665841664,4294963200,3372920832,291241984
999,1745037748658,11582.458770751953,3975,0,1.3125,65323.67042541504,3975,0,1.3125,46501.801696777344,3975,0,1.3125,5058.821334838867,3975,0,1.3125,4011.424606323242,3975,0,1.3125,7008.162460327148,3975,0,1.3125,55473.25991821289,3975,0,1.3125,27177.959518432617,3975,0,1.3125,14906.19303894043,2128,2798,2127,2128,2043,2140,2194,2152,2061,2127,2122,2193,2192,2194,2126,3147,96,97,97,97.97979736328125,96,98,97.97979736328125,97.02970123291016,98,97,97.97979736328125,97,95.9595947265625,97.97979736328125,97,96.96969604492188,16665841664,4294963200,3560955904,291241984
999,1745037749658,11590.150192260742,3975,0,1.30625,65331.63928222656,3975,0,1.30625,46510.06546020508,3975,0,1.30625,5067.1009521484375,3975,0,1.30625,4019.5408935546875,3975,0,1.30625,7016.242980957031,3975,0,1.30625,55480.86877441406,3975,0,1.30625,27186.272186279297,3975,0,1.30625,14980.668518066406,2128,2798,2127,2128,2043,2140,2194,2152,2061,2127,2122,2193,2192,2194,2126,3147,93.93939208984375,97.97979736328125,98.98989868164063,99,99,95.9595947265625,95.04950714111328,96,98,99,99,92.07920837402344,98.98989868164063,98,98,99,16665841664,4294963200,4128894976,291241984
999,1745037750658,11600.56430053711,3950,0,1.3,65342.339416503906,3950,0,1.2875,46520.30680847168,3950,0,1.2875,5077.1954345703125,3950,0,1.2875,4030.1524963378906,3950,0,1.2875,7026.71760559082,3950,0,1.2875,55491.426330566406,3950,0,1.2875,27196.849655151367,3950,0,1.2875,15071.514511108398,2128,2798,2127,2128,2043,2140,2194,2152,2061,2127,2122,2193,2192,2194,2126,3147,90,99.00990295410156,89,98.01980590820313,97,97,97.97979736328125,99,97.97979736328125,78.78787994384766,96,93.93939208984375,99,98.9795913696289,96.96969604492188,98.01980590820313,16665841664,4294963200,4718379008,291241984
