Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745045001381,27718.310516357422,2200,2,0.85,9141.808029174805,2200,2,0.85,55171.567794799805,2200,2,0.85,14478.052154541016,2200,2,0.85,17409.78872680664,2200,2,0.85,15277.38168334961,2200,2,0.85,65325.20405578613,2200,2,0.84375,37905.73342895508,2200,2,0.84375,38904.25727844238,2050,2862,1798,1995,1862,2096,3089,1990,2128,2123,2149,2014,2107,2101,2126,2436,10.714285850524902,0,3.4482758045196533,3.4482758045196533,3.4482758045196533,3.4482758045196533,3.4482758045196533,0,6.896551609039307,3.4482758045196533,0,3.4482758045196533,3.4482758045196533,0,0,3.4482758045196533,16665841664,4294963200,854646784,293863424
999,1745045001381,27718.314331054688,2133.333333333333,2,0.95625,9141.808471679688,3200,1,0.95625,55171.568099975586,2133.333333333333,2,0.95625,14478.052291870117,2133.333333333333,2,0.95625,17409.78887939453,2200,2,0.95625,15277.383819580078,2200,2,0.95625,65325.20426940918,2200,2,0.95625,37905.733642578125,2200,2,0.95625,38904.28303527832,2050,2862,1798,1995,1862,2096,3089,1990,2128,2123,2149,2014,2107,2101,2126,2436,10.714285850524902,0,3.4482758045196533,3.4482758045196533,3.4482758045196533,3.4482758045196533,3.4482758045196533,0,6.896551609039307,3.4482758045196533,0,3.4482758045196533,3.4482758045196533,0,0,3.4482758045196533,16665841664,4294963200,854646784,293863424
999,1745045002382,27726.555908203125,3975,0,1.30625,9148.086502075195,4000,0,1.3125,55175.96873474121,4000,0,1.3125,14484.199752807617,4000,0,1.3125,17414.73016357422,4000,0,1.3125,15282.552001953125,4000,0,1.3125,65329.92378234863,4000,0,1.3125,37910.7294921875,4000,0,1.3125,38962.1600189209,2050,2862,1798,1995,1862,2096,3089,1990,2128,2123,2149,2014,2107,2101,2126,2436,69.69696807861328,65.68627166748047,44.4444465637207,41,39,43,40,52.999996185302734,39.60396194458008,64.28571319580078,55,50.50504684448242,49,33.333335876464844,47,41.41414260864258,16665841664,4294963200,1804861440,293863424
999,1745045003382,27734.344528198242,3975,0,1.3,9156.661529541016,3975,0,1.3,55184.111907958984,3975,0,1.3,14491.905487060547,3975,0,1.3,17423.744888305664,3975,0,1.3,15290.850570678711,3975,0,1.3125,65337.08334350586,3975,0,1.3125,37917.90971374512,3975,0,1.3125,39035.28877258301,2050,2862,1798,1995,1862,2096,3089,1990,2128,2123,2149,2014,2107,2101,2126,2436,94.94949340820313,98.98989868164063,98,92,97,97,96,94,93.93939208984375,96,91.919189453125,96.96969604492188,94.94949340820313,94,93.93939208984375,90.09901428222656,16665841664,4294963200,2127822848,293863424
999,1745045004382,27743.144104003906,3975,0,1.31875,9165.079528808594,3975,0,1.31875,55192.103454589844,3975,0,1.31875,14500.831924438477,3975,0,1.31875,17433.589904785156,3975,0,1.31875,15299.364822387695,3975,0,1.31875,65345.22152709961,3975,0,1.31875,37926.70349121094,3975,0,1.31875,39113.68844604492,2050,2862,1798,1995,1862,2096,3089,1990,2128,2123,2149,2014,2107,2101,2126,2436,98,93,96.03960418701172,96.96969604492188,100,95.9595947265625,98,92.92929077148438,98,95.9595947265625,97,93,95,99,99,96.96969604492188,16665841664,4294963200,2519793664,293863424
999,1745045005382,27751.482833862305,3975,0,1.3,9173.344482421875,3950,0,1.30625,55200.17150878906,3950,0,1.30625,14509.858276367188,3950,0,1.30625,17442.322814941406,3950,0,1.30625,15308.535751342773,3950,0,1.30625,65353.7061920166,3950,0,1.30625,37934.445083618164,3950,0,1.30625,39190.88459777832,2050,2862,1798,1995,1862,2096,3089,1990,2128,2123,2149,2014,2107,2101,2126,2436,100,98.98989868164063,100,96.96969604492188,98.01980590820313,99,98.98989868164063,98,99.00990295410156,99.00990295410156,99,99,99,99,98.01980590820313,99,16665841664,4294963200,2804678656,293863424
1003,1745045006382,27759.726196289063,3950,0,1.29375,9181.622573852539,3950,0,1.29375,55208.62121582031,3950,0,1.29375,14518.435577392578,3950,0,1.29375,17450.992935180664,3950,0,1.29375,15316.937118530273,3950,0,1.29375,65361.78202819824,3950,0,1.29375,37942.55726623535,3950,0,1.29375,39266.492584228516,2050,2862,1798,1995,1862,2096,3089,1990,2128,2123,2149,2014,2107,2101,2126,2436,99,99,99,98.01980590820313,96,99.00990295410156,98,96.03960418701172,100,98.98989868164063,99,99,98,100,99,98,16665841664,4294963200,3013955584,293863424
999,1745045007385,27770.126693725586,3950,0,1.30625,9190.265838623047,3975,0,1.29375,55219.548736572266,3975,0,1.29375,14529.161636352539,3975,0,1.29375,17461.889282226563,3975,0,1.29375,15327.457244873047,3975,0,1.29375,65371.82344055176,3975,0,1.29375,37952.099517822266,3975,0,1.29375,39356.73057556152,2050,2862,1798,1995,1862,2096,3089,1990,2128,2123,2149,2014,2107,2101,2126,2436,98,97.97979736328125,98,98,97.95918273925781,96.03960418701172,96.03960418701172,98,96.96969604492188,98,97.97979736328125,95.9595947265625,98,98,97,99,16665841664,4294963200,3545780224,293863424
999,1745045008385,27778.54525756836,3975,0,1.30625,9198.253875732422,3975,0,1.30625,55227.71495056152,3975,0,1.30625,14537.136627197266,3975,0,1.30625,17470.396438598633,3975,0,1.30625,15335.679931640625,3975,0,1.30625,65380.53642272949,3975,0,1.30625,37960.11981201172,3975,0,1.30625,39431.905517578125,2050,2862,1798,1995,1862,2096,3089,1990,2128,2123,2149,2014,2107,2101,2126,2436,99,98.01980590820313,97.97979736328125,97.97979736328125,98.01980590820313,96.96969604492188,97.97979736328125,97.97979736328125,98,98,98,97,96.96969604492188,98,99,96,16665841664,4294963200,4025233408,293863424
999,1745045009386,27788.901885986328,3950,0,1.2875,9209.000396728516,3950,0,1.2875,55237.769775390625,3950,0,1.29375,14547.474914550781,3950,0,1.29375,17480.50099182129,3950,0,1.29375,15345.862274169922,3950,0,1.29375,65389.156646728516,3950,0,1.29375,37970.324447631836,3950,0,1.29375,39520.545013427734,2050,2862,1798,1995,1862,2096,3089,1990,2128,2123,2149,2014,2107,2101,2126,2436,97.97979736328125,98.98989868164063,98.01980590820313,97.97979736328125,95,97,98.98989868164063,98,100,98.98989868164063,97,98.01980590820313,97.97979736328125,98,98,98,16665841664,4294963200,4025233408,293863424
