Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744937548107,11308.212707519531,2200,2,0.8125,23873.36231994629,2200,2,0.8125,1797.39404296875,2200,2,0.8125,19298.908782958984,2200,2,0.8125,65245.2555847168,2200,2,0.8125,25224.015502929688,2200,2,0.84375,9529.403259277344,2200,2,0.84375,36724.474212646484,2200,2,0.84375,61798.15089416504,2124,3112,2039,1976,2385,2096,2195,1953,2129,1988,2173,2195,2019,2010,2088,2880,9.67741870880127,0,3.22580623626709,0,3.22580623626709,0,0,0,3.125,3.22580623626709,3.22580623626709,0,0,3.125,3.22580623626709,3.22580623626709,16665841664,4294963200,882597888,274726912
999,1744937548107,11308.215896606445,2200,2,0.84375,23873.362579345703,2200,2,0.84375,1797.3941802978516,2200,2,0.84375,19298.90887451172,2200,2,0.84375,65245.25569152832,2200,2,0.84375,25224.015594482422,2200,2,0.84375,9529.406631469727,2200,2,0.84375,36724.474365234375,2200,2,0.85,61798.17610168457,2124,3112,2039,1976,2385,2096,2195,1953,2129,1988,2173,2195,2019,2010,2088,2880,9.67741870880127,0,3.22580623626709,0,3.22580623626709,0,0,0,3.125,3.22580623626709,3.22580623626709,0,0,3.125,3.22580623626709,3.22580623626709,16665841664,4294963200,883109888,274726912
1001,1744937549107,11313.263275146484,3975,0,1.325,23879.28302001953,3975,0,1.325,1803.6473693847656,3975,0,1.325,19304.681381225586,4000,0,1.325,65251.93273925781,4000,0,1.325,25228.37336730957,4000,0,1.325,9535.085739135742,4000,0,1.325,36728.90898132324,4000,0,1.325,61855.18832397461,2124,3112,2039,1976,2385,2096,2195,1953,2129,1988,2173,2195,2019,2010,2088,2880,40.4040412902832,49.01960754394531,41.58415985107422,41.17647171020508,39,39.60396194458008,38.613861083984375,42.574256896972656,58.999996185302734,51.020408630371094,55.55555725097656,40.594058990478516,54.455448150634766,44,49.50495147705078,38.235294342041016,16665841664,4294963200,1787908096,274726912
999,1744937550109,11321.378280639648,3975,0,1.30625,23887.554229736328,3975,0,1.3,1811.9739074707031,3975,0,1.3,19312.331604003906,3975,0,1.3,65259.76136779785,3975,0,1.3,25236.674209594727,3975,0,1.3,9543.15835571289,3975,0,1.3,36737.36260986328,3975,0,1.30625,61929.67434692383,2124,3112,2039,1976,2385,2096,2195,1953,2129,1988,2173,2195,2019,2010,2088,2880,99.00990295410156,96,97.97979736328125,96.93877410888672,95.04950714111328,96,94,98,95.9595947265625,95.04950714111328,95.04950714111328,95.91836547851563,100,97.97979736328125,95.9595947265625,96.96969604492188,16665841664,4294963200,2265174016,274726912
999,1744937551109,11330.841247558594,3975,0,1.30625,23896.426727294922,3975,0,1.30625,1821.1084747314453,3975,0,1.30625,19321.112365722656,3975,0,1.30625,65268.2028503418,3975,0,1.30625,25245.466278076172,3975,0,1.30625,9551.764236450195,3975,0,1.3125,36745.78907775879,3975,0,1.3125,62008.94357299805,2124,3112,2039,1976,2385,2096,2195,1953,2129,1988,2173,2195,2019,2010,2088,2880,92.85713958740234,94.94949340820313,95.9595947265625,95,93.93939208984375,93.93939208984375,96,96,93,93.93939208984375,91.919189453125,94,95,94,97,96.03960418701172,16665841664,4294963200,2686676992,274726912
999,1744937552109,11339.877853393555,3975,0,1.30625,23905.42967224121,3975,0,1.30625,1829.4955596923828,3975,0,1.30625,19329.073928833008,3975,0,1.30625,65276.76210021973,3975,0,1.30625,25253.617950439453,3975,0,1.30625,9559.962982177734,3975,0,1.30625,36753.79763793945,3975,0,1.30625,62085.437759399414,2124,3112,2039,1976,2385,2096,2195,1953,2129,1988,2173,2195,2019,2010,2088,2880,99.00990295410156,99,98.01980590820313,98.01980590820313,100,98.01980590820313,99,99,98.01980590820313,99,99,99,98.98989868164063,98,98,98.98989868164063,16665841664,4294963200,3024461824,274726912
999,1744937553109,11350.654327392578,3950,0,1.2875,23914.931716918945,3950,0,1.2875,1840.4379119873047,3950,0,1.2875,19339.804138183594,3950,0,1.2875,65286.90994262695,3950,0,1.2875,25264.174209594727,3950,0,1.2875,9570.77734375,3950,0,1.2875,36763.7575378418,3950,0,1.2875,62176.90089416504,2124,3112,2039,1976,2385,2096,2195,1953,2129,1988,2173,2195,2019,2010,2088,2880,97.97979736328125,99,97.97979736328125,97.97979736328125,98,96.96969604492188,98.98989868164063,97.97979736328125,97,97.02970123291016,97.97979736328125,98,98,98.98989868164063,96.96969604492188,99,16665841664,4294963200,3303153664,274726912
999,1744937554109,11359.081344604492,3975,0,1.30625,23924.16307067871,3975,0,1.30625,1849.4300842285156,3975,0,1.30625,19348.97267150879,3975,0,1.30625,65295.76190185547,3975,0,1.30625,25273.324462890625,3975,0,1.30625,9580.139617919922,3975,0,1.30625,36773.02702331543,3975,0,1.30625,62258.97611999512,2124,3112,2039,1976,2385,2096,2195,1953,2129,1988,2173,2195,2019,2010,2088,2880,97,96.96969604492188,96,96,87,99,93.93939208984375,95.04950714111328,96.96969604492188,95.91836547851563,95,96.96969604492188,96,95.9595947265625,97.02970123291016,95,16665841664,4294963200,4159324160,274726912
999,1744937555109,11368.457122802734,3950,0,1.3,23932.43475341797,3950,0,1.2875,1858.567855834961,3950,0,1.2875,19358.199295043945,3950,0,1.2875,65305.007080078125,3950,0,1.2875,25282.55955505371,3950,0,1.2875,9589.678161621094,3950,0,1.2875,36782.248306274414,3950,0,1.2875,62340.74809265137,2124,3112,2039,1976,2385,2096,2195,1953,2129,1988,2173,2195,2019,2010,2088,2880,98,99,95,99,99,99,98,100,99,94,99,99.00990295410156,97,99,98.98989868164063,100,16665841664,4294963200,4162678784,274726912
999,1744937556110,11377.94515991211,3975,0,1.3125,23941.164154052734,3975,0,1.33125,1868.2782592773438,3975,0,1.33125,19367.554611206055,3975,0,1.33125,65314.61561584473,3975,0,1.33125,25291.90625,3975,0,1.33125,9598.942626953125,3975,0,1.33125,36791.441009521484,3975,0,1.33125,62425.16703796387,2124,3112,2039,1976,2385,2096,2195,1953,2129,1988,2173,2195,2019,2010,2088,2880,99,89,98.98989868164063,99,98,97,98.01980590820313,98,99,89,97,90,94,99,98,96,16665841664,4294963200,4624584704,274726912
999,1744937557110,11387.872024536133,3950,0,1.3,23951.954650878906,3950,0,1.3,1878.9691772460938,3950,0,1.3,19378.311004638672,3950,0,1.3,65324.160736083984,3950,0,1.3,25302.33221435547,3950,0,1.3,9609.004196166992,3950,0,1.3,36801.59764099121,3950,0,1.3,62516.29530334473,2124,3112,2039,1976,2385,2096,2195,1953,2129,1988,2173,2195,2019,2010,2088,2880,95,98.98989868164063,96,98.98989868164063,88.8888931274414,97.97979736328125,98.98989868164063,93.93939208984375,98,99,97.97979736328125,92.92929077148438,99,98,91.919189453125,98,16665841664,4294963200,5005197312,274726912
999,1744937558110,11397.392486572266,3950,0,1.30625,23961.106246948242,3950,0,1.30625,1888.0765533447266,3950,0,1.30625,19387.517349243164,3950,0,1.30625,65333.1845703125,3950,0,1.30625,25311.395095825195,3950,0,1.30625,9617.365829467773,3950,0,1.30625,36809.86781311035,3950,0,1.30625,62598.0439453125,2124,3112,2039,1976,2385,2096,2195,1953,2129,1988,2173,2195,2019,2010,2088,2880,98,97,90,90,88.8888931274414,96,90,81,98,98,96.03960418701172,97,96,98.98989868164063,97,85.85858154296875,16665841664,4294963200,5494714368,274726912
999,1744937559110,11407.553436279297,3950,0,1.3,23971.311233520508,3950,0,1.3,1898.3449249267578,3950,0,1.3,19397.622360229492,3950,0,1.3,65343.68296813965,3950,0,1.3,25321.630126953125,3950,0,1.3,9627.241958618164,3950,0,1.3,36819.88005065918,3950,0,1.3,62688.54219055176,2124,3112,2039,1976,2385,2096,2195,1953,2129,1988,2173,2195,2019,2010,2088,2880,97.97979736328125,97.02970123291016,98,99,99,98.98989868164063,82.82828521728516,87,98.98989868164063,84.8484878540039,94.89796447753906,95.9595947265625,97.97979736328125,93,95,95.9595947265625,16665841664,4294963200,5603614720,274726912
999,1744937560110,11416.976135253906,3950,0,1.29375,23980.882781982422,3950,0,1.29375,1907.6007690429688,3950,0,1.29375,19407.429626464844,3950,0,1.29375,65353.43276977539,3950,0,1.29375,25330.522094726563,3950,0,1.29375,9636.895278930664,3950,0,1.29375,36828.948318481445,3950,0,1.29375,62773.3946685791,2124,3112,2039,1976,2385,2096,2195,1953,2129,1988,2173,2195,2019,2010,2088,2880,99,97.97979736328125,97.97979736328125,94.94949340820313,96.96969604492188,82.17821502685547,98,97.97979736328125,88,97,99,99,98,83,96.96969604492188,86.73469543457031,16665841664,4294963200,5623058432,274726912
999,1744937561110,11426.119491577148,3950,0,1.3,23990.100524902344,3950,0,1.3,1917.5602416992188,3950,0,1.3,19416.935958862305,3950,0,1.3,65363.063415527344,3950,0,1.3,25340.338088989258,3950,0,1.3,9645.469741821289,3975,0,1.2875,36838.38035583496,3975,0,1.2875,62858.55909729004,2124,3112,2039,1976,2385,2096,2195,1953,2129,1988,2173,2195,2019,2010,2088,2880,95.9595947265625,91.919189453125,98.98989868164063,96,96.03960418701172,88.8888931274414,87.8787841796875,97,96,97.97979736328125,95,98,96.96969604492188,86,98,90,16665841664,4294963200,5622476800,274726912
999,1744937562110,11436.219207763672,3975,0,1.3,24000.78045654297,3975,0,1.3,1928.0745086669922,3975,0,1.3,19426.8761138916,3975,0,1.3,65373.22312927246,3975,0,1.3,25350.794174194336,3975,0,1.3,9655.268600463867,3975,0,1.31875,36848.32662963867,3975,0,1.31875,62948.87586975098,2124,3112,2039,1976,2385,2096,2195,1953,2129,1988,2173,2195,2019,2010,2088,2880,95,99,98,87,99,91,92,99,96.96969604492188,93,97,98,88.8888931274414,86.86868286132813,99.00990295410156,98,16665841664,4294963200,5621956608,274726912
1000,1744937563110,11445.231185913086,3950,0,1.3,24010.062438964844,3950,0,1.3,1937.4914093017578,3950,0,1.3,19436.03988647461,3950,0,1.3,65382.25076293945,3950,0,1.3,25360.306716918945,3950,0,1.3,9664.585678100586,3950,0,1.3,36857.16018676758,3950,0,1.3,63032.49055480957,2124,3112,2039,1976,2385,2096,2195,1953,2129,1988,2173,2195,2019,2010,2088,2880,96.96969604492188,96.03960418701172,98.01980590820313,97,92.92929077148438,89,93.93939208984375,84.8484878540039,97.97979736328125,98,92.92929077148438,96.96969604492188,88.8888931274414,83.33332824707031,89.79591369628906,89,16665841664,4294963200,5629812736,274726912
1003,1744937564111,11455.241271972656,3950,0,1.29375,24019.453125,3950,0,1.29375,1947.2055206298828,3950,0,1.29375,19445.640029907227,3950,0,1.29375,65391.99345397949,3950,0,1.29375,25369.670166015625,3950,0,1.29375,9674.401321411133,3950,0,1.29375,36866.99987792969,3950,0,1.29375,63119.25590515137,2124,3112,2039,1976,2385,2096,2195,1953,2129,1988,2173,2195,2019,2010,2088,2880,97.97979736328125,74.22679901123047,97.97979736328125,98.98989868164063,97.97979736328125,96.96969604492188,96,92,98,93.93939208984375,86.86868286132813,91,95,93.87755584716797,90.19607543945313,95,16665841664,4294963200,5627777024,274726912
999,1744937565115,11465.770263671875,3925,0,1.2875,24029.900466918945,3925,0,1.2875,1957.3060913085938,3925,0,1.2875,19456.06019592285,3925,0,1.2875,65402.00134277344,3925,0,1.2875,25379.835189819336,3925,0,1.2875,9684.530807495117,3925,0,1.2875,36876.206298828125,3925,0,1.2875,63209.4143371582,2124,3112,2039,1976,2385,2096,2195,1953,2129,1988,2173,2195,2019,2010,2088,2880,99.00990295410156,96,93.93939208984375,98,75.51020050048828,91,98,92.92929077148438,92.07920837402344,99,93.13725280761719,97,97,97,94.94949340820313,94.94949340820313,16665841664,4294963200,5625982976,274726912
1000,1744937566115,11474.697937011719,3950,0,1.30625,24039.03419494629,3950,0,1.30625,1966.5014190673828,3950,0,1.30625,19465.40509033203,3950,0,1.30625,65411.0891418457,3950,0,1.30625,25388.491088867188,3950,0,1.30625,9693.594055175781,3950,0,1.30625,36884.80204772949,3950,0,1.30625,63291.92492675781,2124,3112,2039,1976,2385,2096,2195,1953,2129,1988,2173,2195,2019,2010,2088,2880,97.97979736328125,91,98.98989868164063,98,99,82,86.86868286132813,89,91.919189453125,97.97979736328125,96.96969604492188,88.8888931274414,96.93877410888672,98,92.92929077148438,92,16665841664,4294963200,5621448704,274726912
999,1744937567116,11484.959838867188,3950,0,1.3,24049.220504760742,3950,0,1.3,1976.6268310546875,3950,0,1.3,19475.265258789063,3950,0,1.3,65420.741928100586,3950,0,1.3,25397.874282836914,3950,0,1.3,9703.927352905273,3950,0,1.3,36894.918701171875,3950,0,1.3,63381.49087524414,2124,3112,2039,1976,2385,2096,2195,1953,2129,1988,2173,2195,2019,2010,2088,2880,98.01980590820313,94.94949340820313,98,97.97979736328125,83.83838653564453,77,98,97.97979736328125,90,96.96969604492188,85.85858154296875,96,97.02970123291016,98,98.01980590820313,91,16665841664,4294963200,5618692096,274726912
999,1744937568116,11494.574005126953,3925,0,1.29375,24059.20118713379,3925,0,1.29375,1986.6385192871094,3925,0,1.2875,19484.79981994629,3925,0,1.2875,65430.906188964844,3925,0,1.2875,25408.06135559082,3925,0,1.2875,9712.544021606445,3925,0,1.2875,36904.61019897461,3925,0,1.2875,63468.80564880371,2124,3112,2039,1976,2385,2096,2195,1953,2129,1988,2173,2195,2019,2010,2088,2880,98.98989868164063,98.98989868164063,98,95.91836547851563,94.94949340820313,97.97979736328125,94,95,91.919189453125,98.01980590820313,98.98989868164063,98,99,98.98989868164063,98.98989868164063,89,16665841664,4294963200,5618241536,274726912
