Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744865794168,60107.79472351074,2200,2,0.84375,7078.313522338867,2200,2,0.84375,64084.15382385254,2200,2,0.84375,6001.259536743164,2200,2,0.84375,58549.69802856445,2200,2,0.84375,11965.511291503906,2200,2,0.84375,64706.14306640625,2200,2,0.84375,16577.33366394043,2200,2,0.84375,49900.386627197266,2125,3134,2125,2054,2188,2089,2193,1981,2171,1985,2186,2191,2098,2196,2060,3161,0,3.4482758045196533,3.5714287757873535,0,0,3.4482758045196533,3.4482758045196533,0,10.344827651977539,3.4482758045196533,0,3.5714287757873535,3.4482758045196533,0,3.5714287757873535,0,16665841664,4294963200,912326656,245366784
1000,1744865794168,60107.794921875,2200,2,0.84375,7078.313674926758,2200,2,0.84375,64084.1570892334,2200,2,0.84375,6001.259674072266,2200,2,0.84375,58549.698181152344,2200,2,0.84375,11965.511459350586,2200,2,0.84375,64706.146575927734,2200,2,0.84375,16577.333755493164,2200,2,0.84375,49900.39839172363,2125,3134,2125,2054,2188,2089,2193,1981,2171,1985,2186,2191,2098,2196,2060,3161,0,3.4482758045196533,3.5714287757873535,0,0,3.4482758045196533,3.4482758045196533,0,10.344827651977539,3.4482758045196533,0,3.5714287757873535,3.4482758045196533,0,3.5714287757873535,0,16665841664,4294963200,912842752,245366784
999,1744865795168,60112.72816467285,4000,0,1.30625,7084.010147094727,4000,0,1.33125,64093.29963684082,4000,0,1.33125,6005.904678344727,4000,0,1.33125,58554.73524475098,4000,0,1.33125,11971.396728515625,4000,0,1.33125,64711.29493713379,4000,0,1.33125,16583.48957824707,4000,0,1.33125,49959.426193237305,2125,3134,2125,2054,2188,2089,2193,1981,2171,1985,2186,2191,2098,2196,2060,3161,45.45454788208008,44,42,45.09803771972656,55.4455451965332,56.56565475463867,50.50504684448242,58.999996185302734,80,52,40.4040412902832,47,39.39393997192383,50.495052337646484,54.000003814697266,58.999996185302734,16665841664,4294963200,1962246144,245366784
999,1744865796169,60120.92207336426,3975,0,1.3,7092.242568969727,3975,0,1.3,64101.11511230469,3975,0,1.3,6013.373764038086,3975,0,1.3,58562.850158691406,3975,0,1.3,11979.612518310547,3975,0,1.30625,64719.77359008789,3975,0,1.30625,16591.425506591797,3975,0,1.30625,50032.71617126465,2125,3134,2125,2054,2188,2089,2193,1981,2171,1985,2186,2191,2098,2196,2060,3161,94,94.94949340820313,99,94.94949340820313,95,94.94949340820313,99.00990295410156,99,100,95,96.03960418701172,96,93,94.94949340820313,95,95,16665841664,4294963200,2426753024,245366784
999,1744865797169,60129.88529968262,3975,0,1.3125,7101.119400024414,3975,0,1.3125,64110.010681152344,3975,0,1.3125,6022.113433837891,3975,0,1.3125,58571.556060791016,3975,0,1.3125,11988.358215332031,3975,0,1.3125,64728.16563415527,3975,0,1.3125,16599.632278442383,3975,0,1.3125,50110.78436279297,2125,3134,2125,2054,2188,2089,2193,1981,2171,1985,2186,2191,2098,2196,2060,3161,98.98989868164063,94.05941009521484,97.02970123291016,96,100,96,95,95,95.9595947265625,98,97.95918273925781,95,97.02970123291016,97.02970123291016,97,98.01980590820313,16665841664,4294963200,2721640448,245366784
999,1744865798169,60138.88905334473,3975,0,1.3125,7109.998245239258,3975,0,1.3125,64118.44607543945,3975,0,1.3125,6031.048614501953,3975,0,1.3125,58580.54231262207,3975,0,1.3125,11997.100616455078,3975,0,1.3125,64736.77476501465,3975,0,1.3125,16608.159622192383,3975,0,1.3125,50188.949462890625,2125,3134,2125,2054,2188,2089,2193,1981,2171,1985,2186,2191,2098,2196,2060,3161,99.00990295410156,100,100,98.01980590820313,98,100,99,99,99,98,98.01980590820313,98.98989868164063,97.97979736328125,99,98.98989868164063,100,16665841664,4294963200,3090649088,245366784
1002,1744865799169,60147.73718261719,3950,0,1.2875,7119.01091003418,3950,0,1.29375,64127.583572387695,3950,0,1.29375,6040.218170166016,3950,0,1.29375,58589.393478393555,3950,0,1.29375,12006.728210449219,3950,0,1.29375,64745.77737426758,3950,0,1.29375,16616.92417907715,3950,0,1.29375,50269.325256347656,2125,3134,2125,2054,2188,2089,2193,1981,2171,1985,2186,2191,2098,2196,2060,3161,99,98.01980590820313,98,98.98989868164063,99,97.97979736328125,98.01980590820313,98.98989868164063,99,99,97.97979736328125,98,99,95.91836547851563,98.01980590820313,97,16665841664,4294963200,3267670016,245366784
999,1744865800171,60157.80751037598,3975,0,1.3125,7128.77001953125,3975,0,1.3125,64137.43843078613,3975,0,1.3125,6049.5526123046875,3975,0,1.3125,58598.76681518555,3975,0,1.3125,12016.669082641602,3975,0,1.3125,64755.11152648926,3975,0,1.3125,16626.50811767578,3975,0,1.30625,50354.93132019043,2125,3134,2125,2054,2188,2089,2193,1981,2171,1985,2186,2191,2098,2196,2060,3161,98,97,96.03960418701172,97.02970123291016,97.02970123291016,97,96.96969604492188,95,98,98.98989868164063,98.01980590820313,97.97979736328125,97,97.05882263183594,96.96969604492188,97.97979736328125,16665841664,4294963200,4269924352,245366784
1000,1744865801171,60165.48500061035,3975,0,1.3125,7136.9697265625,3975,0,1.3125,64145.37825012207,3975,0,1.3125,6057.33447265625,3975,0,1.3125,58606.706634521484,3975,0,1.3125,12024.77880859375,3975,0,1.3125,64763.19061279297,3975,0,1.3125,16634.725646972656,3975,0,1.3125,50427.61820983887,2125,3134,2125,2054,2188,2089,2193,1981,2171,1985,2186,2191,2098,2196,2060,3161,99,99,97.97979736328125,94.94949340820313,90.90909576416016,97,99,96,98.01980590820313,99,96.96969604492188,99.00990295410156,99,95.9595947265625,99,98.01980590820313,16665841664,4294963200,4715831296,245366784
999,1744865802173,60175.96601867676,3950,0,1.29375,7147.839981079102,3950,0,1.29375,64156.06967163086,3950,0,1.29375,6068.143478393555,3975,0,1.3,58617.50910949707,3975,0,1.3,12035.666107177734,3975,0,1.3,64773.399154663086,3975,0,1.3,16643.059463500977,3950,0,1.30625,50518.638442993164,2125,3134,2125,2054,2188,2089,2193,1981,2171,1985,2186,2191,2098,2196,2060,3161,91.83673095703125,97,98,99,99,99,97.02970123291016,92,95.9595947265625,98,97,99,97.97979736328125,95,94,99,16665841664,4294963200,4742410240,245366784
999,1744865803173,60184.965408325195,3950,0,1.3,7157.152236938477,3950,0,1.3,64165.256286621094,3950,0,1.3,6077.38981628418,3950,0,1.3,58626.15802001953,3950,0,1.3,12044.792022705078,3950,0,1.3,64782.438049316406,3950,0,1.3,16652.131301879883,3950,0,1.3,50600.3331451416,2125,3134,2125,2054,2188,2089,2193,1981,2171,1985,2186,2191,2098,2196,2060,3161,97.02970123291016,98.9795913696289,98.98989868164063,89.89899444580078,86.86868286132813,97.97979736328125,98.98989868164063,97.02970123291016,94,97.97979736328125,95.9595947265625,87.8787841796875,95,91,88.8888931274414,99,16665841664,4294963200,5318881280,245366784
999,1744865804173,60194.65516662598,3975,0,1.3125,7166.72688293457,3975,0,1.3125,64175.0456237793,3975,0,1.3125,6086.596664428711,3975,0,1.31875,58635.72431945801,3975,0,1.31875,12054.313552856445,3975,0,1.31875,64791.7734375,3975,0,1.31875,16661.845809936523,3975,0,1.31875,50685.917388916016,2125,3134,2125,2054,2188,2089,2193,1981,2171,1985,2186,2191,2098,2196,2060,3161,93.93939208984375,92.07920837402344,97,80.41236877441406,97.02970123291016,97,97.97979736328125,97.97979736328125,97.97979736328125,89,96,83.83838653564453,97.97979736328125,98,96.96969604492188,90.90909576416016,16665841664,4294963200,5672718336,245366784
1000,1744865805173,60204.96795654297,3950,0,1.3,7177.137542724609,3950,0,1.3,64185.36082458496,3950,0,1.3,6096.513717651367,3950,0,1.3,58646.39892578125,3950,0,1.3,12064.600326538086,3950,0,1.3,64801.740783691406,3950,0,1.3,16672.428909301758,3950,0,1.3,50776.54721069336,2125,3134,2125,2054,2188,2089,2193,1981,2171,1985,2186,2191,2098,2196,2060,3161,89,100,99,99,96.96969604492188,92.92929077148438,98.01980590820313,97,98.01980590820313,92,92.92929077148438,98.98989868164063,84,98,99,93,16665841664,4294963200,5682253824,245366784
1002,1744865806173,60213.4715423584,3950,0,1.29375,7186.664337158203,3950,0,1.29375,64194.38822937012,3950,0,1.29375,6106.083511352539,3950,0,1.29375,58655.08598327637,3950,0,1.29375,12073.864959716797,3950,0,1.29375,64810.6785736084,3950,0,1.29375,16681.51187133789,3950,0,1.29375,50858.753997802734,2125,3134,2125,2054,2188,2089,2193,1981,2171,1985,2186,2191,2098,2196,2060,3161,77.31958770751953,98,98.01980590820313,98,98.01980590820313,95,97.97979736328125,96,86.73469543457031,97,92.07920837402344,96,93.93939208984375,97.97979736328125,98.01980590820313,98,16665841664,4294963200,5688389632,245366784
