Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745035067587,3958.996551513672,2200,2,0.84375,63045.906341552734,2200,2,0.84375,44566.79244995117,2200,2,0.84375,1688.6656951904297,2200,2,0.84375,61991.975173950195,2200,2,0.84375,3581.1394653320313,2200,2,0.84375,53202.92834472656,2200,2,0.84375,24397.293991088867,2200,2,0.84375,23071.614990234375,1889,3187,2123,2083,2190,2014,1955,2195,2151,2282,2136,2195,2119,2193,2186,3186,3.125,0,3.125,0,3.0303030014038086,6.060606002807617,0,6.060606002807617,3.0303030014038086,3.125,3.125,9.67741870880127,0,0,3.125,3.0303030014038086,16665841664,4294963200,866140160,290979840
1002,1745035067587,3958.9974517822266,2200,2,0.85,63045.90644836426,2200,2,0.85,44566.792572021484,2200,2,0.85,1688.6658477783203,2200,2,0.85,61991.975326538086,2200,2,0.85,3581.142791748047,2200,2,0.85,53202.92849731445,2200,2,0.85,24397.29443359375,2200,2,0.85,23071.636688232422,1889,3187,2123,2083,2190,2014,1955,2195,2151,2282,2136,2195,2119,2193,2186,3186,3.125,0,3.125,0,3.0303030014038086,6.060606002807617,0,6.060606002807617,3.0303030014038086,3.125,3.125,9.67741870880127,0,0,3.125,3.0303030014038086,16665841664,4294963200,866140160,290979840
999,1745035068590,3965.4820098876953,4000,0,1.31875,63050.98092651367,4000,0,1.31875,44571.21223449707,4000,0,1.31875,1692.7221221923828,4000,0,1.31875,61999.27035522461,4000,0,1.31875,3589.411849975586,4000,0,1.31875,53207.88691711426,4000,0,1.31875,24402.052932739258,4000,0,1.31875,23129.476531982422,1889,3187,2123,2083,2190,2014,1955,2195,2151,2282,2136,2195,2119,2193,2186,3186,62,34.653465270996094,49,40,56.12244415283203,43,37.62376403808594,48,42,37,60.000003814697266,67,52.999996185302734,29.702970504760742,39,55,16665841664,4294963200,1784352768,290979840
1003,1745035069590,3974.2937774658203,3975,0,1.2875,63059.21505737305,3975,0,1.2875,44579.74794006348,3975,0,1.2875,1700.3348388671875,3975,0,1.2875,62007.66232299805,3975,0,1.2875,3597.505416870117,3975,0,1.2875,53215.787857055664,3975,0,1.30625,24410.01530456543,3975,0,1.30625,23204.410354614258,1889,3187,2123,2083,2190,2014,1955,2195,2151,2282,2136,2195,2119,2193,2186,3186,97,96.96969604492188,95.9595947265625,92.92929077148438,96,94,100,95,98,96,95,95,96,97,95.9595947265625,95.9595947265625,16665841664,4294963200,2251825152,290979840
999,1745035070594,3983.100616455078,3975,0,1.3125,63067.74305725098,3975,0,1.3125,44588.343994140625,3975,0,1.3125,1708.7711944580078,3975,0,1.3125,62016.256286621094,3975,0,1.3125,3607.2101440429688,3975,0,1.3125,53224.0643157959,3975,0,1.3125,24419.292083740234,3975,0,1.3125,23283.61279296875,1889,3187,2123,2083,2190,2014,1955,2195,2151,2282,2136,2195,2119,2193,2186,3186,97.97979736328125,95.04950714111328,97,97,96.07843017578125,98.01980590820313,98.01980590820313,98.01980590820313,97,97.02970123291016,96.96969604492188,98,95.9595947265625,97,96,97,16665841664,4294963200,2729291776,290979840
999,1745035071594,3990.7958221435547,3975,0,1.30625,63076.8094329834,3975,0,1.30625,44596.055908203125,3975,0,1.30625,1717.4706268310547,3975,0,1.30625,62024.64595031738,3975,0,1.30625,3615.7423095703125,3975,0,1.30625,53232.247009277344,3975,0,1.30625,24427.521850585938,3975,0,1.30625,23359.642364501953,1889,3187,2123,2083,2190,2014,1955,2195,2151,2282,2136,2195,2119,2193,2186,3186,99.00990295410156,100,99,100,100,100,100,100,100,100,99,100,98,100,100,99,16665841664,4294963200,3346542592,290979840
999,1745035072594,4000.525894165039,3950,0,1.29375,63085.878677368164,3950,0,1.29375,44605.06440734863,3950,0,1.29375,1727.5456237792969,3950,0,1.29375,62034.112396240234,3950,0,1.29375,3625.4854125976563,3950,0,1.29375,53241.71565246582,3950,0,1.29375,24437.25538635254,3950,0,1.29375,23442.926010131836,1889,3187,2123,2083,2190,2014,1955,2195,2151,2282,2136,2195,2119,2193,2186,3186,99,98.9795913696289,99,98.98989868164063,100,99.01960754394531,98.98989868164063,99,100,98.98989868164063,98,98.01980590820313,99,99.00990295410156,100,99,16665841664,4294963200,3594526720,290979840
999,1745035073595,4010.1554565429688,3975,0,1.30625,63095.67729187012,3975,0,1.30625,44614.71243286133,3975,0,1.30625,1737.2733612060547,3975,0,1.30625,62044.009521484375,3975,0,1.30625,3634.1710815429688,3975,0,1.30625,53250.869552612305,3975,0,1.30625,24446.30015563965,3975,0,1.30625,23527.498809814453,1889,3187,2123,2083,2190,2014,1955,2195,2151,2282,2136,2195,2119,2193,2186,3186,95.9595947265625,95.04950714111328,95.9595947265625,96.07843017578125,93.06930541992188,97.97979736328125,96.03960418701172,97.97979736328125,94.94949340820313,93,96.96969604492188,93.93939208984375,97,95.9595947265625,96,95,16665841664,4294963200,4165066752,290979840
1002,1745035074595,4018.011962890625,3950,0,1.2875,63103.99644470215,3950,0,1.2875,44622.383361816406,3950,0,1.2875,1745.4460754394531,3950,0,1.2875,62052.162826538086,3950,0,1.3,3642.259750366211,3950,0,1.3,53258.70896911621,3950,0,1.3,24454.809768676758,3950,0,1.3,23601.894256591797,1889,3187,2123,2083,2190,2014,1955,2195,2151,2282,2136,2195,2119,2193,2186,3186,99,97,99,95.9595947265625,100,98,97,98.01980590820313,99,98,99,97,97.97979736328125,97.02970123291016,98.01980590820313,98,16665841664,4294963200,4189323264,290979840
999,1745035075597,4028.677474975586,3975,0,1.30625,63114.64178466797,3975,0,1.30625,44632.504150390625,3975,0,1.30625,1755.9976654052734,3975,0,1.30625,62062.68592834473,3975,0,1.30625,3652.939895629883,3975,0,1.30625,53267.62109375,3975,0,1.30625,24465.237670898438,3975,0,1.30625,23693.35353088379,1889,3187,2123,2083,2190,2014,1955,2195,2151,2282,2136,2195,2119,2193,2186,3186,95.9595947265625,97.97979736328125,93,98,96,97,86.86868286132813,94.94949340820313,83,97,97,96.96969604492188,94.11764526367188,96.96969604492188,98.98989868164063,94,16665841664,4294963200,4197322752,290979840
