Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745076074367,30211.2520904541,2200,2,0.85,44611.285400390625,2200,2,0.85,21877.400680541992,2200,2,0.85,47021.5203704834,2200,2,0.85,4953.906021118164,2200,2,0.85,54562.21446228027,2200,2,0.85,29229.96270751953,2200,2,0.85,8083.618316650391,2200,2,0.85,9853.722549438477,2129,3192,2193,2128,2195,2194,2193,2047,2128,2127,2102,2195,2194,1898,2155,3193,3.846153974533081,7.407407283782959,0,3.846153974533081,3.846153974533081,3.846153974533081,3.846153974533081,3.846153974533081,0,0,3.846153974533081,0,7.142857551574707,3.846153974533081,3.7037036418914795,3.7037036418914795,16665841664,4294963200,853319680,297271296
999,1745076074367,30211.252182006836,2200,2,0.84375,44611.28869628906,2200,2,0.84375,21877.400924682617,2200,2,0.84375,47021.52052307129,2200,2,0.85,4953.906173706055,2200,2,0.85,54562.214614868164,2200,2,0.85,29229.962860107422,2200,2,0.85,8083.621780395508,2200,2,0.85,9853.746780395508,2129,3192,2193,2128,2195,2194,2193,2047,2128,2127,2102,2195,2194,1898,2155,3193,3.846153974533081,7.407407283782959,0,3.846153974533081,3.846153974533081,3.846153974533081,3.846153974533081,3.846153974533081,0,0,3.846153974533081,0,7.142857551574707,3.846153974533081,3.7037036418914795,3.7037036418914795,16665841664,4294963200,853807104,297271296
999,1745076075367,30219.258193969727,2050,2,1.40625,44622.9342956543,4100,0,1.40625,21883.33462524414,2733.333333333333,2,1.40625,47028.76742553711,4100,0,1.40625,4961.127731323242,4100,0,1.40625,54569.00668334961,2733.333333333333,2,1.40625,29237.110778808594,4100,0,1.40625,8090.879623413086,4100,0,1.40625,9925.085235595703,2129,3192,2193,2128,2195,2194,2193,2047,2128,2127,2102,2195,2194,1898,2155,3193,83.16831970214844,43.43434143066406,5,7,88,13.13131332397461,27.7227725982666,0.9900990128517151,70.5882339477539,84,3,73.52941131591797,61.61616516113281,88.8888931274414,55,62.24489974975586,16665841664,4294963200,1275506688,297271296
999,1745076076367,30219.602600097656,2125,2,1.4375,44638.12110900879,4250,0,1.4375,21883.853591918945,2125,2,1.4375,47029.55561828613,2125,2,1.4375,4962.587463378906,2200,2,1.4375,54570.00863647461,2200,2,1.4375,29239.883834838867,2200,2,1.4375,8092.837539672852,2200,2,1.4375,9962.845092773438,2129,3192,2193,2128,2195,2194,2193,2047,2128,2127,2102,2195,2194,1898,2155,3193,0,1.0101009607315063,0,0,9.90099048614502,0.9900990128517151,1,0,3,4,1,4,18.81188201904297,10.891088485717773,0,98.01980590820313,16665841664,4294963200,1395240960,297271296
999,1745076077367,30219.71859741211,2137.5,2,1.45,44653.57369995117,4275,0,1.45,21883.946548461914,2112.5,2,1.45,47029.66076660156,2112.5,2,1.45,4962.66960144043,2200,2,1.45,54570.13116455078,2200,2,1.45,29239.98989868164,2200,2,1.45,8093.30744934082,2200,2,1.45,9992.196014404297,2129,3192,2193,2128,2195,2194,2193,2047,2128,2127,2102,2195,2194,1898,2155,3193,0,1,0,0,0,1,1.9801980257034302,1,1,1.9801980257034302,0,1,0,1,1,98,16665841664,4294963200,1486073856,297271296
999,1745076078368,30219.849182128906,2137.5,2,1.4312500000000001,44669.22625732422,4275,0,1.4312500000000001,21884.059768676758,2112.5,2,1.4312500000000001,47029.761001586914,2112.5,2,1.4312500000000001,4962.78401184082,2200,2,1.4312500000000001,54570.24987792969,2200,2,1.4312500000000001,29240.112579345703,2200,2,1.4312500000000001,8093.41943359375,2200,2,1.45,10021.397064208984,2129,3192,2193,2128,2195,2194,2193,2047,2128,2127,2102,2195,2194,1898,2155,3193,0,1.9801980257034302,0,0,1.9801980257034302,0,0,1,1,0,2,1.0101009607315063,0,1.9801980257034302,1,99,16665841664,4294963200,1486848000,297271296
999,1745076079368,30220.012435913086,2125,2,1.4375,44684.83491516113,4250,0,1.44375,21884.197845458984,2125,2,1.44375,47029.878662109375,2125,2,1.44375,4962.913040161133,2200,2,1.44375,54570.41586303711,2200,2,1.44375,29240.23634338379,2200,2,1.44375,8093.54948425293,2200,2,1.44375,10050.759750366211,2129,3192,2193,2128,2195,2194,2193,2047,2128,2127,2102,2195,2194,1898,2155,3193,0,87.8787841796875,0,0,1.0101009607315063,0,1,2,1.0101009607315063,1,1,1.9801980257034302,0,1.0101009607315063,2,12,16665841664,4294963200,1489162240,297271296
999,1745076080368,30220.14192199707,2112.5,2,1.475,44700.26107788086,4225,0,1.475,21884.318756103516,2112.5,2,1.475,47029.97741699219,2112.5,2,1.475,4963.029083251953,2200,2,1.475,54570.67576599121,2200,2,1.475,29240.347900390625,2200,2,1.475,8093.66828918457,2200,2,1.475,10079.775329589844,2129,3192,2193,2128,2195,2194,2193,2047,2128,2127,2102,2195,2194,1898,2155,3193,0,4.95049524307251,1.9607844352722168,0,1.9801980257034302,1.0101009607315063,0,1,0.9900990128517151,1.9801980257034302,1,1.0101009607315063,1.9801980257034302,1,1,95,16665841664,4294963200,1523539968,297271296
999,1745076081368,30220.264251708984,2112.5,2,1.44375,44715.90588378906,4225,0,1.44375,21884.446853637695,2112.5,2,1.44375,47030.091064453125,2112.5,2,1.44375,4963.1488037109375,2200,2,1.44375,54570.81593322754,2200,2,1.44375,29240.480590820313,2200,2,1.44375,8093.786193847656,2200,2,1.44375,10109.10758972168,2129,3192,2193,2128,2195,2194,2193,2047,2128,2127,2102,2195,2194,1898,2155,3193,0,1.0101009607315063,1.0101009607315063,0,0,1,1.0101009607315063,0,2,1.0101009607315063,2,1.9801980257034302,1,1.9801980257034302,1.9801980257034302,99,16665841664,4294963200,1524830208,297271296
999,1745076082368,30220.402389526367,2112.5,2,1.475,44731.477951049805,4225,0,1.475,21884.60121154785,2112.5,2,1.475,47030.21047973633,2112.5,2,1.475,4963.2833251953125,2200,2,1.475,54570.962326049805,2200,2,1.475,29240.614974975586,2200,2,1.475,8093.929061889648,2200,2,1.425,10138.709274291992,2129,3192,2193,2128,2195,2194,2193,2047,2128,2127,2102,2195,2194,1898,2155,3193,0,1,1,0,1.9801980257034302,1.9801980257034302,1.9801980257034302,0.9900990128517151,2,1.9801980257034302,1,1.0101009607315063,2,1.0101009607315063,1.0101009607315063,98,16665841664,4294963200,1525661696,297271296
