Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744825567295,51966.74174499512,2200,2,0.85,25919.232513427734,2200,2,0.85,20897.34944152832,2200,2,0.85,27412.27426147461,2200,2,0.85,46601.91716003418,2200,2,0.85,27486.942260742188,2200,2,0.85,20353.70802307129,2200,2,0.85,25568.61978149414,2200,2,0.85,18145.098541259766,2186,3192,2128,2127,2195,2188,2193,2195,2192,2188,2093,2194,2118,2187,2127,2165,0,0,3.7037036418914795,0,3.7037036418914795,0,0,0,7.142857551574707,0,3.7037036418914795,0,0,7.407407283782959,0,3.5714287757873535,16665841664,4294963200,930009088,213909504
999,1744825567295,51966.7419128418,2200,2,0.85,25919.232620239258,2200,2,0.85,20897.351043701172,2200,2,0.85,27412.274368286133,2200,2,0.85,46601.9172668457,2200,2,0.85,27486.942443847656,2200,2,0.84375,20353.70817565918,2200,2,0.84375,25568.620986938477,2200,2,0.84375,18145.12026977539,2186,3192,2128,2127,2195,2188,2193,2195,2192,2188,2093,2194,2118,2187,2127,2165,0,0,3.7037036418914795,0,3.7037036418914795,0,0,0,7.142857551574707,0,3.7037036418914795,0,0,7.407407283782959,0,3.5714287757873535,16665841664,4294963200,930009088,213909504
999,1744825568295,51974.8074798584,4050,0,1.34375,25926.291061401367,4050,0,1.34375,20909.008712768555,4050,0,1.34375,27419.494705200195,4050,0,1.34375,46609.14958190918,4050,0,1.34375,27493.694458007813,2025,2,1.34375,20361.024185180664,4050,0,1.34375,25575.566970825195,4050,0,1.34375,18217.9093170166,2186,3192,2128,2127,2195,2188,2193,2195,2192,2188,2093,2194,2118,2187,2127,2165,58,22,7,7,11,64.35643768310547,1,6.060606002807617,98.98989868164063,90,79,16,87,78,89,64.6464614868164,16665841664,4294963200,1379467264,213909504
999,1744825569296,51977.22918701172,4175,0,1.425,25927.400268554688,2087.5,2,1.425,20913.296463012695,2087.5,2,1.425,27425.431106567383,2783.333333333333,2,1.425,46618.804458618164,4175,0,1.425,27495.20281982422,4175,0,1.425,20362.858367919922,2087.5,2,1.425,25578.761306762695,2087.5,2,1.425,18261.942184448242,2186,3192,2128,2127,2195,2188,2193,2195,2192,2188,2093,2194,2118,2187,2127,2165,12.121212005615234,7.070706844329834,0,0,0,2,1,1.9801980257034302,27.272727966308594,51.51515197753906,64,10,11.111111640930176,21,3.0303030014038086,1,16665841664,4294963200,1503330304,213909504
999,1744825570296,51993.09815979004,4350,0,1.45,25927.499237060547,2175,2,1.45,20913.44970703125,2137.5,2,1.45,27425.549697875977,2137.5,2,1.45,46619.14485168457,2200,2,1.45,27495.55223083496,2200,2,1.45,20363.031951904297,2200,2,1.45,25578.859436035156,2200,2,1.45,18292.486328125,2186,3192,2128,2127,2195,2188,2193,2195,2192,2188,2093,2194,2118,2187,2127,2165,99,0,0,1,1,0,1,1,1.0101009607315063,0,0.9900990128517151,2,2,0,0.9900990128517151,0.9900990128517151,16665841664,4294963200,1503330304,213909504
999,1744825571296,52009.00564575195,4350,0,1.44375,25927.599838256836,2175,2,1.44375,20913.572723388672,2137.5,2,1.44375,27425.62794494629,2137.5,2,1.44375,46619.2451171875,2200,2,1.44375,27495.640716552734,2200,2,1.44375,20363.131469726563,2200,2,1.44375,25578.96743774414,2200,2,1.45,18322.242279052734,2186,3192,2128,2127,2195,2188,2193,2195,2192,2188,2093,2194,2118,2187,2127,2165,100,0,0,1,1.9801980257034302,0,0,0,1.9801980257034302,0,0,0.9900990128517151,1,0,0,0,16665841664,4294963200,1504104448,213909504
999,1744825572296,52024.72381591797,4275,0,1.4375,25927.72718811035,2137.5,2,1.4375,20913.694793701172,2137.5,2,1.4375,27425.72459411621,2137.5,2,1.4375,46619.34799194336,2200,2,1.4375,27495.733032226563,2200,2,1.4375,20363.21710205078,2200,2,1.4375,25579.073455810547,2200,2,1.4375,18351.470581054688,2186,3192,2128,2127,2195,2188,2193,2195,2192,2188,2093,2194,2118,2187,2127,2165,100,1,0,0.9900990128517151,1,1,0,1,1,0.9900990128517151,1,0,1,0.9900990128517151,1,0,16665841664,4294963200,1586937856,213909504
999,1744825573296,52040.64895629883,4275,0,1.4312500000000001,25927.855209350586,2137.5,2,1.4312500000000001,20913.78419494629,2137.5,2,1.4312500000000001,27425.83171081543,2137.5,2,1.4312500000000001,46619.44055175781,2200,2,1.4312500000000001,27495.824111938477,2200,2,1.4312500000000001,20363.317596435547,2200,2,1.4312500000000001,25579.26348876953,2200,2,1.4312500000000001,18381.233489990234,2186,3192,2128,2127,2195,2188,2193,2195,2192,2188,2093,2194,2118,2187,2127,2165,99,1,0.9900990128517151,0,1,1,0.9900990128517151,0,0,1.9801980257034302,0,0,1,1,1,1.0101009607315063,16665841664,4294963200,1537417216,213909504
999,1744825574296,52056.601501464844,4325,0,1.4312500000000001,25927.986450195313,2162.5,2,1.4312500000000001,20913.885131835938,2125,2,1.425,27425.962783813477,2125,2,1.425,46619.52699279785,2200,2,1.425,27495.911575317383,2200,2,1.425,20363.419891357422,2200,2,1.425,25579.334197998047,2200,2,1.425,18410.930206298828,2186,3192,2128,2127,2195,2188,2193,2195,2192,2188,2093,2194,2118,2187,2127,2165,100,1,1.9801980257034302,0,0,1.9801980257034302,1,0,0,0,0,0,0,0,2,1,16665841664,4294963200,1538449408,213909504
999,1744825575296,52072.513580322266,4350,0,1.4312500000000001,25928.122589111328,2162.5,2,1.45,20913.973709106445,2137.5,2,1.45,27426.066864013672,2137.5,2,1.45,46619.626037597656,2200,2,1.45,27496.026290893555,2200,2,1.45,20363.517990112305,2200,2,1.45,25579.428253173828,2200,2,1.45,18440.43276977539,2186,3192,2128,2127,2195,2188,2193,2195,2192,2188,2093,2194,2118,2187,2127,2165,98.01980590820313,1,0,0,1,0,1,0,0,2,0,0,0,1,1,1,16665841664,4294963200,1540771840,213909504
