Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745010346943,27048.7693939209,2200,2,0.86875,36732.22885131836,2200,2,0.86875,12114.881622314453,2200,2,0.86875,38921.627044677734,2200,2,0.86875,14254.629150390625,2200,2,0.86875,43656.17054748535,2200,2,0.86875,28118.289169311523,2200,2,0.86875,63330.44616699219,2200,2,0.84375,51530.597717285156,2126,3192,2128,2120,2195,2193,2193,2190,2127,2124,2195,2185,2191,2191,2058,3193,3.3333334922790527,3.22580623626709,3.22580623626709,6.45161247253418,3.3333334922790527,6.45161247253418,0,6.45161247253418,3.3333334922790527,13.333333969116211,3.3333334922790527,3.22580623626709,3.22580623626709,3.22580623626709,3.3333334922790527,6.25,16665841664,4294963200,840908800,295174144
999,1745010346943,27048.769622802734,2200,2,0.84375,36732.229095458984,2200,2,0.84375,12114.881759643555,2200,2,0.84375,38921.63023376465,2200,2,0.84375,14254.629302978516,2200,2,0.84375,43656.170639038086,2200,2,0.84375,28118.29086303711,2200,2,0.84375,63330.44625854492,2200,2,0.84375,51530.609130859375,2126,3192,2128,2120,2195,2193,2193,2190,2127,2124,2195,2185,2191,2191,2058,3193,3.3333334922790527,3.22580623626709,3.22580623626709,6.45161247253418,3.3333334922790527,6.45161247253418,0,6.45161247253418,3.3333334922790527,13.333333969116211,3.3333334922790527,3.22580623626709,3.22580623626709,3.22580623626709,3.3333334922790527,6.25,16665841664,4294963200,840908800,295174144
999,1745010347943,27054.852569580078,2025,2,1.34375,36742.297103881836,4050,0,1.34375,12120.885055541992,4050,0,1.34375,38931.51414489746,4050,0,1.34375,14261.183303833008,4050,0,1.34375,43663.33497619629,4050,0,1.34375,28124.79737854004,4050,0,1.34375,63336.7520904541,4050,0,1.34375,51600.434814453125,2126,3192,2128,2120,2195,2193,2193,2190,2127,2124,2195,2185,2191,2191,2058,3193,8.08080768585205,42.156864166259766,11.111111640930176,76,47.52475357055664,80.1980209350586,0.9900990128517151,4.040403842926025,65.3465347290039,49.50495147705078,40.19607925415039,4.040403842926025,72.27722930908203,75,73.26732635498047,83,16665841664,4294963200,1247834112,295174144
999,1745010348943,27055.24317932129,2112.5,2,1.45625,36757.34664916992,4225,0,1.45625,12124.352645874023,2112.5,2,1.4312500000000001,38932.26901245117,2112.5,2,1.4312500000000001,14263.4462890625,2200,2,1.4312500000000001,43664.91212463379,2200,2,1.4312500000000001,28127.660888671875,2200,2,1.4312500000000001,63337.37124633789,2200,2,1.4312500000000001,51641.74305725098,2126,3192,2128,2120,2195,2193,2193,2190,2127,2124,2195,2185,2191,2191,2058,3193,0,6,1,3,13.8613862991333,11,0,0.9900990128517151,28,1,5,1,22.22222328186035,0.9900990128517151,0.9900990128517151,98.98989868164063,16665841664,4294963200,1366020096,295174144
999,1745010349943,27055.399337768555,2112.5,2,1.44375,36772.62239074707,4225,0,1.44375,12125.349975585938,2112.5,2,1.44375,38932.38558959961,2112.5,2,1.44375,14263.572204589844,2200,2,1.44375,43665.021545410156,2200,2,1.44375,28128.2498626709,2200,2,1.44375,63338.09181213379,2200,2,1.44375,51673.74409484863,2126,3192,2128,2120,2195,2193,2193,2190,2127,2124,2195,2185,2191,2191,2058,3193,0,0,0,0,0,0,1,3,7,1.0101009607315063,0,1,2,0,1.0101009607315063,99.00990295410156,16665841664,4294963200,1366536192,295174144
1000,1745010350944,27055.538955688477,2125,2,1.44375,36787.96920776367,4250,0,1.44375,12125.450088500977,2125,2,1.44375,38932.49320983887,2125,2,1.44375,14263.675201416016,2200,2,1.44375,43665.112564086914,2200,2,1.44375,28128.380752563477,2200,2,1.44375,63338.184799194336,2200,2,1.44375,51703.50108337402,2126,3192,2128,2120,2195,2193,2193,2190,2127,2124,2195,2185,2191,2191,2058,3193,0,0,1.9801980257034302,0,0,0,1.9801980257034302,0,1,1,1,1,0,0,0,100,16665841664,4294963200,1368084480,295174144
999,1745010351944,27055.671478271484,2112.5,2,1.44375,36803.341400146484,4225,0,1.44375,12125.55989074707,2112.5,2,1.44375,38932.613845825195,2112.5,2,1.44375,14263.789001464844,2200,2,1.425,43665.2333984375,2200,2,1.425,28128.490264892578,2200,2,1.425,63338.31455993652,2200,2,1.425,51733.41989135742,2126,3192,2128,2120,2195,2193,2193,2190,2127,2124,2195,2185,2191,2191,2058,3193,0,0,1,0,0,0,1,1,0,1.9801980257034302,1,1.9801980257034302,0,0,1,100,16665841664,4294963200,1370750976,295174144
999,1745010352944,27055.803283691406,2112.5,2,1.425,36818.69300842285,4250,0,1.4312500000000001,12125.661544799805,2125,2,1.4312500000000001,38932.73599243164,2125,2,1.4312500000000001,14263.892807006836,2200,2,1.4312500000000001,43665.34201049805,2200,2,1.4312500000000001,28128.619506835938,2200,2,1.4312500000000001,63338.45082092285,2200,2,1.4312500000000001,51763.477294921875,2126,3192,2128,2120,2195,2193,2193,2190,2127,2124,2195,2185,2191,2191,2058,3193,0,0,1,0,1,0,1,1.9801980257034302,0,1,0,1,1,0,1.9801980257034302,99.00990295410156,16665841664,4294963200,1319071744,295174144
999,1745010353944,27055.92448425293,2125,2,1.4375,36833.89709472656,4250,0,1.4375,12125.749053955078,2125,2,1.4375,38932.83729553223,2125,2,1.4375,14263.993515014648,2200,2,1.4375,43665.39598083496,2200,2,1.4375,28128.71485900879,2200,2,1.4375,63338.58174133301,2200,2,1.4375,51793.10998535156,2126,3192,2128,2120,2195,2193,2193,2190,2127,2124,2195,2185,2191,2191,2058,3193,1,0,1,0,0,0,0,1,0,1,1.9801980257034302,0,1,0.9900990128517151,1,100,16665841664,4294963200,1403154432,295174144
999,1745010354944,27056.05744934082,2150,2,1.44375,36849.27256774902,4300,0,1.44375,12125.856536865234,2112.5,2,1.44375,38932.93005371094,2112.5,2,1.44375,14264.096603393555,2200,2,1.44375,43665.49378967285,2200,2,1.44375,28128.798950195313,2200,2,1.44375,63338.70170593262,2200,2,1.44375,51822.867919921875,2126,3192,2128,2120,2195,2193,2193,2190,2127,2124,2195,2185,2191,2191,2058,3193,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,100,16665841664,4294963200,1406242816,295174144
