Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744955251912,46469.50259399414,2200,2,0.85,43830.68817138672,2200,2,0.85,18125.69662475586,2200,2,0.85,39227.40151977539,2200,2,0.85,35203.629959106445,2200,2,0.85,45482.79411315918,2200,2,0.85,31648.20196533203,2200,2,0.85,61341.204666137695,2200,2,0.84375,32864.90702819824,2164,3189,2157,2159,2195,2053,2181,2192,2128,2128,2184,2004,2194,1934,2127,3192,0,3.22580623626709,3.22580623626709,3.3333334922790527,6.45161247253418,0,3.3333334922790527,3.22580623626709,6.896551609039307,0,3.3333334922790527,0,3.3333334922790527,0,6.45161247253418,0,16665841664,4294963200,861380608,282853376
999,1744955251912,46469.50276184082,2200,2,0.85,43830.68832397461,2200,2,0.85,18125.699905395508,2200,2,0.85,39227.40165710449,2200,2,0.85,35203.63020324707,2200,2,0.85,45482.7942199707,2200,2,0.85,31648.20376586914,2200,2,0.85,61341.20477294922,2200,2,0.85,32864.93168640137,2164,3189,2157,2159,2195,2053,2181,2192,2128,2128,2184,2004,2194,1934,2127,3192,0,3.22580623626709,3.22580623626709,3.3333334922790527,6.45161247253418,0,3.3333334922790527,3.22580623626709,6.896551609039307,0,3.3333334922790527,0,3.3333334922790527,0,6.45161247253418,0,16665841664,4294963200,861380608,282853376
1000,1744955252912,46476.62812805176,4000,0,1.31875,43838.457458496094,4000,0,1.31875,18137.178009033203,4000,0,1.31875,39234.447525024414,4000,0,1.31875,35212.18412780762,4000,0,1.31875,45489.45846557617,4000,0,1.31875,31655.417221069336,4000,0,1.31875,61348.2578125,4000,0,1.31875,32937.977462768555,2164,3189,2157,2159,2195,2053,2181,2192,2128,2128,2184,2004,2194,1934,2127,3192,88.11881256103516,88.7755126953125,8,81,80,6,87.8787841796875,85,98,7.070706844329834,89,81,1,4.040403842926025,0,0,16665841664,4294963200,1241862144,282853376
999,1744955253913,46477.709732055664,2162.5,2,1.475,43840.00764465332,2162.5,2,1.475,18152.055633544922,4325,0,1.475,39234.91525268555,2162.5,2,1.475,35214.05418395996,2200,2,1.475,45490.05227661133,2200,2,1.475,31659.387100219727,2200,2,1.475,61348.99247741699,2200,2,1.475,32977.54933166504,2164,3189,2157,2159,2195,2053,2181,2192,2128,2128,2184,2004,2194,1934,2127,3192,7.070706844329834,10,0,0,3,2,22.77227783203125,1,100,1,8,0,8,1,0,0,16665841664,4294963200,1311535104,282853376
1000,1744955254913,46477.8846282959,2150,2,1.46875,43840.121032714844,2150,2,1.46875,18166.984130859375,4300,0,1.46875,39235.07406616211,2150,2,1.46875,35214.15234375,2200,2,1.46875,45491.22074890137,2200,2,1.4375,31660.388397216797,2200,2,1.4375,61349.09120178223,2200,2,1.4375,33009.007583618164,2164,3189,2157,2159,2195,2053,2181,2192,2128,2128,2184,2004,2194,1934,2127,3192,0,0.9900990128517151,0,0,1,1,0,0,99,2,0,8,6,0.9900990128517151,1,1,16665841664,4294963200,1370267648,282853376
999,1744955255914,46478.01071166992,2162.5,2,1.4625000000000001,43840.2190246582,2162.5,2,1.4625000000000001,18182.10612487793,4325,0,1.4625000000000001,39235.181396484375,2162.5,2,1.4625000000000001,35214.244216918945,2200,2,1.4625000000000001,45491.75651550293,2200,2,1.4625000000000001,31660.484115600586,2200,2,1.4625000000000001,61349.164138793945,2200,2,1.4625000000000001,33038.55967712402,2164,3189,2157,2159,2195,2053,2181,2192,2128,2128,2184,2004,2194,1934,2127,3192,0,0,0,0,0,0,0,0,100,1,0,5,1.9801980257034302,0,1,1.9801980257034302,16665841664,4294963200,1371299840,282853376
999,1744955256914,46478.13232421875,2150,2,1.4625000000000001,43840.26351928711,2150,2,1.4625000000000001,18197.224822998047,4300,0,1.4625000000000001,39235.29969787598,2150,2,1.4625000000000001,35214.33819580078,2200,2,1.4625000000000001,45492.01884460449,2200,2,1.4625000000000001,31660.57179260254,2200,2,1.4375,61349.23973083496,2200,2,1.4375,33067.90072631836,2164,3189,2157,2159,2195,2053,2181,2192,2128,2128,2184,2004,2194,1934,2127,3192,1.9801980257034302,0,1,1.9801980257034302,1,1.9801980257034302,0,0,100,1,0,0,1,0,0,0,16665841664,4294963200,1374912512,282853376
999,1744955257914,46478.26681518555,2150,2,1.4312500000000001,43840.316635131836,2150,2,1.4312500000000001,18212.331497192383,4300,0,1.4312500000000001,39235.40998840332,2150,2,1.4312500000000001,35214.4425201416,2200,2,1.4312500000000001,45492.13661193848,2200,2,1.4375,31660.676834106445,2200,2,1.4375,61349.35054016113,2200,2,1.4375,33097.06155395508,2164,3189,2157,2159,2195,2053,2181,2192,2128,2128,2184,2004,2194,1934,2127,3192,1,0,1,1.0101009607315063,1.9801980257034302,1,0,0,99.01960754394531,1.0101009607315063,0,0,1,0.9900990128517151,0,0,16665841664,4294963200,1364652032,282853376
999,1744955258914,46478.4132232666,2150,2,1.475,43840.36590576172,2150,2,1.475,18227.47265625,4300,0,1.475,39235.511947631836,2150,2,1.4375,35214.54248046875,2200,2,1.4375,45492.24418640137,2200,2,1.4375,31660.74398803711,2200,2,1.4375,61349.44960021973,2200,2,1.4375,33126.15542602539,2164,3189,2157,2159,2195,2053,2181,2192,2128,2128,2184,2004,2194,1934,2127,3192,1.0101009607315063,0,2,1,0,1,0,0,100,0,1,0,0,2,0,0,16665841664,4294963200,1369038848,282853376
999,1744955259914,46478.588958740234,2137.5,2,1.4312500000000001,43840.41844177246,2137.5,2,1.4312500000000001,18242.564895629883,4275,0,1.4312500000000001,39235.61309814453,2137.5,2,1.4312500000000001,35214.661560058594,2200,2,1.4312500000000001,45492.34909057617,2200,2,1.4312500000000001,31660.834503173828,2200,2,1.4312500000000001,61349.547607421875,2200,2,1.4312500000000001,33155.385482788086,2164,3189,2157,2159,2195,2053,2181,2192,2128,2128,2184,2004,2194,1934,2127,3192,1,0.9900990128517151,1,1,1.9801980257034302,0,0,0,100,0,1,2,0,1,0,0,16665841664,4294963200,1372135424,282853376
