Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744851112915,35793.64602661133,2200,2,0.85,56649.00646972656,2200,2,0.85,47624.20959472656,2200,2,0.85,57907.4778137207,2200,2,0.85,29781.99085998535,2200,2,0.85,62047.03469848633,2200,2,0.85,50395.955810546875,2200,2,0.85,62891.911392211914,2200,2,0.85,23853.82437133789,2128,3160,2128,2129,2195,2192,2194,1975,2132,2082,2179,2193,2171,2073,2129,3191,0,6.45161247253418,0,3.22580623626709,3.3333334922790527,0,6.45161247253418,3.22580623626709,0,6.45161247253418,0,3.3333334922790527,0,0,10,3.22580623626709,16665841664,4294963200,897851392,242483200
999,1744851112915,35793.64930725098,2200,2,0.84375,56649.006607055664,2200,2,0.84375,47624.2096862793,2200,2,0.84375,57907.47790527344,2200,2,0.84375,29781.990966796875,2200,2,0.84375,62047.03479003906,2200,2,0.84375,50395.955963134766,2200,2,0.85,62891.91488647461,2200,2,0.85,23853.84864807129,2128,3160,2128,2129,2195,2192,2194,1975,2132,2082,2179,2193,2171,2073,2129,3191,0,6.45161247253418,0,3.22580623626709,3.3333334922790527,0,6.45161247253418,3.22580623626709,0,6.45161247253418,0,3.3333334922790527,0,0,10,3.22580623626709,16665841664,4294963200,899137536,242483200
1000,1744851113915,35804.91213989258,4125,0,1.38125,56656.242599487305,4125,0,1.38125,47631.40620422363,4125,0,1.38125,57914.84896850586,4125,0,1.38125,29788.2430267334,2062.5,2,1.38125,62052.886474609375,2062.5,2,1.38125,50403.28321838379,4125,0,1.38125,62900.74333190918,4125,0,1.38125,23925.538055419922,2128,3160,2128,2129,2195,2192,2194,1975,2132,2082,2179,2193,2171,2073,2129,3191,0,82,90,90.90909576416016,77.22772216796875,6.060606002807617,88,88.11881256103516,0,7,6.93069314956665,66,7,63.366336822509766,98,8,16665841664,4294963200,1330552832,242483200
999,1744851114916,35809.677825927734,2200,2,1.44375,56656.63700866699,2200,2,1.44375,47637.67510986328,2200,2,1.44375,57916.09745788574,2200,2,1.44375,29798.767623901367,4150,0,1.44375,62053.40692138672,2075,2,1.44375,50405.92582702637,2075,2,1.44375,62902.225021362305,2075,2,1.44375,23967.412185668945,2128,3160,2128,2129,2195,2192,2194,1975,2132,2082,2179,2193,2171,2073,2129,3191,1,0,55.4455451965332,8.91089153289795,4,1,19,7,0,0,69,1,1,1,32,0,16665841664,4294963200,1448988672,242483200
999,1744851115916,35809.83851623535,2200,2,1.4312500000000001,56656.762603759766,2200,2,1.4312500000000001,47638.67984008789,2200,2,1.4312500000000001,57916.16329956055,2200,2,1.4375,29813.605499267578,4150,0,1.4375,62053.54945373535,2075,2,1.4375,50406.112228393555,2075,2,1.4375,62902.35479736328,2075,2,1.4375,23996.579498291016,2128,3160,2128,2129,2195,2192,2194,1975,2132,2082,2179,2193,2171,2073,2129,3191,0.9900990128517151,0,7,0,1,1.9801980257034302,1,1.9801980257034302,0,0,99,0,1,1,1,1.0101009607315063,16665841664,4294963200,1532051456,242483200
999,1744851116916,35809.96142578125,2200,2,1.44375,56656.86898803711,2200,2,1.44375,47638.77734375,2200,2,1.44375,57916.19819641113,2200,2,1.44375,29828.684036254883,4150,0,1.44375,62053.66764831543,2075,2,1.44375,50406.25390625,2075,2,1.44375,62902.44902038574,2075,2,1.4375,24024.70265197754,2128,3160,2128,2129,2195,2192,2194,1975,2132,2082,2179,2193,2171,2073,2129,3191,0,0,1,0,1,1,1,1.0101009607315063,0,0,100,0,1.0101009607315063,1.0101009607315063,0,1,16665841664,4294963200,1532825600,242483200
999,1744851117916,35810.09509277344,2200,2,1.4312500000000001,56656.990631103516,2200,2,1.4312500000000001,47638.88877868652,2200,2,1.4312500000000001,57916.28771972656,2200,2,1.4312500000000001,29843.67640686035,4150,0,1.4312500000000001,62053.79490661621,2075,2,1.4312500000000001,50406.38912963867,2075,2,1.4312500000000001,62902.58027648926,2075,2,1.4375,24052.835647583008,2128,3160,2128,2129,2195,2192,2194,1975,2132,2082,2179,2193,2171,2073,2129,3191,0,0,0,0,1.9801980257034302,1,1.9801980257034302,1,1,0,99.00990295410156,0.9900990128517151,1.9801980257034302,1,1,1.9801980257034302,16665841664,4294963200,1533341696,242483200
999,1744851118916,35810.24978637695,2200,2,1.44375,56657.108978271484,2200,2,1.44375,47638.99351501465,2200,2,1.44375,57916.397033691406,2200,2,1.44375,29858.707763671875,4150,0,1.44375,62053.934020996094,2075,2,1.44375,50406.54605102539,2075,2,1.44375,62902.6882019043,2075,2,1.44375,24081.027572631836,2128,3160,2128,2129,2195,2192,2194,1975,2132,2082,2179,2193,2171,2073,2129,3191,1,0,0,0,1.0101009607315063,2,1,1.9801980257034302,1.9801980257034302,2.941176414489746,98,0,1,1.9801980257034302,2,2,16665841664,4294963200,1504641024,242483200
999,1744851119916,35810.43061828613,2200,2,1.41875,56657.25157165527,2200,2,1.41875,47639.11860656738,2200,2,1.41875,57916.49987792969,2200,2,1.41875,29873.708740234375,4125,0,1.41875,62054.0690612793,2062.5,2,1.41875,50406.66970825195,2062.5,2,1.41875,62902.799865722656,2075,2,1.41875,24109.36505126953,2128,3160,2128,2129,2195,2192,2194,1975,2132,2082,2179,2193,2171,2073,2129,3191,1,0,0,0,0,1.9801980257034302,1.0101009607315063,1,1.0101009607315063,1,100,0.9900990128517151,0,1,1.9801980257034302,1,16665841664,4294963200,1505931264,242483200
999,1744851120916,35810.580337524414,2200,2,1.4312500000000001,56657.405044555664,2200,2,1.4312500000000001,47639.22430419922,2200,2,1.4312500000000001,57916.6164855957,2200,2,1.4312500000000001,29888.71435546875,4150,0,1.4312500000000001,62054.194763183594,2075,2,1.4312500000000001,50406.80993652344,2075,2,1.4312500000000001,62902.91931152344,2075,2,1.4312500000000001,24137.647094726563,2128,3160,2128,2129,2195,2192,2194,1975,2132,2082,2179,2193,2171,2073,2129,3191,0,1.9801980257034302,0,0,0,1.0101009607315063,1.9801980257034302,0,1.0101009607315063,1.0101009607315063,99,0,0,1,1,2,16665841664,4294963200,1507729408,242483200
999,1744851121916,35810.708572387695,2200,2,1.425,56657.54899597168,2200,2,1.425,47639.33383178711,2200,2,1.425,57916.72285461426,2200,2,1.425,29903.711044311523,4150,0,1.425,62054.35234069824,2075,2,1.425,50406.953033447266,2075,2,1.425,62903.02038574219,2075,2,1.425,24166.028259277344,2128,3160,2128,2129,2195,2192,2194,1975,2132,2082,2179,2193,2171,2073,2129,3191,0,1.0101009607315063,0,0,0,2,0,1.9801980257034302,1.9801980257034302,1,100,0.9900990128517151,2,0,1.0101009607315063,1,16665841664,4294963200,1510051840,242483200
999,1744851122916,35810.84034729004,2200,2,1.44375,56657.701583862305,2200,2,1.44375,47639.45622253418,2200,2,1.44375,57916.82830810547,2200,2,1.44375,29918.723068237305,4150,0,1.44375,62054.47953796387,2075,2,1.44375,50407.08572387695,2075,2,1.44375,62903.12791442871,2075,2,1.4375,24194.23307800293,2128,3160,2128,2129,2195,2192,2194,1975,2132,2082,2179,2193,2171,2073,2129,3191,1.9801980257034302,1.9801980257034302,0,0,0,1,2.941176414489746,1,1,1.9801980257034302,100,0,1,0,0,1.0101009607315063,16665841664,4294963200,1513664512,242483200
