Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745031046538,63930.045974731445,2200,2,0.85,57981.85511779785,2200,2,0.85,38926.64353942871,2200,2,0.85,59857.78356933594,2200,2,0.85,55153.56042480469,2200,2,0.85,64707.98649597168,2200,2,0.85,47502.629455566406,2200,2,0.85,19549.028289794922,2200,2,0.85,4296.068939208984,2122,3189,2118,2171,2195,2018,2195,1996,2129,2129,2194,2176,2194,2189,2128,2226,0,0,3.7037036418914795,7.692307949066162,0,0,3.7037036418914795,7.407407283782959,0,3.7037036418914795,3.7037036418914795,0,3.846153974533081,3.7037036418914795,3.846153974533081,3.7037036418914795,16665841664,4294963200,866971648,290717696
999,1745031046538,63930.04606628418,2200,2,0.84375,57981.855209350586,2200,2,0.84375,38926.643630981445,2200,2,0.84375,59857.786849975586,2200,2,0.84375,55153.56057739258,2200,2,0.85,64707.98664855957,2200,2,0.85,47502.6296081543,2200,2,0.85,19549.031784057617,2200,2,0.85,4296.094146728516,2122,3189,2118,2171,2195,2018,2195,1996,2129,2129,2194,2176,2194,2189,2128,2226,0,0,3.7037036418914795,7.692307949066162,0,0,3.7037036418914795,7.407407283782959,0,3.7037036418914795,3.7037036418914795,0,3.846153974533081,3.7037036418914795,3.846153974533081,3.7037036418914795,16665841664,4294963200,866971648,290717696
999,1745031047538,63938.21391296387,3975,0,1.3125,57988.1424407959,3975,0,1.3125,38932.149185180664,3975,0,1.3125,59868.68249511719,3975,0,1.3125,55160.396240234375,3975,0,1.3125,64714.66711425781,3975,0,1.3125,47508.658203125,3975,0,1.3125,19555.488159179688,3975,0,1.3125,4364.403137207031,2122,3189,2118,2171,2195,2018,2195,1996,2129,2129,2194,2176,2194,2189,2128,2226,76,69,55,96.03960418701172,3,57.425743103027344,20.2020206451416,65,14.141413688659668,2,76,17,56.435646057128906,8.91089153289795,53.46534729003906,7.142857551574707,16665841664,4294963200,1280327680,290717696
999,1745031048539,63942.10234069824,2100,2,1.4375,57992.34213256836,2100,2,1.4375,38935.52909851074,2100,2,1.4375,59879.816833496094,4200,0,1.4375,55164.853607177734,4200,0,1.4375,64719.47230529785,2100,2,1.4375,47512.928802490234,2100,2,1.4375,19559.050048828125,2100,2,1.4375,4416.916610717773,2122,3189,2118,2171,2195,2018,2195,1996,2129,2129,2194,2176,2194,2189,2128,2226,12.244897842407227,23,14.285715103149414,96,4,31.313129425048828,5,34,24,1,44.5544548034668,24,40.81632614135742,4.040403842926025,42,30.000001907348633,16665841664,4294963200,1583792128,290717696
999,1745031049539,63942.367431640625,2112.5,2,1.4312500000000001,57992.58772277832,2112.5,2,1.4312500000000001,38935.76712036133,2112.5,2,1.4312500000000001,59893.603576660156,4225,0,1.4312500000000001,55165.17269897461,2200,2,1.4312500000000001,64719.749435424805,2200,2,1.4312500000000001,47513.43232727051,2200,2,1.425,19559.89631652832,2200,2,1.425,4446.654434204102,2122,3189,2118,2171,2195,2018,2195,1996,2129,2129,2194,2176,2194,2189,2128,2226,3,3.9603960514068604,2.97029709815979,100,2.97029709815979,1.9801980257034302,3,3,2.0202019214630127,1,0,3,0,2,3,3,16665841664,4294963200,1716428800,290717696
999,1745031050539,63942.5602722168,2125,2,1.4375,57992.77542114258,2125,2,1.4375,38935.92756652832,2125,2,1.4375,59907.408752441406,4250,0,1.4375,55165.34310913086,2200,2,1.4375,64719.888763427734,2200,2,1.4375,47513.569580078125,2200,2,1.4375,19560.054138183594,2200,2,1.4375,4474.615905761719,2122,3189,2118,2171,2195,2018,2195,1996,2129,2129,2194,2176,2194,2189,2128,2226,1.0101009607315063,1,1.0101009607315063,99,1.0101009607315063,1.0101009607315063,1,2,1.9801980257034302,0,1,1,0,2,1.9801980257034302,1.9801980257034302,16665841664,4294963200,1856806912,290717696
999,1745031051539,63942.76220703125,2125,2,1.4312500000000001,57992.961349487305,2125,2,1.4312500000000001,38936.10194396973,2125,2,1.4375,59921.35331726074,4250,0,1.4375,55165.537033081055,2200,2,1.4375,64720.05032348633,2200,2,1.4375,47513.72872924805,2200,2,1.4375,19560.236404418945,2200,2,1.4375,4502.840881347656,2122,3189,2118,2171,2195,2018,2195,1996,2129,2129,2194,2176,2194,2189,2128,2226,2,2,2,100,2.97029709815979,1.9801980257034302,2,1.0101009607315063,1.0101009607315063,0,2,0,0,1.0101009607315063,1.0101009607315063,1.0101009607315063,16665841664,4294963200,1856806912,290717696
999,1745031052539,63943.001556396484,2125,2,1.46875,57993.15000915527,2125,2,1.46875,38936.3516998291,2125,2,1.46875,59935.23794555664,4250,0,1.46875,55165.743591308594,2200,2,1.46875,64720.21290588379,2200,2,1.46875,47513.88131713867,2200,2,1.46875,19560.419494628906,2200,2,1.46875,4531.207931518555,2122,3189,2118,2171,2195,2018,2195,1996,2129,2129,2194,2176,2194,2189,2128,2226,2,2,2.97029709815979,4,2,2,2,2,3,98.98989868164063,2,0,0,2,0.9900990128517151,2,16665841664,4294963200,1837895680,290717696
999,1745031053539,63943.175689697266,2125,2,1.46875,57993.30278015137,2125,2,1.46875,38936.49789428711,2125,2,1.46875,59949.20106506348,4250,0,1.46875,55165.89367675781,2200,2,1.46875,64720.35403442383,2200,2,1.46875,47514.00604248047,2200,2,1.46875,19560.568405151367,2200,2,1.46875,4559.163238525391,2122,3189,2118,2171,2195,2018,2195,1996,2129,2129,2194,2176,2194,2189,2128,2226,1.0101009607315063,1.0101009607315063,1,95,1.0101009607315063,0,1,1.9801980257034302,1.9801980257034302,6,1,1,0,1.9801980257034302,0,2,16665841664,4294963200,1834950656,290717696
999,1745031054539,63943.39611816406,2125,2,1.46875,57993.483306884766,2125,2,1.46875,38936.681228637695,2125,2,1.46875,59963.20544433594,4250,0,1.46875,55166.068908691406,2200,2,1.4375,64720.52345275879,2200,2,1.4375,47514.15689086914,2200,2,1.4375,19560.742630004883,2200,2,1.4375,4587.333023071289,2122,3189,2118,2171,2195,2018,2195,1996,2129,2129,2194,2176,2194,2189,2128,2226,2.97029709815979,1.9801980257034302,2,100,2,0,2,1.0101009607315063,1.0101009607315063,2,2,2,0,1.0101009607315063,0,2,16665841664,4294963200,1831591936,290717696
999,1745031055539,63943.60656738281,2125,2,1.46875,57993.76705932617,2125,2,1.46875,38936.898345947266,2125,2,1.4375,59977.11282348633,4250,0,1.4375,55166.25442504883,2200,2,1.4375,64720.72123718262,2200,2,1.4375,47514.31896972656,2200,2,1.4375,19560.926849365234,2200,2,1.4375,4615.886154174805,2122,3189,2118,2171,2195,2018,2195,1996,2129,2129,2194,2176,2194,2189,2128,2226,2,2,2,100,1.9801980257034302,0,2,2,3.9603960514068604,1.9801980257034302,2,1.0101009607315063,0,2,0,3,16665841664,4294963200,1826889728,290717696
