Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745054183705,50011.95852661133,2200,2,0.85,18907.361602783203,2200,2,0.85,573.8662872314453,2200,2,0.85,24235.228408813477,2200,2,0.85,35751.63983154297,2200,2,0.85,25556.16098022461,2200,2,0.85,9472.69009399414,2200,2,0.85,49374.2194519043,2200,2,0.85,32968.33415222168,2053,3187,2125,2129,2187,2066,2142,2193,2128,2188,2195,2126,2194,2188,2128,3194,7.142857551574707,3.846153974533081,0,3.7037036418914795,3.7037036418914795,0,3.7037036418914795,3.846153974533081,7.142857551574707,3.846153974533081,3.7037036418914795,7.407407283782959,3.7037036418914795,3.7037036418914795,0,0,16665841664,4294963200,855248896,294125568
999,1745054183705,50011.95869445801,2200,2,0.85,18907.361770629883,2200,2,0.85,573.867919921875,2200,2,0.85,24235.228561401367,2200,2,0.85,35751.63998413086,2200,2,0.85,25556.164291381836,2200,2,0.85,9472.690231323242,2200,2,0.85,49374.21987915039,2200,2,0.85,32968.35499572754,2053,3187,2125,2129,2187,2066,2142,2193,2128,2188,2195,2126,2194,2188,2128,3194,7.142857551574707,3.846153974533081,0,3.7037036418914795,3.7037036418914795,0,3.7037036418914795,3.846153974533081,7.142857551574707,3.846153974533081,3.7037036418914795,7.407407283782959,3.7037036418914795,3.7037036418914795,0,0,16665841664,4294963200,855248896,294125568
999,1745054184705,50017.27133178711,3975,0,1.3125,18913.539794921875,3975,0,1.3125,580.1019439697266,3975,0,1.3125,24243.886810302734,3975,0,1.3125,35757.84931945801,3975,0,1.3125,25567.52961730957,3975,0,1.3125,9479.196731567383,3975,0,1.3125,49379.357666015625,3975,0,1.3125,33035.57920837402,2053,3187,2125,2129,2187,2066,2142,2193,2128,2188,2195,2126,2194,2188,2128,3194,57.731956481933594,66,59.405941009521484,68.6868667602539,52.999996185302734,7,9.183673858642578,0,14.141413688659668,55.4455451965332,18.367347717285156,95,67,58.999996185302734,2.97029709815979,4,16665841664,4294963200,1246965760,294125568
999,1745054185705,50021.05256652832,2200,2,1.425,18917.23370361328,2200,2,1.425,583.7433929443359,2200,2,1.425,24250.591873168945,2200,2,1.425,35762.25370788574,2100,2,1.425,25579.28077697754,4200,0,1.41875,9482.975387573242,2100,2,1.41875,49383.13104248047,2100,2,1.41875,33090.04510498047,2053,3187,2125,2129,2187,2066,2142,2193,2128,2188,2195,2126,2194,2188,2128,3194,33,38.38383865356445,36,22,8.08080768585205,1,1.9801980257034302,0,4.040403842926025,55.55555725097656,33,98.01980590820313,34.34343338012695,37.37373733520508,14.141413688659668,2,16665841664,4294963200,1551720448,294125568
999,1745054186705,50021.329177856445,2200,2,1.45625,18917.47625732422,2200,2,1.45625,583.948486328125,2200,2,1.45625,24250.844650268555,2200,2,1.45625,35762.634536743164,2125,2,1.4625000000000001,25586.781158447266,2125,2,1.4625000000000001,9490.274520874023,4250,0,1.4625000000000001,49384.006439208984,2125,2,1.4625000000000001,33119.98588562012,2053,3187,2125,2129,2187,2066,2142,2193,2128,2188,2195,2126,2194,2188,2128,3194,0,2,1.0101009607315063,2,2,0,2,3,2.97029709815979,2,1.9801980257034302,51.51515197753906,50.495052337646484,0.9900990128517151,2.0202019214630127,2,16665841664,4294963200,1684615168,294125568
1000,1745054187706,50021.565689086914,2200,2,1.4312500000000001,18917.6632232666,2200,2,1.4312500000000001,584.15380859375,2200,2,1.4312500000000001,24251.017318725586,2200,2,1.4312500000000001,35762.840560913086,2112.5,2,1.4312500000000001,25587.04608154297,2112.5,2,1.4312500000000001,9504.082977294922,4225,0,1.4312500000000001,49384.19526672363,2112.5,2,1.4312500000000001,33147.87600708008,2053,3187,2125,2129,2187,2066,2142,2193,2128,2188,2195,2126,2194,2188,2128,3194,0,2,2.97029709815979,2,2,0,2,2,2,2,2,2,100,0,2,2,16665841664,4294963200,1829728256,294125568
1000,1745054188706,50021.7813873291,2200,2,1.4312500000000001,18917.871215820313,2200,2,1.4312500000000001,584.3316345214844,2200,2,1.4312500000000001,24251.194946289063,2200,2,1.4312500000000001,35763.017318725586,2100,2,1.4312500000000001,25587.2080078125,2112.5,2,1.4312500000000001,9518.051483154297,4225,0,1.4312500000000001,49384.35501098633,2112.5,2,1.4312500000000001,33175.889221191406,2053,3187,2125,2129,2187,2066,2142,2193,2128,2188,2195,2126,2194,2188,2128,3194,2,0,1.0101009607315063,1.0101009607315063,2,0,2,1.9801980257034302,1.0101009607315063,2,1.0101009607315063,2,99.00990295410156,0,1.9801980257034302,2.0202019214630127,16665841664,4294963200,1828675584,294125568
999,1745054189706,50021.98097229004,2200,2,1.46875,18918.073043823242,2200,2,1.425,584.48583984375,2200,2,1.425,24251.338317871094,2200,2,1.425,35763.17736816406,2100,2,1.425,25587.390670776367,2100,2,1.425,9531.917404174805,4200,0,1.425,49384.485427856445,2100,2,1.425,33203.58662414551,2053,3187,2125,2129,2187,2066,2142,2193,2128,2188,2195,2126,2194,2188,2128,3194,2,1,2,2.941176414489746,1,1,2,1.0101009607315063,2,1,1.9801980257034302,1,100,0,1.0101009607315063,1,16665841664,4294963200,1791733760,294125568
999,1745054190706,50022.24850463867,2200,2,1.4312500000000001,18918.294052124023,2200,2,1.4312500000000001,584.7047424316406,2200,2,1.4312500000000001,24251.553283691406,2200,2,1.4312500000000001,35763.386001586914,2112.5,2,1.4312500000000001,25587.573760986328,2112.5,2,1.4312500000000001,9545.958724975586,4225,0,1.4312500000000001,49384.68701171875,2112.5,2,1.4375,33231.93260192871,2053,3187,2125,2129,2187,2066,2142,2193,2128,2188,2195,2126,2194,2188,2128,3194,2.97029709815979,0.9900990128517151,2,2,2,0,2,2.97029709815979,2,2.97029709815979,1,3,100,2,2.97029709815979,2.0202019214630127,16665841664,4294963200,1786662912,294125568
999,1745054191707,50022.45756530762,2200,2,1.4375,18918.494827270508,2200,2,1.4375,584.8821716308594,2200,2,1.4375,24251.729400634766,2200,2,1.4375,35763.541076660156,2112.5,2,1.4375,25587.728546142578,2112.5,2,1.4375,9559.917388916016,4225,0,1.4375,49384.86764526367,2112.5,2,1.4375,33259.70510864258,2053,3187,2125,2129,2187,2066,2142,2193,2128,2188,2195,2126,2194,2188,2128,3194,2,2,2,2,0,0,2,1.0101009607315063,2,1.0101009607315063,1.0101009607315063,1,100,2,1.0101009607315063,1.9607844352722168,16665841664,4294963200,1782267904,294125568
