Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745070321952,19774.212036132813,2200,2,0.8375,38408.61947631836,2200,2,0.8375,17940.865280151367,2200,2,0.8375,40599.624572753906,2200,2,0.85625,60249.44844055176,2200,2,0.85625,45911.27885437012,2200,2,0.85625,25423.888900756836,2200,2,0.85625,3661.0780487060547,2200,2,0.85625,31115.658645629883,2128,2129,2187,2183,2195,2189,2091,2131,2025,2170,2193,2195,2192,2195,2179,3191,3.846153974533081,3.7037036418914795,0,0,0,3.846153974533081,0,0,0,3.846153974533081,3.846153974533081,0,3.846153974533081,7.692307949066162,7.407407283782959,3.7037036418914795,16665841664,4294963200,857079808,295960576
999,1745070321952,19774.212203979492,2200,2,0.8375,38408.61958312988,2200,2,0.8375,17940.86685180664,2200,2,0.8375,40599.62467956543,2200,2,0.8375,60249.44860839844,2200,2,0.8375,45911.27900695801,2200,2,0.8375,25423.889053344727,2200,2,0.8375,3661.081268310547,2200,2,0.8375,31115.683822631836,2128,2129,2187,2183,2195,2189,2091,2131,2025,2170,2193,2195,2192,2195,2179,3191,3.846153974533081,3.7037036418914795,0,0,0,3.846153974533081,0,0,0,3.846153974533081,3.846153974533081,0,3.846153974533081,7.692307949066162,7.407407283782959,3.7037036418914795,16665841664,4294963200,857079808,295960576
999,1745070322952,19780.82733154297,3950,0,1.3,38414.424377441406,3950,0,1.3,17947.63247680664,3950,0,1.3,40605.227935791016,3950,0,1.3,60255.574462890625,3950,0,1.3,45917.726470947266,3950,0,1.3,25429.24757385254,3950,0,1.3,3672.650588989258,3950,0,1.3,31181.51919555664,2128,2129,2187,2183,2195,2189,2091,2131,2025,2170,2193,2195,2192,2195,2179,3191,27.272727966308594,11.224489212036133,38,2,66.66667175292969,67.67676544189453,62,9,46.46464538574219,59.5959587097168,0,10,0,98.98989868164063,64.6464614868164,54.54545593261719,16665841664,4294963200,1256321024,295960576
999,1745070323953,19785.534286499023,2000,2,1.425,38420.49220275879,2000,2,1.425,17954.410385131836,3000,2,1.425,40610.616149902344,2000,2,1.425,60259.74461364746,2100,2,1.425,45921.338470458984,2100,2,1.425,25432.75700378418,2100,2,1.425,3683.9080200195313,4200,0,1.425,31240.42791748047,2128,2129,2187,2183,2195,2189,2091,2131,2025,2170,2193,2195,2192,2195,2179,3191,3.0612244606018066,13.8613862991333,51.51515197753906,5,40,38,10.891088485717773,0.9900990128517151,50.495052337646484,55,0,0,26.26262664794922,99,49.49494934082031,59.405941009521484,16665841664,4294963200,1576816640,295960576
999,1745070324953,19785.839126586914,2200,2,1.4375,38420.78430175781,2200,2,1.4312500000000001,17954.687301635742,2200,2,1.4312500000000001,40610.89636230469,2200,2,1.4312500000000001,60260.06509399414,2100,2,1.4312500000000001,45921.70181274414,2100,2,1.4312500000000001,25433.64227294922,2100,2,1.4312500000000001,3697.7479553222656,4200,0,1.4312500000000001,31270.060150146484,2128,2129,2187,2183,2195,2189,2091,2131,2025,2170,2193,2195,2192,2195,2179,3191,2.97029709815979,2.0202019214630127,3.9215688705444336,3,0,2.97029709815979,2.0202019214630127,0,2.0202019214630127,3,2,2,0,100,2.941176414489746,3,16665841664,4294963200,1733709824,295960576
999,1745070325953,19786.058135986328,2200,2,1.44375,38420.97959899902,2200,2,1.44375,17954.888107299805,2200,2,1.44375,40611.101821899414,2200,2,1.44375,60260.162673950195,2112.5,2,1.44375,45921.97869873047,2112.5,2,1.44375,25433.83512878418,2112.5,2,1.4375,3711.618911743164,4225,0,1.4375,31298.34539794922,2128,2129,2187,2183,2195,2189,2091,2131,2025,2170,2193,2195,2192,2195,2179,3191,0,2,2.0202019214630127,2,0,3,2,1.0101009607315063,2,2,1,2,2.0202019214630127,99.00990295410156,2,2,16665841664,4294963200,1733709824,295960576
999,1745070326953,19786.26252746582,2200,2,1.4375,38421.16194152832,2200,2,1.4375,17955.059295654297,2200,2,1.4375,40611.285583496094,2200,2,1.425,60260.32734680176,2100,2,1.425,45922.147064208984,2100,2,1.425,25434.009658813477,2100,2,1.425,3725.492218017578,4200,0,1.425,31326.56117248535,2128,2129,2187,2183,2195,2189,2091,2131,2025,2170,2193,2195,2192,2195,2179,3191,0,2,1.9801980257034302,2,0,1.0101009607315063,2,2,1.9801980257034302,2,2.97029709815979,0,1.9801980257034302,100,1.0101009607315063,1.0101009607315063,16665841664,4294963200,1733709824,295960576
999,1745070327953,19786.593231201172,2200,2,1.425,38421.38764953613,2200,2,1.425,17955.267059326172,2200,2,1.425,40611.48715209961,2200,2,1.425,60260.50450134277,2112.5,2,1.425,45922.33654785156,2112.5,2,1.425,25434.216766357422,2112.5,2,1.425,3739.4219970703125,4225,0,1.425,31355.203094482422,2128,2129,2187,2183,2195,2189,2091,2131,2025,2170,2193,2195,2192,2195,2179,3191,3,0,2,2,0,2,2,3,2.0202019214630127,2,2,0,2.0202019214630127,100,2,2,16665841664,4294963200,1696301056,295960576
999,1745070328953,19786.829208374023,2200,2,1.425,38421.584899902344,2200,2,1.425,17955.442825317383,2200,2,1.425,40611.68585205078,2200,2,1.425,60260.66328430176,2100,2,1.425,45922.5184173584,2100,2,1.425,25434.38868713379,2100,2,1.425,3753.284698486328,4200,0,1.4312500000000001,31383.465103149414,2128,2129,2187,2183,2195,2189,2091,2131,2025,2170,2193,2195,2192,2195,2179,3191,2.0202019214630127,1,2,2,0,2,2,2,2,2,2,0,2,99.00990295410156,2,2,16665841664,4294963200,1694965760,295960576
999,1745070329953,19787.044677734375,2200,2,1.425,38421.770446777344,2200,2,1.425,17955.620880126953,2200,2,1.425,40611.858337402344,2200,2,1.425,60260.8106842041,2100,2,1.425,45922.684494018555,2100,2,1.45,25434.562789916992,2100,2,1.45,3767.2369232177734,4200,0,1.45,31411.49269104004,2128,2129,2187,2183,2195,2189,2091,2131,2025,2170,2193,2195,2192,2195,2179,3191,2,2,1.0101009607315063,1.0101009607315063,0,2,2,2,1.9801980257034302,2,1.0101009607315063,0,1,100,2,0,16665841664,4294963200,1692594176,295960576
